oc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
2.5,0.26418,0.19094,0.19715,0.20859,0.23966,0.28054,0.31791,0.33768,0.35326,0.37017,0.38851,0.40551,0.41822,0.4257,0.43271,0.43662,0.44269,0.45082,0.45973,0.4686,0.47632,0.48373,0.49591,0.50408,0.51062,0.51713,0.52252,0.52735,0.53113,0.53358,0.5374,0.52505,0.51121,0.52529,0.53297,0.53976,0.5445,0.54828,0.55132,0.55386,0.55578,0.55719,0.55667,0.55578,0.55667,0.55886,0.54702,0.46419,0.46774,0.48831,0.50606,0.52131,0.52845,0.5315,0.53333,0.52905,0.50443,0.50524,0.51133,0.50606,0.48888,0.47,0.47119,0.45751,0.43501,0.41745
10.6,0.1747,0.11332,0.11695,0.12817,0.15059,0.17624,0.19939,0.21757,0.23763,0.25621,0.27315,0.2888,0.30241,0.31261,0.32122,0.32779,0.33443,0.34159,0.34882,0.35588,0.36224,0.3683,0.37827,0.3845,0.39039,0.39637,0.40198,0.40747,0.41229,0.41639,0.42111,0.4187,0.41495,0.4217,0.42697,0.43182,0.43581,0.43934,0.44259,0.44535,0.44751,0.44937,0.45009,0.45061,0.45248,0.4553,0.45258,0.41333,0.40588,0.41764,0.42934,0.43662,0.43974,0.44188,0.44289,0.43995,0.43152,0.43162,0.43142,0.42815,0.42111,0.41324,0.41058,0.40532,0.39274,0.3823
37.8,0.20654,0.14598,0.14928,0.15977,0.1796,0.20068,0.22009,0.23768,0.25674,0.27593,0.29363,0.3091,0.3227,0.3345,0.34253,0.35059,0.35909,0.36737,0.37575,0.38371,0.39129,0.39866,0.4102,0.41716,0.42403,0.43082,0.43732,0.4434,0.44895,0.45373,0.45394,0.45562,0.45698,0.46185,0.46655,0.47098,0.47468,0.47786,0.48073,0.48284,0.48462,0.48585,0.48618,0.48641,0.4863,0.48295,0.4794,0.453,0.4471,0.45814,0.46752,0.47326,0.47523,0.47654,0.47709,0.47676,0.47293,0.47391,0.47054,0.46644,0.45962,0.45562,0.45667,0.45206,0.44279,0.43351
37.9,0.21179,0.14051,0.14187,0.15153,0.17199,0.20417,0.23928,0.26242,0.28236,0.30367,0.32576,0.34602,0.36341,0.37775,0.38949,0.4005,0.4121,0.42403,0.43571,0.44668,0.45646,0.46526,0.47863,0.48618,0.49249,0.49877,0.50455,0.5098,0.51416,0.51737,0.51856,0.51074,0.50165,0.51039,0.51677,0.5236,0.52905,0.53333,0.53703,0.54001,0.54125,0.5415,0.54125,0.54175,0.543,0.54325,0.5342,0.46806,0.45572,0.47435,0.49317,0.50489,0.50874,0.51227,0.51333,0.50687,0.49614,0.49751,0.49272,0.4815,0.46752,0.46132,0.46323,0.45154,0.42599,0.40411
32.7,0.17057,0.1061,0.10529,0.11256,0.13289,0.15791,0.18138,0.1998,0.22146,0.24322,0.26382,0.2821,0.2971,0.30761,0.31528,0.32055,0.32651,0.33335,0.34056,0.34738,0.35326,0.35876,0.36737,0.37308,0.37827,0.38371,0.38869,0.39346,0.39747,0.40068,0.403,0.39673,0.39373,0.40133,0.40616,0.41068,0.4141,0.41706,0.41966,0.4217,0.42316,0.42403,0.42403,0.42394,0.42462,0.4256,0.42141,0.37818,0.37094,0.38265,0.39455,0.40225,0.40532,0.40663,0.40635,0.39783,0.38477,0.38976,0.39003,0.38503,0.37523,0.3645,0.35975,0.35367,0.33892,0.3287
18.6,0.15321,0.11048,0.11445,0.12167,0.1389,0.15682,0.17073,0.18247,0.19445,0.2074,0.22116,0.23469,0.2466,0.25615,0.26375,0.2694,0.27498,0.28074,0.28668,0.29262,0.29813,0.30339,0.31246,0.3182,0.32352,0.32915,0.33443,0.33931,0.34332,0.3465,0.3485,0.33939,0.33029,0.34143,0.34818,0.35441,0.35884,0.36233,0.36534,0.36762,0.36906,0.36983,0.36915,0.3683,0.36864,0.36864,0.35843,0.28203,0.28794,0.30444,0.32129,0.33312,0.33806,0.34033,0.3419,0.33659,0.3196,0.31864,0.32382,0.32218,0.31189,0.29758,0.2896,0.27874,0.26104,0.249
32.3,0.10688,0.07204,0.07018,0.07283,0.07962,0.08819,0.09705,0.10597,0.11652,0.12877,0.14236,0.15592,0.16846,0.17951,0.18945,0.19751,0.20474,0.2112,0.21707,0.22243,0.2273,0.23174,0.23873,0.24283,0.24626,0.24969,0.25299,0.25609,0.25882,0.26122,0.26333,0.26363,0.26122,0.26309,0.2662,0.2694,0.27202,0.27441,0.27669,0.27842,0.27977,0.28087,0.28158,0.28242,0.28379,0.28543,0.28425,0.26104,0.25287,0.26297,0.27164,0.27587,0.27663,0.27733,0.27797,0.2788,0.27951,0.28113,0.2774,0.27428,0.27271,0.27077,0.27015,0.26712,0.25936,0.25119
33.8,0.15588,0.10794,0.11074,0.11896,0.1397,0.163,0.18289,0.20068,0.22034,0.2401,0.25894,0.27593,0.2896,0.2984,0.30444,0.30811,0.3121,0.31666,0.32137,0.32591,0.32991,0.33366,0.34198,0.3461,0.34946,0.35261,0.3553,0.3576,0.35925,0.36016,0.36141,0.35514,0.35237,0.35662,0.35826,0.35958,0.36041,0.36091,0.36141,0.36158,0.36124,0.36066,0.35942,0.3581,0.3576,0.3581,0.35555,0.33343,0.32674,0.33266,0.33775,0.33939,0.33845,0.33721,0.33589,0.33014,0.31937,0.32397,0.32501,0.32107,0.31463,0.30818,0.30606,0.30193,0.29208,0.28543
26.7,0.20956,0.13044,0.13113,0.14119,0.17163,0.20654,0.23415,0.25521,0.27906,0.30227,0.32471,0.34506,0.36066,0.37034,0.37801,0.383,0.3886,0.39509,0.40216,0.40964,0.41697,0.42462,0.43631,0.44432,0.45113,0.45772,0.46334,0.46817,0.47174,0.47435,0.47764,0.46871,0.461,0.46784,0.47315,0.47841,0.48228,0.4854,0.48809,0.49,0.49102,0.49136,0.49091,0.49057,0.49193,0.49477,0.48955,0.43471,0.42364,0.43914,0.45446,0.46334,0.46644,0.46806,0.46892,0.46227,0.44937,0.45436,0.45499,0.45071,0.44116,0.42993,0.42472,0.41725,0.40031,0.3877
23.7,0.25592,0.19561,0.19834,0.20787,0.22626,0.24769,0.27033,0.2908,0.31297,0.33504,0.3558,0.37385,0.38887,0.40105,0.41068,0.41908,0.42707,0.43461,0.44188,0.44854,0.45467,0.46026,0.47011,0.47544,0.48006,0.4844,0.48831,0.49193,0.49499,0.49739,0.49843,0.49659,0.49306,0.49625,0.49992,0.50373,0.50676,0.50957,0.51192,0.51381,0.51535,0.51618,0.51654,0.51689,0.51796,0.51844,0.51606,0.48809,0.4794,0.48978,0.49957,0.50571,0.50804,0.5098,0.51109,0.51109,0.50629,0.50781,0.50734,0.50431,0.49888,0.49397,0.49431,0.48978,0.48029,0.47185
21.7,0.24729,0.17124,0.16807,0.17681,0.20479,0.23502,0.25775,0.27945,0.30903,0.33869,0.36509,0.3869,0.40355,0.41324,0.41735,0.41966,0.42335,0.42875,0.43471,0.44055,0.44617,0.45196,0.46302,0.47011,0.47687,0.48384,0.49012,0.49591,0.50038,0.50373,0.50594,0.49682,0.48989,0.50038,0.50559,0.51004,0.51322,0.51547,0.51737,0.51856,0.51904,0.51844,0.51725,0.51594,0.51558,0.51499,0.50839,0.45772,0.45227,0.46526,0.47731,0.48473,0.48686,0.48697,0.48641,0.47918,0.45625,0.45846,0.46334,0.45962,0.44782,0.43301,0.42924,0.42082,0.40523,0.39564
49.6,0.14747,0.09183,0.0858,0.08716,0.09727,0.11937,0.14835,0.16653,0.1808,0.19656,0.2136,0.22925,0.24166,0.25096,0.25829,0.26577,0.27485,0.28517,0.29621,0.30726,0.31747,0.32704,0.34111,0.34995,0.35744,0.36467,0.37094,0.37662,0.38115,0.38468,0.38654,0.37783,0.37102,0.38089,0.3877,0.395,0.40059,0.40523,0.40917,0.41248,0.41476,0.41629,0.41668,0.41725,0.41899,0.42024,0.41248,0.3457,0.33489,0.35383,0.37316,0.38628,0.39264,0.3971,0.39902,0.39012,0.37377,0.37966,0.38521,0.38098,0.36906,0.35522,0.34722,0.33558,0.3155,0.30241
23.2,0.10174,0.073,0.07155,0.07321,0.07901,0.08716,0.09521,0.10111,0.10705,0.11361,0.12092,0.12891,0.13721,0.14538,0.15428,0.16241,0.17124,0.18063,0.19041,0.20035,0.20989,0.21918,0.23147,0.24038,0.24826,0.25604,0.26291,0.26928,0.27466,0.27893,0.28262,0.27555,0.26662,0.2774,0.28477,0.29168,0.29676,0.30088,0.30423,0.3069,0.30917,0.31096,0.31089,0.31024,0.31103,0.31203,0.30179,0.22693,0.23276,0.24871,0.26571,0.27951,0.28714,0.29161,0.29478,0.29141,0.2765,0.27638,0.28158,0.28054,0.27139,0.25734,0.24763,0.23703,0.22146,0.21014
43.2,0.16233,0.10585,0.10619,0.11319,0.1314,0.15346,0.1739,0.19094,0.20816,0.2261,0.24372,0.25966,0.27258,0.28197,0.2898,0.29539,0.30095,0.30655,0.31232,0.31813,0.32367,0.329,0.33713,0.34229,0.34658,0.35043,0.35359,0.35645,0.35867,0.36025,0.36141,0.35826,0.35768,0.36091,0.36316,0.36534,0.36703,0.36864,0.37,0.37119,0.37205,0.37282,0.37256,0.37222,0.37256,0.37308,0.37128,0.35091,0.34443,0.35148,0.35801,0.36174,0.36266,0.36308,0.36325,0.35867,0.35035,0.35686,0.35826,0.35555,0.3497,0.34395,0.34127,0.33736,0.32727,0.32085
24.4,0.1714,0.10392,0.09681,0.09913,0.1135,0.14508,0.18698,0.21135,0.22845,0.24677,0.26656,0.28418,0.29662,0.30416,0.31146,0.31659,0.32389,0.33358,0.34467,0.3562,0.36686,0.37696,0.39084,0.40114,0.40945,0.41754,0.42433,0.43043,0.43501,0.43813,0.44127,0.42179,0.40851,0.42599,0.43561,0.44494,0.45186,0.45698,0.46121,0.46462,0.46655,0.46774,0.46709,0.46644,0.46784,0.47109,0.45677,0.36008,0.35686,0.38028,0.40392,0.42082,0.42884,0.43311,0.43431,0.41841,0.39201,0.39683,0.40729,0.40495,0.38806,0.36838,0.35686,0.34443,0.32092,0.30627
12.9,0.25509,0.18151,0.19306,0.21188,0.25044,0.28867,0.31747,0.33916,0.36091,0.37993,0.39737,0.41352,0.42697,0.43501,0.43893,0.44177,0.44586,0.45123,0.45677,0.46185,0.46634,0.47087,0.4794,0.48462,0.48955,0.49454,0.49888,0.50292,0.50606,0.50839,0.51039,0.50257,0.49854,0.50769,0.51145,0.51452,0.51654,0.51844,0.52,0.52119,0.52216,0.52288,0.52216,0.52107,0.52107,0.52131,0.51725,0.48161,0.4794,0.48876,0.49728,0.50304,0.50501,0.50513,0.50455,0.4982,0.47643,0.48139,0.48809,0.48719,0.47654,0.46281,0.46132,0.45541,0.44198,0.43521
25.3,0.1673,0.10708,0.10554,0.11125,0.1252,0.15125,0.18552,0.20711,0.22501,0.2435,0.2626,0.28003,0.29404,0.30388,0.31067,0.3163,0.32248,0.32893,0.3345,0.3383,0.34049,0.34222,0.3481,0.35051,0.35261,0.3549,0.35703,0.359,0.36058,0.36183,0.36299,0.35975,0.35465,0.36,0.36325,0.36627,0.36881,0.37119,0.37359,0.37584,0.37775,0.37958,0.38045,0.38115,0.38291,0.38468,0.38265,0.3518,0.34882,0.35934,0.36957,0.37627,0.37923,0.38142,0.38335,0.38371,0.3774,0.3748,0.37714,0.37844,0.37325,0.36602,0.36602,0.36183,0.35108,0.34348
5.7,0.24791,0.19116,0.19815,0.20946,0.22819,0.2474,0.26467,0.28022,0.29553,0.31218,0.33128,0.34946,0.36694,0.38221,0.39555,0.40719,0.4186,0.42983,0.44035,0.4503,0.4592,0.4673,0.4794,0.48674,0.4934,0.50073,0.50757,0.5144,0.52024,0.52505,0.52991,0.51964,0.50968,0.52276,0.53162,0.54038,0.54714,0.55271,0.55757,0.56131,0.56377,0.56559,0.56611,0.56637,0.56872,0.57135,0.56053,0.47391,0.47152,0.49249,0.51428,0.52905,0.53555,0.53939,0.54075,0.53321,0.51004,0.51511,0.51725,0.51393,0.50373,0.4882,0.48084,0.46968,0.44844,0.43451
16.7,0.23211,0.16226,0.16387,0.17402,0.19534,0.22039,0.24401,0.26315,0.2851,0.30775,0.32976,0.35035,0.36881,0.38415,0.39774,0.40776,0.41773,0.42756,0.43722,0.44627,0.45426,0.46153,0.47185,0.47874,0.48484,0.49091,0.49636,0.50176,0.50629,0.51027,0.51286,0.51098,0.51015,0.51689,0.52131,0.52553,0.52918,0.53223,0.53506,0.5374,0.53926,0.54075,0.54113,0.54175,0.54288,0.54375,0.54163,0.51286,0.50559,0.51642,0.52602,0.53137,0.53309,0.53432,0.53456,0.5304,0.52155,0.52396,0.52565,0.523,0.51642,0.5091,0.50746,0.50315,0.49102,0.48239
95.1,0.13023,0.08158,0.07829,0.08232,0.09143,0.10268,0.11527,0.12969,0.1473,0.1663,0.18642,0.20649,0.22584,0.24272,0.25882,0.27033,0.28093,0.29114,0.30075,0.30967,0.31769,0.32524,0.33558,0.34261,0.34874,0.35506,0.36208,0.36915,0.37592,0.38203,0.38753,0.38744,0.38441,0.38851,0.39509,0.40188,0.40691,0.41181,0.41649,0.41966,0.42063,0.42005,0.42131,0.42394,0.42658,0.43023,0.42884,0.38779,0.37351,0.39012,0.40337,0.40551,0.40087,0.39783,0.39646,0.39774,0.39912,0.40235,0.38967,0.37532,0.36291,0.36058,0.36433,0.36091,0.3485,0.33551
21.8,0.26632,0.21667,0.21923,0.22746,0.24244,0.25864,0.27416,0.28927,0.30839,0.32969,0.34978,0.36686,0.38133,0.39264,0.39948,0.40626,0.41314,0.41966,0.4256,0.43063,0.43521,0.43985,0.44864,0.45238,0.45614,0.46026,0.46441,0.46849,0.47217,0.47544,0.47577,0.47282,0.47141,0.47885,0.48239,0.48551,0.48742,0.48933,0.49113,0.49238,0.49351,0.49408,0.49374,0.49363,0.49374,0.49147,0.48899,0.46334,0.45867,0.46989,0.47775,0.48139,0.48084,0.48006,0.47973,0.47984,0.47141,0.4673,0.46881,0.4673,0.45551,0.44761,0.45196,0.44968,0.44045,0.43281
23.2,0.17155,0.11773,0.12221,0.13204,0.1541,0.18009,0.20488,0.2231,0.23928,0.25498,0.2694,0.28184,0.29074,0.2958,0.3004,0.30262,0.30493,0.30782,0.31103,0.31434,0.31703,0.31945,0.32494,0.32734,0.32893,0.33052,0.33151,0.33243,0.33304,0.33312,0.33481,0.33083,0.32629,0.3287,0.3306,0.33228,0.3335,0.33458,0.33551,0.33636,0.33729,0.33814,0.33783,0.33729,0.33799,0.34002,0.33783,0.31239,0.30967,0.31659,0.32374,0.32908,0.33197,0.33404,0.33574,0.33481,0.32999,0.33121,0.33304,0.33274,0.32953,0.32471,0.32181,0.31798,0.3106,0.3043
17.0,0.17294,0.14592,0.15599,0.16653,0.18698,0.20573,0.21777,0.2248,0.23025,0.23448,0.23763,0.23966,0.24066,0.24077,0.24033,0.23966,0.23911,0.23862,0.23829,0.23801,0.23774,0.23736,0.23966,0.23917,0.23856,0.23796,0.23708,0.23627,0.23534,0.23431,0.2334,0.23201,0.23067,0.23004,0.22935,0.22851,0.22772,0.22699,0.22631,0.22568,0.22527,0.22491,0.22372,0.22243,0.22162,0.2208,0.21968,0.21627,0.21449,0.21478,0.21513,0.21543,0.21513,0.21488,0.21459,0.21404,0.21252,0.21188,0.21188,0.21149,0.21018,0.20898,0.20831,0.20725,0.20559,0.20399
15.7,0.21787,0.15146,0.15321,0.1617,0.18459,0.21667,0.24541,0.26339,0.27925,0.29607,0.31333,0.32915,0.34253,0.35343,0.36141,0.36872,0.37662,0.38503,0.394,0.4029,0.41124,0.41937,0.43331,0.44127,0.44864,0.45593,0.46259,0.46892,0.47413,0.47863,0.48106,0.4761,0.47195,0.4815,0.48831,0.49522,0.50073,0.50536,0.50945,0.51286,0.51558,0.51761,0.51808,0.51892,0.52036,0.52048,0.51251,0.45604,0.44937,0.46602,0.4825,0.49568,0.50119,0.50489,0.50606,0.49694,0.48585,0.48674,0.48944,0.47775,0.45973,0.4473,0.45878,0.44957,0.42638,0.40133
12.7,0.25159,0.16975,0.17587,0.19015,0.22151,0.27139,0.32464,0.3527,0.37239,0.3921,0.412,0.43013,0.44443,0.45331,0.46238,0.46806,0.47534,0.4844,0.49408,0.5035,0.51133,0.51844,0.5293,0.53629,0.54225,0.54891,0.55475,0.5604,0.56468,0.56768,0.57266,0.55475,0.53753,0.55437,0.56507,0.57451,0.5813,0.58627,0.5902,0.5932,0.59553,0.59704,0.59607,0.5947,0.59566,0.59855,0.58157,0.4772,0.48128,0.50582,0.5293,0.54992,0.56066,0.56611,0.56859,0.55976,0.53815,0.5353,0.53827,0.52808,0.50687,0.49113,0.4934,0.47918,0.45238,0.42766
122.9,0.16838,0.11852,0.11366,0.1154,0.1228,0.13357,0.14514,0.15722,0.1712,0.1869,0.20483,0.22382,0.24244,0.25996,0.27842,0.29343,0.30761,0.32122,0.33427,0.3465,0.35768,0.36779,0.38054,0.38994,0.39737,0.40458,0.41134,0.41754,0.42286,0.42717,0.43231,0.42944,0.42364,0.42707,0.43222,0.43793,0.44238,0.44617,0.44978,0.45206,0.45258,0.45227,0.45279,0.45467,0.45719,0.46206,0.45973,0.41238,0.39646,0.41305,0.42756,0.43261,0.43043,0.42904,0.42737,0.42306,0.42306,0.42835,0.42082,0.41115,0.40644,0.40124,0.39875,0.39418,0.37888,0.36501
13.6,0.20621,0.12445,0.12575,0.13589,0.16649,0.20277,0.23259,0.25386,0.27454,0.29607,0.31901,0.33978,0.3562,0.36711,0.37446,0.38036,0.38708,0.39455,0.4029,0.41172,0.42053,0.42944,0.44259,0.45113,0.45846,0.46516,0.47054,0.47501,0.47819,0.48018,0.48006,0.4686,0.46238,0.47261,0.47874,0.48462,0.48876,0.49204,0.49488,0.49694,0.49854,0.49957,0.49911,0.49843,0.49888,0.49911,0.49125,0.42687,0.42579,0.4431,0.46015,0.4713,0.4761,0.47874,0.47973,0.46838,0.45363,0.461,0.46505,0.46142,0.45165,0.43974,0.42954,0.42218,0.40337,0.38931
31.8,0.16214,0.1024,0.09499,0.09568,0.10481,0.12439,0.1523,0.1729,0.19143,0.21193,0.23345,0.25299,0.26829,0.27919,0.28761,0.29621,0.30655,0.31842,0.33121,0.34395,0.35588,0.36694,0.38238,0.39246,0.40124,0.40907,0.41591,0.42199,0.42687,0.43092,0.43361,0.42983,0.42678,0.43192,0.43712,0.443,0.44771,0.45175,0.45562,0.45878,0.46089,0.46227,0.46302,0.46398,0.46602,0.46784,0.46452,0.41802,0.40253,0.41822,0.43381,0.44188,0.44381,0.44566,0.44679,0.44167,0.43212,0.44116,0.43974,0.43391,0.4253,0.41706,0.41305,0.40476,0.38779,0.37532
7.8,0.25521,0.15549,0.15831,0.17474,0.21262,0.25852,0.29971,0.32961,0.35785,0.38327,0.40654,0.42835,0.44607,0.45783,0.46462,0.47065,0.47731,0.48451,0.49204,0.49946,0.50652,0.51345,0.52336,0.52954,0.5353,0.54051,0.54475,0.5484,0.55119,0.55322,0.55284,0.54802,0.54752,0.55399,0.55744,0.56066,0.56325,0.5652,0.56715,0.56872,0.5703,0.57148,0.57148,0.57108,0.57135,0.5703,0.56715,0.53864,0.53703,0.54702,0.55565,0.56131,0.56351,0.56468,0.56533,0.55898,0.54576,0.55233,0.55616,0.55501,0.54828,0.54038,0.53604,0.53162,0.51928,0.51086
112.6,0.15506,0.09963,0.09687,0.10165,0.1158,0.13351,0.15101,0.16672,0.18647,0.20678,0.22563,0.2416,0.25468,0.26534,0.27422,0.28197,0.28967,0.29717,0.30472,0.3121,0.31923,0.32606,0.33705,0.34324,0.34882,0.35416,0.359,0.3635,0.36737,0.37068,0.37291,0.37334,0.37008,0.37213,0.37584,0.37975,0.38274,0.38548,0.38788,0.38976,0.39093,0.39156,0.39183,0.39219,0.39328,0.39409,0.39165,0.36333,0.35091,0.36099,0.37102,0.37688,0.37888,0.38072,0.38177,0.38194,0.3815,0.38221,0.37801,0.37239,0.3683,0.36408,0.36216,0.35686,0.34666,0.33605
5.5,0.22814,0.14986,0.15567,0.16885,0.21072,0.26485,0.30669,0.32757,0.34443,0.36308,0.38291,0.40244,0.41677,0.42423,0.42609,0.42904,0.43531,0.44392,0.45394,0.46473,0.47599,0.4882,0.50676,0.51988,0.53211,0.54325,0.55233,0.56014,0.56585,0.56977,0.56846,0.54891,0.54563,0.56715,0.5765,0.58425,0.58966,0.59375,0.59676,0.59924,0.60145,0.60284,0.602,0.60048,0.59938,0.59498,0.5793,0.49511,0.50793,0.52954,0.54777,0.56195,0.56754,0.56728,0.56611,0.54702,0.50188,0.523,0.53469,0.53186,0.51263,0.48854,0.47907,0.46516,0.44157,0.43072
10.8,0.19068,0.13253,0.13555,0.14521,0.16908,0.19395,0.21223,0.22641,0.23988,0.25276,0.26528,0.279,0.29215,0.30206,0.30704,0.31146,0.31747,0.32486,0.33258,0.33994,0.34682,0.35367,0.36534,0.3742,0.38309,0.39264,0.4017,0.41049,0.41812,0.42472,0.42934,0.42384,0.41706,0.43152,0.44076,0.44895,0.4553,0.46068,0.46537,0.46935,0.47272,0.47534,0.47599,0.47588,0.47687,0.47621,0.46602,0.3903,0.39591,0.4139,0.43152,0.44566,0.4529,0.45604,0.45783,0.45457,0.43321,0.43003,0.43421,0.43291,0.41966,0.40207,0.39902,0.38851,0.36974,0.35686
362.6,0.1135,0.07323,0.06739,0.06767,0.07224,0.07896,0.08718,0.09879,0.11358,0.12936,0.14581,0.16147,0.17583,0.18841,0.1993,0.2085,0.21677,0.22413,0.23089,0.2373,0.24344,0.24929,0.25823,0.26363,0.26853,0.2734,0.27823,0.28281,0.28701,0.29067,0.29349,0.29539,0.29228,0.2941,0.29833,0.30276,0.30627,0.30946,0.31268,0.31485,0.31637,0.31754,0.31857,0.32004,0.32188,0.32374,0.32278,0.29492,0.28635,0.29971,0.30917,0.3106,0.30761,0.30528,0.30367,0.30535,0.30924,0.31167,0.3057,0.3004,0.29785,0.29628,0.29689,0.29336,0.28281,0.27127
9.2,0.18497,0.11943,0.12048,0.12868,0.15973,0.19516,0.21767,0.23227,0.2466,0.26224,0.2788,0.29539,0.30903,0.31805,0.32211,0.32576,0.33144,0.33884,0.34738,0.35678,0.36644,0.3767,0.39283,0.40439,0.41495,0.4254,0.43441,0.44228,0.44833,0.45248,0.4529,0.43571,0.41986,0.43813,0.44957,0.45983,0.46687,0.47195,0.47566,0.47841,0.48051,0.48128,0.47973,0.47731,0.47665,0.4737,0.45593,0.34794,0.35571,0.3794,0.40327,0.42238,0.43261,0.43752,0.44015,0.43251,0.40813,0.40701,0.41543,0.41219,0.39719,0.37653,0.36417,0.34954,0.3281,0.3134
83.5,0.11327,0.06966,0.06628,0.06869,0.07795,0.09629,0.12014,0.13618,0.14983,0.16501,0.18093,0.19593,0.20816,0.21742,0.22459,0.23179,0.24038,0.25015,0.26086,0.27164,0.2819,0.29168,0.30535,0.31456,0.32278,0.33037,0.33682,0.34285,0.34738,0.35083,0.35108,0.34033,0.34403,0.35245,0.3581,0.364,0.36881,0.37282,0.37662,0.37949,0.38107,0.38203,0.38256,0.38353,0.38477,0.38557,0.38142,0.33381,0.32159,0.33713,0.35164,0.3581,0.35859,0.35867,0.3562,0.33281,0.32063,0.33939,0.33783,0.32779,0.31536,0.30627,0.29703,0.29181,0.27102,0.25674
455.8,0.08061,0.04238,0.03618,0.03594,0.03924,0.04421,0.05025,0.0597,0.07278,0.0881,0.1058,0.12388,0.14174,0.15856,0.17466,0.18789,0.20012,0.2112,0.22121,0.23062,0.23944,0.24774,0.25852,0.26601,0.27202,0.27791,0.28425,0.29,0.29505,0.29902,0.30047,0.29999,0.28867,0.28787,0.29309,0.29923,0.30318,0.30662,0.31017,0.31146,0.3101,0.30768,0.30768,0.30953,0.3111,0.31282,0.30931,0.26116,0.24457,0.26339,0.27733,0.27695,0.26965,0.26503,0.26212,0.26363,0.26922,0.2724,0.25805,0.24547,0.2416,0.23911,0.24021,0.23523,0.22105,0.20621
7.8,0.1885,0.1197,0.11863,0.12592,0.14484,0.18051,0.22341,0.24729,0.26467,0.28255,0.30075,0.31732,0.3309,0.34151,0.35059,0.35958,0.36991,0.38124,0.39292,0.4042,0.41429,0.42345,0.43762,0.44576,0.45258,0.45941,0.46526,0.47065,0.4749,0.47786,0.47918,0.46548,0.45321,0.46763,0.47698,0.48585,0.49261,0.49774,0.50176,0.50513,0.50793,0.51004,0.51004,0.50945,0.5105,0.51062,0.49488,0.40337,0.40495,0.42796,0.45123,0.47022,0.48073,0.48697,0.49046,0.48139,0.46174,0.46185,0.46817,0.4643,0.44833,0.42894,0.4256,0.41314,0.38878,0.36779
