epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.17732,0.17747,2.87,264,523,784,1043,1301,1561,1823,2080,2340,2601,2861,3119,3379,3638,3898
1,0,0,0.174,0.17412,2.93,264,523,784,1044,1301,1560,1824,2079,2339,2602,2862,3118,3378,3638,3898
2,0,0,0.17088,0.17097,2.98,265,522,784,1045,1300,1559,1825,2078,2339,2603,2863,3117,3377,3637,3898
3,0,0,0.16793,0.16799,3.04,265,522,783,1046,1300,1558,1826,2077,2338,2604,2863,3117,3377,3637,3897
4,0,0,0.16513,0.16517,3.09,265,521,783,1046,1299,1557,1827,2076,2338,2604,2864,3116,3376,3636,3897
5,0,0,0.16247,0.16249,3.14,265,521,783,1047,1298,1556,1828,2075,2338,2605,2865,3115,3375,3636,3897
6,0,0,0.15994,0.15993,3.2,266,521,783,1048,1298,1556,1829,2074,2338,2605,2866,3115,3375,3635,3896
7,0,0,0.15752,0.1575,3.28,266,521,783,1049,1297,1555,1830,2074,2339,2605,2867,3114,3374,3635,3896
8,0,0,0.15522,0.15518,3.33,266,520,784,1049,1297,1554,1831,2073,2339,2605,2868,3114,3373,3635,3896
9,0,0,0.15304,0.15298,3.38,266,520,784,1050,1296,1553,1832,2072,2340,2606,2869,3114,3373,3634,3896
10,0,0,0.15099,0.15091,3.43,266,520,784,1051,1296,1552,1833,2071,2340,2606,2869,3113,3372,3634,3895
11,0,0,0.14905,0.14896,3.54,267,519,784,1052,1296,1551,1834,2070,2340,2606,2870,3114,3371,3633,3895
12,0,0,0.14725,0.14713,3.59,267,519,785,1052,1295,1550,1835,2070,2340,2606,2871,3114,3371,3633,3895
13,0,0,0.14556,0.14543,3.64,267,519,785,1053,1295,1549,1836,2069,2339,2605,2871,3114,3370,3632,3894
14,0,0,0.144,0.14385,3.68,267,519,786,1054,1294,1548,1837,2068,2339,2605,2872,3115,3369,3632,3894
15,0,0,0.14255,0.14238,3.73,268,519,786,1054,1294,1548,1838,2068,2339,2605,2873,3115,3369,3632,3894
16,0,0,0.1412,0.14102,3.78,268,518,787,1055,1293,1547,1839,2067,2338,2605,2873,3116,3368,3631,3893
17,0,0,0.13997,0.13976,3.83,268,518,787,1056,1293,1546,1840,2067,2338,2605,2874,3116,3367,3631,3893
18,0,0,0.13884,0.13862,3.89,268,518,788,1056,1293,1545,1840,2067,2338,2604,2874,3116,3367,3630,3893
