epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,0.30735,0.30029,2.67,202,399,597,795,992,1192,1390,1588,1785,1983,2179,2379,2577,2774,2970,3168,3366,3564,3763,3960
1,0,0,0.3023,0.29514,2.71,202,399,597,794,992,1192,1390,1589,1786,1984,2178,2380,2578,2775,2969,3167,3365,3564,3763,3961
2,0,0,0.29732,0.29008,2.76,203,399,597,794,992,1193,1391,1590,1787,1985,2178,2380,2579,2776,2969,3167,3365,3563,3762,3961
3,0,0,0.29242,0.28508,2.81,203,398,597,793,992,1194,1392,1591,1788,1986,2178,2380,2580,2777,2968,3166,3364,3562,3762,3961
4,0,0,0.28763,0.2802,2.86,203,398,597,793,992,1194,1393,1592,1789,1987,2177,2380,2581,2777,2967,3165,3363,3562,3762,3961
5,0,0,0.28297,0.27545,2.92,203,398,598,794,992,1195,1393,1592,1790,1988,2177,2379,2582,2778,2966,3165,3363,3561,3761,3961
6,0,0,0.27842,0.27081,2.97,203,397,598,794,993,1196,1394,1593,1791,1989,2176,2379,2582,2778,2965,3164,3362,3561,3761,3962
7,0,0,0.27407,0.26636,3.02,204,397,598,794,994,1197,1395,1594,1792,1989,2176,2379,2583,2779,2964,3163,3361,3560,3760,3962
8,0,0,0.27029,0.26249,3.08,204,397,599,795,994,1198,1396,1595,1793,1990,2175,2379,2584,2779,2964,3163,3361,3560,3760,3962
9,0,0,0.26678,0.25891,3.13,204,397,599,795,995,1199,1396,1596,1794,1990,2175,2380,2585,2780,2963,3162,3360,3559,3760,3962
10,0,0,0.26344,0.25549,3.19,204,397,600,795,995,1199,1397,1597,1795,1990,2174,2380,2585,2780,2962,3162,3360,3559,3760,3962
11,0,0,0.26026,0.25224,3.25,204,397,600,796,996,1200,1397,1598,1796,1989,2173,2380,2586,2780,2961,3161,3359,3558,3760,3963
12,0,0,0.25726,0.24917,3.3,205,397,601,796,997,1201,1398,1599,1797,1989,2173,2380,2586,2781,2961,3161,3358,3558,3760,3963
13,0,0,0.25446,0.2463,3.35,205,397,601,796,998,1202,1399,1600,1798,1988,2172,2380,2587,2781,2960,3160,3358,3557,3760,3963
14,0,0,0.25184,0.24361,3.41,205,398,602,797,998,1203,1399,1601,1799,1988,2172,2380,2588,2781,2959,3160,3357,3557,3760,3963
15,0,0,0.2494,0.24111,3.47,205,398,603,797,999,1204,1399,1602,1800,1987,2171,2379,2588,2781,2959,3159,3356,3557,3761,3963
16,0,0,0.24711,0.23878,3.52,205,398,603,798,1000,1205,1400,1603,1801,1987,2170,2379,2589,2782,2958,3159,3356,3556,3761,3963
17,0,0,0.24496,0.23658,3.57,206,398,604,798,1001,1206,1401,1603,1802,1986,2170,2379,2589,2782,2958,3159,3355,3556,3761,3963
18,0,0,0.24291,0.2345,3.62,206,399,604,799,1002,1207,1401,1604,1803,1986,2169,2379,2589,2782,2957,3158,3354,3556,3761,3963
19,0,0,0.24094,0.23251,3.68,206,399,605,799,1002,1207,1402,1605,1804,1985,2169,2379,2590,2782,2957,3158,3354,3555,3761,3963
20,0,0,0.23903,0.23057,3.74,206,399,605,800,1003,1208,1402,1606,1805,1985,2168,2379,2590,2782,2956,3158,3353,3555,3761,3963
21,0,0,0.23717,0.22868,3.79,206,400,606,800,1004,1209,1403,1606,1806,1984,2168,2380,2591,2782,2956,3158,3353,3555,3761,3963
22,0,0,0.23533,0.22682,3.85,207,400,606,801,1005,1210,1404,1607,1807,1984,2167,2380,2591,2782,2956,3158,3352,3554,3761,3963
23,0,0,0.2335,0.22497,3.91,207,400,607,802,1005,1211,1404,1608,1808,1983,2167,2380,2592,2782,2955,3158,3351,3554,3761,3963
24,0,0,0.23169,0.22314,3.98,207,401,608,802,1006,1212,1404,1608,1808,1983,2167,2380,2592,2782,2955,3157,3351,3554,3761,3963
25,0,0,0.22989,0.22131,4.04,207,401,608,803,1007,1212,1405,1609,1809,1982,2166,2380,2592,2782,2955,3157,3350,3553,3761,3963
26,0,0,0.22807,0.21946,4.1,208,401,609,804,1007,1213,1405,1610,1810,1982,2166,2380,2593,2782,2954,3157,3349,3553,3761,3963
27,0,0,0.22625,0.2176,4.16,208,402,609,804,1008,1214,1406,1610,1810,1981,2166,2380,2593,2782,2954,3157,3349,3553,3761,3963
28,0,0,0.22442,0.21572,4.22,208,402,610,805,1009,1215,1406,1611,1811,1981,2165,2380,2593,2782,2954,3157,3348,3553,3760,3962
29,0,0,0.22256,0.21383,4.27,208,402,610,806,1009,1216,1406,1611,1812,1981,2165,2380,2593,2782,2953,3157,3347,3552,3760,3962
30,0,0,0.22068,0.2119,4.31,208,403,611,807,1010,1216,1407,1612,1812,1980,2165,2379,2594,2782,2953,3157,3347,3552,3760,3962
31,0,0,0.21878,0.20995,4.37,209,403,611,807,1010,1217,1407,1612,1813,1980,2164,2379,2594,2782,2953,3157,3346,3552,3760,3962
32,0,0,0.21686,0.20797,4.44,209,404,612,808,1011,1218,1407,1613,1813,1979,2164,2379,2594,2782,2952,3157,3346,3552,3759,3962
33,0,0,0.21491,0.20596,4.5,209,404,612,809,1011,1219,1408,1613,1813,1979,2164,2379,2594,2781,2952,3157,3345,3552,3759,3961
34,0,0,0.21293,0.20392,4.55,209,404,613,810,1012,1219,1408,1613,1814,1978,2164,2379,2594,2781,2952,3157,3344,3552,3759,3961
35,0,0,0.21093,0.20186,4.62,209,405,613,811,1012,1220,1408,1614,1814,1978,2164,2379,2594,2781,2951,3157,3344,3551,3758,3961
36,0,0,0.2089,0.19977,4.68,210,405,614,811,1013,1221,1409,1614,1814,1977,2163,2379,2594,2781,2951,3157,3343,3551,3758,3961
37,0,0,0.20684,0.19765,4.74,210,406,614,812,1013,1222,1409,1615,1815,1977,2163,2379,2594,2781,2951,3157,3342,3551,3757,3960
38,0,0,0.20476,0.19551,4.8,210,406,615,813,1014,1222,1409,1615,1815,1976,2163,2379,2595,2781,2950,3157,3342,3551,3757,3960
39,0,0,0.20266,0.19333,4.86,210,406,616,814,1014,1223,1410,1615,1815,1976,2163,2379,2595,2781,2950,3157,3341,3551,3757,3960
40,0,0,0.20054,0.19114,4.91,211,407,616,815,1015,1224,1410,1616,1815,1975,2163,2380,2595,2780,2950,3157,3340,3551,3756,3960
41,0,0,0.1984,0.18892,4.97,211,407,617,815,1015,1224,1410,1616,1816,1975,2163,2380,2595,2780,2950,3157,3340,3550,3756,3959
42,0,0,0.19624,0.18669,5.01,211,408,617,816,1016,1225,1410,1616,1816,1974,2162,2380,2595,2780,2949,3158,3339,3550,3756,3959
43,0,0,0.19407,0.18444,5.06,211,408,618,817,1016,1226,1411,1617,1816,1973,2162,2380,2595,2780,2949,3158,3339,3550,3755,3959
44,0,0,0.19189,0.18218,5.11,211,408,618,818,1017,1226,1411,1617,1816,1973,2162,2380,2594,2780,2949,3158,3338,3550,3755,3959
45,0,0,0.18969,0.1799,5.16,212,409,619,819,1017,1227,1411,1617,1816,1972,2162,2380,2594,2780,2948,3158,3337,3550,3754,3958
46,0,0,0.18749,0.17761,5.22,212,409,619,820,1018,1228,1412,1618,1817,1971,2162,2380,2594,2779,2948,3158,3337,3550,3754,3958
47,0,0,0.18528,0.17531,5.27,212,410,620,820,1018,1228,1412,1618,1817,1971,2162,2379,2594,2779,2948,3158,3336,3549,3753,3958
48,0,0,0.18306,0.17299,5.33,212,410,620,821,1019,1229,1412,1618,1817,1970,2162,2379,2594,2779,2948,3158,3335,3549,3753,3958
49,0,0,0.18083,0.17066,5.39,212,411,621,822,1019,1230,1413,1618,1817,1969,2162,2379,2594,2779,2947,3159,3335,3549,3753,3957
50,0,0,0.17859,0.16833,5.43,213,411,622,823,1020,1231,1413,1619,1817,1969,2162,2379,2594,2779,2947,3159,3334,3549,3752,3957
51,0,0,0.17637,0.166,5.48,213,411,622,824,1020,1231,1413,1619,1817,1968,2162,2379,2594,2778,2947,3159,3333,3549,3752,3957
52,0,0,0.17417,0.16369,5.53,213,412,623,825,1021,1232,1414,1619,1817,1967,2162,2379,2594,2778,2947,3159,3333,3549,3751,3957
53,0,0,0.17203,0.16143,5.59,213,412,623,826,1021,1233,1414,1619,1818,1967,2162,2379,2594,2778,2947,3160,3332,3548,3751,3956
54,0,0,0.16996,0.15925,5.65,214,413,624,826,1022,1233,1414,1619,1818,1966,2162,2379,2594,2778,2946,3160,3331,3548,3750,3956
55,0,0,0.16801,0.15719,5.72,214,413,624,827,1022,1234,1415,1619,1818,1966,2162,2379,2594,2778,2946,3160,3331,3548,3750,3956
56,0,0,0.16621,0.15529,5.77,214,413,625,828,1023,1235,1415,1620,1818,1965,2162,2380,2594,2778,2946,3161,3330,3548,3750,3955
57,0,0,0.16459,0.15356,5.82,214,414,625,829,1024,1236,1416,1620,1818,1965,2162,2380,2594,2777,2946,3161,3329,3548,3749,3955
58,0,0,0.1632,0.15207,5.86,214,414,626,830,1024,1236,1416,1620,1818,1964,2162,2380,2594,2777,2946,3162,3329,3547,3749,3955
59,0,0,0.16206,0.15085,5.91,215,415,627,831,1025,1237,1416,1620,1819,1964,2162,2380,2594,2777,2945,3162,3328,3547,3748,3954
60,0,0,0.16117,0.14991,5.97,215,415,627,832,1026,1238,1417,1620,1819,1963,2162,2380,2594,2777,2945,3162,3327,3547,3748,3954
61,0,0,0.16052,0.14926,6.02,215,416,628,833,1026,1239,1417,1620,1819,1963,2163,2380,2594,2777,2945,3163,3327,3547,3748,3954
62,0,0,0.16011,0.14885,6.07,215,416,628,833,1027,1240,1417,1621,1819,1963,2163,2380,2594,2776,2945,3163,3326,3547,3747,3954
63,0,0,0.1599,0.14865,6.12,216,416,629,834,1028,1240,1418,1621,1819,1963,2163,2380,2594,2776,2945,3163,3325,3547,3747,3953
64,0,0,0.15983,0.14863,6.17,216,417,629,835,1028,1241,1418,1621,1820,1963,2163,2380,2594,2776,2945,3164,3324,3546,3747,3953
65,0,0,0.15987,0.14871,6.23,216,417,630,836,1029,1242,1419,1621,1820,1963,2163,2380,2594,2776,2945,3164,3324,3546,3746,3953
66,0,0,0.15995,0.14883,6.28,216,417,630,837,1030,1243,1419,1621,1820,1964,2163,2380,2593,2776,2945,3164,3323,3546,3746,3953
67,0,0,0.16002,0.14895,6.33,216,418,630,838,1031,1244,1419,1621,1820,1964,2163,2380,2593,2775,2945,3165,3322,3546,3746,3953
68,0,0,0.16005,0.14901,6.38,216,418,631,839,1032,1244,1419,1622,1821,1965,2163,2380,2593,2775,2944,3165,3321,3546,3746,3952
69,0,0,0.16003,0.14901,6.44,217,418,631,840,1032,1245,1420,1622,1821,1965,2163,2380,2592,2775,2944,3165,3320,3546,3746,3952
70,0,0,0.15993,0.14892,6.48,217,418,632,841,1033,1246,1420,1622,1821,1966,2163,2380,2592,2775,2944,3165,3320,3546,3745,3952
71,0,0,0.15976,0.14876,6.53,217,419,632,842,1034,1247,1420,1622,1821,1967,2163,2380,2591,2774,2944,3165,3319,3546,3745,3952
72,0,0,0.15954,0.14853,6.58,217,419,633,843,1035,1247,1420,1623,1822,1968,2163,2380,2591,2774,2944,3165,3318,3546,3745,3952
73,0,0,0.15926,0.14824,6.63,217,419,633,844,1036,1248,1421,1623,1822,1969,2163,2380,2590,2774,2944,3165,3317,3546,3745,3952
74,0,0,0.15896,0.14792,6.69,217,419,633,844,1036,1249,1421,1623,1822,1970,2163,2381,2590,2774,2944,3165,3316,3546,3745,3952
75,0,0,0.15864,0.14757,6.74,218,420,634,845,1037,1250,1421,1624,1822,1971,2163,2381,2589,2773,2944,3165,3316,3546,3745,3952
76,0,0,0.15831,0.14723,6.8,218,420,634,846,1038,1251,1421,1624,1823,1972,2163,2381,2588,2773,2944,3165,3315,3546,3745,3952
77,0,0,0.15799,0.14689,6.85,218,420,634,847,1039,1251,1421,1624,1823,1973,2163,2381,2588,2773,2944,3165,3314,3547,3745,3952
78,0,0,0.15768,0.14657,6.9,218,420,635,848,1039,1252,1422,1625,1823,1974,2163,2381,2587,2773,2944,3165,3313,3547,3745,3951
79,0,0,0.1574,0.14627,6.95,218,420,635,849,1040,1253,1422,1625,1823,1975,2163,2381,2586,2772,2944,3165,3312,3547,3745,3951
80,0,0,0.15714,0.14599,6.99,218,420,636,850,1041,1254,1422,1626,1824,1976,2163,2381,2586,2772,2944,3165,3311,3547,3745,3951
81,0,0,0.15689,0.14574,7.05,218,421,636,851,1042,1254,1422,1626,1824,1978,2163,2382,2585,2772,2944,3165,3310,3547,3745,3951
82,0,0,0.15667,0.14551,7.1,219,421,636,852,1043,1255,1423,1627,1824,1979,2163,2382,2584,2772,2944,3165,3310,3547,3745,3951
83,0,0,0.15646,0.14529,7.16,219,421,637,853,1043,1256,1423,1627,1824,1980,2163,2382,2584,2771,2944,3165,3309,3547,3745,3951
84,0,0,0.15626,0.1451,7.23,219,421,637,854,1044,1257,1423,1627,1825,1981,2163,2382,2583,2771,2944,3165,3308,3547,3745,3951
85,0,0,0.15607,0.14491,7.29,219,421,637,855,1045,1258,1423,1628,1825,1982,2163,2382,2582,2771,2944,3164,3307,3547,3745,3951
86,0,0,0.15588,0.14473,7.34,219,422,638,855,1046,1258,1423,1628,1825,1983,2163,2382,2582,2771,2944,3164,3306,3547,3745,3951
87,0,0,0.1557,0.14455,7.4,219,422,638,856,1046,1259,1424,1629,1826,1984,2163,2382,2581,2770,2944,3164,3305,3547,3745,3951
88,0,0,0.1555,0.14437,7.46,219,422,639,857,1047,1260,1424,1629,1826,1985,2163,2382,2580,2770,2944,3164,3305,3547,3745,3951
89,0,0,0.15531,0.14417,7.53,220,422,639,858,1048,1261,1424,1629,1827,1986,2163,2382,2580,2770,2944,3164,3304,3547,3745,3951
90,0,0,0.15509,0.14396,7.59,220,423,639,859,1049,1261,1424,1630,1827,1987,2163,2382,2579,2770,2944,3164,3303,3547,3745,3951
91,0,0,0.15487,0.14374,7.65,220,423,640,860,1049,1262,1424,1630,1827,1988,2163,2382,2578,2769,2944,3164,3302,3547,3745,3951
92,0,0,0.15462,0.14349,7.71,220,423,640,860,1050,1263,1425,1630,1828,1989,2163,2382,2578,2769,2944,3164,3301,3547,3745,3950
93,0,0,0.15436,0.14323,7.77,220,423,641,861,1051,1264,1425,1631,1828,1990,2163,2383,2577,2769,2944,3164,3301,3547,3745,3950
94,0,0,0.15408,0.14294,7.83,220,424,641,862,1051,1265,1425,1631,1829,1991,2163,2383,2577,2769,2944,3164,3300,3547,3745,3950
95,0,0,0.15379,0.14265,7.91,221,424,642,863,1052,1265,1425,1631,1829,1992,2163,2383,2576,2768,2944,3164,3299,3547,3745,3950
96,0,0,0.15349,0.14234,7.96,221,424,642,864,1053,1266,1426,1632,1830,1993,2163,2383,2576,2768,2944,3164,3298,3547,3745,3950
97,0,0,0.15318,0.14203,8.02,221,424,642,864,1053,1267,1426,1632,1830,1994,2163,2383,2575,2768,2944,3164,3298,3547,3745,3950
98,0,0,0.15289,0.14174,8.09,221,425,643,865,1054,1268,1426,1632,1831,1994,2163,2383,2575,2768,2944,3164,3297,3547,3745,3950
99,0,0,0.15263,0.14147,8.14,221,425,643,866,1055,1268,1426,1633,1831,1995,2163,2383,2574,2767,2944,3164,3296,3547,3745,3950
100,0,0,0.1524,0.14124,8.2,222,425,644,867,1055,1269,1427,1633,1832,1996,2163,2383,2574,2767,2944,3164,3295,3547,3745,3950
101,0,0,0.1522,0.14104,8.26,222,425,644,868,1056,1270,1427,1633,1832,1996,2163,2384,2573,2767,2944,3164,3295,3547,3745,3949
102,0,0,0.15202,0.14087,8.32,222,426,645,868,1056,1271,1427,1634,1833,1997,2163,2384,2572,2766,2944,3164,3294,3547,3745,3949
103,0,0,0.15186,0.14072,8.39,222,426,645,869,1057,1271,1427,1634,1833,1998,2163,2384,2572,2766,2944,3164,3293,3547,3745,3949
104,0,0,0.15173,0.1406,8.45,222,426,646,870,1058,1272,1428,1634,1834,1999,2163,2384,2572,2766,2944,3164,3292,3547,3745,3949
105,0,0,0.15161,0.14048,8.51,223,427,646,871,1058,1273,1428,1635,1834,1999,2163,2384,2571,2766,2944,3164,3292,3547,3745,3949
106,0,0,0.1515,0.14039,8.56,223,427,646,871,1059,1274,1428,1635,1835,2000,2163,2384,2571,2766,2944,3164,3291,3547,3744,3949
107,0,0,0.15141,0.14031,8.62,223,427,647,872,1060,1275,1428,1635,1835,2001,2163,2384,2570,2765,2944,3164,3290,3547,3744,3949
