epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.19627,0.12422,1.2,357,712,1065,1420,1775
1,0,0,0.19475,0.12201,1.21,357,712,1065,1419,1774
2,0,0,0.19326,0.11981,1.23,358,713,1064,1419,1774
3,0,0,0.19179,0.11762,1.24,358,713,1064,1418,1774
4,0,0,0.19034,0.11543,1.25,358,714,1064,1418,1773
5,0,0,0.18891,0.11326,1.27,358,714,1065,1418,1773
6,0,0,0.18751,0.1111,1.28,359,715,1065,1417,1773
7,0,0,0.18613,0.10895,1.29,359,715,1065,1417,1772
8,0,0,0.18479,0.10682,1.31,359,715,1065,1416,1772
9,0,0,0.18347,0.1047,1.32,360,716,1065,1416,1772
10,0,0,0.18218,0.10261,1.34,360,716,1065,1415,1772
11,0,0,0.18093,0.10054,1.35,360,716,1065,1415,1771
12,0,0,0.17971,0.0985,1.36,361,717,1065,1414,1771
13,0,0,0.17852,0.09649,1.38,361,717,1065,1414,1771
14,0,0,0.17737,0.0945,1.39,361,718,1065,1413,1770
15,0,0,0.17626,0.09256,1.4,362,718,1065,1413,1770
16,0,0,0.17518,0.09064,1.42,362,718,1065,1412,1770
17,0,0,0.17415,0.08877,1.43,362,718,1065,1412,1769
18,0,0,0.17315,0.08694,1.45,362,719,1065,1412,1769
19,0,0,0.17219,0.08515,1.47,363,719,1065,1412,1769
20,0.00445,0,0.17127,0.0834,1.48,363,720,1065,1411,1768
21,0.01461,0,0.1704,0.08171,1.5,363,720,1065,1411,1768
22,0.02425,0,0.16956,0.08006,1.52,364,720,1065,1411,1768
23,0.03337,0,0.16877,0.07847,1.53,364,721,1065,1411,1768
24,0.04197,0,0.16801,0.07694,1.55,364,721,1065,1411,1767
25,0.05007,0,0.1673,0.07546,1.57,364,722,1065,1411,1767
26,0.05768,0,0.16663,0.07405,1.59,365,722,1065,1411,1767
27,0.0648,0,0.166,0.07269,1.61,365,722,1065,1411,1766
28,0.07145,0,0.16541,0.0714,1.62,365,723,1065,1411,1766
29,0.07781,0,0.16484,0.07017,1.64,365,723,1065,1410,1766
30,0.0838,0,0.16431,0.069,1.65,366,723,1065,1410,1765
31,0.08969,0,0.16378,0.06775,1.67,366,724,1065,1410,1765
32,0.09547,0.03167,0.16326,0.06657,1.68,366,724,1065,1410,1765
33,0.10105,0.06396,0.16275,0.06545,1.7,367,724,1065,1410,1764
34,0.10659,0.09389,0.16225,0.0644,1.72,367,725,1065,1410,1764
35,0.11185,0.12148,0.16177,0.06341,1.74,367,725,1065,1410,1764
36,0.117,0.1468,0.1613,0.06249,1.76,368,725,1065,1409,1763
37,0.12217,0.16989,0.16083,0.06164,1.77,368,725,1065,1409,1763
38,0.1273,0.19081,0.16036,0.06086,1.78,368,726,1065,1409,1763
39,0.13209,0.2128,0.15992,0.06002,1.8,368,726,1065,1409,1762
40,0.13646,0.23958,0.15951,0.05899,1.82,369,726,1065,1409,1762
41,0.14041,0.26475,0.15915,0.05801,1.83,369,726,1065,1409,1762
42,0.14394,0.28442,0.15882,0.05723,1.85,369,726,1065,1408,1761
43,0.1468,0.2972,0.15856,0.05671,1.87,370,727,1065,1408,1761
44,0.14879,0.30749,0.15837,0.0563,1.88,370,727,1065,1407,1761
45,0.15038,0.31548,0.15822,0.05597,1.9,370,727,1065,1407,1760
46,0.15165,0.32146,0.15811,0.05573,1.92,370,728,1065,1407,1760
47,0.15266,0.32575,0.15801,0.05555,1.93,371,728,1065,1406,1760
48,0.15264,0.32865,0.15801,0.05543,1.94,371,728,1065,1406,1759
49,0.15247,0.33049,0.15803,0.05535,1.96,371,729,1065,1405,1759
50,0.15236,0.33167,0.15804,0.05531,1.98,371,729,1065,1405,1759
51,0.15235,0.33249,0.15804,0.05527,1.99,372,729,1065,1405,1759
52,0.15249,0.33319,0.15803,0.05524,2.01,372,729,1065,1404,1758
53,0.15281,0.33396,0.158,0.05521,2.03,372,730,1066,1404,1758
54,0.15331,0.33491,0.15795,0.05517,2.04,372,730,1066,1403,1758
55,0.154,0.33609,0.15789,0.05512,2.06,373,730,1066,1403,1757
56,0.15487,0.33752,0.1578,0.05506,2.08,373,730,1066,1402,1757
57,0.15591,0.33915,0.15771,0.055,2.09,373,730,1066,1402,1757
58,0.1571,0.34093,0.1576,0.05492,2.11,373,730,1066,1401,1756
59,0.15842,0.34279,0.15747,0.05484,2.12,374,730,1066,1401,1756
60,0.15984,0.34467,0.15734,0.05477,2.13,374,730,1066,1400,1756
61,0.16134,0.34648,0.1572,0.05469,2.15,374,731,1066,1400,1755
62,0.16291,0.34814,0.15705,0.05462,2.16,374,731,1065,1399,1755
63,0.16451,0.3496,0.1569,0.05456,2.17,374,731,1065,1399,1755
64,0.1661,0.3508,0.15675,0.05451,2.19,375,731,1065,1398,1754
65,0.16714,0.35173,0.15666,0.05447,2.2,375,731,1065,1398,1754
66,0.16817,0.35244,0.15656,0.05444,2.22,375,731,1065,1397,1754
67,0.16921,0.35296,0.15646,0.05442,2.23,375,731,1065,1397,1753
68,0.17025,0.35337,0.15636,0.0544,2.24,376,731,1065,1396,1753
69,0.1713,0.35368,0.15626,0.05439,2.26,376,731,1065,1396,1753
70,0.17237,0.35395,0.15616,0.05438,2.27,376,731,1065,1395,1752
71,0.17345,0.35418,0.15606,0.05437,2.29,376,731,1065,1395,1752
72,0.17455,0.35443,0.15596,0.05436,2.31,377,731,1065,1394,1752
73,0.17567,0.35473,0.15585,0.05434,2.32,377,731,1065,1394,1751
74,0.17681,0.35514,0.15574,0.05433,2.34,377,731,1065,1393,1751
75,0.17797,0.35565,0.15563,0.0543,2.35,377,731,1065,1393,1751
76,0.17916,0.35626,0.15552,0.05428,2.36,378,731,1065,1392,1750
77,0.18037,0.35697,0.15541,0.05425,2.38,378,731,1065,1391,1750
78,0.1816,0.35779,0.15529,0.05421,2.39,378,731,1065,1391,1750
79,0.18285,0.35874,0.15517,0.05417,2.4,378,731,1065,1390,1749
80,0.18413,0.35981,0.15505,0.05413,2.42,378,731,1065,1390,1749
81,0.18542,0.36096,0.15493,0.05408,2.43,379,731,1065,1389,1749
82,0.18673,0.36219,0.1548,0.05403,2.45,379,731,1065,1388,1748
83,0.18805,0.36349,0.15468,0.05397,2.46,379,731,1065,1388,1748
84,0.18938,0.36484,0.15455,0.05392,2.47,380,731,1065,1387,1748
85,0.19072,0.36624,0.15442,0.05386,2.49,380,731,1065,1386,1747
86,0.19191,0.36768,0.15431,0.0538,2.5,380,731,1065,1386,1747
87,0.19299,0.36884,0.1542,0.05375,2.52,380,731,1065,1385,1747
88,0.19414,0.36975,0.15409,0.05371,2.53,381,731,1065,1384,1746
89,0.19536,0.37041,0.15398,0.05368,2.54,381,731,1065,1384,1746
90,0.19663,0.37086,0.15386,0.05366,2.56,381,731,1065,1383,1746
91,0.19796,0.37108,0.15373,0.05365,2.57,381,731,1065,1382,1745
92,0.19934,0.37107,0.1536,0.05365,2.59,382,731,1065,1382,1745
93,0.20066,0.37084,0.15347,0.05366,2.61,382,731,1065,1381,1745
94,0.20184,0.37076,0.15336,0.05366,2.62,382,731,1065,1381,1744
95,0.20305,0.37085,0.15324,0.05366,2.64,382,731,1065,1380,1744
96,0.20428,0.37112,0.15312,0.05365,2.65,383,731,1065,1380,1744
97,0.20555,0.37157,0.153,0.05363,2.67,383,731,1065,1379,1743
98,0.20685,0.37219,0.15288,0.0536,2.69,383,731,1065,1379,1743
99,0.20816,0.37298,0.15275,0.05357,2.7,384,731,1065,1378,1743
100,0.2095,0.37391,0.15262,0.05353,2.72,384,731,1065,1377,1742
101,0.21082,0.37494,0.15249,0.05349,2.74,384,731,1065,1377,1742
102,0.21205,0.37563,0.15237,0.05346,2.76,384,731,1065,1376,1742
103,0.21334,0.37601,0.15225,0.05344,2.77,385,731,1065,1376,1741
104,0.21469,0.37608,0.15212,0.05344,2.79,385,731,1065,1376,1741
105,0.21596,0.37633,0.15199,0.05343,2.8,385,731,1065,1375,1741
106,0.21726,0.37675,0.15187,0.05341,2.82,386,731,1065,1375,1740
107,0.21853,0.37731,0.15174,0.05338,2.83,386,731,1065,1375,1740
108,0.21984,0.37749,0.15162,0.05338,2.85,386,731,1065,1374,1740
109,0.22111,0.37732,0.15149,0.05338,2.86,386,731,1065,1374,1739
110,0.22239,0.37735,0.15137,0.05338,2.88,387,731,1065,1374,1739
111,0.22369,0.37755,0.15124,0.05337,2.9,387,731,1065,1374,1739
112,0.22502,0.37793,0.15111,0.05336,2.92,387,731,1065,1374,1738
113,0.22636,0.37845,0.15098,0.05334,2.93,388,731,1065,1373,1738
114,0.22759,0.37911,0.15086,0.05331,2.94,388,731,1065,1373,1738
115,0.22888,0.37929,0.15074,0.0533,2.96,388,731,1065,1373,1737
116,0.23024,0.37903,0.1506,0.05331,2.97,388,731,1065,1372,1737
117,0.23157,0.37833,0.15047,0.05334,2.99,389,731,1065,1372,1737
118,0.23285,0.37783,0.15035,0.05336,3.0,389,731,1065,1372,1736
119,0.23415,0.37753,0.15022,0.05337,3.01,389,731,1065,1371,1736
120,0.23548,0.37743,0.15009,0.05338,3.03,390,731,1065,1371,1736
121,0.23682,0.37749,0.14996,0.05338,3.04,390,731,1065,1370,1735
122,0.23817,0.37771,0.14983,0.05337,3.06,390,731,1065,1370,1735
123,0.23942,0.37807,0.1497,0.05335,3.07,391,731,1065,1370,1735
124,0.24072,0.37786,0.14958,0.05336,3.09,391,731,1065,1369,1734
125,0.24209,0.37708,0.14944,0.05339,3.11,391,731,1065,1369,1734
126,0.24339,0.37576,0.14931,0.05345,3.12,391,731,1065,1368,1734
127,0.24467,0.37465,0.14919,0.0535,3.14,392,731,1065,1368,1733
128,0.24596,0.37375,0.14906,0.05354,3.16,392,731,1065,1368,1733
129,0.24728,0.37307,0.14893,0.05357,3.18,392,731,1065,1367,1733
