epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.31978,0.28101,1.12,195,389,582,776,969,1163,1356,1549,1742,1936
1,0,0,0.31668,0.27815,1.14,195,390,581,776,968,1164,1357,1548,1742,1936
2,0,0,0.31365,0.27536,1.17,195,390,581,776,968,1164,1357,1548,1742,1936
3,0,0,0.31069,0.27261,1.19,195,390,581,776,968,1164,1357,1548,1741,1935
4,0,0,0.3078,0.26994,1.21,195,391,580,776,968,1164,1357,1547,1741,1935
5,0,0,0.30497,0.26733,1.24,195,391,580,776,968,1164,1357,1547,1741,1935
6,0,0,0.3022,0.26478,1.26,195,391,580,776,969,1163,1357,1546,1740,1935
7,0,0,0.2995,0.26228,1.28,194,391,579,776,969,1163,1357,1546,1740,1935
8,0,0,0.29684,0.25984,1.31,194,392,579,776,969,1163,1357,1545,1740,1935
9,0,0,0.29424,0.25744,1.33,194,392,579,776,969,1163,1357,1545,1739,1935
10,0,0,0.29169,0.25507,1.35,194,392,579,776,969,1163,1357,1545,1739,1935
11,0,0,0.28919,0.25277,1.38,194,393,579,776,969,1164,1357,1544,1739,1935
12,0,0,0.28674,0.25052,1.4,195,393,579,776,968,1164,1356,1544,1739,1935
13,0,0,0.28438,0.24829,1.44,195,393,578,776,968,1164,1357,1543,1738,1935
14,0,0,0.28209,0.2461,1.46,195,394,578,776,968,1164,1357,1543,1738,1935
15,0,0,0.27986,0.24409,1.49,195,394,578,776,968,1164,1357,1542,1738,1935
16,0,0,0.27769,0.24216,1.51,195,394,578,776,968,1164,1357,1542,1738,1935
17,0,0,0.27556,0.24026,1.53,195,394,578,776,969,1163,1357,1542,1737,1935
18,0,0,0.27345,0.23835,1.56,195,394,578,776,969,1163,1357,1541,1737,1935
19,0,0,0.27139,0.23644,1.58,195,394,578,776,969,1163,1357,1541,1737,1936
20,0,0,0.26934,0.23456,1.6,195,393,578,776,969,1163,1357,1541,1737,1936
