epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,0.40503,0.51633,2.07,202,400,597,796,992,1190,1390,1586,1785,1981,2179,2377,2577,2772,2970,3168,3366,3564,3762,3960
1,0,0,0.40001,0.51207,2.11,202,401,597,797,992,1189,1389,1585,1785,1980,2178,2377,2577,2772,2969,3168,3366,3564,3762,3960
2,0,0,0.39511,0.50791,2.15,203,401,596,797,991,1189,1389,1585,1784,1979,2178,2378,2577,2771,2969,3167,3365,3563,3761,3960
3,0,0,0.39026,0.50386,2.19,203,401,596,798,990,1188,1389,1585,1784,1978,2177,2378,2576,2770,2968,3167,3365,3562,3761,3959
4,0,0,0.38548,0.49987,2.24,203,402,595,798,990,1187,1389,1585,1784,1977,2177,2378,2576,2770,2967,3167,3365,3562,3760,3959
5,0,0,0.38076,0.49591,2.28,203,402,595,799,989,1187,1388,1585,1784,1976,2177,2378,2576,2770,2966,3168,3365,3561,3760,3959
6,0,0,0.37609,0.49201,2.32,203,402,595,800,989,1186,1388,1585,1784,1975,2177,2377,2577,2770,2965,3168,3364,3561,3760,3959
7,0,0,0.37148,0.48816,2.36,204,403,594,800,988,1185,1388,1585,1784,1974,2176,2377,2577,2771,2964,3168,3364,3560,3759,3958
8,0,0,0.3669,0.48426,2.4,204,403,594,801,987,1185,1387,1586,1785,1973,2176,2377,2577,2771,2964,3168,3363,3560,3759,3958
9,0,0,0.36239,0.4804,2.45,204,403,593,802,987,1184,1387,1586,1785,1972,2176,2377,2576,2772,2963,3168,3363,3559,3759,3958
10,0,0,0.35784,0.47644,2.49,204,404,593,802,986,1184,1386,1586,1785,1971,2176,2377,2576,2773,2962,3168,3363,3559,3758,3958
11,0,0,0.35331,0.47242,2.53,204,404,592,803,986,1183,1385,1587,1785,1970,2176,2378,2577,2773,2961,3167,3362,3558,3758,3957
12,0,0,0.3488,0.46848,2.57,205,404,592,803,985,1182,1384,1587,1785,1969,2176,2378,2577,2773,2960,3167,3362,3557,3758,3957
13,0,0,0.34438,0.46465,2.61,205,405,592,804,985,1182,1384,1587,1785,1968,2176,2378,2577,2773,2959,3167,3362,3557,3757,3957
14,0,0,0.34008,0.46094,2.65,205,405,591,805,984,1181,1383,1588,1784,1967,2176,2378,2577,2772,2958,3168,3362,3556,3757,3957
15,0,0,0.3359,0.45731,2.69,205,405,591,805,984,1181,1382,1588,1784,1966,2176,2377,2576,2772,2957,3168,3362,3556,3756,3957
16,0,0,0.33195,0.45384,2.74,205,406,590,806,983,1181,1381,1588,1784,1965,2176,2377,2576,2772,2956,3168,3361,3555,3756,3956
17,0,0,0.32853,0.4505,2.78,205,406,590,807,983,1180,1381,1589,1784,1964,2176,2377,2577,2772,2955,3168,3361,3555,3756,3956
18,0,0,0.32598,0.44777,2.82,206,406,590,807,983,1180,1380,1589,1784,1963,2176,2377,2577,2772,2955,3168,3360,3554,3755,3956
19,0,0,0.32409,0.44581,2.86,206,406,589,808,982,1180,1379,1589,1785,1962,2176,2377,2577,2773,2954,3168,3360,3553,3755,3956
20,0,0,0.32251,0.44401,2.9,206,407,589,808,982,1179,1379,1590,1785,1961,2176,2377,2577,2773,2953,3168,3359,3553,3755,3955
21,0,0,0.321,0.44221,2.94,206,407,589,809,982,1179,1378,1590,1785,1960,2176,2377,2576,2773,2953,3168,3359,3552,3754,3955
22,0,0,0.31944,0.4405,2.99,206,407,589,809,982,1179,1378,1590,1785,1959,2176,2376,2576,2773,2952,3167,3359,3552,3754,3955
23,0,0,0.31786,0.43879,3.03,206,407,589,809,982,1179,1377,1591,1785,1959,2176,2376,2576,2773,2952,3167,3358,3552,3754,3955
24,0,0,0.31621,0.43702,3.07,206,408,589,809,982,1179,1377,1591,1784,1958,2177,2376,2576,2774,2952,3167,3358,3551,3754,3954
25,0,0,0.31452,0.43525,3.11,207,408,589,810,982,1179,1377,1591,1784,1958,2177,2375,2575,2774,2952,3166,3358,3551,3754,3954
26,0,0,0.31277,0.43342,3.15,207,408,589,810,982,1179,1376,1592,1784,1957,2177,2375,2575,2774,2951,3166,3357,3550,3753,3954
27,0,0,0.31088,0.43147,3.19,207,408,589,810,982,1179,1376,1592,1784,1957,2177,2375,2575,2773,2951,3165,3357,3550,3753,3954
28,0,0,0.30877,0.42943,3.24,207,408,589,810,983,1179,1377,1592,1784,1957,2176,2375,2574,2773,2951,3165,3357,3550,3753,3954
29,0,0,0.30654,0.42721,3.28,207,408,589,811,983,1179,1377,1592,1785,1956,2176,2375,2574,2773,2951,3165,3356,3550,3753,3953
30,0,0,0.30422,0.42498,3.32,207,408,589,811,983,1179,1377,1593,1785,1956,2176,2375,2573,2773,2951,3165,3356,3549,3753,3953
31,0,0,0.30182,0.42274,3.36,208,408,589,811,983,1179,1377,1593,1785,1956,2176,2376,2573,2773,2951,3164,3355,3549,3753,3953
32,0,0,0.29937,0.42048,3.4,208,408,589,811,983,1179,1377,1593,1785,1956,2176,2376,2572,2773,2951,3164,3355,3549,3752,3953
33,0,0,0.29683,0.41819,3.45,208,408,589,811,984,1179,1378,1594,1785,1955,2176,2376,2572,2772,2951,3163,3355,3549,3752,3952
34,0,0,0.2942,0.4158,3.49,208,408,589,811,984,1179,1378,1594,1785,1955,2176,2376,2571,2772,2951,3163,3354,3548,3752,3952
35,0,0,0.29142,0.41333,3.53,208,408,590,811,984,1179,1378,1594,1784,1955,2176,2376,2571,2772,2951,3163,3354,3548,3752,3952
36,0,0,0.28854,0.41078,3.58,208,408,590,811,984,1179,1378,1594,1784,1954,2176,2377,2570,2772,2950,3162,3353,3548,3752,3952
37,0,0,0.28555,0.40823,3.63,208,408,590,811,984,1179,1379,1594,1784,1954,2176,2377,2570,2772,2950,3162,3353,3548,3752,3952
38,0,0,0.28245,0.40563,3.68,209,408,590,811,985,1179,1379,1594,1785,1953,2176,2377,2569,2772,2950,3161,3352,3548,3751,3951
39,0,0,0.27928,0.40295,3.72,209,408,590,811,985,1179,1379,1594,1785,1953,2176,2378,2569,2772,2949,3161,3352,3547,3751,3951
40,0,0,0.27599,0.40017,3.77,209,408,590,811,985,1179,1379,1594,1785,1952,2176,2378,2569,2773,2949,3161,3351,3547,3751,3951
41,0,0,0.27259,0.39728,3.82,209,407,590,811,986,1179,1380,1594,1785,1952,2176,2378,2568,2773,2948,3160,3351,3547,3751,3951
42,0,0,0.26907,0.39433,3.86,209,407,591,811,986,1179,1380,1595,1784,1951,2176,2378,2568,2773,2948,3160,3350,3547,3751,3950
43,0,0,0.26547,0.39133,3.91,209,407,591,811,986,1179,1381,1595,1784,1950,2176,2378,2568,2773,2947,3160,3350,3547,3750,3950
44,0,0,0.26181,0.38829,3.96,210,407,591,811,987,1179,1381,1595,1784,1950,2176,2378,2567,2773,2946,3161,3350,3546,3750,3950
