epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.14597,0.14582,0.08,6,12,18,24,30,36,42,48,53,59
1,0,0,0.14355,0.14337,0.12,6,12,18,24,30,36,42,48,53,59
2,0,0,0.1414,0.14118,0.15,6,12,18,24,30,36,42,47,53,59
3,0,0,0.13953,0.13928,0.19,6,12,18,24,30,36,42,47,53,59
4,0,0,0.13795,0.13766,0.24,6,12,18,24,30,36,42,47,53,59
5,0,0,0.13667,0.13634,0.28,6,12,18,24,30,36,42,47,53,59
6,0.01034,0.00907,0.13568,0.13532,0.32,6,12,18,24,30,36,41,47,53,59
7,0.02062,0.01987,0.13497,0.13458,0.36,6,12,18,24,30,36,41,47,53,59
8,0.02686,0.02653,0.13454,0.13412,0.4,6,12,18,24,30,36,41,47,53,59
9,0.02934,0.02936,0.13437,0.13393,0.44,6,12,18,24,30,36,41,47,53,59
10,0.02891,0.02929,0.1344,0.13393,0.48,6,12,18,24,30,36,41,47,53,59
11,0.02689,0.0274,0.13454,0.13406,0.51,6,12,18,24,30,35,41,47,53,59
12,0.02437,0.02508,0.13471,0.13422,0.55,6,12,18,24,30,35,41,47,53,59
13,0.02209,0.02304,0.13487,0.13436,0.58,6,12,18,24,30,35,41,47,53,59
14,0.02047,0.02162,0.13498,0.13446,0.62,6,12,18,24,30,35,41,47,53,59
15,0.01968,0.02095,0.13504,0.13451,0.67,6,12,18,24,30,35,41,47,53,59
16,0.01978,0.02109,0.13503,0.1345,0.7,6,12,18,24,30,35,41,47,53,59
17,0.02073,0.02201,0.13496,0.13444,0.74,6,12,18,24,30,35,41,47,53,59
18,0.02245,0.02365,0.13484,0.13432,0.78,6,12,18,24,30,35,41,47,53,59
19,0.02484,0.0259,0.13468,0.13417,0.82,6,12,18,24,30,35,41,47,53,59
20,0.02777,0.02862,0.13448,0.13398,0.86,6,12,18,24,30,35,41,47,53,59
21,0.03107,0.03168,0.13425,0.13377,0.89,6,12,18,24,30,35,41,47,53,59
22,0.03459,0.03498,0.134,0.13354,0.94,6,12,18,24,30,35,41,47,53,59
23,0.03819,0.03841,0.13375,0.1333,0.97,6,12,18,24,30,35,41,47,53,59
24,0.04172,0.0418,0.13351,0.13307,1.01,6,12,18,24,30,35,41,47,53,59
25,0.04502,0.045,0.13328,0.13285,1.05,6,12,18,24,30,35,41,47,53,59
26,0.04801,0.04786,0.13307,0.13265,1.1,6,12,18,24,30,35,41,47,53,59
27,0.05062,0.05032,0.13289,0.13248,1.13,6,12,18,24,30,35,41,47,53,59
28,0.05281,0.05235,0.13273,0.13233,1.17,6,12,18,24,30,35,41,47,53,59
29,0.05461,0.05395,0.13261,0.13222,1.21,6,12,18,24,30,35,41,47,53,59
30,0.0561,0.05524,0.1325,0.13213,1.25,6,12,18,24,30,35,41,47,53,59
31,0.05736,0.05637,0.13241,0.13205,1.29,6,12,18,24,30,35,41,47,53,59
32,0.05853,0.05744,0.13233,0.13198,1.33,6,12,18,24,30,35,41,47,53,59
33,0.05973,0.05856,0.13225,0.1319,1.36,6,12,18,24,30,35,41,47,53,59
34,0.06104,0.05982,0.13216,0.13181,1.4,6,12,18,24,30,35,41,47,53,59
35,0.06252,0.06127,0.13205,0.13171,1.43,6,12,18,24,30,35,41,47,53,59
36,0.0642,0.06294,0.13193,0.13159,1.47,6,12,18,24,30,35,41,47,53,59
37,0.06607,0.06484,0.1318,0.13146,1.5,6,12,18,24,30,35,41,47,53,59
38,0.0681,0.06692,0.13166,0.13131,1.54,6,12,18,24,30,35,41,48,53,59
39,0.07024,0.06914,0.13151,0.13116,1.57,6,12,18,24,30,35,41,48,53,59
40,0.07244,0.07144,0.13135,0.13099,1.61,6,12,18,24,30,35,41,48,53,59
41,0.07463,0.07375,0.1312,0.13083,1.64,6,12,18,24,30,35,41,48,53,59
42,0.07677,0.07601,0.13104,0.13067,1.68,6,12,18,24,30,35,41,48,53,59
43,0.07881,0.0782,0.1309,0.13052,1.71,6,12,18,24,30,35,41,48,53,59
44,0.08074,0.08029,0.13076,0.13037,1.75,6,12,18,24,30,35,41,48,53,59
