epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.28438,0.28336,0.08,4,8,12,16,20,25,29,33,37,41,45,49,53,57,61
1,0,0,0.28139,0.28038,0.13,4,8,12,16,20,25,29,33,37,41,45,49,53,57,61
2,0,0,0.2784,0.27738,0.18,4,8,12,16,20,25,29,33,37,41,45,49,53,57,61
3,0,0,0.27541,0.27438,0.23,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
4,0,0,0.2724,0.27137,0.28,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
5,0,0,0.26939,0.26836,0.32,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
6,0,0,0.26639,0.26536,0.36,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
7,0,0,0.2634,0.26237,0.41,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
8,0,0,0.26044,0.2594,0.46,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
9,0,0,0.25751,0.25646,0.5,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
10,0,0,0.2546,0.25355,0.55,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
11,0,0,0.25123,0.25017,0.59,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
12,0,0,0.24724,0.24618,0.63,4,8,12,16,21,25,29,32,37,41,45,49,53,57,61
13,0,0,0.24263,0.24156,0.68,4,8,12,17,21,25,29,32,37,41,45,49,53,57,61
14,0,0,0.23752,0.23641,0.72,4,8,12,17,21,25,29,32,37,41,45,49,53,57,61
15,0,0,0.2321,0.23097,0.76,4,8,12,17,21,25,29,32,37,41,45,49,53,57,61
16,0,0,0.2265,0.22536,0.81,4,8,12,17,21,25,29,32,37,41,45,49,53,57,61
17,0,0,0.22079,0.21964,0.86,4,8,12,17,21,25,29,32,37,41,45,49,53,57,61
18,0,0,0.21502,0.21386,0.9,4,8,12,17,21,25,29,32,37,41,45,49,53,57,61
19,0,0,0.20924,0.20807,0.95,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
20,0,0,0.20349,0.20231,0.99,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
21,0,0,0.19783,0.19664,1.04,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
22,0,0,0.1923,0.1911,1.11,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
23,0,0,0.18695,0.18575,1.15,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
24,0,0,0.18185,0.18064,1.2,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
25,0,0,0.17702,0.17581,1.25,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
26,0,0,0.17249,0.17129,1.29,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
27,0,0,0.16831,0.16711,1.33,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
28,0,0,0.16455,0.16337,1.38,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
29,0,0,0.16127,0.16011,1.42,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
30,0,0,0.15856,0.15742,1.47,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
31,0,0,0.1565,0.1554,1.51,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
32,0,0,0.1552,0.15414,1.56,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
33,0,0,0.15468,0.15366,1.6,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
34,0,0,0.1548,0.15383,1.64,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
35,0,0,0.15535,0.15443,1.69,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
36,0,0,0.15609,0.15521,1.73,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
37,0,0,0.1568,0.15595,1.77,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
38,0,0,0.15731,0.15649,1.82,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
39,0,0,0.15753,0.15673,1.86,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
40,0,0,0.15745,0.15665,1.9,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
41,0,0,0.15709,0.15629,1.94,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
42,0,0,0.15657,0.15576,1.98,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
43,0,0,0.15598,0.15517,2.03,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
44,0,0,0.15534,0.15453,2.08,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
45,0,0,0.15465,0.15382,2.13,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
46,0,0,0.15393,0.15308,2.17,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
47,0,0,0.1532,0.15234,2.22,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
48,0,0,0.15251,0.15164,2.27,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
49,0,0,0.15186,0.15099,2.31,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
50,0,0,0.15127,0.15039,2.35,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
51,0,0,0.15076,0.14987,2.39,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
52,0,0,0.15031,0.14941,2.44,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
53,0,0,0.14996,0.14906,2.49,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
54,0,0,0.14968,0.14878,2.53,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
55,0,0,0.14942,0.14852,2.57,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
56,0,0,0.14916,0.14826,2.61,4,8,13,17,21,25,29,33,37,40,45,49,52,57,61
57,0,0,0.14891,0.14802,2.66,4,8,13,17,21,25,29,33,37,40,45,49,52,57,61
58,0,0,0.14866,0.14777,2.7,4,8,13,17,21,25,29,33,37,40,45,49,52,57,61
59,0,0,0.14841,0.14752,2.75,4,8,13,17,21,25,29,33,37,40,45,49,52,57,61
60,0,0,0.14816,0.14728,2.8,4,8,13,17,21,25,29,33,37,40,45,49,52,57,61
