epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,0.14436,0.1438,0.1,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
1,0,0,0.14294,0.14241,0.16,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
2,0,0,0.14162,0.14112,0.22,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
3,0,0,0.14039,0.13991,0.36,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
4,0,0,0.13932,0.13884,0.42,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
5,0,0,0.13859,0.13812,0.48,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
6,0,0,0.13817,0.13772,0.55,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
7,0,0,0.13785,0.13743,0.61,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
8,0,0,0.13751,0.1371,0.66,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
9,0,0,0.13712,0.13672,0.72,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
10,0,0,0.13672,0.1363,0.79,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
11,0.0009,0.00074,0.13632,0.13589,0.85,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
12,0.00662,0.00666,0.13593,0.13549,0.91,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
13,0.01227,0.01239,0.13554,0.1351,0.97,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
14,0.01818,0.01859,0.13514,0.13467,1.02,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
