epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0.00185,0.13638,0.13581,2.76,264,523,784,1042,1303,1563,1820,2080,2340,2599,2859,3119,3379,3638,3898
1,0.01634,0.01765,0.13526,0.13473,2.81,264,523,784,1041,1304,1564,1820,2081,2339,2598,2858,3118,3378,3638,3898
2,0.02384,0.02466,0.13475,0.13425,2.86,265,522,785,1041,1305,1565,1820,2081,2339,2597,2857,3117,3377,3637,3898
3,0.02919,0.03032,0.13438,0.13386,2.92,265,522,786,1040,1306,1566,1821,2082,2340,2596,2857,3117,3377,3637,3897
4,0.0355,0.03661,0.13394,0.13343,2.98,265,522,786,1039,1307,1567,1822,2083,2340,2595,2857,3116,3376,3636,3897
5,0.04308,0.04395,0.13341,0.13292,3.04,265,522,787,1039,1308,1567,1822,2084,2339,2594,2857,3115,3375,3636,3897
6,0.05133,0.05229,0.13284,0.13234,3.09,266,523,787,1039,1308,1568,1823,2085,2339,2593,2856,3115,3375,3635,3896
7,0.05938,0.06083,0.13227,0.13174,3.18,266,523,788,1038,1309,1569,1824,2086,2339,2592,2856,3114,3374,3635,3896
8,0.0668,0.06885,0.13175,0.13118,3.23,266,523,788,1038,1310,1570,1825,2087,2339,2591,2856,3113,3373,3634,3896
9,0.07364,0.0759,0.13127,0.13068,3.28,266,523,788,1037,1311,1571,1825,2088,2339,2591,2855,3112,3373,3634,3896
10,0.08016,0.08212,0.1308,0.13024,3.41,267,524,789,1037,1312,1572,1826,2089,2338,2590,2855,3112,3372,3633,3895
11,0.08656,0.08805,0.13035,0.12982,3.46,267,524,789,1037,1312,1573,1826,2090,2338,2589,2854,3111,3371,3633,3895
12,0.09255,0.09375,0.12992,0.12941,3.52,267,525,789,1036,1313,1573,1826,2091,2337,2588,2853,3110,3371,3632,3895
13,0.09777,0.09867,0.12955,0.12906,3.57,267,525,790,1036,1313,1574,1826,2092,2337,2587,2852,3109,3370,3632,3894
14,0.10211,0.10267,0.12923,0.12877,3.63,268,525,790,1036,1313,1575,1826,2093,2336,2586,2851,3109,3369,3632,3894
15,0.10564,0.10599,0.12898,0.12853,3.68,268,526,790,1035,1313,1575,1826,2094,2336,2585,2850,3108,3369,3631,3894
16,0.10872,0.1089,0.12876,0.12832,3.73,268,526,791,1035,1314,1576,1826,2095,2335,2584,2850,3107,3368,3631,3893
17,0.11176,0.11182,0.12854,0.12811,3.79,268,526,791,1034,1314,1577,1826,2096,2335,2584,2849,3106,3367,3630,3893
18,0.115,0.11502,0.1283,0.12788,3.84,269,527,791,1034,1315,1577,1826,2097,2334,2583,2848,3105,3367,3630,3893
19,0.11844,0.1185,0.12805,0.12763,3.89,269,527,791,1034,1315,1578,1827,2099,2334,2582,2847,3105,3366,3629,3893
20,0.12186,0.12205,0.1278,0.12737,3.95,269,528,792,1033,1316,1579,1827,2100,2333,2581,2846,3104,3365,3629,3892
21,0.12518,0.12549,0.12756,0.12712,4.01,269,528,792,1033,1316,1579,1828,2101,2332,2580,2845,3103,3365,3628,3892
22,0.12844,0.12888,0.12732,0.12688,4.08,270,529,792,1033,1317,1580,1829,2102,2332,2580,2844,3102,3364,3628,3892
23,0.13176,0.13235,0.12708,0.12662,4.14,270,529,792,1032,1318,1581,1829,2103,2331,2579,2843,3102,3363,3627,3891
24,0.13524,0.13594,0.12683,0.12636,4.19,270,530,792,1032,1318,1581,1830,2104,2331,2578,2842,3101,3363,3627,3891
25,0.13889,0.13966,0.12656,0.12609,4.25,271,530,792,1031,1319,1582,1830,2105,2330,2577,2841,3100,3362,3626,3891
26,0.14264,0.14347,0.12628,0.12581,4.31,271,530,792,1031,1320,1583,1831,2106,2329,2577,2840,3099,3361,3626,3891
27,0.14637,0.14726,0.12601,0.12553,4.36,271,531,791,1030,1320,1583,1831,2107,2329,2576,2839,3098,3361,3626,3890
28,0.14997,0.15088,0.12574,0.12527,4.41,271,531,791,1030,1321,1584,1832,2108,2328,2575,2838,3097,3360,3625,3890
29,0.15338,0.1543,0.12549,0.12501,4.47,272,532,791,1029,1321,1584,1832,2108,2327,2575,2837,3097,3359,3625,3890
30,0.15666,0.15757,0.12525,0.12477,4.52,272,532,790,1029,1322,1585,1833,2109,2327,2574,2836,3096,3359,3624,3890
31,0.15988,0.16081,0.12501,0.12453,4.64,272,532,790,1028,1323,1586,1833,2110,2326,2573,2835,3095,3358,3624,3889
32,0.16312,0.16412,0.12477,0.12429,4.7,272,533,789,1028,1323,1586,1834,2111,2325,2573,2834,3094,3357,3623,3889
33,0.1664,0.16755,0.12452,0.12403,4.75,273,533,789,1027,1324,1587,1834,2112,2324,2572,2833,3093,3357,3623,3889
34,0.16968,0.17108,0.12428,0.12377,4.81,273,533,788,1027,1325,1588,1835,2113,2324,2572,2832,3092,3356,3623,3888
35,0.17296,0.17462,0.12403,0.1235,4.87,273,534,788,1026,1325,1588,1835,2113,2323,2571,2831,3091,3355,3622,3888
36,0.17625,0.1782,0.12378,0.12323,4.92,274,534,787,1026,1326,1589,1835,2114,2322,2570,2830,3091,3355,3622,3888
