epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
0,0,0,0.19568,0.19605,2.96,1388,2774
1,0,0,0.18821,0.18856,2.98,1389,2775
2,0,0,0.18118,0.18151,3.0,1389,2775
3,0,0,0.17505,0.17536,3.02,1390,2774
4,0,0,0.16936,0.16964,3.03,1390,2774
5,0,0,0.16405,0.16428,3.05,1391,2774
6,0,0,0.15918,0.15935,3.07,1392,2773
7,0,0,0.1548,0.1549,3.09,1392,2773
8,0,0,0.15096,0.15098,3.11,1393,2773
9,0,0,0.14766,0.14762,3.13,1394,2772
10,0,0,0.14494,0.14484,3.15,1394,2772
11,0,0,0.14289,0.14271,3.17,1395,2771
12,0,0,0.14161,0.14134,3.18,1395,2770
13,0,0,0.14077,0.14048,3.2,1396,2770
14,0,0,0.14007,0.13979,3.22,1396,2769
15,0,0,0.13945,0.13917,3.27,1397,2768
16,0,0,0.13892,0.13861,3.29,1397,2767
17,0,0,0.13849,0.13816,3.31,1397,2767
18,0,0,0.13817,0.13781,3.33,1398,2766
19,0,0,0.13795,0.13757,3.35,1398,2765
20,0,0,0.13782,0.13743,3.37,1398,2765
21,0,0,0.13776,0.13734,3.39,1398,2764
22,0,0,0.13776,0.13732,3.41,1399,2763
23,0,0,0.13778,0.13733,3.43,1399,2763
24,0,0,0.13782,0.13736,3.45,1399,2762
25,0,0,0.13786,0.13739,3.57,1399,2762
26,0,0,0.13789,0.13741,3.59,1399,2762
27,0,0,0.13789,0.1374,3.61,1399,2761
28,0,0,0.13785,0.13737,3.63,1399,2761
29,0,0,0.13779,0.1373,3.65,1399,2760
30,0,0,0.13769,0.1372,3.67,1399,2760
31,0,0,0.13756,0.13707,3.69,1399,2760
32,0,0,0.13741,0.13692,3.7,1399,2759
33,0,0,0.13724,0.13675,3.72,1399,2759
34,0,0,0.13706,0.13657,3.74,1399,2758
35,0,0,0.13686,0.13637,3.76,1399,2758
36,0,0,0.13667,0.13618,3.78,1399,2757
37,0,0,0.13647,0.13598,3.8,1399,2757
38,0.00154,0.00213,0.13628,0.1358,3.82,1399,2756
39,0.00425,0.00484,0.13609,0.13561,3.84,1399,2755
40,0.00684,0.00744,0.13592,0.13543,3.86,1399,2754
41,0.00932,0.00991,0.13575,0.13526,3.88,1399,2754
42,0.01167,0.01224,0.13559,0.1351,3.9,1399,2753
43,0.01391,0.01445,0.13543,0.13495,3.92,1399,2752
44,0.01607,0.01653,0.13528,0.13481,3.95,1399,2751
45,0.01814,0.01848,0.13514,0.13468,3.97,1399,2751
46,0.02014,0.02034,0.135,0.13455,4.0,1399,2750
47,0.02211,0.02216,0.13487,0.13443,4.02,1399,2750
48,0.02402,0.02394,0.13474,0.1343,4.05,1399,2749
49,0.02588,0.02567,0.13461,0.13418,4.07,1399,2748
50,0.0277,0.02739,0.13448,0.13407,4.1,1399,2747
51,0.02947,0.02909,0.13436,0.13395,4.12,1399,2746
52,0.03122,0.03077,0.13424,0.13383,4.14,1399,2745
53,0.03293,0.03242,0.13412,0.13372,4.16,1399,2744
54,0.03461,0.03402,0.134,0.13361,4.19,1399,2743
55,0.03628,0.03561,0.13389,0.1335,4.21,1399,2742
56,0.03793,0.0372,0.13377,0.13339,4.23,1399,2741
57,0.03957,0.03878,0.13366,0.13328,4.24,1399,2740
58,0.04118,0.04037,0.13355,0.13317,4.27,1399,2739
59,0.04279,0.04197,0.13343,0.13306,4.29,1399,2738
60,0.04442,0.04362,0.13332,0.13294,4.3,1400,2737
61,0.04609,0.04533,0.1332,0.13282,4.32,1400,2736
62,0.0476,0.04685,0.1331,0.13272,4.34,1401,2734
63,0.04907,0.04833,0.133,0.13261,4.36,1402,2733
64,0.05051,0.04979,0.13289,0.13251,4.38,1402,2732
65,0.0519,0.05121,0.1328,0.13241,4.4,1403,2730
66,0.05325,0.05258,0.1327,0.13232,4.42,1403,2729
67,0.05456,0.05391,0.13261,0.13222,4.44,1404,2727
68,0.05583,0.0552,0.13252,0.13213,4.46,1404,2726
69,0.05706,0.05646,0.13244,0.13205,4.47,1405,2724
70,0.05826,0.05768,0.13235,0.13196,4.49,1405,2723
71,0.05942,0.05886,0.13227,0.13188,4.51,1405,2721
72,0.06057,0.06002,0.13219,0.1318,4.53,1406,2720
73,0.06169,0.06115,0.13211,0.13172,4.55,1406,2718
74,0.0628,0.06227,0.13203,0.13164,4.56,1406,2717
75,0.0639,0.06339,0.13195,0.13156,4.58,1407,2716
76,0.06499,0.0645,0.13188,0.13148,4.6,1407,2714
77,0.06609,0.06561,0.1318,0.1314,4.62,1407,2713
78,0.06719,0.06671,0.13172,0.13133,4.64,1407,2712
79,0.06829,0.06783,0.13164,0.13125,4.66,1407,2710
80,0.0694,0.06895,0.13157,0.13117,4.68,1408,2709
81,0.07051,0.07007,0.13149,0.13109,4.7,1408,2708
82,0.07163,0.0712,0.13141,0.13101,4.72,1408,2707
83,0.07274,0.07232,0.13133,0.13093,4.73,1408,2705
84,0.07386,0.07344,0.13125,0.13085,4.75,1408,2704
85,0.07498,0.07456,0.13117,0.13077,4.77,1408,2703
86,0.0761,0.07569,0.13109,0.13069,4.79,1408,2702
87,0.07722,0.07683,0.13101,0.13061,4.81,1408,2701
88,0.07836,0.07796,0.13093,0.13053,4.82,1409,2699
89,0.07949,0.0791,0.13085,0.13045,4.84,1409,2698
90,0.08062,0.08024,0.13077,0.13037,4.86,1409,2697
91,0.08176,0.08138,0.13069,0.13029,4.88,1409,2696
92,0.08289,0.0825,0.13061,0.13021,4.9,1409,2695
93,0.08404,0.08364,0.13053,0.13013,4.92,1409,2693
94,0.08519,0.08477,0.13045,0.13005,4.94,1409,2692
95,0.08633,0.08589,0.13036,0.12997,4.95,1409,2691
96,0.08747,0.08701,0.13028,0.12989,4.97,1409,2689
97,0.0886,0.08813,0.1302,0.12981,4.99,1409,2688
98,0.08972,0.08925,0.13012,0.12973,5.01,1409,2686
99,0.09083,0.09035,0.13004,0.12965,5.03,1409,2685
100,0.09192,0.09145,0.12996,0.12957,5.05,1409,2683
101,0.093,0.09254,0.12989,0.1295,5.06,1409,2682
102,0.09405,0.0936,0.12981,0.12942,5.1,1410,2680
103,0.09509,0.09467,0.12974,0.12935,5.12,1410,2678
104,0.09612,0.09571,0.12966,0.12927,5.14,1410,2676
105,0.09712,0.09672,0.12959,0.1292,5.16,1410,2674
106,0.0981,0.09773,0.12952,0.12913,5.18,1410,2672
107,0.09908,0.09872,0.12945,0.12906,5.2,1410,2670
108,0.10001,0.09967,0.12938,0.12899,5.21,1410,2668
109,0.10094,0.10061,0.12932,0.12892,5.23,1410,2666
110,0.10183,0.10154,0.12925,0.12885,5.25,1410,2664
111,0.10269,0.10241,0.12919,0.12879,5.27,1410,2662
112,0.10353,0.10327,0.12913,0.12873,5.29,1410,2660
113,0.10434,0.1041,0.12907,0.12867,5.31,1410,2658
114,0.10511,0.10488,0.12902,0.12861,5.33,1410,2656
115,0.10587,0.10567,0.12896,0.12856,5.35,1410,2655
116,0.10662,0.10642,0.12891,0.1285,5.36,1410,2653
117,0.10736,0.10717,0.12885,0.12845,5.38,1410,2652
118,0.10811,0.10791,0.1288,0.1284,5.4,1410,2651
119,0.10888,0.10863,0.12875,0.12834,5.42,1410,2650
120,0.10968,0.1094,0.12869,0.12829,5.43,1410,2650
121,0.11059,0.11027,0.12862,0.12823,5.45,1410,2650
122,0.11169,0.11136,0.12854,0.12815,5.47,1410,2650
123,0.11323,0.11269,0.12843,0.12805,5.48,1410,2650
124,0.11537,0.11513,0.12828,0.12788,5.5,1410,2650
125,0.11832,0.11886,0.12806,0.12761,5.52,1410,2651
126,0.12177,0.1229,0.12781,0.12731,5.54,1410,2651
127,0.12438,0.12524,0.12762,0.12714,5.56,1410,2652
128,0.12506,0.12567,0.12757,0.12711,5.57,1410,2653
129,0.12491,0.12551,0.12758,0.12712,5.59,1410,2653
130,0.12521,0.12584,0.12756,0.1271,5.61,1410,2654
131,0.12624,0.12697,0.12748,0.12702,5.63,1410,2655
132,0.12777,0.12866,0.12737,0.12689,5.65,1410,2656
133,0.12936,0.13043,0.12726,0.12676,5.66,1410,2657
134,0.13067,0.1319,0.12716,0.12666,5.68,1410,2658
135,0.13153,0.13289,0.1271,0.12659,5.7,1410,2658
136,0.13203,0.1336,0.12706,0.12653,5.71,1410,2659
137,0.13242,0.13415,0.12703,0.12649,5.73,1410,2659
138,0.1329,0.13476,0.127,0.12645,5.75,1410,2660
139,0.1336,0.13556,0.12695,0.12639,5.77,1410,2660
140,0.13452,0.13654,0.12688,0.12632,5.78,1410,2660
141,0.13556,0.1376,0.1268,0.12624,5.8,1410,2659
142,0.13657,0.13862,0.12673,0.12617,5.82,1409,2659
143,0.13744,0.1395,0.12667,0.1261,5.84,1409,2659
144,0.13813,0.14021,0.12661,0.12605,5.86,1409,2658
145,0.1387,0.14082,0.12657,0.12601,5.88,1409,2658
146,0.13924,0.14144,0.12653,0.12596,5.9,1408,2657
147,0.13984,0.14216,0.12649,0.12591,5.92,1408,2657
148,0.14055,0.143,0.12644,0.12584,5.94,1408,2657
149,0.14133,0.14396,0.12638,0.12578,5.96,1408,2657
150,0.1421,0.14491,0.12632,0.1257,5.98,1408,2657
151,0.14279,0.14575,0.12627,0.12564,5.99,1407,2657
152,0.14338,0.14648,0.12623,0.12559,6.01,1407,2657
153,0.14387,0.1471,0.12619,0.12554,6.03,1407,2657
154,0.14432,0.14772,0.12616,0.1255,6.05,1407,2657
155,0.14479,0.14835,0.12612,0.12545,6.07,1407,2657
156,0.14532,0.14899,0.12609,0.1254,6.09,1406,2657
157,0.14587,0.14964,0.12604,0.12536,6.11,1406,2657
158,0.14641,0.15027,0.126,0.12531,6.22,1406,2658
159,0.14691,0.15084,0.12597,0.12527,6.24,1406,2658
160,0.14737,0.15138,0.12593,0.12523,6.26,1405,2658
161,0.14778,0.15186,0.1259,0.12519,6.28,1405,2658
162,0.14816,0.15234,0.12588,0.12516,6.3,1405,2658
163,0.14855,0.15283,0.12585,0.12512,6.32,1405,2658
164,0.14896,0.15337,0.12582,0.12508,6.34,1404,2658
165,0.14938,0.15394,0.12579,0.12504,6.36,1404,2658
166,0.1498,0.15451,0.12575,0.125,6.38,1404,2658
167,0.15019,0.15507,0.12573,0.12496,6.4,1404,2658
168,0.15055,0.1556,0.1257,0.12492,6.42,1404,2658
169,0.15088,0.15609,0.12567,0.12488,6.44,1404,2657
170,0.15119,0.15657,0.12565,0.12485,6.45,1403,2657
171,0.1515,0.15703,0.12563,0.12481,6.47,1403,2657
172,0.15181,0.15749,0.12561,0.12478,6.49,1403,2657
173,0.15212,0.15793,0.12558,0.12474,6.51,1403,2657
174,0.15242,0.15835,0.12556,0.12471,6.53,1402,2657
175,0.1527,0.15875,0.12554,0.12468,6.55,1402,2657
176,0.15295,0.15913,0.12552,0.12466,6.57,1402,2657
177,0.1532,0.1595,0.1255,0.12463,6.59,1402,2657
178,0.15344,0.15988,0.12549,0.1246,6.61,1402,2657
179,0.15368,0.16028,0.12547,0.12457,6.63,1402,2657
180,0.15392,0.16068,0.12545,0.12454,6.65,1402,2657
181,0.15415,0.16108,0.12543,0.12451,6.67,1401,2658
182,0.15439,0.16151,0.12541,0.12448,6.69,1401,2658
183,0.15459,0.16188,0.1254,0.12445,6.71,1400,2658
184,0.15475,0.16219,0.12539,0.12443,6.73,1400,2658
185,0.15496,0.16259,0.12537,0.1244,6.75,1401,2658
186,0.15514,0.16291,0.12536,0.12438,6.77,1401,2657
187,0.1553,0.1632,0.12535,0.12435,6.79,1401,2657
188,0.15546,0.16349,0.12533,0.12433,6.8,1401,2657
189,0.15563,0.1638,0.12532,0.12431,6.83,1401,2657
190,0.1558,0.16409,0.12531,0.12429,6.85,1401,2657
191,0.15593,0.16434,0.1253,0.12427,6.86,1400,2657
192,0.15608,0.16462,0.12529,0.12425,6.88,1400,2657
193,0.15622,0.16491,0.12528,0.12423,6.9,1401,2657
194,0.15635,0.16517,0.12527,0.12421,6.92,1401,2657
195,0.15647,0.16543,0.12526,0.12419,6.94,1401,2657
196,0.1566,0.16569,0.12525,0.12417,6.95,1401,2657
197,0.15672,0.16594,0.12524,0.12415,6.97,1401,2657
198,0.15683,0.16616,0.12523,0.12413,6.99,1400,2657
199,0.15694,0.1664,0.12522,0.12412,7.01,1401,2657
200,0.15705,0.16663,0.12522,0.1241,7.03,1401,2657
201,0.15714,0.16684,0.12521,0.12408,7.05,1401,2657
202,0.15724,0.16705,0.1252,0.12407,7.07,1401,2657
203,0.15733,0.16725,0.1252,0.12405,7.08,1401,2657
204,0.15742,0.16744,0.12519,0.12404,7.1,1401,2657
205,0.1575,0.16762,0.12518,0.12402,7.13,1401,2657
206,0.15758,0.16781,0.12518,0.12401,7.15,1401,2657
207,0.15766,0.168,0.12517,0.124,7.16,1401,2657
208,0.15774,0.16817,0.12517,0.12398,7.18,1401,2657
209,0.15781,0.16834,0.12516,0.12397,7.2,1401,2657
210,0.15788,0.16851,0.12516,0.12396,7.22,1401,2657
211,0.15794,0.16867,0.12515,0.12395,7.24,1401,2657
212,0.15801,0.16882,0.12515,0.12393,7.27,1401,2657
213,0.15806,0.16898,0.12514,0.12392,7.29,1401,2657
214,0.15812,0.16913,0.12514,0.12391,7.31,1401,2657
215,0.15818,0.16928,0.12513,0.1239,7.33,1401,2657
216,0.15823,0.16943,0.12513,0.12389,7.35,1401,2657
217,0.15829,0.16957,0.12513,0.12388,7.37,1401,2657
218,0.15834,0.16972,0.12512,0.12387,7.39,1401,2657
219,0.15839,0.16986,0.12512,0.12386,7.4,1401,2657
220,0.15843,0.16999,0.12511,0.12385,7.42,1401,2657
221,0.15848,0.17013,0.12511,0.12384,7.44,1401,2657
222,0.15852,0.17026,0.12511,0.12383,7.46,1401,2657
223,0.15856,0.17039,0.1251,0.12382,7.48,1401,2657
224,0.1586,0.17051,0.1251,0.12381,7.5,1401,2657
225,0.15864,0.17063,0.1251,0.1238,7.52,1401,2657
226,0.15868,0.17074,0.1251,0.12379,7.53,1401,2657
227,0.15872,0.17085,0.12509,0.12378,7.55,1401,2657
228,0.15876,0.17097,0.12509,0.12377,7.57,1401,2657
229,0.15879,0.17108,0.12509,0.12377,7.59,1401,2657
230,0.15883,0.17119,0.12508,0.12376,7.61,1401,2657
231,0.15887,0.17129,0.12508,0.12375,7.62,1401,2657
232,0.1589,0.1714,0.12508,0.12374,7.64,1401,2657
233,0.15894,0.1715,0.12508,0.12374,7.66,1401,2657
234,0.15897,0.1716,0.12507,0.12373,7.68,1401,2657
235,0.159,0.1717,0.12507,0.12372,7.7,1401,2657
236,0.15903,0.1718,0.12507,0.12371,7.72,1401,2657
237,0.15906,0.17189,0.12507,0.12371,7.73,1401,2657
238,0.15909,0.17198,0.12507,0.1237,7.75,1401,2657
239,0.15912,0.17207,0.12506,0.12369,7.77,1401,2657
240,0.15915,0.17215,0.12506,0.12369,7.79,1401,2657
241,0.15918,0.17223,0.12506,0.12368,7.81,1401,2657
242,0.1592,0.17232,0.12506,0.12367,7.83,1401,2657
243,0.15923,0.1724,0.12506,0.12367,7.84,1401,2657
244,0.15925,0.17248,0.12505,0.12366,7.86,1401,2657
245,0.15928,0.17255,0.12505,0.12366,7.88,1401,2657
246,0.1593,0.17263,0.12505,0.12365,7.91,1401,2657
247,0.15933,0.17271,0.12505,0.12364,7.93,1401,2657
248,0.15935,0.17278,0.12505,0.12364,7.95,1401,2657
249,0.15937,0.17285,0.12504,0.12363,7.97,1401,2657
250,0.15939,0.17292,0.12504,0.12363,8.0,1401,2657
251,0.15941,0.17299,0.12504,0.12362,8.01,1401,2657
252,0.15943,0.17305,0.12504,0.12362,8.03,1401,2657
253,0.15945,0.17311,0.12504,0.12361,8.05,1401,2657
254,0.15947,0.17317,0.12504,0.12361,8.06,1401,2657
255,0.15949,0.17323,0.12504,0.12361,8.08,1401,2657
256,0.15951,0.17329,0.12503,0.1236,8.1,1401,2657
257,0.15952,0.17334,0.12503,0.1236,8.12,1401,2657
258,0.15954,0.17339,0.12503,0.12359,8.14,1401,2657
259,0.15955,0.17344,0.12503,0.12359,8.16,1401,2657
260,0.15957,0.1735,0.12503,0.12359,8.18,1401,2657
261,0.15959,0.17354,0.12503,0.12358,8.19,1401,2657
262,0.1596,0.17359,0.12503,0.12358,8.21,1401,2657
263,0.15962,0.17364,0.12503,0.12358,8.24,1401,2657
264,0.15964,0.17368,0.12502,0.12357,8.26,1401,2657
265,0.15965,0.17372,0.12502,0.12357,8.28,1401,2657
266,0.15967,0.17376,0.12502,0.12357,8.29,1401,2657
267,0.15968,0.1738,0.12502,0.12356,8.31,1401,2657
268,0.15969,0.17385,0.12502,0.12356,8.33,1401,2657
269,0.15971,0.17389,0.12502,0.12356,8.35,1401,2657
270,0.15972,0.17393,0.12502,0.12355,8.37,1401,2657
271,0.15973,0.17397,0.12502,0.12355,8.39,1401,2657
272,0.15975,0.17401,0.12502,0.12355,8.41,1401,2657
273,0.15976,0.17405,0.12502,0.12354,8.43,1401,2657
274,0.15977,0.17409,0.12501,0.12354,8.45,1401,2657
275,0.15978,0.17412,0.12501,0.12354,8.48,1401,2657
276,0.1598,0.17415,0.12501,0.12354,8.49,1401,2657
277,0.15981,0.17419,0.12501,0.12353,8.51,1401,2657
278,0.15982,0.17422,0.12501,0.12353,8.53,1401,2657
279,0.15983,0.17426,0.12501,0.12353,8.55,1401,2657
280,0.15984,0.1743,0.12501,0.12353,8.57,1401,2657
281,0.15986,0.17434,0.12501,0.12352,8.59,1401,2657
282,0.15987,0.17437,0.12501,0.12352,8.6,1401,2657
283,0.15988,0.17441,0.12501,0.12352,8.63,1401,2657
284,0.15989,0.17444,0.12501,0.12352,8.64,1401,2657
285,0.1599,0.17448,0.12501,0.12351,8.66,1401,2657
286,0.15991,0.17451,0.125,0.12351,8.68,1401,2657
287,0.15992,0.17453,0.125,0.12351,8.7,1401,2657
288,0.15993,0.17456,0.125,0.12351,8.72,1401,2657
289,0.15994,0.17459,0.125,0.1235,8.73,1401,2657
290,0.15995,0.17462,0.125,0.1235,8.75,1401,2657
291,0.15996,0.17465,0.125,0.1235,8.77,1401,2657
292,0.15997,0.17467,0.125,0.1235,8.79,1401,2657
293,0.15998,0.1747,0.125,0.1235,8.81,1401,2657
294,0.15999,0.17473,0.125,0.12349,8.83,1401,2657
295,0.15999,0.17475,0.125,0.12349,8.84,1401,2657
296,0.16,0.17478,0.125,0.12349,8.86,1401,2657
