epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.15644,0.16677,2.57,381,760,1138,1516,1891,2271,2647,3024,3402,3781
1,0,0,0.15351,0.1638,2.59,381,761,1139,1517,1890,2272,2647,3023,3401,3781
2,0,0,0.15093,0.16118,2.62,381,761,1139,1517,1890,2273,2647,3023,3401,3781
3,0,0,0.14872,0.15889,2.65,380,762,1140,1518,1889,2274,2648,3022,3400,3782
4,0,0,0.14688,0.15697,2.67,380,762,1140,1517,1888,2275,2648,3021,3400,3782
5,0.01271,0.01564,0.1454,0.15539,2.7,380,762,1141,1517,1887,2275,2648,3020,3399,3782
6,0.02809,0.0313,0.14427,0.15415,2.72,379,762,1141,1517,1886,2275,2648,3019,3398,3782
7,0.03915,0.04292,0.14344,0.15323,2.76,379,762,1142,1517,1886,2275,2648,3018,3398,3782
8,0.04648,0.05111,0.1429,0.15257,2.78,379,762,1142,1517,1885,2275,2648,3018,3397,3781
9,0.05079,0.05649,0.14257,0.15214,2.82,379,762,1143,1517,1884,2275,2648,3017,3396,3781
10,0.05288,0.05974,0.14242,0.15187,2.85,379,761,1143,1517,1884,2275,2648,3016,3396,3781
11,0.05352,0.06151,0.14237,0.15173,2.87,379,761,1143,1518,1883,2275,2648,3015,3395,3781
12,0.05343,0.06248,0.14237,0.15165,2.9,379,760,1144,1518,1883,2274,2648,3014,3394,3781
13,0.05324,0.06318,0.14239,0.1516,2.92,379,760,1144,1518,1882,2274,2649,3013,3394,3781
14,0.05339,0.06402,0.14238,0.15153,2.95,379,759,1144,1518,1882,2274,2649,3012,3393,3781
15,0.05417,0.06525,0.14232,0.15143,2.97,379,758,1144,1518,1881,2273,2649,3011,3392,3781
16,0.05571,0.06702,0.1422,0.15128,3.0,379,758,1144,1518,1881,2273,2649,3010,3392,3781
17,0.058,0.06937,0.14203,0.15109,3.03,379,757,1144,1519,1881,2272,2650,3010,3391,3782
18,0.06092,0.07218,0.14181,0.15087,3.05,379,756,1144,1519,1881,2272,2650,3009,3390,3782
19,0.0643,0.0753,0.14155,0.15061,3.08,380,756,1143,1519,1881,2271,2650,3008,3390,3782
20,0.06794,0.07856,0.14128,0.15035,3.1,380,755,1143,1520,1881,2271,2650,3007,3389,3782
21,0.07159,0.0818,0.141,0.15008,3.13,380,754,1143,1520,1880,2270,2651,3006,3389,3782
