epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.14217,0.14203,2.46,264,524,784,1043,1301,1563,1823,2082,2340,2599,2859,3120,3379,3639,3898
1,0,0,0.1399,0.13972,2.5,263,524,784,1044,1301,1564,1824,2083,2339,2598,2858,3121,3378,3640,3898
2,0,0,0.13794,0.13772,2.54,263,525,785,1045,1301,1565,1825,2084,2338,2597,2857,3121,3377,3640,3898
3,0,0,0.13689,0.13662,2.6,263,525,786,1046,1301,1565,1826,2085,2337,2596,2856,3122,3377,3641,3897
4,0.00015,0,0.13637,0.13609,2.65,263,526,786,1046,1302,1566,1827,2086,2336,2595,2855,3122,3376,3641,3897
5,0.00665,0.00417,0.13593,0.13566,2.71,264,526,787,1047,1302,1567,1828,2087,2335,2595,2855,3122,3375,3641,3897
6,0.01287,0.0104,0.1355,0.13523,2.76,264,526,787,1048,1303,1568,1829,2088,2334,2594,2854,3122,3375,3641,3896
7,0.0186,0.01625,0.13511,0.13483,2.8,264,527,788,1048,1303,1569,1830,2088,2333,2593,2853,3122,3374,3640,3896
8,0.02367,0.02154,0.13476,0.13447,2.85,264,527,789,1049,1304,1569,1831,2089,2332,2592,2852,3121,3373,3640,3896
9,0.02801,0.0261,0.13446,0.13415,2.89,264,528,789,1050,1305,1570,1831,2089,2331,2591,2851,3121,3373,3640,3896
10,0.03156,0.02988,0.13421,0.13389,2.94,265,528,790,1050,1305,1571,1832,2090,2330,2590,2850,3120,3372,3639,3895
11,0.03436,0.0329,0.13402,0.13369,2.98,265,528,791,1051,1306,1571,1833,2090,2329,2589,2849,3120,3371,3639,3895
12,0.03647,0.0352,0.13387,0.13353,3.03,265,529,791,1052,1307,1572,1834,2091,2328,2588,2849,3119,3371,3639,3895
13,0.03795,0.03687,0.13377,0.13341,3.08,265,529,792,1052,1308,1573,1835,2091,2327,2587,2848,3118,3370,3638,3895
14,0.03891,0.038,0.1337,0.13333,3.12,266,529,793,1053,1308,1573,1836,2091,2326,2586,2847,3118,3370,3638,3894
15,0.03947,0.03872,0.13366,0.13328,3.17,266,530,793,1054,1309,1574,1837,2092,2325,2586,2846,3117,3369,3637,3894
16,0.03977,0.03916,0.13364,0.13325,3.21,266,530,794,1054,1310,1574,1837,2092,2325,2585,2845,3116,3368,3637,3894
17,0.03997,0.03947,0.13363,0.13323,3.25,266,530,794,1055,1311,1575,1838,2092,2324,2584,2844,3116,3368,3636,3893
18,0.04019,0.03981,0.13362,0.13321,3.3,267,531,795,1055,1311,1575,1839,2093,2323,2583,2843,3115,3367,3636,3893
19,0.04057,0.04031,0.13359,0.13317,3.35,267,531,796,1056,1312,1576,1839,2093,2322,2582,2842,3114,3366,3635,3893
20,0.04121,0.04111,0.13354,0.13312,3.4,267,531,796,1056,1313,1576,1840,2093,2321,2581,2841,3113,3366,3635,3893
21,0.04221,0.04225,0.13347,0.13304,3.44,268,532,797,1057,1314,1576,1840,2093,2320,2580,2840,3113,3365,3634,3892
22,0.0436,0.04379,0.13338,0.13293,3.49,268,532,798,1057,1315,1577,1841,2093,2319,2579,2839,3112,3365,3633,3892
23,0.04541,0.04578,0.13325,0.13279,3.53,268,532,798,1058,1316,1577,1841,2094,2318,2578,2838,3111,3364,3633,3892
24,0.04765,0.04821,0.13309,0.13262,3.58,268,533,799,1058,1316,1577,1841,2094,2317,2578,2837,3110,3363,3632,3892
25,0.0503,0.05107,0.13291,0.13242,3.63,269,533,799,1059,1317,1578,1841,2094,2316,2577,2836,3109,3363,3632,3891
26,0.05338,0.05434,0.13269,0.13219,3.69,269,533,800,1059,1318,1578,1842,2094,2315,2576,2835,3108,3362,3631,3891
27,0.05683,0.05795,0.13245,0.13194,3.74,269,534,801,1059,1319,1578,1842,2094,2314,2575,2834,3107,3361,3631,3891
28,0.06059,0.06173,0.13219,0.13168,3.79,269,534,801,1059,1320,1578,1842,2094,2313,2574,2833,3107,3361,3630,3891
29,0.06453,0.0654,0.13191,0.13142,3.85,270,534,802,1059,1321,1578,1842,2095,2312,2573,2832,3106,3360,3630,3890
30,0.06838,0.069,0.13164,0.13117,3.9,270,535,802,1060,1322,1579,1842,2095,2311,2573,2831,3105,3360,3629,3890
31,0.07179,0.07218,0.1314,0.13094,3.95,270,535,803,1060,1323,1579,1843,2095,2310,2572,2830,3104,3359,3628,3890
32,0.07436,0.07449,0.13121,0.13078,4.01,270,535,803,1060,1324,1579,1843,2095,2309,2571,2828,3103,3358,3628,3890
33,0.07579,0.07578,0.13111,0.13069,4.07,271,535,804,1060,1324,1579,1843,2095,2308,2570,2827,3102,3358,3627,3889
34,0.07635,0.07614,0.13107,0.13066,4.14,271,536,805,1060,1325,1579,1843,2095,2307,2569,2826,3101,3357,3627,3889
35,0.07665,0.07634,0.13105,0.13065,4.21,271,536,805,1060,1326,1580,1844,2096,2306,2569,2825,3100,3356,3626,3889
36,0.07731,0.07697,0.13101,0.1306,4.25,271,536,806,1060,1327,1580,1844,2096,2305,2568,2825,3099,3356,3626,3889
37,0.07867,0.07834,0.13091,0.13051,4.29,272,536,806,1060,1328,1580,1845,2097,2304,2567,2824,3099,3355,3625,3888
38,0.08074,0.08047,0.13076,0.13036,4.33,272,537,807,1060,1329,1581,1845,2097,2303,2567,2823,3098,3354,3624,3888
39,0.08336,0.08319,0.13058,0.13016,4.38,272,537,807,1060,1330,1581,1846,2098,2302,2566,2822,3097,3353,3624,3888
40,0.08623,0.08619,0.13037,0.12995,4.43,272,537,808,1059,1331,1581,1846,2098,2301,2565,2821,3096,3353,3623,3887
41,0.08904,0.08915,0.13017,0.12974,4.48,273,538,808,1059,1332,1582,1847,2099,2300,2565,2820,3095,3352,3623,3887
42,0.09153,0.09181,0.12999,0.12955,4.54,273,538,809,1059,1333,1582,1848,2099,2299,2564,2819,3095,3351,3622,3887
43,0.09361,0.09405,0.12984,0.12939,4.59,273,538,809,1059,1334,1583,1849,2100,2299,2564,2819,3094,3351,3622,3887
44,0.09534,0.09597,0.12972,0.12925,4.63,273,539,810,1059,1334,1583,1849,2101,2298,2563,2818,3093,3350,3621,3886
45,0.09685,0.09764,0.12961,0.12913,4.67,274,539,810,1059,1335,1584,1850,2101,2297,2562,2817,3092,3349,3621,3886
46,0.09831,0.09924,0.12951,0.12902,4.71,274,539,811,1058,1336,1584,1851,2102,2296,2562,2816,3091,3348,3620,3886
47,0.09988,0.10092,0.12939,0.1289,4.76,274,540,811,1058,1337,1584,1851,2103,2295,2561,2815,3090,3348,3619,3885
48,0.10163,0.10276,0.12927,0.12877,4.81,274,540,812,1057,1338,1585,1852,2103,2294,2560,2814,3089,3347,3619,3885
49,0.10365,0.10482,0.12912,0.12862,4.84,274,540,812,1057,1339,1585,1852,2104,2293,2560,2814,3089,3346,3618,3885
50,0.10595,0.10711,0.12896,0.12845,4.89,275,540,813,1056,1340,1585,1853,2104,2292,2559,2813,3088,3345,3618,3885
51,0.10841,0.10954,0.12878,0.12828,4.93,275,540,813,1056,1341,1586,1853,2105,2291,2558,2812,3087,3345,3617,3884
52,0.11082,0.11195,0.1286,0.1281,4.96,275,541,813,1055,1342,1586,1853,2105,2290,2557,2811,3086,3344,3617,3884
53,0.11305,0.11417,0.12844,0.12794,5.0,275,541,814,1054,1343,1586,1854,2106,2289,2557,2810,3085,3343,3616,3884
54,0.11504,0.11613,0.1283,0.1278,5.04,276,541,814,1054,1344,1586,1854,2106,2288,2556,2809,3084,3343,3615,3883
55,0.11685,0.11792,0.12817,0.12767,5.08,276,541,814,1053,1345,1587,1854,2107,2288,2555,2808,3083,3342,3615,3883
56,0.11862,0.11968,0.12804,0.12755,5.13,276,541,815,1052,1345,1587,1855,2107,2287,2554,2807,3082,3341,3614,3883
57,0.12046,0.12155,0.12791,0.12741,5.17,276,541,815,1052,1346,1587,1855,2108,2286,2553,2806,3081,3341,3613,3883
58,0.12245,0.12357,0.12776,0.12726,5.21,277,541,815,1051,1347,1587,1856,2108,2285,2553,2805,3081,3340,3613,3882
59,0.12459,0.12578,0.12761,0.1271,5.25,277,542,815,1050,1348,1588,1857,2109,2284,2552,2804,3080,3339,3612,3882
60,0.12681,0.12808,0.12744,0.12694,5.29,277,542,816,1050,1349,1588,1858,2109,2283,2551,2803,3079,3339,3611,3882
61,0.12902,0.13039,0.12728,0.12677,5.32,277,542,816,1049,1350,1589,1858,2110,2282,2550,2802,3078,3338,3611,3881
62,0.13115,0.13262,0.12713,0.1266,5.37,278,542,816,1048,1351,1589,1859,2110,2281,2549,2802,3077,3337,3610,3881
63,0.13318,0.13476,0.12698,0.12645,5.4,278,542,816,1048,1352,1589,1860,2111,2280,2548,2801,3077,3336,3609,3881
64,0.13513,0.13682,0.12683,0.1263,5.44,278,542,816,1047,1352,1590,1861,2111,2279,2547,2800,3076,3336,3609,3880
65,0.13705,0.13885,0.12669,0.12615,5.47,279,543,816,1046,1353,1590,1862,2112,2279,2547,2799,3075,3335,3608,3880
66,0.13901,0.1409,0.12655,0.126,5.51,279,543,816,1046,1354,1590,1862,2112,2278,2546,2798,3075,3334,3607,3880
67,0.14105,0.14302,0.1264,0.12584,5.54,279,543,816,1045,1355,1591,1863,2113,2277,2545,2797,3074,3334,3607,3879
68,0.14316,0.14519,0.12624,0.12568,5.58,279,543,816,1044,1356,1591,1864,2113,2276,2544,2796,3073,3333,3606,3879
69,0.14529,0.14737,0.12609,0.12552,5.63,280,543,816,1043,1357,1591,1864,2113,2275,2543,2795,3072,3332,3605,3879
70,0.14739,0.14953,0.12593,0.12537,5.67,280,543,816,1042,1357,1592,1865,2114,2274,2542,2794,3072,3332,3605,3879
71,0.14943,0.15162,0.12578,0.12521,5.71,280,543,816,1041,1358,1592,1866,2114,2273,2541,2793,3071,3331,3604,3878
72,0.1514,0.15366,0.12564,0.12506,5.74,280,543,816,1040,1359,1592,1866,2114,2272,2540,2792,3070,3331,3603,3878
73,0.15334,0.15567,0.12549,0.12491,5.78,281,543,816,1040,1360,1592,1867,2115,2271,2539,2792,3070,3330,3602,3878
74,0.15528,0.1577,0.12535,0.12476,5.82,281,543,815,1039,1361,1593,1868,2115,2271,2538,2791,3069,3329,3602,3877
75,0.15726,0.15977,0.1252,0.12461,5.86,281,542,815,1038,1361,1593,1869,2116,2270,2537,2790,3069,3329,3601,3877
