epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.053,0.05025,0.13272,0.13248,2.88,382,760,1138,1516,1893,2271,2647,3024,3402,3780
1,0.07019,0.06883,0.13151,0.13118,2.92,383,761,1139,1517,1894,2271,2646,3023,3401,3780
2,0.07115,0.07077,0.13144,0.13104,2.96,383,761,1139,1517,1895,2271,2647,3023,3401,3779
3,0.07002,0.07003,0.13152,0.13109,3.0,383,762,1139,1516,1895,2272,2648,3022,3400,3779
4,0.07394,0.0741,0.13124,0.13081,3.04,384,762,1139,1516,1894,2272,2648,3021,3400,3779
5,0.08241,0.08249,0.13064,0.13021,3.09,384,763,1139,1515,1894,2273,2649,3020,3399,3778
6,0.09239,0.09222,0.12993,0.12952,3.13,384,763,1138,1514,1893,2273,2649,3019,3399,3778
7,0.10112,0.10063,0.1293,0.12892,3.17,385,764,1138,1513,1893,2273,2649,3018,3398,3777
8,0.10725,0.10642,0.12886,0.1285,3.25,385,764,1137,1513,1892,2273,2649,3017,3397,3777
9,0.11106,0.1101,0.12859,0.12824,3.3,385,765,1137,1512,1891,2273,2649,3017,3397,3777
10,0.1141,0.1131,0.12837,0.12802,3.34,386,765,1136,1511,1891,2273,2650,3016,3396,3776
11,0.11808,0.11726,0.12808,0.12772,3.38,386,765,1136,1511,1890,2273,2650,3015,3395,3776
12,0.1242,0.12374,0.12763,0.12725,3.43,386,765,1136,1511,1890,2273,2650,3014,3395,3776
13,0.13253,0.13238,0.12703,0.12662,3.47,387,765,1136,1510,1890,2273,2650,3014,3394,3775
14,0.14168,0.14186,0.12635,0.12593,3.6,387,765,1136,1510,1890,2273,2649,3013,3394,3775
15,0.14968,0.15025,0.12576,0.12531,3.65,387,765,1136,1511,1891,2274,2649,3013,3393,3775
16,0.15457,0.15534,0.1254,0.12494,3.69,388,764,1136,1511,1891,2274,2649,3013,3393,3775
17,0.15856,0.15962,0.1251,0.12462,3.74,388,764,1136,1511,1891,2274,2648,3012,3393,3774
18,0.1622,0.16358,0.12483,0.12432,3.78,388,763,1136,1511,1892,2274,2647,3012,3392,3774
19,0.16544,0.16714,0.12459,0.12406,3.82,389,763,1136,1511,1892,2273,2646,3012,3392,3774
20,0.16846,0.17047,0.12437,0.12381,3.87,389,762,1136,1511,1893,2273,2645,3012,3392,3773
21,0.17154,0.17381,0.12414,0.12356,3.91,390,762,1136,1512,1893,2273,2644,3012,3392,3773
22,0.17478,0.17726,0.12389,0.1233,3.95,390,761,1136,1512,1894,2273,2643,3011,3392,3772
23,0.17806,0.18071,0.12365,0.12305,4.0,390,761,1136,1512,1894,2272,2642,3011,3392,3772
24,0.18117,0.18395,0.12341,0.1228,4.04,391,760,1135,1512,1894,2272,2641,3011,3392,3772
25,0.184,0.18691,0.1232,0.12258,4.09,391,759,1135,1512,1895,2272,2640,3011,3392,3771
26,0.18663,0.18968,0.123,0.12237,4.13,391,758,1135,1512,1895,2272,2639,3011,3392,3771
27,0.18923,0.19247,0.1228,0.12216,4.17,392,758,1135,1512,1896,2271,2638,3012,3393,3771
28,0.1919,0.19537,0.1226,0.12194,4.22,392,757,1135,1512,1896,2271,2637,3012,3393,3770
29,0.19462,0.19835,0.12239,0.12171,4.26,392,756,1135,1513,1897,2271,2635,3012,3393,3770
30,0.19724,0.20128,0.1222,0.12149,4.3,393,755,1135,1513,1898,2271,2634,3012,3394,3769
31,0.1997,0.20404,0.12201,0.12128,4.35,393,755,1135,1513,1898,2271,2633,3012,3394,3769
32,0.20207,0.20667,0.12183,0.12108,4.39,394,754,1134,1513,1899,2271,2632,3013,3395,3769
33,0.20446,0.20928,0.12164,0.12088,4.43,394,753,1134,1513,1900,2271,2630,3013,3395,3768
34,0.20693,0.21196,0.12146,0.12068,4.47,394,752,1134,1514,1900,2271,2629,3013,3396,3768
35,0.20947,0.21466,0.12126,0.12047,4.51,395,752,1134,1514,1901,2271,2628,3014,3396,3768
36,0.21204,0.2174,0.12106,0.12026,4.55,395,751,1134,1514,1902,2270,2627,3014,3397,3767
37,0.21471,0.22023,0.12086,0.12004,4.59,396,750,1134,1514,1902,2270,2626,3015,3397,3767
38,0.21762,0.22327,0.12063,0.11981,4.64,396,749,1134,1515,1903,2270,2624,3015,3398,3766
39,0.22077,0.22662,0.12039,0.11955,4.68,396,748,1134,1515,1904,2270,2623,3016,3399,3766
40,0.22371,0.22982,0.12016,0.1193,4.72,397,747,1134,1515,1905,2269,2622,3016,3399,3766
41,0.22629,0.23247,0.11996,0.1191,4.76,397,747,1133,1516,1905,2269,2621,3017,3400,3765
42,0.22869,0.23478,0.11978,0.11892,4.81,398,746,1133,1516,1906,2268,2620,3017,3401,3765
43,0.23095,0.23695,0.1196,0.11875,4.85,398,745,1133,1516,1907,2268,2619,3018,3401,3765
44,0.2331,0.23903,0.11944,0.11858,4.89,398,744,1133,1517,1907,2268,2618,3019,3402,3765
45,0.23521,0.24112,0.11927,0.11842,4.94,399,743,1133,1517,1908,2268,2616,3019,3403,3764
46,0.23744,0.24337,0.1191,0.11825,4.98,399,743,1133,1517,1909,2267,2615,3020,3403,3764
47,0.23976,0.2457,0.11892,0.11806,5.02,399,742,1133,1518,1909,2267,2614,3021,3404,3764
48,0.24206,0.2481,0.11873,0.11788,5.06,400,741,1133,1518,1910,2266,2613,3022,3405,3763
49,0.24432,0.25049,0.11856,0.11769,5.1,400,740,1133,1519,1910,2266,2612,3022,3406,3763
50,0.24662,0.253,0.11838,0.11749,5.14,401,739,1132,1519,1911,2265,2611,3023,3406,3763
51,0.249,0.2556,0.11819,0.11729,5.19,401,738,1132,1519,1911,2265,2610,3024,3407,3762
52,0.25139,0.25823,0.118,0.11708,5.23,401,738,1132,1520,1912,2264,2609,3025,3408,3762
53,0.25376,0.26085,0.11782,0.11687,5.27,402,737,1132,1520,1912,2263,2608,3026,3409,3762
54,0.25611,0.26346,0.11763,0.11667,5.31,402,736,1132,1520,1913,2263,2607,3027,3409,3762
55,0.2585,0.26609,0.11744,0.11646,5.35,402,735,1131,1520,1914,2262,2606,3027,3410,3761
56,0.26095,0.26874,0.11725,0.11625,5.39,403,734,1131,1521,1914,2262,2605,3028,3411,3761
57,0.26339,0.27136,0.11705,0.11604,5.44,403,733,1131,1521,1915,2261,2604,3029,3412,3761
58,0.26583,0.27399,0.11686,0.11583,5.48,403,732,1131,1521,1915,2260,2603,3030,3412,3761
59,0.2683,0.27665,0.11666,0.11562,5.53,404,732,1131,1522,1916,2259,2602,3031,3413,3760
60,0.27079,0.27936,0.11646,0.1154,5.57,404,731,1130,1522,1916,2259,2601,3032,3414,3760
61,0.2733,0.28209,0.11626,0.11518,5.61,405,730,1130,1522,1917,2258,2600,3033,3415,3760
62,0.2758,0.28478,0.11606,0.11496,5.65,405,729,1130,1522,1918,2257,2599,3034,3416,3760
63,0.27831,0.28748,0.11586,0.11475,5.69,405,728,1130,1523,1918,2256,2598,3035,3416,3759
64,0.28085,0.29018,0.11566,0.11453,5.74,406,727,1130,1523,1919,2255,2597,3037,3417,3759
65,0.2834,0.29287,0.11545,0.11431,5.78,406,726,1130,1523,1919,2254,2595,3038,3418,3759
66,0.28595,0.29557,0.11525,0.11409,5.83,406,726,1129,1523,1920,2254,2594,3039,3419,3759
67,0.28851,0.29831,0.11504,0.11387,5.87,406,725,1129,1524,1920,2253,2593,3040,3419,3759
68,0.29109,0.30108,0.11483,0.11365,5.91,407,724,1129,1524,1921,2252,2592,3041,3420,3758
69,0.2937,0.30387,0.11462,0.11342,5.96,407,723,1129,1524,1922,2251,2591,3042,3421,3758
70,0.2963,0.30665,0.11441,0.11319,6.0,407,722,1129,1525,1922,2250,2590,3043,3422,3758
71,0.29894,0.30941,0.11419,0.11297,6.04,408,721,1129,1525,1923,2249,2589,3044,3423,3758
72,0.3016,0.31221,0.11398,0.11274,6.09,408,720,1128,1525,1923,2248,2588,3045,3423,3758
73,0.30428,0.31499,0.11376,0.11251,6.13,408,720,1128,1526,1924,2247,2586,3046,3424,3757
74,0.30696,0.31777,0.11354,0.11228,6.17,409,719,1128,1526,1924,2246,2585,3047,3425,3757
75,0.30966,0.3206,0.11332,0.11205,6.21,409,718,1128,1526,1925,2245,2584,3048,3426,3757
76,0.31238,0.32345,0.11309,0.11181,6.25,409,717,1128,1527,1925,2244,2583,3049,3427,3757
77,0.3151,0.3263,0.11287,0.11158,6.29,409,716,1128,1527,1926,2243,2582,3050,3428,3757
78,0.31783,0.32915,0.11264,0.11134,6.33,410,715,1127,1527,1926,2242,2581,3051,3428,3757
79,0.32059,0.33201,0.11242,0.1111,6.37,410,714,1127,1527,1927,2241,2579,3052,3429,3757
80,0.32335,0.33489,0.11219,0.11086,6.41,410,714,1127,1528,1928,2240,2578,3053,3430,3757
81,0.32613,0.33778,0.11196,0.11062,6.45,411,713,1127,1528,1928,2239,2577,3054,3431,3757
82,0.32893,0.3407,0.11172,0.11038,6.49,411,712,1127,1528,1929,2238,2576,3054,3432,3756
83,0.33176,0.34365,0.11149,0.11013,6.54,411,711,1127,1529,1930,2237,2574,3055,3433,3756
84,0.3346,0.34661,0.11125,0.10988,6.58,411,710,1127,1529,1931,2236,2573,3056,3434,3756
85,0.33746,0.34959,0.11101,0.10963,6.62,411,709,1127,1529,1931,2235,2572,3057,3435,3756
86,0.34033,0.35258,0.11077,0.10938,6.67,412,708,1127,1529,1932,2234,2570,3058,3436,3756
87,0.34323,0.3556,0.11053,0.10913,6.71,412,708,1127,1529,1933,2233,2569,3058,3437,3756
88,0.34615,0.35864,0.11028,0.10887,6.76,412,707,1127,1530,1934,2232,2568,3059,3438,3756
89,0.34908,0.3617,0.11003,0.10861,6.8,412,706,1127,1530,1936,2231,2566,3060,3438,3756
