epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,0.27638,0.27533,0.08,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
1,0,0,0.26706,0.26598,0.13,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
2,0,0,0.2598,0.25871,0.2,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
3,0,0,0.25335,0.25227,0.26,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
4,0,0,0.24683,0.24574,0.31,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
5,0,0,0.24013,0.23902,0.36,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
6,0,0,0.23329,0.23217,0.42,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
7,0,0,0.22637,0.22525,0.48,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
8,0,0,0.21944,0.21831,0.53,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
9,0,0,0.21259,0.21143,0.58,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
10,0,0,0.20587,0.20469,0.64,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
11,0,0,0.19938,0.19815,0.7,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
12,0,0,0.19317,0.19191,0.75,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
13,0,0,0.18733,0.18605,0.81,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
14,0,0,0.18195,0.18064,0.88,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
15,0,0,0.17708,0.17575,0.94,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
16,0,0,0.17281,0.17147,1.0,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
17,0,0,0.16919,0.16785,1.06,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
18,0,0,0.16626,0.16492,1.11,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
19,0,0,0.16402,0.1627,1.16,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
20,0,0,0.16248,0.16118,1.22,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
21,0,0,0.1616,0.16032,1.27,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
22,0,0,0.16134,0.16009,1.32,3,6,9,12,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
23,0,0,0.16163,0.16042,1.37,3,6,9,12,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
24,0,0,0.1623,0.16114,1.44,3,6,9,12,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
25,0,0,0.16314,0.16201,1.49,3,6,9,12,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
26,0,0,0.16391,0.16281,1.55,3,6,9,12,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
27,0,0,0.16448,0.1634,1.61,3,6,9,12,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
28,0,0,0.16476,0.1637,1.66,3,6,9,12,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
29,0,0,0.16473,0.16367,1.72,3,6,9,12,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
30,0,0,0.16442,0.16335,1.77,3,6,9,12,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
31,0,0,0.16388,0.16281,1.83,3,6,9,12,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
32,0,0,0.1632,0.16213,1.89,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
33,0,0,0.16248,0.16138,1.94,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
34,0,0,0.16174,0.16064,2.0,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
35,0,0,0.16103,0.15992,2.07,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
36,0,0,0.16035,0.15922,2.13,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,53,56,59,62
37,0,0,0.1597,0.15857,2.19,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,52,56,59,62
38,0,0,0.1591,0.15796,2.25,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,52,56,59,62
39,0,0,0.15855,0.15741,2.64,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,52,56,59,62
40,0,0,0.15807,0.15691,2.7,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,52,56,59,62
41,0,0,0.15764,0.15648,2.75,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,52,56,59,62
42,0,0,0.15728,0.15612,2.79,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,52,56,59,62
43,0,0,0.15697,0.15582,2.84,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,50,52,56,59,62
44,0,0,0.15671,0.15556,2.89,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
45,0,0,0.15649,0.15534,2.94,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
46,0,0,0.15629,0.15515,3.0,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
47,0,0,0.1561,0.15497,3.05,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
48,0,0,0.15591,0.15478,3.11,3,6,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
49,0,0,0.15572,0.1546,3.17,3,7,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
50,0,0,0.15551,0.1544,3.23,3,7,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
51,0,0,0.15529,0.15419,3.29,3,7,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
52,0,0,0.15507,0.15397,3.34,3,7,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
53,0,0,0.15483,0.15374,3.39,3,7,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
54,0,0,0.15459,0.1535,3.45,3,7,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
55,0,0,0.15434,0.15326,3.5,3,7,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
56,0,0,0.15409,0.15302,3.55,3,7,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
57,0,0,0.15385,0.15279,3.61,3,7,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
58,0,0,0.1536,0.15255,3.66,3,7,9,13,16,19,22,25,28,31,34,38,40,44,47,49,52,56,59,62
