epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.16735,0.16649,0.05,11,22,33,44,54
1,0,0,0.16018,0.15934,0.07,11,22,33,44,54
2,0,0,0.15403,0.15323,0.09,11,22,33,44,54
3,0,0,0.14889,0.14814,0.12,11,22,33,44,54
4,0,0,0.14476,0.14408,0.14,11,22,33,44,54
5,0,0,0.14165,0.14102,0.16,11,22,33,43,54
6,0,0,0.1395,0.13893,0.18,11,22,33,43,54
7,0,0,0.13819,0.13768,0.2,11,22,33,43,54
8,0,0,0.13758,0.13712,0.22,11,22,33,43,54
9,0,0,0.13752,0.13711,0.25,11,22,33,43,54
10,0,0,0.13782,0.13745,0.27,11,22,33,43,54
11,0,0,0.13829,0.13796,0.29,11,22,33,43,54
12,0,0,0.13877,0.13846,0.31,11,22,33,43,54
13,0,0,0.13913,0.13884,0.33,11,22,33,43,54
14,0,0,0.1393,0.13901,0.36,11,22,33,43,54
15,0,0,0.13925,0.13896,0.38,11,22,33,43,54
16,0,0,0.139,0.13871,0.4,11,22,33,43,54
17,0,0,0.13858,0.13829,0.42,11,22,33,43,54
18,0,0,0.13803,0.13773,0.45,11,22,33,43,54
19,0,0,0.1374,0.13708,0.47,11,22,33,43,54
20,0,0,0.13672,0.13639,0.49,11,22,33,43,54
21,0.00495,0.00354,0.13605,0.1357,0.51,11,22,33,43,54
22,0.01433,0.01319,0.1354,0.13504,0.53,11,22,33,43,54
23,0.02279,0.02195,0.13482,0.13444,0.56,11,22,33,43,54
24,0.03008,0.02959,0.13432,0.13391,0.58,11,22,32,43,54
25,0.03608,0.03595,0.1339,0.13347,0.61,11,22,32,43,54
26,0.04078,0.04106,0.13357,0.13312,0.63,11,22,32,43,54
27,0.04426,0.04489,0.13333,0.13285,0.65,11,22,32,43,54
28,0.04681,0.04769,0.13315,0.13266,0.67,11,22,32,43,54
29,0.04869,0.04978,0.13302,0.13251,0.69,11,22,32,43,54
30,0.05023,0.05146,0.13291,0.1324,0.72,11,22,32,43,54
31,0.05165,0.05298,0.13281,0.13229,0.74,11,22,32,43,54
32,0.05318,0.05455,0.13271,0.13218,0.77,11,22,32,43,54
33,0.05499,0.05639,0.13258,0.13205,0.79,11,22,32,43,54
34,0.05717,0.05858,0.13243,0.1319,0.81,11,22,32,43,54
35,0.05974,0.06115,0.13225,0.13172,0.83,11,22,32,43,54
36,0.06267,0.06408,0.13204,0.13151,0.85,11,22,32,43,54
37,0.0659,0.06732,0.13181,0.13128,0.88,11,22,32,43,54
38,0.06935,0.07071,0.13157,0.13105,0.9,11,22,32,43,54
39,0.07291,0.07419,0.13132,0.1308,0.92,11,22,32,43,54
40,0.07647,0.07767,0.13107,0.13055,0.94,11,22,32,43,54
41,0.07991,0.08101,0.13082,0.13032,0.97,11,22,32,43,54
