epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.18772,0.1955,0.87,264,523,782,1043,1303,1563,1820,2080,2342,2599,2859,3119,3379,3638,3899
1,0,0,0.18381,0.19178,0.89,263,523,782,1044,1304,1564,1820,2081,2341,2598,2858,3118,3378,3638,3899
2,0,0,0.17996,0.18806,0.9,263,522,781,1045,1305,1565,1820,2081,2340,2597,2857,3117,3377,3637,3899
3,0,0,0.17623,0.18449,0.92,263,522,781,1046,1306,1565,1820,2081,2340,2596,2857,3116,3377,3637,3899
4,0,0,0.17266,0.18113,0.94,263,521,780,1047,1307,1566,1821,2081,2340,2595,2856,3116,3376,3636,3900
5,0,0,0.16928,0.17803,0.96,263,521,780,1047,1308,1566,1821,2081,2341,2595,2855,3115,3375,3636,3900
6,0,0,0.16616,0.17522,0.98,263,520,779,1048,1309,1567,1821,2080,2341,2594,2854,3114,3375,3635,3900
7,0,0,0.16333,0.17272,1.0,263,520,779,1049,1309,1567,1821,2080,2341,2593,2854,3113,3374,3635,3900
8,0,0,0.16083,0.17055,1.02,263,519,778,1050,1310,1567,1822,2080,2341,2592,2853,3113,3373,3634,3901
9,0,0,0.15865,0.16871,1.04,264,519,778,1050,1311,1568,1822,2080,2341,2591,2852,3112,3373,3634,3901
10,0,0,0.15681,0.16717,1.06,264,519,777,1051,1312,1568,1822,2080,2341,2590,2852,3111,3372,3634,3901
11,0,0,0.15532,0.16597,1.08,264,518,777,1052,1313,1568,1822,2080,2341,2589,2851,3111,3371,3633,3901
12,0,0,0.15416,0.16508,1.1,264,518,776,1053,1314,1568,1823,2080,2341,2589,2851,3110,3371,3633,3901
13,0,0,0.15328,0.16444,1.13,265,518,776,1053,1315,1568,1823,2080,2341,2588,2850,3109,3370,3632,3901
14,0,0,0.15266,0.16402,1.16,265,517,775,1054,1316,1569,1823,2080,2341,2587,2850,3109,3370,3632,3901
15,0,0,0.15226,0.16378,1.19,265,517,775,1055,1317,1569,1824,2080,2341,2587,2849,3108,3369,3632,3900
16,0,0,0.15203,0.16368,1.21,265,517,775,1056,1318,1569,1824,2079,2341,2586,2849,3108,3368,3631,3900
17,0,0,0.15194,0.16369,1.24,266,517,775,1056,1319,1570,1825,2079,2341,2586,2848,3107,3368,3631,3900
18,0,0,0.15193,0.16377,1.26,266,517,774,1057,1320,1570,1825,2078,2341,2585,2848,3107,3367,3631,3900
19,0,0,0.15199,0.16388,1.29,266,516,774,1058,1320,1570,1825,2078,2341,2585,2847,3106,3366,3630,3900
20,0,0,0.15207,0.16399,1.31,266,516,774,1058,1321,1571,1826,2077,2341,2585,2847,3106,3366,3630,3900
21,0,0,0.15215,0.16409,1.34,267,516,774,1059,1322,1571,1826,2076,2341,2585,2846,3106,3365,3630,3899
22,0,0,0.1522,0.16414,1.36,267,516,774,1060,1323,1571,1827,2075,2340,2584,2846,3105,3364,3629,3899
23,0,0,0.15222,0.16415,1.39,267,516,774,1060,1324,1572,1827,2074,2340,2584,2846,3105,3364,3629,3899
24,0,0,0.15218,0.1641,1.41,268,516,774,1061,1325,1572,1828,2073,2340,2585,2846,3105,3363,3629,3899
25,0,0,0.1521,0.164,1.43,268,516,774,1061,1326,1572,1828,2072,2340,2585,2845,3105,3362,3628,3898
26,0,0,0.15196,0.16383,1.45,268,516,774,1062,1327,1573,1829,2071,2340,2585,2845,3104,3362,3628,3898
27,0,0,0.15178,0.16361,1.48,268,517,774,1062,1328,1573,1829,2070,2340,2585,2845,3104,3361,3628,3898
28,0,0,0.15156,0.16335,1.5,269,517,775,1063,1329,1574,1829,2069,2339,2585,2845,3104,3360,3627,3898
29,0,0,0.1513,0.16304,1.52,269,517,775,1064,1330,1574,1830,2068,2339,2586,2845,3104,3360,3627,3897
30,0,0,0.15102,0.16271,1.54,269,517,775,1064,1331,1574,1830,2067,2339,2586,2844,3103,3359,3627,3897
31,0,0,0.15073,0.16235,1.56,270,517,775,1065,1331,1574,1831,2066,2339,2586,2844,3103,3358,3626,3897
32,0,0,0.15043,0.16199,1.59,270,517,775,1065,1332,1575,1831,2065,2339,2587,2844,3103,3358,3626,3897
33,0,0,0.15014,0.16163,1.61,270,518,776,1066,1333,1575,1832,2064,2339,2587,2844,3102,3357,3626,3896
34,0,0,0.14986,0.16128,1.63,271,518,776,1066,1334,1575,1832,2063,2339,2588,2843,3102,3356,3625,3896
35,0,0,0.14959,0.16093,1.65,271,518,776,1067,1335,1575,1833,2061,2339,2588,2843,3102,3356,3625,3896
36,0,0,0.14934,0.1606,1.67,271,518,776,1067,1336,1575,1833,2060,2340,2588,2843,3102,3355,3624,3896
37,0,0,0.14909,0.16029,1.69,271,518,776,1068,1337,1576,1833,2059,2340,2589,2843,3101,3354,3624,3895
38,0,0,0.14885,0.15999,1.71,272,519,776,1068,1338,1576,1834,2058,2340,2589,2843,3101,3354,3624,3895
39,0,0,0.14863,0.15971,1.73,272,519,776,1069,1338,1576,1834,2057,2340,2590,2843,3101,3353,3623,3895
40,0,0,0.1484,0.15943,1.75,272,519,776,1069,1339,1577,1835,2055,2340,2590,2842,3101,3352,3623,3894
41,0,0,0.14819,0.15915,1.77,273,519,776,1070,1340,1577,1835,2054,2340,2591,2842,3100,3352,3623,3894
42,0,0,0.14796,0.15886,1.8,273,520,776,1070,1341,1577,1836,2053,2340,2591,2842,3100,3351,3622,3894
43,0,0,0.14773,0.15857,1.82,273,520,776,1071,1342,1577,1836,2052,2340,2591,2842,3100,3350,3622,3894
44,0,0,0.14748,0.15828,1.84,273,520,776,1071,1343,1578,1836,2050,2341,2592,2842,3100,3350,3622,3893
45,0,0,0.14722,0.15798,1.86,274,520,776,1072,1343,1578,1837,2049,2341,2592,2842,3099,3349,3621,3893
46,0,0,0.14695,0.15766,1.88,274,520,776,1073,1344,1578,1837,2048,2341,2593,2841,3099,3348,3621,3893
47,0,0,0.14667,0.15735,1.9,274,521,776,1073,1345,1579,1837,2046,2341,2593,2841,3098,3348,3621,3893
48,0,0,0.14641,0.15705,1.92,275,521,776,1074,1346,1579,1838,2045,2341,2593,2841,3098,3347,3620,3892
49,0.0024,0,0.14616,0.15677,1.94,275,521,776,1074,1347,1580,1838,2044,2342,2594,2841,3097,3347,3620,3892
50,0.00541,0.00122,0.14594,0.15653,1.95,275,521,775,1075,1348,1580,1838,2042,2342,2594,2840,3097,3346,3620,3892
51,0.00814,0.00399,0.14574,0.15631,1.97,275,521,775,1075,1348,1580,1838,2041,2342,2595,2840,3096,3345,3619,3892
52,0.01071,0.0065,0.14555,0.15611,2.0,276,522,775,1076,1349,1581,1838,2040,2342,2595,2840,3095,3345,3619,3891
53,0.01319,0.00895,0.14537,0.15592,2.02,276,522,774,1076,1350,1581,1839,2038,2343,2596,2839,3095,3344,3619,3891
54,0.01562,0.01139,0.14519,0.15573,2.04,276,522,774,1077,1351,1582,1839,2037,2343,2596,2839,3094,3344,3618,3891
55,0.01803,0.01381,0.14501,0.15554,2.06,277,522,774,1078,1352,1582,1839,2035,2343,2597,2839,3094,3343,3618,3890
56,0.02044,0.01628,0.14483,0.15534,2.08,277,522,773,1078,1352,1583,1839,2034,2344,2597,2838,3093,3342,3617,3890
57,0.02288,0.0188,0.14465,0.15515,2.09,277,523,773,1079,1353,1583,1840,2032,2344,2598,2838,3092,3342,3617,3890
58,0.02537,0.02139,0.14447,0.15494,2.11,277,523,773,1079,1354,1583,1840,2031,2344,2599,2838,3092,3341,3617,3890
59,0.02793,0.02408,0.14428,0.15473,2.13,278,523,772,1080,1355,1584,1840,2030,2344,2599,2838,3091,3341,3616,3889
60,0.03059,0.02692,0.14408,0.1545,2.15,278,523,772,1080,1356,1584,1841,2028,2345,2600,2837,3090,3340,3616,3889
61,0.03342,0.03003,0.14387,0.15426,2.17,278,524,771,1081,1356,1585,1841,2027,2345,2601,2837,3089,3340,3615,3889
62,0.03661,0.03367,0.14363,0.15397,2.2,279,524,771,1081,1357,1585,1841,2025,2345,2602,2837,3089,3339,3615,3888
63,0.0403,0.03784,0.14336,0.15363,2.22,279,524,770,1082,1358,1586,1842,2024,2346,2603,2836,3088,3338,3614,3888
64,0.04445,0.04238,0.14305,0.15327,2.24,279,524,770,1083,1359,1586,1842,2023,2346,2604,2836,3087,3338,3614,3888
65,0.04882,0.04718,0.14272,0.15288,2.27,279,524,769,1083,1359,1586,1842,2022,2347,2605,2836,3087,3337,3614,3887
66,0.05314,0.05186,0.1424,0.15251,2.29,280,525,769,1084,1360,1587,1843,2021,2347,2606,2835,3086,3337,3613,3887
67,0.05715,0.05624,0.14209,0.15216,2.31,280,525,768,1084,1361,1587,1843,2020,2347,2607,2835,3085,3336,3613,3887
68,0.0608,0.0603,0.14182,0.15183,2.33,280,525,767,1085,1362,1588,1843,2019,2348,2608,2835,3084,3336,3612,3887
69,0.06421,0.06403,0.14156,0.15153,2.35,281,525,767,1085,1362,1588,1843,2018,2348,2610,2834,3084,3335,3612,3886
70,0.06738,0.06742,0.14132,0.15125,2.37,281,525,766,1086,1363,1589,1843,2017,2348,2611,2834,3083,3335,3611,3886
71,0.0704,0.07079,0.14109,0.15098,2.39,281,526,765,1087,1364,1589,1844,2016,2349,2612,2834,3082,3334,3611,3886
72,0.07344,0.07411,0.14086,0.15071,2.41,282,526,765,1087,1365,1590,1844,2016,2349,2614,2833,3081,3334,3610,3885
73,0.07662,0.07744,0.14062,0.15044,2.43,282,526,764,1088,1365,1590,1844,2015,2350,2615,2833,3080,3333,3610,3885
74,0.07995,0.08081,0.14037,0.15016,2.45,282,526,763,1088,1366,1591,1844,2015,2350,2617,2833,3079,3332,3609,3885
75,0.08338,0.08423,0.1401,0.14988,2.47,283,526,762,1089,1367,1591,1845,2014,2350,2619,2832,3078,3332,3609,3884
76,0.08683,0.08754,0.13984,0.14961,2.49,283,527,761,1090,1367,1592,1845,2014,2351,2620,2832,3077,3331,3608,3884
77,0.09023,0.09076,0.13958,0.14935,2.51,283,527,761,1090,1368,1592,1845,2014,2351,2622,2831,3077,3331,3608,3884
78,0.09352,0.09389,0.13933,0.14909,2.53,284,527,760,1091,1368,1593,1846,2013,2352,2623,2831,3076,3330,3607,3883
79,0.09668,0.09693,0.13908,0.14884,2.55,284,527,759,1092,1369,1593,1846,2013,2352,2625,2830,3075,3329,3607,3883
