epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.14394,0.14322,2.84,264,524,784,1043,1301,1563,1823,2082,2342,2601,2861,3120,3379,3639,3898
1,0,0,0.14296,0.1423,2.89,264,524,784,1044,1302,1564,1824,2083,2342,2602,2862,3121,3378,3639,3898
2,0,0,0.14241,0.14183,2.95,265,525,785,1045,1302,1565,1824,2084,2343,2603,2862,3122,3377,3639,3898
3,0,0,0.14181,0.14128,3.0,265,525,785,1046,1303,1565,1825,2085,2343,2604,2863,3123,3377,3638,3897
4,0,0,0.14105,0.14053,3.06,265,526,786,1047,1303,1566,1826,2086,2343,2605,2863,3123,3376,3638,3897
5,0,0,0.14038,0.13986,3.11,265,526,786,1047,1304,1567,1827,2087,2343,2606,2863,3124,3375,3637,3897
6,0,0,0.13972,0.1392,3.17,266,527,787,1048,1305,1568,1828,2088,2344,2607,2863,3124,3375,3637,3896
7,0,0,0.13912,0.13859,3.25,266,527,787,1049,1306,1569,1829,2089,2344,2607,2862,3125,3374,3636,3896
8,0,0,0.13859,0.13805,3.31,266,527,788,1050,1306,1570,1829,2090,2345,2608,2862,3126,3373,3636,3896
9,0,0,0.13808,0.13754,3.37,266,528,789,1051,1307,1571,1830,2091,2345,2609,2861,3126,3372,3635,3896
10,0,0,0.13754,0.137,3.51,267,528,789,1051,1307,1572,1831,2092,2345,2610,2860,3127,3372,3635,3895
11,0,0,0.13695,0.13641,3.57,267,529,790,1052,1308,1573,1832,2093,2345,2611,2860,3128,3371,3635,3895
12,0.00111,0.0025,0.13631,0.13577,3.63,267,529,791,1053,1309,1573,1833,2094,2345,2612,2859,3128,3370,3634,3895
13,0.01076,0.01209,0.13565,0.13512,3.69,267,529,791,1054,1309,1574,1834,2095,2345,2613,2859,3129,3370,3634,3895
14,0.02012,0.02139,0.135,0.13448,3.75,268,530,792,1055,1310,1575,1835,2096,2345,2614,2858,3130,3369,3633,3894
15,0.02903,0.03025,0.13439,0.13387,3.81,268,530,793,1055,1310,1576,1836,2097,2344,2615,2857,3130,3368,3633,3894
16,0.03761,0.03882,0.13379,0.13328,3.86,268,530,793,1056,1311,1576,1838,2098,2344,2616,2857,3131,3368,3632,3894
17,0.04607,0.04727,0.13321,0.13269,3.93,268,531,794,1057,1311,1577,1838,2099,2344,2617,2856,3131,3367,3632,3893
18,0.05454,0.05576,0.13261,0.1321,3.98,269,531,795,1058,1311,1578,1839,2100,2343,2618,2855,3132,3366,3631,3893
19,0.06302,0.06447,0.13202,0.13148,4.04,269,531,796,1059,1312,1578,1840,2101,2343,2619,2855,3133,3366,3631,3893
20,0.07128,0.073,0.13143,0.13088,4.1,269,531,796,1059,1312,1579,1841,2102,2343,2620,2854,3133,3365,3630,3893
21,0.07894,0.08094,0.13089,0.13032,4.15,269,532,797,1060,1313,1580,1842,2103,2343,2621,2853,3134,3364,3630,3892
22,0.08591,0.08826,0.13039,0.1298,4.21,270,532,798,1061,1314,1581,1843,2104,2342,2622,2852,3134,3364,3629,3892
23,0.09241,0.09503,0.12993,0.12932,4.27,270,532,799,1062,1314,1581,1844,2105,2342,2623,2852,3135,3363,3629,3892
24,0.09874,0.10155,0.12948,0.12885,4.32,270,532,799,1063,1315,1582,1845,2106,2342,2624,2851,3135,3362,3629,3891
25,0.105,0.10787,0.12902,0.1284,4.38,271,532,800,1063,1315,1583,1846,2106,2341,2625,2850,3136,3361,3628,3891
26,0.11112,0.114,0.12858,0.12796,4.44,271,532,801,1064,1315,1584,1847,2107,2341,2626,2850,3136,3361,3628,3891
27,0.11695,0.11976,0.12816,0.12754,4.49,271,532,801,1065,1316,1584,1848,2108,2341,2627,2849,3136,3360,3627,3891
28,0.12241,0.12517,0.12776,0.12715,4.55,271,532,802,1066,1316,1585,1849,2109,2341,2628,2848,3137,3359,3627,3890
29,0.12763,0.13039,0.12738,0.12677,4.6,272,532,803,1066,1316,1586,1850,2110,2340,2629,2848,3137,3359,3626,3890
30,0.13271,0.13555,0.12701,0.12639,4.66,272,532,804,1067,1317,1586,1850,2110,2340,2629,2847,3138,3358,3626,3890
31,0.13767,0.14063,0.12665,0.12602,4.71,272,532,804,1068,1317,1587,1851,2111,2340,2630,2847,3138,3357,3625,3889
32,0.14239,0.14552,0.1263,0.12566,4.77,272,532,805,1069,1317,1588,1852,2112,2340,2631,2846,3138,3356,3625,3889
33,0.14683,0.15009,0.12597,0.12532,4.83,273,532,806,1070,1318,1588,1853,2112,2339,2632,2845,3139,3356,3624,3889
34,0.15107,0.15439,0.12566,0.12501,4.89,273,531,806,1070,1318,1589,1854,2113,2339,2633,2845,3139,3355,3624,3889
35,0.15528,0.15862,0.12535,0.12469,4.95,273,531,807,1071,1318,1590,1854,2114,2339,2634,2844,3139,3354,3624,3888
36,0.15954,0.16296,0.12503,0.12437,5.0,274,531,808,1072,1318,1590,1855,2114,2338,2635,2844,3140,3354,3623,3888
37,0.16388,0.16727,0.12471,0.12405,5.06,274,531,809,1073,1318,1591,1856,2115,2338,2636,2843,3140,3353,3623,3888
38,0.16833,0.17177,0.12438,0.12371,5.12,274,530,809,1074,1319,1591,1857,2116,2338,2637,2843,3140,3352,3622,3887
39,0.17298,0.17699,0.12403,0.12332,5.17,274,530,810,1074,1319,1592,1857,2116,2337,2637,2842,3140,3351,3622,3887
40,0.178,0.18277,0.12365,0.12289,5.24,275,530,811,1075,1319,1593,1858,2117,2337,2638,2842,3141,3351,3622,3887
41,0.18261,0.18743,0.1233,0.12254,5.31,275,529,811,1076,1319,1593,1859,2118,2337,2639,2841,3141,3350,3621,3886
42,0.18561,0.19009,0.12308,0.12234,5.37,275,529,812,1077,1319,1594,1859,2118,2336,2640,2841,3141,3349,3621,3886
43,0.18771,0.19222,0.12292,0.12218,5.44,276,529,812,1078,1320,1595,1860,2119,2336,2641,2840,3141,3348,3620,3886
44,0.19,0.19472,0.12274,0.12199,5.5,276,528,813,1079,1320,1595,1860,2119,2336,2642,2840,3141,3348,3620,3885
45,0.19258,0.19757,0.12255,0.12177,5.56,276,528,814,1079,1320,1596,1861,2120,2335,2642,2839,3142,3347,3620,3885
46,0.19578,0.20098,0.12231,0.12151,5.62,276,527,814,1080,1320,1597,1862,2121,2335,2643,2839,3142,3346,3619,3885
47,0.19957,0.20489,0.12202,0.12122,5.69,277,527,815,1081,1321,1598,1862,2121,2335,2644,2838,3142,3346,3619,3884
48,0.20307,0.20857,0.12175,0.12093,5.76,277,526,815,1082,1321,1598,1863,2121,2335,2645,2838,3142,3345,3619,3884
49,0.20579,0.2115,0.12154,0.12071,5.84,277,526,816,1083,1321,1599,1864,2122,2335,2645,2838,3142,3344,3619,3884
50,0.20826,0.2143,0.12135,0.1205,5.91,278,525,816,1084,1321,1600,1864,2122,2335,2646,2837,3142,3343,3618,3883
51,0.21068,0.21715,0.12117,0.12028,5.99,278,525,816,1085,1321,1600,1865,2123,2334,2647,2837,3142,3343,3618,3883
52,0.21308,0.21989,0.12098,0.12007,6.06,278,524,817,1086,1322,1601,1865,2123,2334,2648,2836,3142,3342,3618,3883
53,0.21552,0.22266,0.1208,0.11985,6.12,278,524,817,1086,1322,1602,1866,2124,2334,2648,2836,3142,3341,3617,3883
54,0.21831,0.22567,0.12058,0.11962,6.19,279,523,818,1087,1322,1602,1866,2124,2334,2649,2835,3142,3340,3617,3882
55,0.22141,0.22879,0.12034,0.11938,6.25,279,523,818,1088,1323,1603,1867,2125,2333,2650,2835,3142,3340,3617,3882
56,0.22435,0.23161,0.12011,0.11916,6.31,279,522,819,1089,1323,1604,1867,2125,2333,2651,2834,3142,3339,3617,3881
57,0.22702,0.2342,0.11991,0.11896,6.37,280,522,819,1090,1323,1604,1868,2126,2332,2651,2834,3142,3338,3617,3881
58,0.22967,0.23688,0.1197,0.11875,6.43,280,521,819,1091,1324,1605,1868,2126,2332,2652,2833,3142,3337,3616,3881
