epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.26429,0.26339,2.31,382,760,1138,1514,1891,2269,2647,3024,3402,3780
1,0,0,0.25666,0.25578,2.34,383,761,1139,1514,1890,2269,2646,3023,3401,3780
2,0,0,0.24834,0.24744,2.36,383,761,1140,1515,1889,2270,2646,3023,3401,3779
3,0,0,0.23992,0.23901,2.39,383,762,1140,1516,1888,2270,2646,3022,3401,3779
4,0,0,0.23152,0.23057,2.42,384,762,1141,1517,1887,2270,2646,3021,3400,3779
5,0,0,0.22322,0.22224,2.45,384,763,1142,1518,1886,2269,2646,3020,3400,3778
6,0,0,0.2151,0.21411,2.48,384,764,1143,1519,1885,2269,2646,3019,3399,3778
7,0,0,0.2072,0.20622,2.51,385,764,1144,1520,1884,2269,2646,3018,3399,3778
8,0,0,0.1996,0.19864,2.55,385,765,1145,1521,1883,2270,2646,3018,3398,3777
9,0,0,0.19238,0.19142,2.58,385,765,1145,1522,1882,2270,2646,3017,3398,3777
10,0,0,0.1856,0.18464,2.61,386,766,1146,1523,1881,2270,2646,3016,3398,3777
11,0,0,0.17933,0.17835,2.64,386,766,1147,1524,1880,2270,2646,3015,3397,3777
12,0,0,0.17364,0.17265,2.67,386,767,1148,1524,1879,2270,2646,3014,3397,3776
13,0,0,0.16859,0.1676,2.7,387,767,1149,1525,1878,2269,2646,3013,3396,3776
14,0,0,0.16421,0.16324,2.72,387,768,1150,1526,1877,2269,2646,3012,3396,3776
15,0,0,0.16052,0.15958,2.75,387,768,1151,1527,1876,2270,2646,3011,3396,3776
16,0,0,0.15751,0.15659,2.78,388,769,1151,1528,1876,2270,2646,3010,3395,3776
17,0,0,0.15515,0.15426,2.81,388,769,1152,1529,1875,2270,2645,3009,3395,3776
18,0,0,0.1534,0.15254,2.84,388,770,1153,1530,1874,2270,2645,3009,3394,3776
19,0,0,0.15218,0.15136,2.87,389,770,1154,1530,1873,2270,2645,3008,3394,3776
20,0,0,0.15139,0.15064,2.89,389,771,1154,1531,1873,2270,2645,3007,3394,3776
21,0,0,0.15095,0.15023,2.93,389,771,1155,1532,1872,2270,2645,3006,3393,3776
22,0,0,0.15075,0.15005,2.96,389,772,1156,1532,1871,2270,2645,3005,3393,3776
23,0,0,0.15069,0.15,2.98,390,773,1156,1533,1871,2270,2645,3004,3393,3776
24,0,0,0.1507,0.15002,3.02,390,773,1157,1533,1870,2270,2644,3004,3392,3775
25,0,0,0.15071,0.15004,3.05,390,774,1157,1534,1870,2271,2644,3003,3392,3775
26,0,0,0.15067,0.15002,3.08,390,774,1158,1534,1870,2271,2644,3002,3392,3775
27,0,0,0.15059,0.14994,3.11,390,774,1158,1534,1869,2271,2643,3002,3391,3775
28,0,0,0.15048,0.14984,3.14,391,775,1158,1535,1869,2271,2643,3001,3391,3775
29,0,0,0.15032,0.14969,3.17,391,775,1159,1535,1869,2271,2642,3001,3391,3774
30,0,0,0.1501,0.14948,3.2,391,776,1159,1535,1868,2271,2642,3001,3390,3774
31,0,0,0.14981,0.14919,3.23,391,776,1159,1535,1868,2271,2642,3000,3390,3774
32,0,0,0.14946,0.14884,3.26,391,777,1159,1535,1868,2270,2641,3000,3390,3774
33,0,0,0.14905,0.14842,3.28,391,777,1159,1535,1868,2270,2641,3000,3389,3773
34,0,0,0.14861,0.14797,3.31,391,777,1160,1534,1868,2270,2640,3000,3389,3773
