epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.32662,0.32736,0.1,4,8,12,16,20,25,29,33,37,41,45,49,53,57,61
1,0,0,0.31777,0.31849,0.14,4,8,12,16,20,25,29,33,37,41,45,49,53,57,61
2,0,0,0.30856,0.30927,0.18,4,8,12,16,20,24,29,33,37,41,45,49,53,57,61
3,0,0,0.29923,0.2999,0.23,4,8,12,16,20,24,29,33,37,41,45,49,53,57,61
4,0,0,0.28992,0.29054,0.27,4,8,12,16,20,24,29,33,37,41,45,49,53,57,61
5,0,0,0.28073,0.2813,0.3,4,8,12,16,20,24,29,33,37,41,45,49,53,57,61
6,0,0,0.27168,0.27221,0.34,4,8,12,16,20,24,29,33,37,41,45,49,53,57,61
7,0,0,0.26279,0.26327,0.38,4,8,12,16,20,24,29,33,37,41,45,49,53,57,61
8,0,0,0.25408,0.2545,0.42,4,8,12,16,20,24,29,33,37,41,45,49,53,57,61
9,0,0,0.24561,0.246,0.46,4,8,12,17,20,24,29,33,37,41,45,49,53,57,61
10,0,0,0.23749,0.23786,0.5,4,8,12,17,20,24,29,33,37,41,45,49,53,57,61
11,0,0,0.22983,0.23017,0.54,4,8,12,17,20,24,29,33,37,41,45,49,53,57,61
12,0,0,0.22258,0.22289,0.58,4,8,12,17,20,24,29,33,37,41,45,49,53,57,61
13,0,0,0.21554,0.21583,0.61,4,8,12,17,21,24,29,33,37,41,45,49,53,57,61
14,0,0,0.20861,0.20887,0.65,4,8,12,17,21,24,29,33,37,41,45,49,53,57,61
15,0,0,0.20178,0.20201,0.68,4,8,12,17,21,24,29,33,37,41,45,49,53,57,61
16,0,0,0.19505,0.19524,0.72,4,8,12,17,21,24,29,33,37,41,45,49,53,57,61
17,0,0,0.18845,0.1886,0.77,4,8,12,17,21,24,29,33,37,41,45,49,53,57,61
18,0,0,0.18199,0.18211,0.81,4,8,13,17,21,24,29,33,37,41,45,49,53,57,61
19,0,0,0.17571,0.17579,0.85,4,8,13,17,21,24,29,33,37,41,45,49,53,57,61
20,0,0,0.16963,0.16966,0.9,4,8,13,17,21,24,29,33,37,41,45,49,53,57,61
21,0,0,0.16382,0.1638,0.94,4,8,13,17,21,24,29,33,37,41,45,49,53,57,61
22,0,0,0.1584,0.15833,0.98,4,8,13,17,21,24,29,33,37,41,45,49,53,57,61
23,0,0,0.15348,0.15337,1.02,4,8,13,17,21,24,29,33,37,41,45,49,53,57,61
24,0,0,0.1491,0.14894,1.06,4,8,13,17,21,24,29,33,37,41,45,49,53,57,61
25,0,0,0.14521,0.14501,1.1,4,8,13,17,21,24,29,33,37,41,45,49,53,57,61
26,0,0,0.14177,0.14151,1.14,4,8,13,17,21,24,29,33,37,41,45,49,53,57,61
27,0,0,0.13873,0.13842,1.19,4,8,13,17,21,24,29,33,37,41,45,49,53,57,61
28,0.00481,0.00352,0.13606,0.1357,1.23,4,8,13,17,21,24,29,33,37,41,45,49,53,57,61
