epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
0,0,0,0.16409,0.17343,2.13,1390,2772
1,0,0,0.1631,0.17247,2.14,1391,2772
2,0,0,0.16212,0.17152,2.14,1392,2771
3,0,0,0.16114,0.17058,2.15,1392,2770
4,0,0,0.16018,0.16964,2.16,1393,2770
5,0,0,0.15922,0.16872,2.17,1394,2769
6,0,0,0.15828,0.16781,2.17,1395,2769
7,0,0,0.15736,0.16692,2.18,1396,2768
8,0,0,0.15646,0.16603,2.19,1397,2768
9,0,0,0.15558,0.16517,2.2,1397,2768
10,0,0,0.15472,0.16431,2.2,1397,2767
11,0,0,0.15388,0.16348,2.21,1398,2766
12,0,0,0.15307,0.16268,2.22,1398,2766
13,0,0,0.15228,0.16189,2.23,1398,2765
14,0,0,0.15152,0.16114,2.24,1398,2765
15,0,0,0.15078,0.16041,2.24,1398,2764
16,0,0,0.15008,0.15971,2.25,1398,2764
17,0,0,0.14941,0.15903,2.26,1397,2763
18,0,0,0.14877,0.15839,2.27,1397,2763
19,0,0,0.14816,0.15778,2.28,1397,2763
20,0,0,0.14758,0.15721,2.29,1396,2762
21,0,0,0.14704,0.15667,2.29,1396,2762
22,0,0.00583,0.14654,0.15617,2.3,1396,2761
23,0.00361,0.01176,0.14607,0.1557,2.31,1395,2761
24,0.00946,0.01724,0.14564,0.15527,2.32,1395,2760
25,0.01481,0.02227,0.14525,0.15487,2.33,1394,2760
26,0.01965,0.02685,0.14489,0.15451,2.34,1394,2759
27,0.02399,0.031,0.14457,0.15418,2.35,1393,2759
28,0.02786,0.03471,0.14428,0.15388,2.36,1393,2759
29,0.03127,0.03802,0.14403,0.15362,2.37,1393,2759
30,0.03426,0.04092,0.14381,0.15339,2.38,1392,2758
31,0.03685,0.04347,0.14362,0.15318,2.38,1391,2758
32,0.03907,0.0457,0.14345,0.153,2.39,1391,2758
33,0.04094,0.04762,0.14331,0.15285,2.4,1390,2758
34,0.0425,0.04927,0.14319,0.15272,2.41,1390,2757
35,0.04379,0.05067,0.1431,0.1526,2.42,1389,2757
36,0.04484,0.05188,0.14302,0.15251,2.42,1389,2757
37,0.04569,0.0529,0.14295,0.15243,2.43,1388,2757
38,0.04639,0.05378,0.1429,0.15235,2.44,1387,2757
39,0.04697,0.05456,0.14286,0.15229,2.45,1386,2756
40,0.04745,0.05523,0.14282,0.15224,2.45,1385,2756
41,0.04786,0.05581,0.14279,0.15219,2.46,1384,2756
42,0.04822,0.05633,0.14277,0.15215,2.47,1384,2756
43,0.04858,0.05683,0.14274,0.15211,2.48,1383,2757
44,0.04891,0.05728,0.14271,0.15207,2.49,1382,2757
45,0.04926,0.05772,0.14269,0.15204,2.49,1381,2757
46,0.04963,0.05824,0.14266,0.15199,2.5,1380,2757
47,0.05,0.05876,0.14263,0.15195,2.51,1378,2757
48,0.0504,0.05929,0.1426,0.15191,2.52,1377,2757
49,0.0508,0.05979,0.14257,0.15187,2.52,1376,2758
50,0.05122,0.06031,0.14254,0.15183,2.53,1375,2758
51,0.05165,0.06084,0.14251,0.15179,2.54,1374,2758
52,0.05209,0.06135,0.14248,0.15174,2.55,1373,2758
53,0.05253,0.06188,0.14244,0.1517,2.56,1372,2758
54,0.05299,0.06241,0.14241,0.15166,2.56,1370,2758
55,0.05344,0.06294,0.14237,0.15162,2.57,1369,2759
56,0.05391,0.06347,0.14234,0.15157,2.58,1368,2759
57,0.05439,0.064,0.1423,0.15153,2.59,1367,2759
58,0.05486,0.06455,0.14227,0.15149,2.59,1366,2759
59,0.05533,0.06507,0.14223,0.15144,2.6,1364,2759
60,0.0558,0.06561,0.1422,0.1514,2.61,1363,2760
61,0.05627,0.06614,0.14216,0.15136,2.62,1362,2760
62,0.05674,0.06666,0.14212,0.15131,2.63,1361,2760
63,0.05721,0.06719,0.14209,0.15127,2.64,1359,2761
64,0.05767,0.06772,0.14205,0.15123,2.64,1358,2761
65,0.05814,0.06824,0.14202,0.15119,2.65,1357,2761
66,0.05861,0.06878,0.14198,0.15114,2.66,1356,2761
67,0.05908,0.06932,0.14195,0.1511,2.67,1354,2762
68,0.05953,0.06983,0.14191,0.15106,2.68,1353,2762
69,0.06,0.07037,0.14188,0.15101,2.68,1352,2762
70,0.06046,0.0709,0.14184,0.15097,2.69,1351,2762
71,0.06092,0.07144,0.14181,0.15093,2.7,1349,2762
72,0.06138,0.07196,0.14177,0.15088,2.71,1348,2762
73,0.06185,0.0725,0.14174,0.15084,2.71,1347,2763
74,0.06232,0.07305,0.1417,0.1508,2.72,1346,2763
75,0.06278,0.07359,0.14167,0.15075,2.73,1344,2763
76,0.06324,0.07412,0.14163,0.15071,2.74,1343,2763
77,0.0637,0.07466,0.1416,0.15066,2.74,1342,2763
78,0.06416,0.0752,0.14157,0.15062,2.75,1340,2763
79,0.06461,0.07574,0.14153,0.15058,2.76,1339,2763
80,0.06506,0.07627,0.1415,0.15053,2.77,1338,2763
81,0.06552,0.07682,0.14146,0.15049,2.78,1337,2763
82,0.06597,0.07734,0.14143,0.15045,2.78,1335,2763
83,0.06641,0.07788,0.14139,0.1504,2.79,1334,2763
84,0.06686,0.07841,0.14136,0.15036,2.8,1333,2763
85,0.06731,0.07895,0.14133,0.15031,2.81,1331,2763
86,0.06775,0.07949,0.14129,0.15027,2.82,1330,2763
87,0.0682,0.08002,0.14126,0.15023,2.82,1329,2763
88,0.06865,0.08056,0.14122,0.15018,2.83,1328,2763
89,0.0691,0.08107,0.14119,0.15014,2.84,1326,2763
90,0.06955,0.08157,0.14116,0.1501,2.85,1325,2763
91,0.06999,0.08207,0.14112,0.15006,2.85,1324,2763
92,0.07044,0.08258,0.14109,0.15002,2.86,1322,2763
93,0.07089,0.08309,0.14106,0.14998,2.87,1321,2764
94,0.07133,0.08361,0.14102,0.14993,2.88,1320,2764
95,0.07178,0.08412,0.14099,0.14989,2.89,1318,2764
96,0.07223,0.08462,0.14095,0.14985,2.89,1317,2764
97,0.07269,0.08512,0.14092,0.14981,2.9,1316,2764
98,0.07314,0.08561,0.14088,0.14977,2.91,1314,2764
99,0.0736,0.0861,0.14085,0.14973,2.92,1313,2765
100,0.07405,0.08659,0.14081,0.14969,2.92,1312,2765
101,0.07452,0.08707,0.14078,0.14965,2.93,1310,2765
102,0.07498,0.08756,0.14074,0.14961,2.94,1309,2765
103,0.07544,0.08806,0.14071,0.14957,2.95,1308,2765
104,0.07591,0.08856,0.14067,0.14953,2.95,1306,2766
105,0.07638,0.08907,0.14064,0.14949,2.96,1305,2766
106,0.07684,0.08958,0.1406,0.14944,2.97,1304,2766
107,0.07732,0.09008,0.14057,0.1494,2.98,1302,2766
108,0.0778,0.09061,0.14053,0.14936,2.99,1301,2766
109,0.07828,0.09116,0.14049,0.14931,2.99,1300,2766
110,0.07877,0.0917,0.14046,0.14927,3.0,1298,2766
111,0.07926,0.09225,0.14042,0.14923,3.01,1297,2767
112,0.07977,0.09282,0.14038,0.14918,3.02,1296,2767
113,0.08028,0.09335,0.14034,0.14913,3.02,1294,2767
114,0.0808,0.09389,0.1403,0.14909,3.03,1293,2767
115,0.08133,0.09444,0.14026,0.14905,3.04,1292,2767
116,0.08187,0.095,0.14022,0.149,3.05,1290,2767
117,0.08242,0.09558,0.14018,0.14895,3.06,1289,2767
118,0.08297,0.09617,0.14013,0.1489,3.06,1288,2767
119,0.08356,0.09679,0.14009,0.14885,3.07,1286,2767
120,0.08415,0.09743,0.14004,0.1488,3.08,1285,2767
121,0.08475,0.09804,0.14,0.14875,3.09,1284,2767
122,0.08535,0.09868,0.13995,0.1487,3.09,1282,2767
123,0.08595,0.09934,0.13991,0.14864,3.1,1281,2766
124,0.08656,0.09998,0.13986,0.14859,3.11,1279,2766
125,0.08718,0.10065,0.13981,0.14853,3.12,1278,2766
126,0.08781,0.10127,0.13976,0.14848,3.13,1277,2766
127,0.08844,0.10189,0.13972,0.14843,3.13,1275,2766
128,0.08909,0.10249,0.13967,0.14838,3.14,1274,2766
129,0.08974,0.10309,0.13962,0.14833,3.15,1273,2766
130,0.09039,0.10372,0.13957,0.14828,3.16,1271,2766
131,0.09104,0.10432,0.13952,0.14823,3.16,1270,2766
132,0.09168,0.10495,0.13947,0.14818,3.17,1268,2766
133,0.09233,0.10548,0.13942,0.14813,3.18,1267,2766
