epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.41439,0.41707,2.15,696,1390,2082,2772,3465
1,0,0,0.40975,0.41247,2.16,695,1391,2083,2772,3464
2,0,0,0.40512,0.4079,2.17,695,1392,2084,2771,3464
3,0,0,0.40052,0.40334,2.19,694,1392,2085,2770,3463
4,0,0,0.39594,0.3988,2.2,694,1393,2086,2769,3463
5,0,0,0.39137,0.39428,2.21,693,1394,2086,2769,3462
6,0,0,0.38682,0.38978,2.23,692,1395,2087,2768,3461
7,0,0,0.38228,0.38528,2.24,692,1396,2087,2767,3461
8,0,0,0.37775,0.38079,2.25,691,1397,2088,2767,3460
9,0,0,0.37321,0.3763,2.27,691,1398,2089,2766,3460
10,0,0,0.36867,0.37183,2.28,690,1398,2089,2765,3459
11,0,0,0.36413,0.36735,2.3,689,1399,2089,2765,3459
12,0,0,0.35958,0.36285,2.31,689,1399,2090,2764,3458
13,0,0,0.35503,0.35835,2.33,688,1398,2090,2763,3458
14,0,0,0.35046,0.35384,2.34,688,1398,2091,2763,3458
15,0,0,0.34589,0.34933,2.36,687,1398,2092,2762,3458
16,0,0,0.3413,0.3448,2.38,687,1397,2092,2761,3458
17,0,0,0.33671,0.34027,2.39,686,1397,2092,2760,3458
18,0,0,0.3321,0.33572,2.4,685,1397,2092,2760,3458
19,0,0,0.32748,0.33117,2.42,685,1397,2093,2759,3458
20,0,0,0.32284,0.32659,2.43,684,1397,2094,2758,3459
21,0,0,0.31819,0.32201,2.44,684,1398,2094,2757,3459
22,0,0,0.31353,0.31742,2.46,683,1398,2095,2757,3459
23,0,0,0.30885,0.31282,2.47,682,1398,2095,2756,3459
24,0,0,0.30416,0.30821,2.48,682,1398,2095,2755,3460
25,0,0,0.29945,0.30359,2.5,681,1398,2095,2754,3460
26,0,0,0.29472,0.29895,2.51,681,1398,2094,2754,3460
27,0,0,0.28998,0.2943,2.52,680,1398,2094,2753,3460
28,0,0,0.28522,0.28964,2.54,679,1398,2093,2752,3459
29,0,0,0.28045,0.28497,2.55,679,1398,2093,2751,3459
30,0,0,0.27566,0.28029,2.57,678,1398,2093,2751,3459
31,0,0,0.27085,0.2756,2.58,678,1398,2094,2750,3459
32,0,0,0.26604,0.2709,2.59,677,1398,2094,2749,3459
33,0,0,0.26122,0.26621,2.61,676,1398,2094,2748,3459
34,0,0,0.25639,0.26153,2.62,676,1398,2094,2747,3459
35,0,0,0.25157,0.25684,2.64,675,1398,2094,2746,3459
36,0,0,0.24674,0.25218,2.65,675,1398,2094,2746,3459
37,0,0,0.24193,0.24753,2.66,674,1398,2093,2745,3459
38,0,0,0.23714,0.24291,2.68,674,1398,2093,2744,3459
39,0,0,0.23237,0.23832,2.69,673,1398,2093,2743,3459
40,0,0,0.22765,0.23377,2.7,672,1398,2094,2742,3459
41,0,0,0.22298,0.22928,2.72,672,1398,2094,2742,3459
42,0,0,0.21838,0.22485,2.73,671,1398,2094,2741,3459
43,0,0,0.21385,0.22052,2.74,671,1398,2094,2740,3459
44,0,0,0.20942,0.21628,2.76,670,1398,2094,2739,3459
45,0,0,0.20509,0.21215,2.77,670,1398,2094,2738,3459
46,0,0,0.20088,0.20814,2.78,669,1398,2094,2738,3459
47,0,0,0.19681,0.20427,2.8,668,1398,2093,2737,3459
48,0,0,0.19288,0.20056,2.81,668,1398,2093,2736,3459
49,0,0,0.1891,0.19701,2.82,667,1398,2094,2735,3459
50,0,0,0.18549,0.19361,2.84,667,1398,2094,2735,3459
51,0,0,0.18204,0.19038,2.85,666,1398,2094,2734,3459
52,0,0,0.17877,0.18732,2.86,666,1398,2094,2733,3459
53,0,0,0.17568,0.18444,2.88,666,1398,2094,2732,3459
54,0,0,0.17278,0.18174,2.89,665,1398,2094,2731,3459
55,0,0,0.17005,0.17921,2.91,665,1398,2094,2731,3459
56,0,0,0.16749,0.17686,2.92,664,1398,2093,2730,3459
57,0,0,0.1651,0.17466,2.93,664,1398,2093,2729,3459
58,0,0,0.16288,0.17263,2.95,663,1398,2093,2729,3459
59,0,0,0.16081,0.17075,2.96,663,1398,2093,2728,3459
60,0,0,0.15892,0.16904,2.97,663,1398,2093,2727,3459
61,0,0,0.15722,0.16752,2.99,662,1398,2093,2727,3459
62,0,0,0.15574,0.16621,3.0,662,1398,2093,2726,3459
63,0,0,0.15447,0.1651,3.02,661,1398,2093,2726,3459
64,0,0,0.15342,0.1642,3.03,661,1398,2093,2725,3459
65,0,0,0.15258,0.16349,3.05,661,1398,2093,2724,3458
66,0,0,0.15193,0.16296,3.06,660,1398,2093,2724,3458
67,0,0,0.15146,0.16258,3.08,660,1398,2093,2723,3458
68,0,0,0.15113,0.16235,3.09,660,1398,2093,2723,3458
