epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.17202,0.2032,0.59,264,523,782,1043,1303,1561,1820,2080,2342,2599,2859,3119,3379,3638,3898
1,0,0,0.16798,0.19953,0.6,263,523,782,1044,1304,1562,1820,2079,2342,2598,2858,3118,3378,3638,3898
2,0,0,0.16401,0.19588,0.62,263,522,781,1045,1304,1562,1821,2078,2341,2597,2858,3117,3377,3637,3898
3,0,0,0.16017,0.19213,0.63,263,522,781,1046,1303,1563,1822,2077,2342,2596,2857,3116,3377,3637,3897
4,0,0,0.15653,0.18849,0.65,263,521,780,1046,1303,1563,1822,2076,2342,2595,2857,3116,3376,3636,3897
5,0,0,0.15315,0.18509,0.66,263,521,780,1047,1303,1562,1822,2075,2342,2594,2856,3115,3375,3636,3897
6,0,0,0.15005,0.18199,0.68,263,521,779,1048,1302,1562,1822,2074,2342,2594,2856,3114,3375,3635,3896
7,0,0,0.14727,0.17918,0.69,263,520,779,1049,1303,1562,1822,2073,2341,2594,2855,3114,3374,3635,3896
8,0,0,0.14486,0.17666,0.7,263,520,779,1050,1303,1561,1822,2072,2341,2595,2854,3113,3374,3635,3896
9,0,0,0.14281,0.17448,0.72,263,520,778,1050,1303,1561,1822,2071,2341,2595,2854,3112,3373,3634,3896
10,0,0,0.14115,0.17264,0.73,263,519,778,1051,1303,1562,1823,2070,2342,2595,2853,3112,3372,3634,3895
11,0,0,0.13986,0.17114,0.74,264,519,777,1052,1303,1562,1823,2069,2342,2596,2853,3111,3372,3633,3895
12,0,0,0.13892,0.16995,0.75,264,519,777,1053,1304,1562,1823,2068,2342,2596,2852,3110,3371,3633,3895
13,0,0,0.13828,0.16904,0.76,264,519,777,1053,1304,1562,1823,2067,2342,2596,2852,3110,3371,3633,3894
14,0,0,0.13789,0.16836,0.78,264,518,777,1054,1304,1562,1823,2066,2342,2596,2851,3109,3370,3632,3894
15,0,0,0.13769,0.16788,0.79,265,518,777,1055,1305,1563,1824,2066,2342,2596,2851,3109,3369,3632,3894
16,0,0,0.13761,0.16754,0.8,265,518,777,1055,1305,1563,1824,2065,2342,2596,2850,3108,3369,3632,3893
17,0,0,0.13761,0.16729,0.82,265,518,776,1056,1306,1563,1824,2064,2341,2596,2850,3108,3368,3632,3893
18,0,0,0.13764,0.1671,0.83,265,518,776,1057,1306,1563,1825,2063,2341,2596,2850,3107,3368,3631,3893
19,0,0,0.13766,0.16696,0.84,266,518,776,1058,1307,1563,1825,2062,2341,2596,2849,3106,3367,3631,3892
20,0,0,0.13766,0.16683,0.86,266,518,777,1058,1308,1563,1825,2061,2340,2596,2849,3106,3366,3631,3892
21,0,0,0.13761,0.16669,0.87,266,518,777,1059,1309,1563,1826,2061,2340,2596,2849,3105,3366,3631,3892
22,0,0,0.13751,0.16654,0.89,266,518,777,1059,1310,1563,1826,2060,2340,2596,2848,3105,3365,3631,3892
23,0,0,0.13735,0.16636,0.99,267,518,777,1060,1310,1563,1827,2059,2340,2596,2848,3104,3364,3631,3891
24,0,0,0.13715,0.16618,1.01,267,518,777,1061,1311,1563,1827,2058,2341,2596,2847,3104,3364,3631,3891
25,0,0,0.1369,0.16599,1.02,267,518,778,1061,1312,1564,1828,2057,2341,2597,2847,3103,3363,3631,3891
26,0,0,0.13661,0.16579,1.03,268,519,778,1062,1313,1564,1828,2057,2341,2597,2847,3102,3363,3631,3890
27,0,0,0.13629,0.16558,1.05,268,519,778,1062,1314,1564,1829,2056,2341,2597,2847,3102,3362,3631,3890
