epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
0,0.02014,0.02092,0.14486,0.15498,0.78,1390,2772
1,0.02166,0.02277,0.14474,0.15483,0.79,1391,2772
2,0.02312,0.0245,0.14464,0.15469,0.79,1392,2771
3,0.02454,0.02618,0.14453,0.15456,0.8,1392,2770
4,0.02595,0.02785,0.14443,0.15443,0.8,1393,2769
5,0.02733,0.02951,0.14432,0.1543,0.81,1394,2768
6,0.02869,0.03116,0.14422,0.15416,0.81,1395,2767
7,0.03004,0.0328,0.14412,0.15403,0.82,1396,2766
8,0.03138,0.03443,0.14402,0.1539,0.82,1397,2765
9,0.03271,0.03603,0.14392,0.15378,0.83,1398,2764
10,0.03404,0.03761,0.14383,0.15365,0.84,1398,2763
11,0.03536,0.03919,0.14373,0.15352,0.84,1399,2762
12,0.03667,0.04075,0.14363,0.1534,0.85,1400,2761
13,0.03798,0.04228,0.14353,0.15328,0.85,1401,2760
14,0.03928,0.04379,0.14343,0.15316,0.86,1401,2759
15,0.04058,0.0453,0.14334,0.15304,0.86,1402,2758
16,0.04187,0.04679,0.14324,0.15292,0.87,1403,2758
17,0.04316,0.04827,0.14314,0.1528,0.88,1403,2757
18,0.04444,0.04974,0.14305,0.15268,0.88,1404,2756
19,0.04571,0.0512,0.14295,0.15256,0.89,1404,2755
20,0.04699,0.05266,0.14286,0.15244,0.89,1405,2754
21,0.04826,0.0541,0.14276,0.15233,0.9,1405,2753
22,0.04953,0.05553,0.14267,0.15221,0.9,1405,2752
23,0.0508,0.05696,0.14257,0.1521,0.91,1405,2751
24,0.05206,0.0584,0.14248,0.15198,0.91,1405,2750
25,0.05332,0.05983,0.14238,0.15187,0.92,1404,2749
26,0.05459,0.06127,0.14229,0.15175,0.92,1404,2748
27,0.05585,0.0627,0.14219,0.15163,0.93,1404,2747
28,0.0571,0.06415,0.1421,0.15152,0.94,1403,2745
29,0.05836,0.06559,0.142,0.1514,0.94,1402,2744
30,0.05961,0.06702,0.14191,0.15129,0.95,1402,2743
31,0.06085,0.06844,0.14181,0.15117,0.95,1401,2742
32,0.0621,0.06987,0.14172,0.15105,0.96,1401,2741
33,0.06335,0.07129,0.14163,0.15094,0.97,1400,2740
34,0.06458,0.07269,0.14153,0.15082,0.97,1400,2739
35,0.06582,0.0741,0.14144,0.15071,0.98,1401,2738
36,0.06704,0.07549,0.14135,0.1506,0.98,1401,2736
37,0.06827,0.07688,0.14125,0.15048,0.99,1401,2735
38,0.06949,0.07827,0.14116,0.15037,1.0,1401,2734
39,0.07071,0.07966,0.14107,0.15026,1.0,1401,2733
40,0.07193,0.08104,0.14098,0.15014,1.01,1400,2732
41,0.07314,0.08242,0.14088,0.15003,1.01,1400,2730
42,0.07434,0.0838,0.14079,0.14992,1.02,1401,2729
43,0.07554,0.08517,0.1407,0.14981,1.03,1401,2728
44,0.07673,0.08653,0.14061,0.14969,1.03,1401,2727
45,0.07792,0.0879,0.14052,0.14958,1.04,1401,2726
46,0.07909,0.08926,0.14043,0.14947,1.05,1401,2724
47,0.08026,0.09059,0.14034,0.14936,1.05,1400,2723
48,0.08142,0.09191,0.14025,0.14925,1.06,1401,2722
49,0.08257,0.09323,0.14017,0.14914,1.06,1401,2721
50,0.0837,0.09453,0.14008,0.14904,1.07,1401,2720
51,0.08484,0.09583,0.13999,0.14893,1.08,1401,2719
52,0.08595,0.09711,0.13991,0.14883,1.08,1401,2718
53,0.08706,0.09838,0.13982,0.14872,1.09,1401,2717
54,0.08815,0.09965,0.13974,0.14862,1.1,1401,2716
55,0.08923,0.1009,0.13966,0.14851,1.1,1401,2715
56,0.09029,0.10214,0.13957,0.14841,1.11,1401,2714
57,0.09135,0.10336,0.13949,0.14831,1.11,1401,2714
58,0.09239,0.10457,0.13941,0.14821,1.12,1401,2713
59,0.09341,0.10575,0.13933,0.14811,1.12,1401,2712
60,0.09443,0.10692,0.13926,0.14801,1.13,1401,2711
61,0.09543,0.10807,0.13918,0.14792,1.13,1401,2710
62,0.09641,0.10919,0.1391,0.14783,1.14,1401,2710
63,0.09737,0.11031,0.13903,0.14773,1.15,1401,2709
64,0.09832,0.11141,0.13896,0.14764,1.15,1401,2708
65,0.09924,0.1125,0.13889,0.14755,1.16,1401,2708
66,0.10016,0.11359,0.13882,0.14746,1.16,1401,2707
67,0.10105,0.11466,0.13875,0.14737,1.17,1401,2706
68,0.10192,0.1157,0.13868,0.14729,1.18,1401,2706
69,0.10278,0.11672,0.13861,0.1472,1.18,1401,2705
70,0.10362,0.11772,0.13855,0.14712,1.19,1401,2705
71,0.10444,0.11869,0.13848,0.14704,1.19,1401,2704
72,0.10524,0.11964,0.13842,0.14696,1.2,1401,2703
73,0.10602,0.12057,0.13836,0.14688,1.21,1401,2703
74,0.10678,0.12148,0.1383,0.1468,1.21,1401,2702
75,0.10752,0.12237,0.13825,0.14673,1.22,1401,2701
76,0.10825,0.12325,0.13819,0.14665,1.23,1401,2701
77,0.10897,0.12412,0.13813,0.14658,1.23,1401,2700
78,0.10967,0.12496,0.13808,0.14651,1.24,1401,2699
79,0.11035,0.12577,0.13803,0.14644,1.24,1401,2699
80,0.11103,0.12655,0.13797,0.14638,1.25,1401,2698
81,0.11168,0.12731,0.13792,0.14632,1.26,1401,2697
82,0.11231,0.12805,0.13787,0.14625,1.26,1401,2697
83,0.11293,0.12877,0.13783,0.14619,1.27,1401,2696
84,0.11353,0.12949,0.13778,0.14613,1.28,1401,2695
85,0.11412,0.13017,0.13773,0.14608,1.28,1401,2694
86,0.11471,0.13086,0.13769,0.14602,1.29,1401,2693
87,0.11527,0.13152,0.13764,0.14596,1.29,1401,2692
88,0.11582,0.13211,0.1376,0.14591,1.3,1401,2691
89,0.11635,0.1327,0.13756,0.14586,1.31,1401,2690
90,0.11687,0.13326,0.13752,0.14582,1.31,1401,2689
91,0.1174,0.13379,0.13748,0.14577,1.32,1401,2688
92,0.1179,0.13432,0.13744,0.14573,1.32,1401,2687
93,0.11839,0.13481,0.1374,0.14569,1.33,1401,2686
94,0.11887,0.13526,0.13736,0.14565,1.33,1401,2684
95,0.11934,0.13563,0.13733,0.14562,1.34,1401,2683
96,0.1198,0.13598,0.13729,0.14559,1.35,1401,2682
97,0.12024,0.1363,0.13726,0.14556,1.35,1401,2680
98,0.12065,0.13667,0.13723,0.14553,1.36,1401,2679
99,0.12106,0.13709,0.13719,0.14549,1.36,1401,2677
100,0.12146,0.1376,0.13716,0.14545,1.37,1401,2675
101,0.12188,0.13815,0.13713,0.1454,1.38,1401,2673
102,0.12229,0.1387,0.1371,0.14536,1.38,1401,2672
103,0.12269,0.13923,0.13707,0.14531,1.39,1401,2670
104,0.1231,0.13975,0.13703,0.14527,1.4,1401,2668
105,0.12349,0.14023,0.137,0.14523,1.4,1401,2666
106,0.12386,0.14068,0.13697,0.14519,1.41,1401,2664
107,0.1242,0.14107,0.13695,0.14516,1.42,1401,2662
108,0.12452,0.14145,0.13692,0.14513,1.42,1401,2660
109,0.1248,0.14179,0.1369,0.1451,1.43,1401,2658
110,0.12505,0.14211,0.13688,0.14507,1.43,1401,2657
111,0.12529,0.14242,0.13686,0.14504,1.44,1401,2655
112,0.1255,0.14271,0.13685,0.14502,1.44,1401,2654
113,0.12572,0.143,0.13683,0.14499,1.45,1401,2653
114,0.12593,0.14328,0.13681,0.14497,1.46,1401,2652
115,0.12614,0.14356,0.1368,0.14495,1.46,1401,2652
116,0.12635,0.14385,0.13678,0.14492,1.47,1401,2651
