epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.22104,0.22978,0.85,697,1390,2080,2772,3465
1,0,0,0.21811,0.22688,0.86,698,1391,2079,2772,3464
2,0,0,0.21521,0.22399,0.87,698,1392,2078,2771,3464
3,0,0,0.21233,0.22114,0.88,699,1392,2077,2770,3463
4,0,0,0.20947,0.21831,0.88,699,1393,2077,2770,3463
5,0,0,0.20664,0.21551,0.89,700,1394,2076,2769,3462
6,0,0,0.20384,0.21275,0.9,701,1395,2075,2769,3461
7,0,0,0.20107,0.21004,0.91,701,1396,2074,2769,3461
8,0,0,0.19834,0.20737,0.92,702,1397,2073,2768,3460
9,0,0,0.19564,0.20473,0.92,702,1398,2072,2768,3460
10,0,0,0.19299,0.20213,0.93,703,1399,2071,2767,3459
11,0,0,0.19037,0.19955,0.94,703,1399,2070,2767,3459
12,0,0,0.18779,0.19699,0.95,704,1400,2069,2766,3458
13,0,0,0.18524,0.19448,0.96,705,1401,2068,2766,3458
14,0,0,0.18272,0.19201,0.96,705,1401,2067,2765,3458
15,0,0,0.18023,0.18955,0.97,706,1402,2066,2765,3457
16,0,0,0.17779,0.18714,0.98,706,1403,2065,2764,3457
17,0,0,0.17539,0.18479,0.99,707,1403,2064,2764,3457
18,0,0,0.17304,0.18248,1.0,708,1404,2063,2764,3456
19,0,0,0.17074,0.18025,1.0,708,1404,2062,2763,3456
20,0,0,0.16851,0.17808,1.02,709,1405,2061,2763,3455
21,0,0,0.16633,0.17597,1.03,709,1405,2060,2763,3455
22,0,0,0.16423,0.17393,1.04,710,1406,2059,2762,3454
23,0,0,0.1622,0.17195,1.05,711,1406,2058,2762,3454
24,0,0,0.16026,0.17005,1.06,711,1407,2057,2762,3454
25,0,0,0.1584,0.16822,1.07,712,1407,2056,2762,3453
26,0,0,0.15662,0.16646,1.07,712,1408,2055,2762,3453
27,0,0,0.15493,0.16478,1.08,713,1408,2054,2763,3452
28,0,0,0.15333,0.16318,1.09,713,1409,2052,2763,3452
29,0,0,0.15182,0.16167,1.1,714,1409,2051,2763,3451
30,0,0,0.15041,0.16026,1.11,714,1409,2050,2763,3451
31,0,0,0.14909,0.15893,1.12,715,1410,2049,2764,3450
32,0,0,0.14787,0.1577,1.13,715,1410,2048,2764,3450
33,0,0.00078,0.14675,0.15656,1.13,716,1411,2047,2764,3450
34,0.00819,0.01401,0.14574,0.15552,1.14,716,1411,2046,2764,3449
35,0.0206,0.02582,0.14482,0.15459,1.15,717,1412,2044,2764,3449
36,0.0316,0.03627,0.14401,0.15376,1.16,717,1412,2043,2763,3448
37,0.04121,0.04548,0.14329,0.15302,1.17,717,1412,2042,2763,3448
38,0.04952,0.05334,0.14267,0.15239,1.18,718,1413,2041,2763,3447
39,0.05661,0.06013,0.14213,0.15184,1.19,718,1413,2040,2763,3447
40,0.06256,0.06594,0.14169,0.15137,1.2,718,1414,2039,2763,3447
41,0.06749,0.07088,0.14131,0.15097,1.21,718,1414,2038,2763,3446
42,0.07152,0.07501,0.14101,0.15064,1.22,719,1415,2037,2762,3446
43,0.07476,0.07841,0.14076,0.15036,1.23,719,1415,2036,2762,3445
44,0.07734,0.08119,0.14056,0.15013,1.24,719,1416,2034,2762,3445
45,0.07935,0.08347,0.14041,0.14995,1.25,719,1417,2033,2762,3445
46,0.08091,0.08534,0.14029,0.14979,1.26,719,1417,2032,2762,3444
47,0.08212,0.08686,0.1402,0.14967,1.26,719,1418,2031,2762,3444
48,0.08305,0.0881,0.14013,0.14957,1.27,719,1418,2030,2762,3443
49,0.0838,0.08915,0.14007,0.14948,1.28,718,1419,2030,2762,3443
50,0.08442,0.09004,0.14002,0.14941,1.29,718,1419,2029,2762,3443
51,0.08498,0.09085,0.13998,0.14934,1.3,718,1420,2028,2762,3442
52,0.08553,0.09162,0.13994,0.14928,1.31,718,1420,2027,2761,3442
53,0.0861,0.09239,0.1399,0.14921,1.32,717,1421,2026,2761,3441
54,0.08672,0.09317,0.13985,0.14915,1.32,717,1422,2026,2761,3441
55,0.08741,0.094,0.1398,0.14908,1.33,717,1422,2025,2761,3441
56,0.08817,0.09487,0.13974,0.14901,1.34,716,1423,2024,2760,3440
57,0.08902,0.0958,0.13967,0.14893,1.35,716,1423,2024,2760,3440
58,0.08994,0.09678,0.1396,0.14885,1.36,715,1424,2023,2760,3439
59,0.09093,0.09781,0.13953,0.14877,1.37,715,1425,2022,2759,3439
60,0.09198,0.09887,0.13944,0.14868,1.37,714,1425,2022,2759,3439
61,0.09308,0.09997,0.13936,0.14859,1.38,714,1426,2021,2758,3438
62,0.09421,0.10108,0.13927,0.1485,1.39,713,1426,2021,2758,3438
63,0.09536,0.10219,0.13919,0.14841,1.4,712,1427,2021,2757,3438
64,0.09652,0.10331,0.1391,0.14831,1.41,712,1428,2020,2757,3437
65,0.09767,0.10442,0.13901,0.14822,1.42,711,1428,2020,2756,3437
66,0.09881,0.10552,0.13892,0.14813,1.43,711,1429,2019,2756,3437
67,0.09992,0.10659,0.13883,0.14804,1.44,710,1430,2019,2755,3436
68,0.10101,0.10763,0.13875,0.14796,1.45,709,1430,2019,2755,3436
69,0.10205,0.10864,0.13867,0.14787,1.46,709,1431,2019,2754,3435
70,0.10306,0.10963,0.13859,0.14779,1.46,708,1431,2018,2754,3435
71,0.10403,0.11057,0.13852,0.14771,1.47,707,1432,2018,2753,3435
72,0.10497,0.11149,0.13844,0.14764,1.48,707,1433,2018,2752,3434
73,0.10587,0.11244,0.13837,0.14756,1.49,706,1433,2018,2752,3434
74,0.10674,0.11336,0.13831,0.14748,1.5,706,1434,2018,2751,3434
75,0.10759,0.11426,0.13824,0.14741,1.5,705,1435,2017,2751,3433
76,0.10841,0.11518,0.13818,0.14733,1.51,704,1435,2017,2750,3433
77,0.1092,0.11605,0.13812,0.14726,1.52,704,1436,2017,2749,3433
78,0.10998,0.11689,0.13806,0.14719,1.53,703,1437,2017,2749,3432
79,0.11075,0.11773,0.138,0.14712,1.54,702,1437,2017,2748,3432
80,0.11151,0.11856,0.13794,0.14705,1.55,702,1438,2017,2747,3432
81,0.11227,0.1194,0.13788,0.14698,1.56,701,1439,2017,2747,3431
82,0.11304,0.12024,0.13782,0.14691,1.57,701,1439,2016,2746,3431
83,0.1138,0.12113,0.13776,0.14683,1.58,700,1440,2016,2745,3430
84,0.11456,0.12205,0.1377,0.14676,1.59,699,1441,2016,2745,3430
85,0.11533,0.12296,0.13764,0.14668,1.59,699,1441,2016,2744,3430
86,0.11609,0.12388,0.13758,0.1466,1.6,698,1442,2016,2743,3429
87,0.11685,0.12482,0.13752,0.14652,1.61,698,1442,2016,2743,3429
