epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.4404288416683085,0.4399221841590539,0.15,382,760,1136,1514,1893,2271,2649,3026,3402,3781
1,0,0,0.4354073681667445,0.43489772164245116,0.17,383,761,1135,1513,1894,2271,2649,3026,3401,3781
2,0,0,0.4303528402918412,0.42983189670827543,0.18,383,761,1135,1512,1895,2270,2649,3025,3401,3781
3,0,0,0.42518055390383125,0.4246485105164786,0.19,383,762,1134,1511,1896,2270,2648,3025,3400,3782
4,0,0,0.41966832512676044,0.4191187430693209,0.2,384,763,1133,1511,1897,2270,2648,3024,3400,3782
5,0,0,0.4136850147844084,0.4131104662671687,0.21,384,763,1132,1511,1898,2270,2647,3023,3399,3782
6,0,0,0.4073465659889599,0.4067502975978595,0.22,384,764,1131,1512,1899,2270,2647,3022,3399,3782
7,0,0,0.40081682549240477,0.40021319295874,0.23,385,764,1131,1512,1900,2271,2646,3022,3398,3782
8,0,0,0.3941897056424738,0.3935821940083638,0.24,385,765,1130,1513,1901,2271,2646,3021,3398,3781
9,0,0,0.38751349041128885,0.38690117665785073,0.25,385,766,1129,1514,1902,2271,2646,3020,3397,3781
10,0,0,0.38081926966074503,0.38020275930560227,0.27,386,766,1128,1515,1902,2270,2645,3019,3397,3781
11,0,0,0.3741206747404703,0.3734991517510542,0.28,386,767,1127,1516,1903,2270,2645,3018,3396,3780
12,0,0,0.3674280920522684,0.3668007538644205,0.29,386,768,1126,1516,1904,2270,2645,3018,3396,3780
13,0,0,0.3607563753337963,0.3601228768863081,0.3,387,768,1126,1517,1905,2270,2645,3017,3395,3780
14,0,0,0.3541190966280044,0.3534792675901675,0.31,387,769,1125,1518,1906,2270,2644,3016,3395,3779
15,0,0,0.3475199978892349,0.34687412880453045,0.32,388,770,1124,1519,1907,2270,2644,3015,3394,3779
16,0,0,0.3409507305190023,0.34029920247267814,0.33,388,770,1123,1520,1908,2271,2644,3014,3394,3779
17,0,0,0.33441496859742864,0.33375608438667836,0.34,388,771,1123,1521,1909,2271,2643,3013,3393,3778
18,0,0,0.3279068198759405,0.3272398180517804,0.35,389,772,1122,1523,1910,2271,2643,3012,3393,3778
19,0,0,0.3214203470650062,0.3207457566355978,0.36,389,772,1121,1524,1911,2271,2643,3011,3392,3778
20,0,0,0.3149659849526738,0.31428432080150365,0.37,389,773,1121,1525,1912,2271,2642,3010,3392,3778
21,0,0,0.3085447103430519,0.30785795205403155,0.38,390,774,1120,1526,1913,2271,2642,3009,3391,3777
22,0,0,0.3021647847739979,0.3014727360044811,0.39,390,775,1120,1527,1914,2271,2642,3008,3391,3777
23,0,0,0.29583457534600954,0.29513484010848895,0.4,391,775,1119,1528,1915,2270,2642,3007,3390,3777
24,0,0,0.2895698605406139,0.2888601600148094,0.42,391,776,1119,1529,1916,2270,2643,3006,3390,3777
25,0,0,0.2833765091092345,0.2826576504480221,0.43,391,777,1118,1530,1917,2270,2643,3005,3389,3777
26,0,0,0.2772587121965403,0.2765294060599811,0.44,392,777,1118,1531,1918,2270,2643,3004,3389,3777
27,0,0,0.2712343423033463,0.2704950598179242,0.45,392,778,1117,1533,1919,2270,2643,3003,3389,3777
28,0,0,0.2653089494321593,0.2645587417232861,0.46,392,779,1117,1534,1919,2270,2643,3002,3388,3777
29,0,0,0.2594901036321395,0.2587273434150513,0.47,393,780,1117,1535,1920,2270,2643,3001,3388,3778
30,0,0,0.25378654299062703,0.2530121245494556,0.48,393,780,1116,1536,1921,2270,2643,3000,3387,3778
31,0,0,0.24821531779137404,0.24742958273654608,0.49,393,781,1116,1537,1922,2270,2643,2999,3387,3778
32,0,0,0.24278868384144084,0.24199318781685228,0.5,394,782,1116,1538,1923,2270,2642,2998,3386,3778
33,0,0,0.23750714899898165,0.23670304721581956,0.51,394,782,1116,1539,1923,2270,2642,2997,3386,3779
