epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.0017068862982390076,5.947238229297991e-05,0.13658379978958918,0.1428664440720397,0.15,264,524,784,1042,1303,1561,1823,2082,2340,2599,2859,3120,3379,3638,3898
1,0.006447805469307788,0.005416547107129466,0.1362590964806743,0.14248323548985858,0.16,264,524,784,1042,1304,1561,1823,2083,2339,2598,2858,3121,3378,3638,3898
2,0.008070743645307132,0.007745905039898582,0.13614775768540877,0.14231629040829874,0.18,265,525,785,1043,1305,1561,1824,2084,2338,2597,2857,3122,3377,3637,3898
3,0.009363373682884424,0.009579444589370434,0.13605902079784915,0.14218473379357777,0.19,265,525,786,1043,1306,1561,1825,2085,2337,2596,2857,3122,3377,3637,3897
4,0.011511086413709237,0.011964368559657879,0.13591144492938748,0.14201343749916864,0.2,265,526,786,1044,1307,1562,1826,2086,2336,2595,2856,3121,3376,3636,3897
5,0.014500125268740227,0.014957297803665281,0.13570581264392872,0.14179819201023316,0.22,265,526,787,1045,1307,1563,1826,2087,2335,2594,2855,3121,3375,3636,3897
6,0.0178648981925853,0.018197453486901494,0.13547394684235967,0.14156477877906956,0.23,266,527,787,1045,1308,1563,1827,2088,2334,2593,2855,3120,3375,3635,3896
7,0.021131398574223303,0.021280642443282205,0.13524846640984842,0.14134232699057223,0.24,266,527,788,1046,1309,1564,1828,2090,2333,2592,2854,3120,3374,3635,3896
8,0.023992632644378897,0.023938305230467583,0.13505066567719085,0.14115029479878402,0.25,266,528,789,1047,1310,1565,1828,2091,2332,2591,2854,3119,3373,3634,3896
9,0.026407971089748572,0.026190342756667984,0.13488344902155733,0.14098735985718938,0.26,266,528,789,1047,1311,1566,1829,2092,2331,2590,2853,3119,3373,3634,3896
10,0.02855414012696289,0.02825415701713707,0.1347346961424481,0.1408378857296772,0.28,267,528,790,1048,1311,1567,1830,2093,2330,2589,2852,3118,3372,3633,3895
11,0.030688724540360646,0.030389515802409894,0.134586595400033,0.14068305618541438,0.29,267,529,791,1048,1312,1568,1831,2094,2329,2589,2852,3118,3371,3633,3895
12,0.033011182816421014,0.032782536835526455,0.1344252655916852,0.14050934592145473,0.3,267,529,791,1049,1313,1569,1832,2095,2328,2588,2851,3117,3371,3632,3895
13,0.03557267438890066,0.03547058012689164,0.13424709326112005,0.14031396350012398,0.31,267,530,792,1050,1314,1569,1833,2095,2327,2587,2850,3116,3370,3632,3894
14,0.038299442686543506,0.03836763652898412,0.13405718007013837,0.1401030736003718,0.32,268,530,792,1050,1315,1570,1834,2096,2326,2586,2849,3116,3369,3631,3894
15,0.041052712279072257,0.04132908789390832,0.13386513990356227,0.13988718551707427,0.34,268,531,793,1050,1316,1571,1835,2097,2325,2585,2848,3115,3369,3631,3894
16,0.043703019341959415,0.04421934783075665,0.13368003468047332,0.13967615132667283,0.35,268,531,793,1051,1316,1572,1836,2098,2324,2584,2847,3115,3368,3630,3894
17,0.04619872095798028,0.04695675301461644,0.1335054858907532,0.13947598940407263,0.36,268,532,794,1051,1317,1573,1837,2099,2323,2583,2846,3114,3367,3630,3893
18,0.04856548213397327,0.049558241043145324,0.13333973996471424,0.13928549626463466,0.37,269,532,795,1052,1318,1573,1838,2100,2323,2582,2846,3113,3367,3630,3893
19,0.05088665488040456,0.05208608706901685,0.13317699064127958,0.13910014548432922,0.38,269,532,795,1052,1319,1574,1839,2101,2322,2581,2845,3113,3366,3629,3893
20,0.05324285307244514,0.05460934386433802,0.13301157056790078,0.13891488931262974,0.4,269,533,796,1053,1320,1575,1841,2102,2321,2580,2844,3112,3365,3629,3892
21,0.055689630806103674,0.0571708316163998,0.1328395857960325,0.13872656616796983,0.41,269,533,796,1053,1321,1576,1842,2102,2320,2579,2843,3111,3365,3628,3892
22,0.05821444500430617,0.05976629255741517,0.13266188833073578,0.13853549295188466,0.42,270,534,797,1054,1321,1577,1843,2103,2319,2578,2842,3111,3364,3628,3892
23,0.06076331279666769,0.0623523035183019,0.13248225132584976,0.13834484922301094,0.43,270,534,797,1054,1322,1577,1843,2104,2318,2577,2841,3110,3363,3627,3892
24,0.06327279066356528,0.0648862362322482,0.13230513684962608,0.1381577848454029,0.44,270,535,798,1054,1323,1578,1844,2105,2317,2576,2840,3109,3363,3627,3891
25,0.06570475030480605,0.06734871166428025,0.13213327574007314,0.13797576561368227,0.45,270,535,798,1055,1324,1579,1845,2105,2316,2575,2840,3108,3362,3626,3891
26,0.06806732410120109,0.06976180693715706,0.13196610982549697,0.13779714890269093,0.47,271,536,799,1055,1325,1580,1846,2106,2315,2574,2839,3107,3361,3626,3891
