epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,0.3459079480492678,0.3449255609369386,0.15,202,399,597,796,994,1190,1390,1586,1785,1981,2179,2377,2577,2772,2972,3170,3366,3565,3762,3960
1,0,0,0.33696720975665173,0.33595813643479583,0.17,202,399,597,797,995,1189,1391,1585,1786,1980,2178,2376,2578,2772,2973,3171,3365,3566,3762,3961
2,0,0,0.32826565951947684,0.3272317808658885,0.18,203,399,596,797,995,1189,1391,1584,1787,1979,2178,2375,2579,2771,2974,3171,3365,3566,3761,3961
3,0,0,0.3198288080017231,0.3187649840217632,0.19,203,398,596,797,996,1188,1392,1583,1788,1978,2177,2374,2580,2770,2975,3172,3364,3567,3761,3961
4,0,0,0.3117093574810672,0.31061139426185974,0.21,203,398,595,797,996,1187,1393,1582,1789,1977,2177,2374,2581,2769,2975,3173,3363,3567,3760,3961
5,0,0,0.30396735844450956,0.3028361241796909,0.22,203,398,595,797,997,1186,1393,1581,1790,1976,2176,2373,2582,2768,2976,3174,3363,3568,3760,3962
6,0,0,0.29662087506103896,0.2954637589176834,0.24,203,397,594,797,997,1186,1394,1580,1791,1975,2175,2372,2583,2767,2977,3174,3363,3568,3760,3962
7,0,0,0.28964721977816477,0.28846755533484464,0.25,204,397,594,797,998,1185,1394,1579,1792,1974,2175,2371,2583,2766,2978,3175,3362,3569,3759,3962
8,0,0,0.2829719915683551,0.28176887650201077,0.26,204,397,593,797,997,1184,1395,1578,1792,1973,2174,2371,2584,2765,2979,3176,3362,3569,3759,3962
9,0,0,0.27652935217362284,0.27529852930186055,0.28,204,396,593,797,997,1183,1396,1577,1793,1972,2173,2371,2585,2765,2979,3177,3361,3570,3759,3962
10,0,0,0.2702918033724959,0.2690318775140882,0.29,204,396,592,797,997,1183,1396,1576,1794,1971,2172,2371,2586,2764,2980,3177,3361,3570,3758,3963
11,0,0,0.2642510728336091,0.26296141239657067,0.3,204,396,592,797,996,1182,1397,1576,1795,1970,2172,2371,2587,2763,2981,3178,3360,3570,3758,3963
12,0,0,0.2584044135016088,0.25708658440191723,0.32,204,395,592,798,996,1181,1397,1575,1796,1969,2171,2371,2587,2762,2982,3179,3359,3571,3758,3963
13,0,0,0.25275039209378825,0.2514052681580712,0.33,205,395,591,798,996,1180,1398,1574,1797,1968,2170,2371,2588,2762,2982,3179,3359,3571,3757,3963
14,0,0,0.2472678213037031,0.24589013956020453,0.34,205,395,591,798,995,1180,1399,1573,1797,1967,2170,2371,2589,2761,2983,3180,3358,3571,3757,3964
15,0,0,0.2419409496753226,0.2405336113568884,0.36,205,395,591,798,995,1179,1399,1573,1798,1967,2169,2372,2590,2760,2984,3181,3358,3572,3757,3964
16,0,0,0.23661715590427373,0.23518575470565967,0.37,205,394,590,798,994,1178,1400,1572,1799,1966,2169,2372,2590,2759,2984,3181,3357,3572,3756,3964
17,0,0,0.2311743506208457,0.22970777895669267,0.38,205,394,590,799,994,1178,1400,1571,1800,1965,2168,2372,2591,2759,2985,3182,3356,3572,3756,3964
18,0,0,0.22553903331543,0.22403577456306586,0.39,206,394,590,799,994,1177,1401,1571,1801,1964,2167,2372,2592,2758,2986,3183,3356,3573,3756,3964
19,0,0,0.21978451282526026,0.21823644811793091,0.41,206,394,589,799,994,1176,1402,1570,1801,1963,2167,2372,2593,2757,2986,3183,3355,3573,3755,3965
20,0,0,0.21407699744702532,0.2124825424849138,0.42,206,393,589,800,993,1175,1402,1569,1802,1962,2166,2372,2593,2757,2987,3184,3355,3573,3755,3965
21,0,0,0.20847484828793866,0.20683382625781097,0.43,206,393,589,800,993,1175,1403,1569,1803,1962,2166,2372,2594,2756,2987,3185,3354,3573,3755,3965
22,0,0,0.2029967636851078,0.20130817647564833,0.45,206,393,589,800,993,1174,1403,1568,1804,1961,2165,2372,2595,2755,2988,3185,3353,3574,3755,3965
23,0,0,0.19768292130261247,0.1959445739302658,0.46,206,393,588,801,993,1173,1404,1567,1805,1960,2165,2371,2596,2755,2988,3186,3353,3574,3754,3965
24,0,0,0.19263920424728997,0.19084813043087398,0.47,207,393,588,801,992,1173,1404,1566,1806,1959,2164,2371,2596,2754,2989,3187,3352,3574,3754,3966
25,0,0,0.18803160527369933,0.1861812188368571,0.48,207,392,588,802,992,1172,1404,1566,1807,1959,2164,2371,2597,2753,2989,3187,3352,3574,3754,3966
26,0,0,0.18381812203392014,0.18192325671198034,0.5,207,392,588,802,992,1172,1405,1565,1807,1958,2163,2371,2598,2753,2990,3188,3351,3574,3754,3966
27,0,0,0.1798367191700242,0.17789955637762864,0.51,207,392,588,803,992,1171,1405,1564,1808,1957,2163,2371,2599,2752,2990,3188,3350,3575,3754,3966
28,0,0,0.17603362298304276,0.17404634729495957,0.52,207,392,588,803,992,1170,1405,1564,1809,1957,2163,2371,2600,2751,2991,3189,3350,3575,3753,3966
29,0,0,0.17237881490505333,0.17033632750462804,0.53,208,392,587,804,992,1170,1406,1563,1810,1956,2162,2371,2600,2751,2991,3189,3349,3575,3753,3966
30,0,0,0.16874946973858632,0.16664001070384182,0.55,208,392,587,805,991,1169,1406,1562,1810,1956,2162,2371,2601,2750,2991,3190,3349,3575,3753,3967
31,0,0,0.16513787646482814,0.16295724919629176,0.56,208,392,587,805,992,1169,1406,1562,1811,1955,2162,2372,2602,2749,2992,3190,3348,3576,3753,3967
32,0,0,0.1616198029711485,0.15936653895451622,0.57,208,392,587,806,992,1168,1406,1561,1812,1955,2161,2372,2602,2749,2992,3190,3348,3576,3753,3967
33,0,0,0.15831133591366628,0.15598563837806298,0.58,208,391,587,806,992,1168,1407,1561,1812,1954,2161,2372,2603,2748,2992,3191,3347,3576,3753,3967
