epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0,0,0.15560981614178354,0.15342559358430075,0.15,164,324,484,644,802,964,1122,1283,1441,1603,1763,1922,2080,2240,2402,2559,2721,2881,3039,3200,3359,3520,3678,3838,3998
1,0,0,0.1516849934713103,0.1494165308131366,0.16,164,324,484,644,802,964,1121,1284,1440,1604,1763,1923,2081,2239,2403,2558,2722,2881,3039,3201,3358,3520,3678,3838,3998
2,0,0,0.14794877810774548,0.14559728316715548,0.17,164,325,485,645,802,965,1120,1285,1439,1605,1763,1924,2081,2238,2404,2557,2722,2881,3040,3202,3357,3521,3677,3837,3998
3,0,0,0.14447513341488266,0.14205292421987992,0.19,165,325,485,645,803,966,1119,1286,1439,1606,1762,1925,2082,2237,2405,2556,2722,2881,3040,3202,3357,3521,3677,3837,3997
4,0,0,0.14133310850096684,0.13883754746549687,0.21,165,325,486,646,803,966,1119,1286,1438,1607,1762,1926,2083,2237,2406,2555,2722,2880,3041,3203,3356,3522,3676,3837,3997
5,0,0,0.1385706075099668,0.13601326119276785,0.22,165,326,486,647,803,967,1118,1287,1438,1608,1763,1927,2084,2236,2406,2554,2722,2879,3042,3204,3355,3522,3676,3836,3997
6,0,0,0.13622655828735955,0.1336166496058599,0.24,165,326,486,647,803,968,1117,1288,1438,1609,1763,1928,2085,2236,2407,2553,2722,2879,3042,3205,3355,3523,3676,3836,3997
7,0.016810095176811646,0.0196065933601125,0.13432656513074734,0.13167144261849703,0.25,165,326,487,648,804,968,1117,1289,1438,1609,1763,1929,2085,2236,2406,2552,2722,2878,3043,3205,3354,3523,3675,3836,3997
8,0.03799452449217322,0.04167821248435766,0.13287154455976202,0.13018084871769717,0.26,165,326,487,648,804,969,1116,1289,1438,1610,1763,1930,2086,2235,2406,2551,2722,2877,3044,3206,3353,3523,3675,3835,3996
9,0.052801419721770215,0.05713789030633676,0.13184501475414484,0.12912653394417598,0.28,166,327,488,649,804,969,1116,1290,1438,1611,1763,1931,2087,2235,2406,2551,2722,2876,3045,3207,3353,3524,3675,3835,3996
10,0.061910046436007726,0.06665103192187216,0.13120954548584846,0.12847347292921343,0.29,166,327,488,649,804,970,1116,1291,1438,1612,1763,1931,2088,2235,2405,2550,2722,2875,3046,3207,3352,3524,3674,3835,3996
11,0.06608703014386441,0.07111755126331831,0.13091710937891765,0.1281656971123516,0.3,166,327,489,650,805,970,1115,1292,1438,1613,1762,1932,2089,2235,2405,2549,2722,2874,3046,3208,3352,3525,3674,3834,3996
12,0.06626094490452361,0.0715488444223934,0.1309049228141969,0.12813593713088045,0.32,166,328,489,650,805,971,1115,1292,1439,1613,1762,1932,2090,2234,2404,2548,2721,2874,3047,3208,3351,3525,3674,3834,3996
13,0.06347061065153659,0.06894896182373178,0.131100368639579,0.12831522091035252,0.33,166,328,489,651,805,971,1115,1293,1439,1614,1762,1933,2091,2234,2404,2547,2721,2873,3048,3209,3350,3525,3673,3834,3996
14,0.05887319874743713,0.06441605125269412,0.13142175250738775,0.12862719328069677,0.34,166,328,490,651,805,972,1115,1293,1439,1615,1762,1933,2092,2234,2403,2546,2721,2872,3049,3209,3350,3525,3673,3833,3995
15,0.05372803520838554,0.059241671058465784,0.1317805067728463,0.12898239863202593,0.36,166,328,490,652,805,972,1115,1294,1440,1616,1762,1933,2093,2233,2402,2545,2720,2871,3050,3209,3349,3525,3673,3833,3995
16,0.04905588743867284,0.05452947401461572,0.13210543884378073,0.12930502764996082,0.37,167,329,490,653,804,973,1116,1294,1440,1616,1762,1933,2094,2233,2402,2544,2720,2871,3050,3209,3348,3525,3672,3833,3995
17,0.04545025231866617,0.050906677319569105,0.13235565459654328,0.12955252160982794,0.38,167,329,490,653,804,973,1116,1295,1440,1617,1761,1933,2094,2233,2401,2543,2720,2870,3051,3209,3348,3525,3672,3832,3995
18,0.04319506019680497,0.04864353346102834,0.13251191372437188,0.12970689461931645,0.4,167,329,491,654,804,974,1117,1295,1441,1618,1761,1933,2095,2232,2400,2542,2719,2869,3052,3209,3347,3525,3672,3832,3995
19,0.04236374184886227,0.047838026023111935,0.13256946233076297,0.12976179005871732,0.41,167,329,491,654,804,974,1117,1295,1441,1618,1760,1933,2096,2232,2399,2542,2718,2869,3053,3209,3347,3525,3671,3832,3994
20,0.04290097880743371,0.04844120380654471,0.13253227993412717,0.12972068706693676,0.42,167,330,491,655,803,975,1118,1295,1441,1619,1760,1933,2096,2231,2398,2541,2718,2868,3053,3208,3346,3525,3671,3831,3994
21,0.044658494733263665,0.05029878007407895,0.1324105210064454,0.12959401570254486,0.44,167,330,491,655,803,975,1118,1295,1441,1620,1759,1933,2097,2231,2398,2540,2717,2868,3054,3208,3345,3525,3671,3831,3994
22,0.04741549813635482,0.05318001050607124,0.1322193363531027,0.12939728068183748,0.45,168,330,491,655,803,976,1119,1295,1441,1620,1759,1933,2097,2230,2397,2539,2717,2868,3054,3207,3345,3525,3670,3831,3994
23,0.050915113431963865,0.05681058175915921,0.13197622252881,0.12914894838735716,0.46,168,330,492,656,802,976,1119,1295,1442,1621,1758,1932,2098,2230,2396,2538,2716,2867,3055,3207,3344,3524,3670,3831,3994
24,0.05489519703017165,0.06092429246110631,0.131699215672445,0.12886700610806875,0.47,168,331,492,656,802,977,1120,1295,1442,1622,1758,1932,2098,2229,2395,2538,2716,2867,3055,3206,3343,3524,3670,3830,3993
25,0.05907755355618327,0.0652420687499865,0.13140748657297907,0.1285704081453217,0.49,168,331,492,657,801,977,1121,1295,1442,1622,1757,1933,2098,2229,2394,2537,2715,2867,3055,3206,3343,3524,3669,3830,3993
26,0.06321787741743079,0.06950923185575275,0.13111805613207927,0.12827660209515473,0.5,168,331,492,657,801,977,1122,1294,1442,1623,1756,1933,2099,2228,2393,2536,2714,2867,3056,3205,3342,3524,3669,3830,3993
27,0.06708247924928656,0.07349794207772853,0.1308473182931459,0.12800136771113985,0.51,168,331,492,658,800,978,1122,1294,1442,1624,1756,1933,2099,2227,2392,2535,2714,2867,3056,3205,3342,3523,3669,3829,3993
28,0.07049561536745208,0.07701455312554906,0.13060774024070831,0.12775821696597467,0.53,168,331,492,658,800,978,1123,1294,1443,1624,1755,1933,2099,2227,2391,2535,2713,2867,3056,3204,3341,3523,3668,3829,3993
29,0.07332924352717118,0.0799132965563627,0.13040849956278852,0.1275574386116822,0.54,169,332,492,659,800,979,1124,1294,1443,1625,1754,1933,2100,2226,2390,2534,2712,2867,3057,3204,3341,3523,3668,3829,3993
30,0.07552681526646954,0.08216133907701462,0.13025378546549737,0.12740151376554767,0.55,169,332,493,659,799,979,1125,1294,1443,1626,1754,1933,2100,2226,2389,2533,2712,2866,3057,3203,3340,3522,3668,3828,3992
31,0.07709898853060082,0.08375856198204157,0.13014297672976854,0.1272906145743279,0.56,169,332,493,660,799,980,1125,1293,1443,1626,1753,1933,2100,2225,2389,2532,2711,2866,3057,3202,3339,3522,3668,3828,3992
32,0.07812106374268413,0.08477521089710316,0.1300709015040546,0.12721998337672769,0.58,169,332,493,660,798,980,1126,1293,1444,1627,1753,1932,2101,2225,2388,2531,2710,2866,3057,3202,3339,3521,3667,3828,3992
33,0.07870273716368148,0.08534321864717964,0.1300298604118578,0.12718049010142993,0.59,169,333,493,660,798,981,1127,1293,1444,1628,1752,1932,2101,2224,2387,2531,2709,2865,3058,3201,3338,3521,3667,3827,3992
34,0.07896896402150888,0.08559743521665031,0.13001106498239157,0.12716281885714403,0.6,169,333,493,661,797,981,1127,1293,1445,1628,1752,1932,2101,2223,2386,2530,2709,2865,3058,3201,3338,3521,3667,3827,3992
35,0.07906373617324813,0.08568481740632439,0.13000437418520294,0.1271567399087479,0.62,170,333,493,661,797,982,1128,1293,1445,1629,1752,1932,2102,2223,2385,2529,2708,2864,3058,3200,3337,3521,3666,3827,3991
36,0.07911326361066362,0.08573692674726108,0.13000088537813342,0.12715312169788534,0.63,170,333,493,662,796,982,1129,1293,1446,1630,1751,1932,2102,2222,2384,2528,2707,2864,3059,3200,3336,3520,3666,3826,3991
37,0.079220924502719,0.08586237824212384,0.1299932841826656,0.12714439069223368,0.64,170,334,494,663,796,983,1129,1293,1446,1630,1751,1931,2103,2222,2383,2527,2707,2863,3059,3199,3336,3520,3666,3826,3991
38,0.07946511094277864,0.08614038882885688,0.12997605268283596,0.1271250587569207,0.65,170,334,494,663,796,983,1130,1294,1447,1631,1751,1931,2103,2222,2383,2526,2706,2862,3059,3199,3335,3520,3666,3825,3991
39,0.07989897308526395,0.0866235034779117,0.12994541007805255,0.1270914497936467,0.67,170,334,494,664,795,984,1131,1294,1448,1632,1751,1931,2104,2221,2382,2525,2705,2862,3060,3198,3334,3519,3665,3825,3991
40,0.08054800054278699,0.08734050635954427,0.1298995688392533,0.12704155849610868,0.68,170,334,494,664,795,984,1131,1294,1448,1632,1751,1931,2105,2221,2381,2525,2704,2861,3060,3198,3334,3519,3665,3825,3990
41,0.08140384559400049,0.08828300732005057,0.12983910104712523,0.12697594510900434,0.69,171,335,495,665,794,985,1132,1294,1449,1633,1751,1930,2105,2220,2380,2524,2704,2860,3061,3197,3333,3519,3665,3824,3990
42,0.08244649224442213,0.08943040946914316,0.12976539294861147,0.126896016407408,0.71,171,335,495,665,794,986,1133,1294,1450,1634,1751,1930,2106,2220,2380,2523,2703,2859,3061,3197,3333,3519,3665,3824,3990
43,0.08363248259519018,0.09073455316116874,0.12968150291594704,0.12680510915507853,0.72,171,335,495,666,794,986,1133,1294,1450,1634,1751,1930,2106,2220,2379,2522,2702,2858,3062,3196,3332,3518,3665,3824,3990
44,0.08491352142638753,0.09214219227550535,0.1295908248737741,0.1267069263327866,0.73,171,335,495,666,793,987,1134,1294,1451,1635,1752,1930,2107,2219,2378,2521,2701,2857,3062,3196,3331,3518,3664,3823,3990
45,0.08623359372174833,0.0935932148088543,0.12949732170455994,0.12660562198607633,0.74,171,336,496,667,793,987,1134,1295,1452,1636,1752,1930,2108,2219,2377,2520,2701,2856,3062,3195,3331,3518,3664,3823,3989
46,0.08754319942886923,0.09502292433839243,0.12940449226473463,0.12650573835154966,0.76,171,336,496,668,793,988,1135,1295,1453,1636,1752,1931,2108,2219,2377,2519,2700,2855,3063,3195,3330,3518,3664,3822,3989
47,0.08880026691844856,0.09640368158546098,0.12931532684921976,0.12640919436737771,0.77,171,336,496,668,792,989,1136,1295,1454,1637,1752,1931,2109,2219,2376,2518,2699,2854,3063,3194,3330,3517,3664,3822,3989
48,0.08997201529282861,0.0976983774660174,0.12923215358366766,0.12631860031854028,0.78,172,337,497,669,792,989,1136,1295,1454,1638,1753,1931,2110,2219,2375,2517,2698,2853,3064,3194,3329,3517,3663,3822,3989
49,0.09103886441970177,0.0988798882217432,0.1291563829499305,0.1262358650825947,0.79,172,337,497,669,792,990,1137,1296,1455,1638,1753,1931,2110,2218,2374,2516,2698,2852,3064,3193,3328,3517,3663,3821,3989
50,0.0919985308594099,0.09994511401691308,0.1290881794905249,0.12616123296304962,0.81,172,337,497,670,791,990,1137,1296,1456,1639,1753,1931,2111,2218,2374,2515,2697,2851,3064,3193,3328,3516,3663,3821,3989
51,0.09285832394282978,0.1009084971199844,0.12902704994348602,0.1260936990900894,0.82,172,338,498,670,791,991,1138,1296,1457,1640,1753,1931,2112,2218,2373,2514,2696,2850,3065,3192,3327,3516,3663,3820,3988
52,0.09363777965499054,0.10178764171101007,0.12897160347290695,0.12603203343262134,0.83,172,338,498,671,790,992,1138,1297,1458,1640,1753,1931,2112,2218,2372,2513,2695,2849,3065,3192,3327,3516,3663,3820,3988
53,0.09436222186785814,0.10260806450660975,0.12892004863983542,0.12597446292044281,0.85,172,338,498,672,790,992,1139,1297,1459,1641,1753,1932,2113,2217,2372,2512,2695,2848,3065,3191,3326,3516,3662,3820,3988
54,0.09505991601899189,0.10339881652251404,0.12887038107548887,0.12591895183394256,0.86,173,338,498,672,790,993,1140,1297,1459,1641,1753,1932,2113,2217,2371,2511,2694,2847,3065,3191,3325,3515,3662,3819,3988
55,0.09575822233386455,0.10418702166163529,0.12882065098389703,0.1258635864524045,0.87,173,339,499,673,789,993,1140,1298,1460,1642,1754,1932,2114,2217,2370,2510,2693,2846,3066,3190,3325,3515,3662,3819,3988
56,0.0964807260288637,0.10499582493827053,0.12876917313199474,0.1258067531675504,0.88,173,339,499,673,789,994,1141,1298,1461,1643,1754,1932,2114,2216,2369,2509,2692,2845,3066,3190,3324,3515,3662,3819,3987
