epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0.29398148148148145,0.2900641025641026,0.0,0.0,0.01,6,12,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,124
1,0.29398148148148145,0.2900641025641026,0.0,0.0,0.02,6,12,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,124
2,0.29398148148148145,0.2900641025641026,0.0,0.0,0.03,6,12,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
3,0.29398148148148145,0.2900641025641026,0.0,0.0,0.03,6,12,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
4,0.29398148148148145,0.2900641025641026,0.0,0.0,0.05,6,12,19,25,31,37,43,50,55,62,68,74,80,87,93,99,105,111,117,123
5,0.29398148148148145,0.2900641025641026,0.0,0.0,0.05,6,12,19,25,31,37,43,50,55,62,68,74,80,87,93,99,105,111,117,123
6,0.29398148148148145,0.2900641025641026,0.0,0.0,0.06,6,12,19,25,31,37,43,50,55,62,68,74,80,86,92,99,105,111,117,123
7,0.29398148148148145,0.2900641025641026,0.0,0.0,0.07,6,12,19,25,31,37,43,50,55,62,68,74,80,86,92,99,105,111,117,123
8,0.29398148148148145,0.2900641025641026,0.0,0.0,0.08,6,12,19,25,31,37,43,50,55,62,68,74,80,86,92,99,105,111,117,123
9,0.29398148148148145,0.2900641025641026,0.0,0.0,0.08,6,12,19,25,31,37,43,50,55,62,68,74,80,86,92,99,105,111,117,123
10,0.29398148148148145,0.2900641025641026,0.0,0.0,0.09,6,12,19,25,31,37,43,50,55,62,68,75,80,86,92,99,105,111,117,123
11,0.29398148148148145,0.2900641025641026,0.0,0.0,0.1,6,12,19,25,31,37,43,50,55,62,68,75,80,86,92,99,105,111,117,123
12,0.29398148148148145,0.2900641025641026,0.0,0.0,0.11,6,12,19,25,31,37,43,50,55,62,68,75,80,86,92,99,105,111,117,123
13,0.29398148148148145,0.2900641025641026,0.0,0.0,0.12,6,12,19,25,31,37,43,50,55,62,68,75,80,86,92,99,105,111,117,123
14,0.29398148148148145,0.2900641025641026,0.0,0.0,0.13,6,12,19,25,31,37,43,50,55,62,68,75,80,86,92,99,105,111,117,123
15,0.29398148148148145,0.2900641025641026,0.0,0.0,0.14,6,12,19,25,31,37,43,50,55,62,67,75,80,86,92,98,105,111,117,123
16,0.29398148148148145,0.2900641025641026,0.0,0.0,0.15,6,12,19,25,31,37,43,50,55,62,67,75,80,86,92,98,105,111,117,123
17,0.29398148148148145,0.2900641025641026,0.0,0.0,0.16,6,12,19,25,31,37,44,50,55,62,67,75,80,86,92,98,105,111,117,123
18,0.29398148148148145,0.2900641025641026,0.0,0.0,0.18,6,12,19,25,31,37,44,50,55,62,67,75,80,86,92,98,105,111,117,123
19,0.29398148148148145,0.2900641025641026,0.0,0.0,0.19,6,12,19,25,31,37,44,50,55,62,67,75,80,86,92,98,105,111,117,123
20,0.29398148148148145,0.2900641025641026,0.0,0.0,0.21,6,12,19,25,30,37,44,50,56,63,67,75,80,86,92,98,105,111,117,123
21,0.29398148148148145,0.2900641025641026,0.0,0.0,0.22,6,12,19,25,30,37,44,50,56,63,67,75,80,86,92,98,105,111,117,123
22,0.29398148148148145,0.2900641025641026,0.0,0.0,0.23,6,12,19,25,30,37,44,50,56,63,67,75,80,86,92,98,105,111,117,123
23,0.29398148148148145,0.2900641025641026,0.0,0.0,0.24,6,12,19,25,30,37,44,50,56,63,67,75,80,86,92,98,105,111,117,123
24,0.29398148148148145,0.2900641025641026,0.0,0.0,0.25,6,12,19,25,30,37,44,50,56,63,67,75,80,86,92,98,105,111,117,123
25,0.29398148148148145,0.2900641025641026,0.0,0.0,0.26,6,12,19,25,30,37,44,50,56,63,67,75,80,86,92,98,105,111,117,123
26,0.29398148148148145,0.2900641025641026,0.0,0.0,0.26,6,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
27,0.29398148148148145,0.2900641025641026,0.0,0.0,0.27,6,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
28,0.29398148148148145,0.2900641025641026,0.0,0.0,0.28,6,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
29,0.29398148148148145,0.2900641025641026,0.0,0.0,0.29,7,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
30,0.29398148148148145,0.2900641025641026,0.0,0.0,0.29,7,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
31,0.29398148148148145,0.2900641025641026,0.0,0.0,0.3,7,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
32,0.29398148148148145,0.2900641025641026,0.0,0.0,0.31,7,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
33,0.29398148148148145,0.2900641025641026,0.0,0.0,0.32,7,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
34,0.29398148148148145,0.2900641025641026,0.0,0.0,0.32,7,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
35,0.29398148148148145,0.2900641025641026,0.0,0.0,0.33,7,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
36,0.29398148148148145,0.2900641025641026,0.0,0.0,0.34,7,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
37,0.29398148148148145,0.2900641025641026,0.0,0.0,0.34,7,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
38,0.29398148148148145,0.2900641025641026,0.0,0.0,0.35,7,12,19,25,30,36,44,50,56,63,67,75,80,86,92,98,105,111,117,123
39,0.29398148148148145,0.2900641025641026,0.0,0.0,0.36,7,12,19,25,30,36,44,50,56,63,67,76,80,86,92,98,105,111,117,123
40,0.29398148148148145,0.2900641025641026,0.0,0.0,0.36,7,12,19,25,30,36,44,50,56,63,67,76,80,86,92,98,105,111,117,123
41,0.29398148148148145,0.2900641025641026,0.0,0.0,0.37,7,12,19,25,30,36,44,50,56,63,67,76,80,86,92,98,105,111,117,123
42,0.29398148148148145,0.2900641025641026,0.0,0.0,0.38,7,13,19,25,30,36,44,50,56,63,67,76,80,85,91,98,105,111,117,123
43,0.29398148148148145,0.2900641025641026,0.0,0.0,0.38,7,13,19,25,30,36,44,50,56,63,67,76,80,85,91,98,105,111,117,123
44,0.29451566951566954,0.2916666666666667,0.0006765576545330054,0.002084056964223646,0.39,7,13,19,25,30,36,44,50,56,63,67,76,80,85,91,98,105,111,117,123
45,0.2946937321937322,0.2932692307692308,0.0008287134244296945,0.004168837936425196,0.4,7,13,19,25,30,36,44,50,56,63,67,76,80,85,91,98,105,111,117,123
46,0.2946937321937322,0.2932692307692308,0.0007486419914577436,0.004168837936425196,0.41,7,13,19,25,30,36,44,50,57,63,67,76,80,85,91,98,105,111,117,123
47,0.29576210826210825,0.2932692307692308,0.0020023504837650696,0.004168837936425196,0.41,7,13,19,25,30,36,44,50,57,63,66,76,80,85,91,98,105,111,117,123
48,0.296474358974359,0.2916666666666667,0.0027519044230290834,0.00156385751520427,0.42,7,13,19,25,30,36,44,50,57,63,66,76,80,85,91,98,104,111,117,123
49,0.29754273504273504,0.2980769230769231,0.003687169448982175,0.009566881196729993,0.43,7,13,19,25,30,36,44,50,57,63,66,76,80,85,91,98,104,111,117,123
50,0.3005698005698006,0.29967948717948717,0.007263741201138152,0.011312217194570318,0.43,7,13,19,25,30,36,44,50,57,63,66,76,80,85,91,98,104,111,117,123
