epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5
0,0.3772039180765806,0.4150641025641026,0.1599738113940372,0.19696499591007832,0.01,22,43,65,86,108
1,0.3764915405164737,0.40865384615384615,0.15738779227591704,0.18532670997325185,0.02,22,43,65,86,108
2,0.3729296527159395,0.40865384615384615,0.1508913070489103,0.1820274533208287,0.03,22,43,65,86,108
3,0.37079252003561886,0.40384615384615385,0.1460896523875752,0.17359232149468828,0.04,22,43,65,86,108
4,0.37043633125556547,0.40224358974358976,0.14347524567178072,0.16867160042289342,0.04,22,43,65,86,108
5,0.3686553873552983,0.391025641025641,0.13860299121322184,0.14983937586048635,0.05,22,43,65,86,108
6,0.36776491540516476,0.38461538461538464,0.13500808329646607,0.13807194244604304,0.06,22,43,65,86,108
7,0.3658058771148709,0.38461538461538464,0.12988351152902378,0.1357091328812582,0.07,22,43,65,86,108
8,0.36153161175422976,0.38621794871794873,0.12143370877004456,0.13582782510594615,0.08,22,43,65,86,108
9,0.3572573463935886,0.3733974358974359,0.11327041295942253,0.1143699272574158,0.08,22,43,65,86,108
10,0.35280498664292076,0.36538461538461536,0.1048866473547101,0.10130928135001449,0.09,22,43,65,86,108
11,0.35031166518254675,0.36538461538461536,0.09945167878336436,0.09981639611808946,0.1,22,43,65,86,108
12,0.3472840605520926,0.3605769230769231,0.09382735793968522,0.09022611339287012,0.1,22,43,64,86,108
13,0.3435440783615316,0.3573717948717949,0.08772956911312801,0.08286418015482055,0.11,22,43,64,86,108
14,0.3398040961709706,0.3541666666666667,0.08140881565412306,0.07674684994272618,0.12,22,43,64,86,108
15,0.3383793410507569,0.35096153846153844,0.07874493904775148,0.07034917084798642,0.12,22,43,64,86,108
16,0.3367764915405165,0.3541666666666667,0.07594697795774286,0.07416352497643741,0.13,22,43,64,86,108
17,0.33535173642030275,0.3525641025641026,0.07341755293335883,0.07160639316491135,0.14,22,43,64,86,108
18,0.3348174532502226,0.35096153846153844,0.07226963177880597,0.06878712397010911,0.14,22,43,64,86,108
19,0.3348174532502226,0.35096153846153844,0.0720323621911958,0.06878712397010911,0.15,22,43,64,86,108
