epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.0038549572340681845,0.007583965330444204,-4.931700393173699e-05,-7.33375443278117e-05,0.01,8,15,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
1,0.0038549572340681845,0.007583965330444204,-8.406129149207686e-06,0.0,0.02,8,15,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
2,0.0038549572340681845,0.007583965330444204,-8.406129149207686e-06,0.0,0.03,8,15,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,167,175,183,190
3,0.0038549572340681845,0.007583965330444204,-8.406129149207686e-06,0.0,0.04,8,15,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,167,175,183,190
4,0.0038549572340681845,0.007583965330444204,-8.406129149207686e-06,0.0,0.05,8,15,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,167,175,183,190
5,0.0038549572340681845,0.007583965330444204,-8.406129149207686e-06,0.0,0.06,8,16,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,167,175,183,190
6,0.0038549572340681845,0.007583965330444204,-1.6812399625365515e-05,0.0,0.06,8,16,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,167,175,183,190
7,0.0038549572340681845,0.007583965330444204,-2.5218811432692334e-05,0.0,0.07,8,16,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,167,175,183,190
8,0.0038549572340681845,0.007583965330444204,-4.056051307310682e-05,-3.666742761443409e-05,0.08,8,16,23,31,38,46,53,61,69,76,84,92,99,107,114,121,129,137,145,152,160,167,175,183,190
9,0.0038549572340681845,0.007583965330444204,-0.00022659242342837338,-0.00016443301957003165,0.1,8,16,23,31,38,46,53,61,69,76,84,92,99,107,114,121,129,137,145,152,160,167,175,183,190
10,0.07119624141669678,0.08125677139761647,0.03111677766942733,0.03300157150340488,0.11,8,16,23,31,38,45,53,61,69,76,84,92,99,107,114,121,129,137,145,152,160,167,175,183,190
11,0.07974942777978557,0.09317443120260022,0.026017142412148697,0.03142125316412847,0.12,8,16,23,31,38,45,53,61,69,76,84,92,99,107,114,121,129,137,145,152,160,167,175,183,190
12,0.07962896036622094,0.09317443120260022,0.022058971381539116,0.027231930373291524,0.13,8,16,23,31,38,45,53,61,69,76,84,92,98,107,114,121,129,137,145,152,160,167,175,183,190
13,0.08203830863751355,0.09534127843986999,0.01993099903399398,0.024529006372732032,0.14,8,16,23,31,38,45,53,61,69,76,84,92,98,107,114,121,129,137,145,152,160,167,175,183,190
14,0.10661366100469823,0.11159263271939328,0.03902410149068747,0.036536899697286795,0.15,8,16,23,31,38,45,53,61,69,76,84,92,98,107,114,121,129,136,145,152,160,167,176,183,190
15,0.13769425370437297,0.14301191765980498,0.06617529720061732,0.06517822731713441,0.16,8,16,23,31,38,46,53,61,69,76,84,92,98,107,114,121,129,136,145,152,160,167,176,183,190
16,0.14082640645705335,0.14517876489707476,0.06835096004363683,0.0661871813546977,0.17,8,16,23,31,38,46,54,61,69,76,84,92,98,107,114,121,129,136,145,152,160,167,176,183,190
17,0.14154921093844114,0.14517876489707476,0.06885360281838016,0.0661476653274875,0.18,8,16,23,31,38,46,54,61,69,76,84,92,98,107,114,121,129,136,145,152,160,167,176,182,190
18,0.14263341766052282,0.14734561213434452,0.07002458684894486,0.06864621811136995,0.19,8,16,23,31,38,46,54,61,69,76,84,92,98,107,114,121,129,136,145,152,160,167,176,182,190
19,0.14359715696903988,0.14842903575297942,0.07108652533069859,0.06988211311755987,0.2,8,16,23,31,38,46,54,61,69,76,84,93,98,107,114,121,129,136,145,152,160,167,176,182,190
20,0.1451632333453801,0.14842903575297942,0.07280332673162593,0.06990834697637327,0.2,8,16,23,30,38,46,54,61,70,76,84,93,98,107,113,121,129,136,145,152,160,167,176,182,190
21,0.14576557041320323,0.15059588299024917,0.07347791401789872,0.07232732218790816,0.21,8,16,23,30,38,46,54,61,70,76,84,93,98,107,113,121,129,136,145,152,160,167,176,182,190
22,0.1468497771352849,0.15059588299024917,0.07467589162562038,0.07232732218790816,0.22,8,16,23,30,38,46,54,61,70,75,84,93,98,107,113,121,129,136,145,152,160,167,176,182,190
23,0.14781351644380195,0.15167930660888407,0.07574158559827604,0.07364120995538104,0.23,8,16,24,30,38,46,54,61,70,75,84,93,98,107,113,121,130,136,145,152,160,167,176,182,190
24,0.14793398385736659,0.15384615384615385,0.07589109193733379,0.07605949718343263,0.23,8,16,24,30,38,46,54,61,70,75,85,93,98,107,113,121,130,136,145,152,160,167,176,182,190
25,0.14805445127093123,0.15384615384615385,0.07603509515483031,0.07605949718343263,0.24,8,15,24,30,38,46,54,61,70,75,85,93,98,107,113,121,130,136,145,152,160,167,176,182,190
26,0.14841585351162512,0.15384615384615385,0.07643646802228943,0.07608554946188728,0.25,8,15,24,30,38,46,54,61,69,75,85,93,98,107,113,121,130,136,145,152,160,167,176,182,190
27,0.14889772316588362,0.15492957746478872,0.07696377425413825,0.07732057195512843,0.26,8,15,24,30,38,46,54,61,69,75,85,93,98,107,113,121,130,136,145,152,160,167,176,182,190
28,0.14901819057944826,0.15492957746478872,0.0770959921612534,0.07734658647456782,0.26,8,15,24,30,38,46,54,61,69,75,85,92,98,107,113,121,130,136,145,152,160,167,176,182,190
29,0.14925912540657751,0.15492957746478872,0.07735885832203448,0.07734658647456782,0.27,8,15,24,30,38,46,54,61,69,75,85,92,97,107,113,121,130,136,145,152,160,167,176,182,190
30,0.1491386579930129,0.15492957746478872,0.07722585681828842,0.07734658647456782,0.28,8,15,24,30,38,46,54,61,69,75,85,92,97,107,113,121,130,136,145,152,160,167,176,182,190
31,0.1491386579930129,0.15492957746478872,0.07722271973216999,0.07734658647456782,0.28,8,15,24,30,38,46,54,61,69,75,85,92,97,107,113,121,130,136,145,152,160,167,176,182,190
32,0.14901819057944826,0.15492957746478872,0.07709285463631044,0.07734658647456782,0.29,8,15,24,30,38,46,54,61,69,75,85,92,97,107,113,121,130,136,145,152,160,167,176,182,190
33,0.15046379954222383,0.15492957746478872,0.07867004359026653,0.07737259952711406,0.3,8,15,24,30,38,46,54,61,69,76,85,92,97,107,113,120,130,136,145,152,160,167,176,182,190
34,0.15118660402361161,0.15492957746478872,0.07945627891353613,0.07745062988463325,0.31,8,15,24,30,38,46,54,61,69,76,85,92,97,107,113,120,130,136,145,152,160,167,176,182,190
35,0.1519094085049994,0.15492957746478872,0.08024641868607352,0.07742462123202276,0.31,8,15,24,30,38,46,54,61,69,76,85,92,97,107,113,120,130,136,145,152,160,167,176,182,190
36,0.1519094085049994,0.15492957746478872,0.08025267215067933,0.07742462123202276,0.32,8,15,24,30,38,46,54,61,69,76,85,92,97,107,113,120,130,136,145,152,160,167,176,182,190
37,0.15178894109143476,0.15492957746478872,0.08012671693227735,0.07739861111289104,0.33,8,16,24,30,38,46,54,61,69,76,85,92,97,107,113,120,130,136,145,152,160,167,176,182,190
38,0.15178894109143476,0.15492957746478872,0.08012593515079125,0.07742462123202276,0.34,8,16,24,30,38,46,54,61,69,76,85,92,97,107,113,120,130,135,145,152,160,167,176,182,190
39,0.1519094085049994,0.15492957746478872,0.08025814386245411,0.07739861111289104,0.34,8,16,24,30,38,46,54,61,69,76,85,92,97,107,113,120,130,135,145,152,160,167,176,182,190
40,0.15142753885074087,0.15492957746478872,0.07972852419522303,0.07739861111289104,0.35,8,16,24,30,38,46,54,61,69,76,85,92,97,107,113,120,130,135,145,152,160,167,176,182,190
41,0.15130707143717625,0.15492957746478872,0.07959396685133802,0.07734658647456782,0.36,8,16,24,30,38,46,54,61,69,76,85,92,97,107,113,120,130,135,145,152,160,167,176,182,190
42,0.15106613661004697,0.15492957746478872,0.07932250129396923,0.07732057195512843,0.37,8,16,24,30,38,46,54,61,69,76,85,92,97,107,113,120,130,135,145,152,160,167,176,182,190
43,0.15118660402361161,0.15384615384615385,0.07944063134274226,0.07608554946188728,0.37,8,16,24,30,38,46,54,61,69,76,85,92,97,107,113,120,130,135,145,152,160,167,176,182,190
44,0.15022286471509458,0.15492957746478872,0.07828451192877728,0.07701064987711681,0.38,8,16,24,30,38,47,54,61,69,76,85,92,97,107,113,120,130,135,145,152,160,167,176,182,190
45,0.15106613661004697,0.15492957746478872,0.07649575595161218,0.07484010748169778,0.39,8,16,24,30,38,47,54,61,69,76,85,92,98,107,113,120,130,135,145,152,160,167,176,182,190
46,0.21009516925671606,0.20260021668472372,0.11634879645558016,0.10527383313708905,0.4,8,16,24,30,38,47,54,61,69,76,86,92,98,107,113,120,130,135,145,152,160,167,176,182,190
47,0.2070834839176003,0.19501625135427952,0.10282957253831182,0.08609233573918695,0.4,8,16,24,30,38,47,54,61,68,76,86,92,98,107,113,120,130,135,145,152,160,167,176,182,190
48,0.2004577761715456,0.19176598049837487,0.08853192520929831,0.07503351629603949,0.41,8,16,24,30,38,47,55,61,68,76,86,92,98,107,113,120,130,135,145,152,160,167,176,182,190
49,0.18142392482833394,0.18418201516793067,0.05955466290550537,0.05860721019439574,0.42,8,16,24,30,38,47,55,61,68,76,86,92,98,107,113,120,130,135,145,152,160,167,176,182,190
50,0.15082520178291772,0.15167930660888407,0.018369243182490225,0.014351528574857664,0.43,8,16,24,30,38,47,55,61,68,76,86,92,98,107,113,120,130,135,145,152,160,167,176,182,190
51,0.14010360197566557,0.14409534127843987,0.0023301874545490486,0.0016662399522444638,0.43,8,16,24,30,38,47,55,61,68,76,86,92,97,107,113,120,130,135,145,152,160,167,176,182,190
52,0.13962173232140707,0.14409534127843987,0.0003414831897091686,0.00023171666399302016,0.44,8,16,24,30,38,47,55,61,68,76,86,92,97,107,113,119,130,135,145,152,160,167,176,182,190
53,0.13962173232140707,0.14301191765980498,5.4681321575822395e-05,-0.0014718389070258464,0.45,8,16,24,30,38,47,55,61,68,76,85,92,97,107,113,119,130,135,145,152,160,167,176,182,190
54,0.13913986266714853,0.1419284940411701,-0.0007657039664903387,-0.0029442836171058584,0.46,8,16,24,30,38,47,55,61,68,76,85,92,97,107,113,119,130,135,145,152,160,167,176,182,190
55,0.13456210095169258,0.14084507042253522,-0.007151176549150762,-0.00483100409104642,0.46,8,16,24,30,38,47,55,61,68,76,85,92,97,107,113,119,130,135,145,152,160,167,176,182,190
56,0.12516564269365138,0.13001083423618634,-0.020326241100179665,-0.019391530389095912,0.47,8,16,24,30,38,47,55,61,68,76,85,92,97,107,113,119,130,135,145,152,160,167,176,182,190
