epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5
0,0.02361161305866763,0.018418201516793065,0.0,0.0,0.01,33,66,99,132,165
1,0.02361161305866763,0.018418201516793065,0.0,0.0,0.02,33,66,99,132,165
2,0.02361161305866763,0.018418201516793065,0.0,0.0,0.03,33,66,99,132,165
3,0.02361161305866763,0.018418201516793065,0.0,0.0,0.04,33,66,99,132,165
4,0.02361161305866763,0.018418201516793065,0.0,0.0,0.05,33,66,99,132,165
5,0.022768341163715216,0.016251354279523293,-0.0008596329755423682,-0.002221887384511012,0.05,33,66,99,132,165
6,0.01734730755330683,0.013001083423618635,-0.006168391688629704,-0.005759307591281848,0.06,33,66,99,132,165
7,0.013130948078544754,0.010834236186348862,-0.009634195266511103,-0.008758867200873377,0.07,33,66,99,132,165
8,0.0093964582580412,0.007583965330444204,-0.012318019001361424,-0.013257335158184391,0.08,33,67,100,132,165
9,0.007228044813877846,0.0065005417118093175,-0.014046706763056083,-0.01489382112066373,0.08,33,67,100,132,165
10,0.0062643055053608,0.0065005417118093175,-0.014808238076398084,-0.015093439001398368,0.09,33,67,100,132,165
11,0.0043368268883267076,0.0032502708559046588,-0.016626797969951923,-0.01860004270356752,0.1,33,67,100,132,165
12,0.0038549572340681845,0.0032502708559046588,-0.017001795685119614,-0.018754019061147265,0.11,33,67,100,132,165
13,0.002047946030598723,0.0010834236186348862,-0.01871559896152042,-0.021115708032560354,0.12,33,67,100,132,165
14,0.0010842067220816769,0.0,-0.019598158422001077,-0.02230662154702756,0.12,33,67,100,132,165
15,0.0012046741356463078,0.0,-0.01937289532030939,-0.02238023233486941,0.13,33,67,100,132,165
16,0.0015660763763402,0.0,-0.018933477985152214,-0.022424403896097678,0.14,33,67,100,133,165
17,0.0033730875798096615,0.005417118093174431,-0.016974504767805598,-0.01700786418674327,0.15,33,67,100,133,165
18,0.010239730152993615,0.014084507042253521,-0.009761015928816619,-0.008312064979123734,0.15,33,67,100,133,165
19,0.017829177207565352,0.020585048754062838,-0.0017456452895130425,-0.0019380915442051005,0.16,33,67,100,133,165
20,0.01903385134321166,0.02275189599133261,-0.0003634427072707336,0.00012009905770282714,0.17,33,67,100,133,165
21,0.019274786170340924,0.02275189599133261,-4.1020681571080075e-05,3.363064424311002e-05,0.18,33,67,100,133,165
22,0.019274786170340924,0.02275189599133261,-1.118712486225526e-05,0.0,0.18,33,67,100,133,165
23,0.019274786170340924,0.02275189599133261,-4.2617323381399785e-06,0.0,0.19,33,67,100,133,165
24,0.019274786170340924,0.02275189599133261,-2.130861628479863e-06,0.0,0.2,33,67,100,133,165
25,0.019274786170340924,0.02275189599133261,-2.130861628479863e-06,0.0,0.21,33,67,100,133,165
26,0.019274786170340924,0.02275189599133261,-2.130861628479863e-06,0.0,0.21,32,67,100,133,165
27,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.22,32,67,100,133,165
28,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.23,32,67,100,133,165
29,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.23,32,67,100,133,165
30,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.24,32,67,100,133,165
31,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.25,32,67,100,133,165
32,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.26,32,67,100,133,165
33,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.26,32,67,100,133,165
34,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.27,32,67,100,133,164
35,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.28,32,67,100,133,164
36,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.28,32,67,100,134,164
37,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.29,32,68,100,134,164
38,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.3,32,68,100,134,164
39,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.31,32,68,100,134,164
40,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.31,32,68,100,134,164
41,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.32,32,68,100,134,164
42,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.33,32,68,100,134,164
43,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.33,32,68,100,134,164
44,0.019274786170340924,0.02275189599133261,-1.0654296791479112e-06,0.0,0.34,32,68,100,134,164
45,0.019274786170340924,0.02275189599133261,-5.327145558009505e-07,0.0,0.35,32,68,100,134,164
46,0.019274786170340924,0.02275189599133261,0.0,0.0,0.36,32,68,100,134,164
47,0.11661245633056258,0.11484290357529794,0.05900874213721263,0.056794388478770386,0.36,32,68,100,134,164
48,0.15660763763402,0.16251354279523295,0.05215050222633799,0.05567261647929567,0.37,32,68,100,134,164
49,0.1374533188772437,0.13976164680390032,9.902248355453391e-05,0.0,0.38,32,68,100,134,164
50,0.1374533188772437,0.13976164680390032,6.601716809773173e-05,0.0,0.38,32,68,100,134,164
51,0.1374533188772437,0.13976164680390032,3.300967365149621e-05,0.0,0.39,32,68,99,134,164
52,0.1374533188772437,0.13976164680390032,3.300967365149621e-05,0.0,0.4,32,68,99,134,164
53,0.1374533188772437,0.13976164680390032,1.65051092398949e-05,0.0,0.41,32,68,99,134,164
54,0.1374533188772437,0.13976164680390032,0.0,0.0,0.41,32,68,99,135,164
55,0.1374533188772437,0.13976164680390032,0.0,0.0,0.42,32,68,99,135,164
56,0.1374533188772437,0.13976164680390032,0.0,0.0,0.43,32,68,99,135,164
57,0.1374533188772437,0.13976164680390032,0.0,0.0,0.43,32,68,99,135,164
58,0.1374533188772437,0.13976164680390032,0.0,0.0,0.44,32,68,99,135,164
59,0.1374533188772437,0.13976164680390032,0.0,0.0,0.45,32,68,99,135,164
60,0.1374533188772437,0.13976164680390032,0.0,0.0,0.45,32,68,99,135,164
61,0.1374533188772437,0.13976164680390032,0.0,0.0,0.46,32,68,99,135,164
62,0.1374533188772437,0.13976164680390032,0.0,0.0,0.47,32,68,99,135,164
63,0.1374533188772437,0.13976164680390032,0.0,0.0,0.48,32,68,99,135,164
