epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.1474622069550497,0.14521426474603946,0.01,6,12,18,24,30,36,42,48,53,59
1,0,0,0.1438834195763987,0.14157998808571756,0.01,6,12,18,24,30,36,42,48,53,59
2,0,0,0.14062290057628485,0.13826248693596316,0.02,6,12,18,24,30,36,42,48,53,59
3,0,0,0.1378697514607133,0.13545211150828376,0.02,6,12,18,24,30,36,42,48,54,59
4,0,0,0.13571780829747412,0.13324812663096205,0.03,6,12,18,24,30,36,42,48,54,59
5,0.01894726659970669,0.019630433761670174,0.13418048486375506,0.13166985116600374,0.03,6,12,18,24,30,36,42,48,54,59
6,0.0328239562680509,0.0342506778146231,0.1332281354877193,0.13068436548988338,0.04,6,12,18,24,30,36,41,48,54,59
7,0.03925862297782501,0.04116745735370908,0.1327842093236918,0.13021553417003892,0.04,6,12,18,24,30,36,41,48,54,59
8,0.04005474378613316,0.042238177623544426,0.132729188650472,0.13014281213823006,0.04,6,12,18,24,30,36,41,48,54,59
9,0.03739369368860046,0.03968373096245892,0.1329130255104259,0.13031624772608286,0.05,6,12,18,24,30,36,41,48,54,59
10,0.03345754580618154,0.03577732820631607,0.13318450103956445,0.13058102596493612,0.05,6,12,18,24,30,36,41,48,54,59
11,0.030102936503350497,0.032447956075975726,0.13341541740737828,0.13080627873012254,0.06,6,12,18,24,30,36,41,48,54,59
12,0.028603186646371515,0.031020087324885925,0.13351853020968724,0.13090276710410148,0.06,6,12,18,24,30,36,41,48,54,59
13,0.029491830568896038,0.03203347728095485,0.13345743413457098,0.13083429238500408,0.07,6,12,18,24,30,36,41,48,54,59
14,0.03271422896677845,0.035459841987135254,0.13323569892331996,0.13060252047542997,0.07,6,12,18,24,30,36,41,48,54,59
15,0.037780183552086344,0.04077530306928123,0.13288634715519876,0.1302421660973293,0.08,6,12,18,24,30,36,41,48,54,59
16,0.04397962528910626,0.04725849029677587,0.1324575674291457,0.12980128002257468,0.08,6,12,18,24,30,36,41,48,54,59
17,0.0505437458109107,0.05410653129516474,0.1320020476894967,0.1293339497520912,0.09,6,12,18,24,30,36,41,48,54,59
18,0.05678532979007256,0.06059756065584454,0.1315674555812457,0.12888942232980152,0.09,6,12,18,24,30,36,41,48,54,59
19,0.06218450605860737,0.06620681648250248,0.13119035114717628,0.12850403892908444,0.1,6,12,18,24,30,36,41,48,53,59
20,0.06643987832622611,0.07061857252868209,0.13089237935644976,0.12820010687874567,0.1,6,12,18,24,30,36,41,48,53,59
21,0.06948268962972681,0.07377763412372951,0.1306788850938577,0.12798204151523007,0.1,6,12,18,24,30,36,41,48,53,59
22,0.07146233503910582,0.07584367534536063,0.13053980280258554,0.127839231179044,0.11,6,12,18,24,30,36,41,48,53,59
23,0.07268229106606972,0.07713982250796447,0.13045402632226155,0.12774954918606415,0.11,6,12,18,24,30,36,41,48,53,59
24,0.07354828539227443,0.0780841149841277,0.13039308712499206,0.12768416832495177,0.12,6,12,18,24,30,36,41,48,53,59
25,0.07445463962704635,0.0790908727638977,0.13032928968118845,0.12761444095847232,0.12,6,12,18,24,30,36,41,48,53,59
26,0.07571304928078937,0.08047921961245508,0.1302406644418055,0.12751821052473802,0.13,6,12,18,24,30,36,41,47,53,59
27,0.07750338136639312,0.08244462411615383,0.13011447066508663,0.12738185528931015,0.13,6,12,18,24,30,36,41,47,53,59
28,0.07986554196095552,0.08502059380103244,0.12994776800933264,0.12720291798748962,0.14,6,12,18,24,30,36,41,47,53,59
29,0.08271437475542376,0.0881177748582761,0.1297464515374456,0.12698744530038739,0.14,6,12,18,24,30,36,41,47,53,59
30,0.08587386845467238,0.09155982209161517,0.1295228142286459,0.12674755178340588,0.15,6,12,18,24,30,36,41,47,53,59
31,0.08913485007997979,0.09512484841829583,0.12929157983822273,0.1264986118317758,0.15,6,12,18,24,30,36,41,47,53,59
32,0.0923001273298012,0.09859404655489601,0.1290667430651274,0.1262558864056883,0.16,6,12,18,24,30,36,41,47,53,59
33,0.09521800086266974,0.10181344357195854,0.1288591356586312,0.12603022297488736,0.16,6,12,18,24,30,36,41,47,53,59
34,0.09780722673914843,0.1046987925100007,0.12867461692051907,0.12582762733947497,0.17,6,12,18,24,30,36,41,47,53,59
35,0.10005639181752968,0.10722022073824511,0.12851411969309143,0.12565032352644182,0.17,6,12,18,24,30,36,41,47,53,59
36,0.10202450699759524,0.10944503153105889,0.12837351910889366,0.12549366178740778,0.18,6,12,18,24,30,36,41,47,53,59
37,0.10381626698609026,0.11147640163220507,0.1282453791406808,0.1253504534274377,0.18,6,12,18,24,30,36,41,47,53,59
38,0.10555643283137661,0.11344438303783255,0.1281208110333891,0.12521155902110634,0.19,6,12,18,24,30,36,41,47,53,59
39,0.10735279031497447,0.11546260837383893,0.12799209062812109,0.12506895845409274,0.19,6,12,18,24,30,36,41,47,53,59
40,0.10927981296031108,0.11760690068767232,0.1278538588385533,0.12491727490690033,0.2,6,12,18,24,30,36,41,47,53,59
41,0.11136754181544695,0.11990853955155478,0.1277039407059711,0.12475423942454779,0.2,6,12,18,24,30,36,41,47,53,59
42,0.11360005066346801,0.12234602673328032,0.12754341953423762,0.12458136611467639,0.21,6,12,18,24,30,36,41,47,53,59
43,0.11592863410631626,0.12486919932635776,0.12737578679432324,0.12440215881747876,0.21,6,12,18,24,30,36,41,47,53,59
44,0.11828657127145736,0.12742147936035153,0.12720580264563724,0.12422061624864468,0.22,6,12,18,24,30,36,41,47,53,59
45,0.12060483217162421,0.12992518973794176,0.1270384648398556,0.12404227301478013,0.22,6,12,18,24,30,36,41,47,53,59
46,0.12282942769003347,0.1323278374695559,0.12687768161692733,0.12387089096109997,0.23,6,12,18,24,30,36,41,47,53,59
47,0.12493504506642972,0.13460575096108685,0.12672530787581632,0.12370818538874813,0.23,6,12,18,24,30,36,41,47,53,59
48,0.12692508114046797,0.13676172930825703,0.12658112383027068,0.12355398705543538,0.23,6,12,18,24,30,36,41,47,53,59
49,0.12882796193711743,0.13882848192027542,0.12644310989087754,0.12340599590578676,0.24,6,12,18,24,30,36,41,47,53,59
50,0.13068765633461255,0.14085355967719326,0.1263080715123227,0.1232608116091135,0.24,6,12,18,24,30,35,41,47,53,59
51,0.13254770351045753,0.14287706552716484,0.12617287384440928,0.12311556957287294,0.25,6,12,18,24,30,35,41,47,53,59
52,0.13444515618679365,0.14493943410841947,0.12603480449103074,0.1229673688852191,0.25,6,12,18,24,30,35,41,47,53,59
