epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.16977463843568766,0.1729122314018359,0.01,4,8,12,16,20,25,29,33,37,41,45,49,53,57,61
1,0,0,0.1665415511546841,0.16980470256748312,0.01,4,8,12,16,20,25,29,33,37,41,45,49,53,57,61
2,0,0,0.16351209001506506,0.16689719459725513,0.02,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
3,0,0,0.16068015819515302,0.1641854268445217,0.02,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
4,0,0,0.15804075810036086,0.16166713439142105,0.03,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
5,0,0,0.15558614372145893,0.1593323367647887,0.03,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
6,0,0,0.15330770161269738,0.1571724484595609,0.04,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
7,0,0,0.15119413512605334,0.15517660036344982,0.04,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
8,0,0,0.14922537139861378,0.1533252933932299,0.05,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
9,0,0,0.14735916870122162,0.15157713327849223,0.05,4,8,12,17,21,25,29,33,37,41,45,49,53,57,61
10,0,0,0.145524222453507,0.14986041349294402,0.06,4,8,12,17,21,25,29,33,37,41,45,49,53,57,61
11,0,0,0.14368219616498065,0.14813618444718527,0.06,4,8,12,17,21,25,29,33,37,41,45,49,53,57,61
12,0,0,0.1418556433131286,0.14642975106619804,0.07,4,8,12,17,21,25,29,33,37,41,45,49,53,57,61
13,0,0,0.14010246868475448,0.14478974809907785,0.07,4,8,12,17,21,25,29,33,37,41,45,49,53,57,61
14,0,0,0.13848266319104416,0.1432787195375356,0.08,4,8,12,17,21,25,29,33,37,41,45,49,53,57,61
15,0,0.005683315668706279,0.13703857887269283,0.14194352524271678,0.08,4,8,12,17,21,25,29,33,37,41,45,49,53,57,61
16,0.01369396814853785,0.02163087432656552,0.13579248278722691,0.1408006246933402,0.09,4,8,12,17,21,25,29,33,37,41,45,49,53,57,61
17,0.02866866174408178,0.034559571749678164,0.13475769821295724,0.13986722440132626,0.09,4,8,12,17,21,25,29,33,37,41,45,49,53,57,61
18,0.040498197314938866,0.044641833678987775,0.1339346031408824,0.13913497697010987,0.1,4,8,12,17,21,25,29,33,37,41,45,49,53,57,61
19,0.049452173438679026,0.05209571736668639,0.13330820083929135,0.13859113841300305,0.1,4,8,13,17,21,25,29,33,37,41,45,49,53,57,61
20,0.05586533542071981,0.05728410138074591,0.13285774273785472,0.1382113250296593,0.11,4,8,13,17,21,25,29,33,37,41,45,49,53,57,61
21,0.06007955086315975,0.060508877138600425,0.13256090540153917,0.13797473962511797,0.11,4,8,13,17,21,25,29,33,37,41,45,49,53,57,61
22,0.06238757826821406,0.06206049278129755,0.1323980428129645,0.1378607533872497,0.12,4,8,13,17,21,25,29,33,37,41,45,49,53,57,61
23,0.06313151710298537,0.062192034310943334,0.1323455075526717,0.13785108588361406,0.12,4,8,13,17,21,25,29,33,37,41,45,49,53,57,61
24,0.06268140377486386,0.061231625049299465,0.1323772971478059,0.13792164780470667,0.13,4,8,13,17,21,25,29,33,37,41,45,49,53,57,61
25,0.06138806285256848,0.059549018255821706,0.13246859173721395,0.13804519786150557,0.13,4,8,13,17,21,25,29,33,37,41,45,49,53,57,61
26,0.05960378344496864,0.057471459659762636,0.13259444147029031,0.13819759149724714,0.14,4,8,13,17,21,25,29,33,37,41,45,49,53,57,61
27,0.057644591854063565,0.05530229655647345,0.13273249348097801,0.13835652856252048,0.14,4,8,13,17,21,25,29,33,37,41,45,49,53,57,61
28,0.05578248129000829,0.05329609829095394,0.13286357486595846,0.13850336178682995,0.15,4,8,13,17,21,25,29,33,37,41,45,49,53,57,61
29,0.05422313549285507,0.051646802144583615,0.13297323710203027,0.1386239546597954,0.15,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
30,0.05312070970502847,0.05049143008631407,0.13305071196340515,0.13870836503166112,0.16,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
31,0.05256637716784818,0.04990926328283052,0.1330896529095306,0.13875088657061538,0.16,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
32,0.05259423175534228,0.04992995873604056,0.1330877005345824,0.1387493763192224,0.17,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
33,0.05319442210965153,0.050545206962302136,0.13304553204282574,0.13870443714007222,0.17,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
34,0.05431797017647921,0.051698087922754654,0.13296656928420275,0.13862020577653078,0.18,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
35,0.055886406298630176,0.05330800634592414,0.1328562566258223,0.1385024876396959,0.18,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
36,0.057789481102947016,0.055268457327605436,0.1327222910427291,0.1383589989362503,0.19,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
37,0.05991473381359569,0.057480506564672074,0.13257251824306385,0.13819693106728298,0.19,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
38,0.06214312172752601,0.05981940654432949,0.13241530376772842,0.13802535496508725,0.2,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
39,0.06436963639364712,0.06216533688769155,0.13225803620479903,0.13785304511103413,0.2,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
40,0.06651177542866804,0.06444620391294997,0.13210653861467708,0.13768530870175272,0.21,4,8,13,17,21,25,29,33,37,40,45,49,53,57,61
