epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,0.1620545179550725,0.15523863948307368,0.01,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
1,0,0,0.15760472826301913,0.15042731840674742,0.01,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
2,0,0,0.1535113656809627,0.14596873763877966,0.02,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
3,0,0,0.14981122307278963,0.14190582603243407,0.02,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
4,0,0,0.14655871094602627,0.13830057321658606,0.03,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
5,0,0,0.14378226659249987,0.1351874287975898,0.04,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
6,0,0,0.14147999905749703,0.13257083925628904,0.04,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
7,0,0,0.13963689956484723,0.13044191786966416,0.05,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
8,0,0,0.13822763772256405,0.12878089647492183,0.05,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
9,0.012054064730711911,0.010589448880502284,0.13722028023499214,0.1275555840929952,0.06,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
10,0.02131623959010398,0.02340089987859928,0.13657552846830417,0.1267270643091329,0.06,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
11,0.025859898147712945,0.030623218914309747,0.1362581259159193,0.12625759773479253,0.07,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
12,0.02577039052115293,0.032257436570114706,0.1362643866205518,0.12615111921383193,0.07,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
13,0.02342134419358588,0.0308240083337028,0.13642856592327768,0.12624451875590917,0.08,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
14,0.020241720038694844,0.028261627399376987,0.1366504771201594,0.1264112940938309,0.08,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
15,0.01683813344388463,0.025240598830051697,0.13688762997356435,0.12660764489515353,0.09,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
16,0.013709594672283054,0.022372902492384106,0.13710525240229368,0.12679374667461138,0.09,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
17,0.011218868497059331,0.020039538607382612,0.13727826343077754,0.12694496715451023,0.1,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
18,0.009612467665256252,0.018579630976758188,0.13738973677656208,0.12703949117966476,0.1,3,6,9,12,16,19,22,25,28,31,34,37,41,44,47,50,53,56,59,62
19,0.00901540899610953,0.01810860921050972,0.13743114156096378,0.12706996969275872,0.11,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,50,53,56,59,62
20,0.009444218041153363,0.018670939518643737,0.13740140240854473,0.1270335822812135,0.12,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,50,53,56,59,62
21,0.010827474898948086,0.020190981398891417,0.13730543144534604,0.12693515797167923,0.12,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,50,53,56,59,62
22,0.013014551237044203,0.02250729449309763,0.1371535607676415,0.12678502764914076,0.13,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,50,53,56,59,62
23,0.015811922303587078,0.02542625425796441,0.13695904867458156,0.12659558787926894,0.13,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,50,53,56,59,62
24,0.019014222796696068,0.02872483251437785,0.13673605809327216,0.12638116520455808,0.14,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,50,53,56,59,62
25,0.02242031055750171,0.032176365688297626,0.13649846450235456,0.12615641242312828,0.15,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,50,53,56,59,62
26,0.02584192216000525,0.03558141034115214,0.13625938354779818,0.12593429063205244,0.15,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,50,53,56,59,62
27,0.029127358867611752,0.03878985558041692,0.13602941299659838,0.12572463668868222,0.16,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,50,53,56,59,62
28,0.03215900526324644,0.04167635087640631,0.13581686915722208,0.1255357185087899,0.16,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,50,53,56,59,62
29,0.03485841360615394,0.04416346365352819,0.13562732749471224,0.12537271098341665,0.17,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,49,53,56,59,62
30,0.03718321576946404,0.046223385792067084,0.13546388900069703,0.1252375446687111,0.17,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,49,53,56,59,62
31,0.03912548529169446,0.04785113189255663,0.1353271781677731,0.12513062982822315,0.18,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,49,53,56,59,62
32,0.04071000647020029,0.04908429470720155,0.13521555415353562,0.12504958123125914,0.19,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,49,53,56,59,62
33,0.04197568394461415,0.04998170621528775,0.13512632226076468,0.12499055230676748,0.19,3,6,9,12,16,19,22,25,28,31,34,37,41,44,46,49,53,56,59,62
