epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0,0,0.28468954747172454,0.2850289125793127,0.01,2,4,6,8,11,13,15,17,19,21,23,25,27,30,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
1,0,0,0.2783262553333456,0.2786691453873289,0.02,2,4,6,8,11,13,15,17,19,21,23,25,27,30,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
2,0,0,0.27172756966068917,0.27210016189561265,0.02,2,4,6,8,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
3,0,0,0.2649792788609514,0.26538501444970514,0.03,2,4,6,8,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
4,0,0,0.2581553202825802,0.25859507361589035,0.03,2,4,6,8,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
5,0,0,0.2513189540727782,0.2518146785084178,0.04,2,4,6,8,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
6,0,0,0.24453231671134165,0.2450938954628315,0.05,2,4,6,8,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
7,0,0,0.23790412513749074,0.2384977451573752,0.05,2,4,6,8,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
8,0,0,0.23151897111384798,0.23214381278019486,0.06,2,4,6,9,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,47,48,51,53,55,57,59,61,63
9,0,0,0.2252815058470337,0.22593424276322918,0.06,2,4,6,9,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,47,48,51,53,55,57,59,61,63
10,0,0,0.21908688999884862,0.2197483391037192,0.07,2,4,6,9,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,47,48,51,53,55,57,59,61,63
11,0,0,0.21292275877453043,0.21359780298669834,0.07,2,4,6,9,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,47,48,51,53,55,57,59,61,63
12,0,0,0.20681214884696192,0.2075043616640752,0.08,2,4,6,9,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,47,48,51,53,55,57,59,61,63
13,0,0,0.20078454181926458,0.20150048536521442,0.09,2,4,6,9,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,47,49,51,53,55,57,59,61,63
14,0,0,0.19486890008003552,0.1956279496040642,0.09,2,4,6,9,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,47,49,51,53,55,57,59,61,63
15,0,0,0.18909315932557816,0.1899136422466606,0.1,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,53,55,57,59,61,63
16,0,0,0.1835119694312804,0.18439694492217806,0.1,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,53,55,57,59,61,63
17,0,0,0.1782295225728099,0.17915481932045707,0.11,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,53,55,57,59,61,63
18,0,0,0.17337976989840395,0.17434759421998414,0.11,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
19,0,0,0.16909547427808203,0.17011623666981537,0.12,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
20,0,0,0.1654271523057326,0.16649810020190586,0.13,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
21,0,0,0.16237543287983047,0.16349050742665247,0.13,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
22,0,0,0.1599222369299419,0.16106871861845376,0.14,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
23,0,0,0.1581090659285449,0.15925946606022517,0.14,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
24,0,0,0.15688371298822998,0.15804636217412185,0.15,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
25,0,0,0.1561389289900508,0.15731499832573187,0.15,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
