epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.24084254562078775,0.24095164582798045,0.01,11,22,33,44,54
1,0,0,0.23711708094032746,0.23721002331068095,0.02,11,22,33,44,54
2,0,0,0.23336503655762647,0.2334416640726076,0.02,11,22,33,44,54
3,0,0,0.22958863037775276,0.22964915325262839,0.03,11,22,33,44,54
4,0,0,0.2257880754330127,0.22583875484809418,0.03,11,22,33,44,54
5,0,0,0.22196025150812446,0.22200406075159557,0.04,11,22,33,43,54
6,0,0,0.21811146866327588,0.21815091078961776,0.04,11,22,33,43,54
7,0,0,0.21424507478808344,0.21427870051366726,0.05,11,22,33,43,54
8,0,0,0.21036774016131443,0.2103861384545534,0.05,11,22,33,43,54
9,0,0,0.2064817802390291,0.2064749964338885,0.05,11,22,33,43,54
10,0,0,0.20258956728278432,0.20256136676691439,0.06,11,22,33,43,54
11,0,0,0.19870433588687142,0.1986529787342431,0.06,11,22,33,43,54
12,0,0,0.19483599710832583,0.19476679861646232,0.07,11,22,33,43,54
13,0,0,0.19099732917895543,0.19091863217445873,0.07,11,22,33,43,54
14,0,0,0.1872040877212797,0.18711781293601956,0.07,11,22,33,43,54
15,0,0,0.18347132435939997,0.18338065259213468,0.08,11,22,33,43,54
16,0,0,0.1798217209946729,0.1797385661497012,0.08,11,22,33,43,54
17,0,0,0.17627439201606118,0.176199066787185,0.09,11,22,33,43,54
18,0,0,0.17285107219217016,0.17278733110722477,0.09,11,22,33,43,54
19,0,0,0.16957222931083213,0.16951131000243158,0.09,11,22,33,43,54
20,0,0,0.16646207916137534,0.16640478970777903,0.1,11,22,33,43,54
21,0,0,0.16354170518822023,0.16348091994736924,0.1,11,22,33,43,54
22,0,0,0.16083524566544583,0.16076780650412156,0.11,11,22,33,43,54
23,0,0,0.1583600266964963,0.1582846019649782,0.11,11,22,33,43,54
24,0,0,0.15613297013653474,0.15605461302028592,0.12,11,22,33,43,54
25,0,0,0.15416719926815137,0.15409397111380563,0.12,11,22,33,43,54
26,0,0,0.1524696074749196,0.1524079322108091,0.13,11,22,33,43,54
27,0,0,0.15104345959114457,0.1509963384114875,0.13,11,22,33,43,54
28,0,0,0.1498826352561557,0.14984904034278318,0.14,11,22,33,43,54
29,0,0,0.14897233204209054,0.14895203155801306,0.14,11,22,33,43,54
30,0,0,0.14829025368844875,0.14828012305214336,0.15,11,22,33,43,54
31,0,0,0.14780694270625136,0.14780576442590515,0.15,11,22,33,43,54
32,0,0,0.14748755587398862,0.14749355460688676,0.16,11,22,33,43,54
33,0,0,0.14729558123976083,0.1473075561628514,0.16,11,22,33,43,54
34,0,0,0.14719458391875723,0.14721195092773787,0.17,11,22,33,43,54
35,0,0,0.1471505340191882,0.14717244987525366,0.17,11,22,33,43,54
36,0,0,0.14713297619666468,0.14715792615984558,0.18,11,22,33,43,54
37,0,0,0.14711681532517726,0.14714322378888164,0.18,11,22,33,43,54
38,0,0,0.14708265832803746,0.14711011750676573,0.18,11,22,33,43,54
39,0,0,0.14701683546385513,0.14704511130177847,0.19,11,22,33,43,54
40,0,0,0.14691116466063028,0.14693929604130787,0.19,11,22,33,43,54
41,0,0,0.1467620062412897,0.1467884721934451,0.2,11,22,33,43,54
42,0,0,0.14656969764458103,0.14659413993578663,0.2,11,22,33,43,54
43,0,0,0.14633777276009874,0.1463596703273986,0.2,11,22,33,43,54
44,0,0,0.14607181307875797,0.14609055031113136,0.21,11,22,33,43,54
45,0,0,0.14577853856524337,0.1457934041082806,0.21,11,22,33,43,54
46,0,0,0.14546537100353388,0.14547609457165364,0.22,11,22,33,43,54
47,0,0,0.14513976638955578,0.14514625997422684,0.22,11,22,33,43,54
48,0,0,0.1448086190648273,0.1448109536452662,0.22,11,22,33,43,54
49,0,0,0.14447788593666114,0.1444760810102665,0.23,11,22,33,43,54
50,0,0,0.1441526932561857,0.1441469560695593,0.23,11,22,33,43,54
51,0,0,0.14383737795405152,0.14382773013374128,0.24,11,22,33,43,54
52,0,0,0.14353522343931807,0.1435220966842321,0.24,11,22,33,43,54
53,0,0,0.14324832845881005,0.14323181381091313,0.24,11,22,33,43,54
54,0,0,0.14297808762580028,0.14295776330184176,0.25,11,22,33,43,54
55,0,0,0.1427247260475269,0.14270026057676677,0.25,11,22,33,43,54
56,0,0,0.14248790891489774,0.14245937575626183,0.26,11,22,33,43,54
57,0,0,0.14226660597712806,0.14223426348532975,0.26,11,22,33,43,54
58,0,0,0.1420592704469631,0.14202337906266177,0.26,11,22,33,43,54
59,0,0,0.14186401380317293,0.14182463865417355,0.27,11,22,33,43,54
60,0,0,0.1416788942363735,0.14163609445377975,0.27,11,22,33,43,54
61,0,0,0.1415021876513131,0.14145630588071104,0.28,11,22,33,43,54
62,0,0,0.14133216619117436,0.1412837243225237,0.28,11,22,33,43,54
63,0,0,0.1411669737889174,0.14111620494097307,0.28,11,22,33,43,54
64,0,0,0.14100523379390723,0.14095228574380533,0.29,11,22,33,43,54
65,0,0,0.14084576126805642,0.14079070924232234,0.29,11,22,33,43,54
66,0,0,0.1406876040555314,0.14063031133582007,0.3,11,22,33,43,54
67,0,0,0.14053007736887438,0.1404703535003285,0.3,11,22,33,43,54
68,0,0,0.14037275871456084,0.1403109699921992,0.31,11,22,33,43,54
69,0,0,0.14021554916168258,0.14015200993387494,0.31,11,22,33,43,54
70,0,0,0.14005852887193748,0.13999334836808813,0.31,11,22,33,43,54
71,0,0,0.13990190484876644,0.13983519943565106,0.32,11,22,33,43,54
72,0,0,0.13974579171948479,0.13967736484788354,0.32,11,22,33,43,54
73,0,0,0.1395907049284615,0.13952043308778614,0.33,11,22,33,43,54
74,0,0,0.139437082046368,0.13936474801962953,0.33,11,22,33,43,54
75,0,0,0.1392852421801028,0.13921078212812216,0.33,11,22,33,43,54
76,0,0,0.1391356128665921,0.1390590300287805,0.34,11,22,33,43,54
77,0,0,0.13898843577061612,0.1389101962461205,0.34,11,22,33,43,54
78,0,0,0.13884396687520098,0.13876401499684157,0.35,11,22,33,43,54
79,0,0,0.13870234893361696,0.13862057529461833,0.35,11,22,33,43,54
80,0,0,0.13856356380219467,0.13847973770138453,0.35,11,22,33,43,54
81,0,0,0.13842749889965986,0.13834130147047188,0.36,11,22,33,43,54
82,0,0,0.13829396695859472,0.13820538163701335,0.36,11,22,33,43,54
83,0,0,0.13816254391427507,0.13807154044889183,0.37,11,22,33,43,54
84,0,0,0.13803298614788465,0.13793948688337876,0.37,11,22,33,43,54
85,0,0,0.1379047856610782,0.13780853675584406,0.37,11,22,33,43,54
86,0,0,0.13777723648375567,0.13767822646600913,0.38,11,22,33,43,54
87,0,0,0.13764993447441817,0.1375480838710812,0.38,11,22,33,43,54
88,0,0,0.13752221664929606,0.13741738427541372,0.39,11,22,33,43,54
89,0,0,0.1373935192340828,0.13728561051787827,0.39,11,22,33,43,54
90,0,0,0.1372634730878708,0.13715213478382973,0.39,11,22,33,43,54
91,0,0,0.1371312729827276,0.13701659185072984,0.4,11,22,33,43,54
92,0,0,0.13699655238176453,0.13687847208165574,0.4,11,22,33,43,54
93,0.0008490092510954339,0.001387652317050625,0.13685891595818564,0.13673780172302355,0.41,11,22,33,43,54
94,0.0029044774212075852,0.0034892077090358242,0.13671806880236267,0.13659383653233495,0.41,12,22,33,43,54
95,0.005003465259920459,0.005633564761301502,0.1365740964491994,0.1364467981488599,0.41,12,22,33,43,54
96,0.007153653020722128,0.007817946938984743,0.13642643605473084,0.13629684061961564,0.42,12,22,33,43,54
97,0.009356101593758326,0.010048322443518054,0.13627504145977304,0.13614357121778997,0.42,12,22,33,43,54
98,0.011605925564056707,0.012332872258155159,0.13612020809104292,0.13598637606553168,0.43,12,22,33,43,54
99,0.013896543054051858,0.01467616464022814,0.13596238314136178,0.13582496040472855,0.43,12,22,33,43,54
100,0.016221894252930857,0.01706008448061791,0.13580198137380398,0.13566055175781594,0.43,12,22,33,43,54
101,0.018578767198507262,0.019492965477361013,0.1356392133643927,0.1354925618479133,0.44,12,22,33,43,54
102,0.020954423940910516,0.02194744821052874,0.13547495052310696,0.13532286308064737,0.44,12,22,33,43,54
103,0.023342902659865383,0.024381035087730707,0.1353095866147361,0.13515441209723159,0.45,12,22,33,43,54
104,0.025741384407646617,0.02683048566636459,0.13514334501276276,0.13498464009095232,0.45,12,22,33,43,54
105,0.02814053490300017,0.029290944089696014,0.1349768365639829,0.13481389439020428,0.46,12,22,33,43,54
106,0.03053672437612165,0.03174931929329616,0.13481034352395385,0.1346430705002131,0.46,12,22,33,42,54
107,0.032908387409282924,0.03416586914669484,0.13464534616532223,0.13447495225152725,0.46,12,22,33,42,54
108,0.03524883662515432,0.036547743332976945,0.13448232091055434,0.13430902974201883,0.47,12,22,33,42,54
109,0.037566549641606106,0.03889304714575337,0.13432067865408218,0.1341454638573162,0.47,12,22,33,42,54
110,0.039852784424452725,0.04119765969534428,0.1341610491605315,0.1339845204144014,0.48,12,22,33,42,54
111,0.04210720732150519,0.043483085417331035,0.1340034465729091,0.13382474743599934,0.48,12,22,33,42,54
112,0.044331894884004686,0.04574341947883409,0.13384775280583672,0.13366653233279202,0.48,12,22,33,42,54
113,0.0465283863547481,0.04796571800592997,0.13369384217254857,0.13351080143018323,0.49,12,22,33,42,54
114,0.04870291075797717,0.05016229747699408,0.13354130937059347,0.13335669047196244,0.49,12,22,33,42,54
115,0.05085919259721439,0.052323787490560325,0.13338987286666085,0.13320486928966768,0.5,12,22,33,42,54
116,0.053000862684991934,0.054416208257854204,0.13323929175431798,0.13305773953325237,0.5,12,22,33,42,54
117,0.055118361354096645,0.05649428014419178,0.13309024771341066,0.13291144892437426,0.5,12,22,33,42,54
118,0.057211736568966276,0.05856507672063238,0.13294273190275527,0.13276550218752237,0.51,12,22,33,42,54
119,0.05927982949226873,0.060628811252339654,0.132796847599169,0.13261990748047353,0.51,12,22,33,42,54
120,0.06132211669625076,0.06267257732348686,0.13265261422691402,0.1324755587955135,0.52,12,22,33,42,54
121,0.06333713540312957,0.06470575210028218,0.13251015665830326,0.13233180569790742,0.52,12,22,33,42,54
122,0.06532283402846162,0.06672542303867957,0.1323696283780605,0.13218885444731784,0.52,12,22,33,42,54
