epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.17355546569478036,0.16393661778634752,0.05,382,759,1136,1514,1891,2271,2647,3024,3402,3780
1,0,0,0.16989942928576754,0.16040070416145513,0.06,383,758,1136,1513,1890,2271,2646,3023,3401,3780
2,0,0,0.16636186845153508,0.15700029001543264,0.07,383,758,1135,1512,1889,2271,2645,3023,3401,3779
3,0,0,0.16296791328807889,0.15375579048704602,0.07,383,758,1134,1511,1888,2271,2644,3022,3400,3779
4,0,0,0.15973994764562788,0.1506686674823172,0.08,384,758,1134,1510,1887,2270,2643,3021,3400,3779
5,0,0,0.15670871752900883,0.1477433273350534,0.08,384,757,1133,1509,1886,2269,2642,3020,3399,3778
6,0,0,0.15386208709065122,0.14503077582232687,0.09,384,757,1132,1508,1886,2269,2641,3019,3398,3778
7,0,0,0.15118761177855228,0.1425287213367788,0.09,385,757,1132,1507,1885,2269,2640,3018,3398,3778
8,0,0,0.1486917501686375,0.14023103763147526,0.1,385,758,1131,1506,1884,2269,2639,3018,3397,3777
9,0,0,0.14638206087709296,0.13817305238233554,0.11,385,758,1130,1506,1883,2270,2638,3017,3396,3777
10,0,0,0.1442456129273052,0.13630546365082816,0.11,386,758,1130,1505,1883,2270,2637,3016,3396,3777
11,0,0,0.1422848166708471,0.1345875780188624,0.12,386,759,1129,1504,1883,2270,2637,3015,3395,3776
12,0,0,0.1404862315233762,0.1330419129786415,0.12,386,759,1129,1503,1882,2270,2636,3014,3395,3776
13,0,0,0.1388460127062078,0.1316502145958878,0.13,387,760,1128,1503,1882,2270,2635,3013,3394,3776
14,0,0,0.13735487632470741,0.1304319932407643,0.13,387,760,1128,1502,1882,2270,2634,3013,3393,3776
15,0,0,0.1360063863374153,0.12936702651870768,0.13,387,761,1127,1501,1882,2270,2634,3012,3393,3775
16,0,0,0.1348028062585814,0.12844545193579865,0.14,388,761,1127,1501,1882,2269,2633,3011,3392,3775
