epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.27226441655376543,0.3011596330858611,0.01,264,523,784,1043,1301,1563,1820,2082,2342,2601,2859,3120,3379,3639,3898
1,0,0,0.2656797044185133,0.2948127064537375,0.01,263,523,784,1044,1300,1564,1820,2083,2343,2602,2858,3121,3378,3640,3898
2,0,0,0.2590751506123247,0.28846043959432766,0.02,263,522,783,1045,1300,1565,1819,2083,2342,2603,2857,3122,3377,3640,3898
3,0,0,0.252452945998862,0.28212880220077885,0.02,263,522,783,1046,1299,1566,1818,2084,2342,2604,2857,3123,3377,3640,3897
4,0,0,0.24582303006730896,0.2757852175808113,0.03,263,521,783,1046,1298,1567,1817,2085,2341,2605,2856,3123,3376,3641,3897
5,0,0,0.23920968797887424,0.2694166465039122,0.03,262,521,783,1047,1297,1568,1816,2086,2340,2606,2855,3124,3376,3641,3897
6,0,0,0.23264586450468341,0.26307167688587524,0.03,262,520,783,1048,1297,1569,1815,2086,2339,2607,2855,3125,3375,3642,3896
7,0,0,0.22614398481268638,0.2568142522787851,0.04,262,520,783,1049,1296,1570,1814,2087,2338,2608,2854,3125,3375,3642,3896
8,0,0,0.2197762242462207,0.25061220966436265,0.04,262,520,784,1049,1295,1570,1813,2087,2337,2609,2853,3126,3375,3643,3896
9,0,0,0.21356856169008973,0.2444556911720281,0.04,261,519,784,1050,1294,1571,1813,2088,2336,2610,2853,3127,3374,3643,3896
10,0,0,0.20761249030928147,0.23848056274358223,0.05,261,519,784,1051,1294,1572,1812,2089,2335,2611,2852,3127,3374,3644,3895
11,0,0,0.20198991798213287,0.2326653191314872,0.05,261,519,784,1052,1293,1573,1811,2089,2334,2612,2851,3128,3373,3644,3895
12,0,0,0.19677056615625205,0.2270055500220643,0.06,261,519,784,1052,1292,1574,1810,2090,2333,2613,2850,3129,3373,3645,3895
13,0,0,0.19202053019972307,0.22172007423903314,0.06,261,519,783,1053,1292,1575,1809,2090,2332,2614,2850,3129,3372,3645,3894
14,0,0,0.18777516162097443,0.2168117380631915,0.06,261,519,783,1054,1291,1576,1808,2090,2331,2615,2849,3130,3372,3646,3894
15,0,0,0.18412140847540676,0.2123539047255189,0.07,260,519,783,1054,1290,1577,1808,2091,2330,2616,2848,3130,3371,3646,3894
16,0,0,0.18110352755557071,0.20842214519215255,0.07,260,519,783,1055,1290,1578,1807,2091,2329,2617,2848,3131,3371,3647,3894
17,0,0,0.1787403582760241,0.2051018201672143,0.07,260,519,783,1056,1289,1578,1806,2091,2328,2618,2847,3131,3370,3647,3893
18,0,0,0.1769930712345904,0.2023740697848764,0.08,260,519,783,1056,1288,1579,1806,2091,2327,2619,2846,3132,3370,3647,3893
19,0,0,0.17582376813596684,0.20020232769840038,0.08,260,519,783,1057,1288,1580,1805,2090,2326,2620,2846,3132,3369,3648,3893
20,0,0,0.17512413756521003,0.19852938777351026,0.09,260,519,784,1058,1287,1581,1804,2090,2325,2620,2845,3133,3369,3648,3893
21,0,0,0.1747603386824242,0.1972388730935793,0.09,260,519,784,1058,1287,1581,1804,2090,2325,2621,2845,3133,3368,3648,3892
22,0,0,0.1745974148317363,0.1962263756856034,0.09,260,519,784,1059,1286,1582,1803,2089,2325,2621,2844,3134,3368,3648,3892
23,0,0,0.17451852145862262,0.19542435304237687,0.1,260,520,785,1060,1286,1582,1803,2089,2324,2622,2844,3134,3367,3648,3892
24,0,0,0.17442267782157597,0.19475299804985008,0.1,260,520,785,1060,1285,1583,1802,2088,2325,2622,2844,3135,3367,3648,3892
25,0,0,0.17423756737290738,0.1941369825823553,0.1,260,520,786,1061,1285,1583,1802,2088,2325,2622,2844,3135,3367,3648,3892
26,0,0,0.17391851303960973,0.19355453891536734,0.11,261,520,786,1061,1284,1583,1801,2087,2325,2622,2843,3135,3366,3648,3892
27,0,0,0.173437724886568,0.19297350325502483,0.11,261,520,787,1062,1284,1583,1801,2087,2326,2622,2843,3136,3366,3648,3892
28,0,0,0.1727890343367451,0.1923196369368011,0.12,261,521,787,1062,1284,1584,1801,2086,2327,2622,2843,3136,3365,3647,3892
29,0,0,0.17197986676481627,0.19162213548496285,0.12,261,521,788,1063,1284,1584,1800,2085,2328,2621,2844,3137,3365,3647,3892
30,0,0,0.17102085633552103,0.1908689762874978,0.12,261,521,788,1063,1283,1584,1800,2084,2329,2621,2844,3137,3365,3646,3892
31,0,0,0.16993661246571296,0.19007702964721107,0.13,261,521,789,1064,1283,1584,1800,2083,2330,2621,2844,3137,3364,3646,3892
32,0,0,0.16876014308115728,0.1892511431578877,0.13,262,522,790,1065,1283,1584,1799,2082,2331,2620,2844,3138,3364,3645,3892
33,0,0,0.1675307640427264,0.18843281687900176,0.13,262,522,790,1065,1283,1584,1799,2082,2332,2620,2845,3138,3364,3645,3893
34,0,0,0.16627323695430912,0.1876338143479788,0.14,262,522,791,1066,1283,1583,1799,2081,2333,2619,2845,3139,3363,3644,3893
35,0,0,0.16501920343583884,0.186868966700528,0.14,262,522,792,1066,1283,1583,1799,2080,2334,2618,2845,3139,3363,3644,3893
36,0,0,0.16376791346461209,0.18614854135733347,0.15,263,523,792,1067,1283,1583,1798,2079,2335,2618,2846,3139,3363,3643,3893
37,0,0,0.1625308624175676,0.18547585784674134,0.15,263,523,793,1067,1283,1583,1798,2078,2336,2617,2846,3140,3363,3643,3893
38,0,0,0.16133020044058607,0.18484355742701658,0.16,263,523,794,1068,1282,1583,1798,2077,2337,2617,2847,3140,3362,3642,3893
39,0,0,0.16017041492624667,0.1842469405103987,0.16,263,524,794,1068,1282,1583,1798,2076,2338,2616,2847,3140,3362,3642,3894
40,0,0,0.1590618797544966,0.18369121196600674,0.17,264,524,795,1069,1282,1583,1798,2075,2339,2615,2848,3141,3362,3641,3894
41,0,0,0.15799354870782362,0.18313374618891776,0.17,264,524,796,1069,1282,1582,1797,2074,2340,2615,2848,3141,3361,3641,3894
42,0,0,0.15694884538868384,0.1825849943292937,0.18,264,525,796,1070,1282,1582,1797,2073,2341,2614,2849,3142,3361,3640,3894
43,0,0,0.15594466297118925,0.18206158945908144,0.18,264,525,797,1070,1282,1582,1797,2072,2342,2614,2849,3142,3361,3640,3894
44,0,0,0.1549771198567097,0.1815451504400284,0.19,265,525,797,1071,1282,1582,1797,2071,2343,2613,2849,3142,3360,3639,3894
45,0,0,0.15404484482284553,0.18098926658511175,0.19,265,526,798,1071,1282,1582,1796,2070,2343,2613,2850,3143,3360,3639,3895
46,0,0,0.15314148843313813,0.18037176457369672,0.2,265,526,799,1072,1282,1582,1796,2069,2344,2612,2850,3143,3359,3638,3895
47,0,0,0.15225769938338923,0.17971489531618917,0.2,265,526,799,1072,1282,1582,1796,2068,2345,2612,2850,3144,3359,3638,3895
48,0,0,0.1514046407324712,0.17903126217786627,0.2,266,527,800,1073,1282,1581,1795,2068,2346,2611,2851,3144,3359,3637,3895
49,0,0,0.15058104115008025,0.1783567159540552,0.21,266,527,800,1073,1282,1581,1795,2067,2346,2611,2851,3145,3358,3637,3895
50,0,0,0.14979564336061701,0.17765232959202804,0.21,266,528,801,1074,1281,1581,1795,2066,2347,2611,2851,3146,3358,3636,3895
51,0,0,0.1490554932580968,0.1769760744316044,0.22,266,528,801,1074,1281,1581,1795,2065,2348,2610,2852,3146,3357,3636,3895
52,0,0,0.14836527296920765,0.17633653989123388,0.22,266,529,802,1075,1281,1581,1794,2064,2348,2610,2852,3147,3357,3636,3895
53,0,0,0.14774187118418144,0.17573379829802557,0.22,267,529,802,1075,1281,1581,1794,2063,2349,2610,2852,3147,3357,3635,3895
54,0,0,0.14718635206321581,0.17518323795041665,0.23,267,529,803,1075,1281,1581,1794,2062,2349,2609,2852,3148,3356,3635,3895
55,0,0,0.14669608394039851,0.17467767480540075,0.23,267,530,803,1076,1281,1581,1794,2061,2350,2609,2853,3148,3356,3634,3895
56,0,0,0.14626921428697523,0.17421512172325,0.23,267,530,804,1076,1281,1581,1793,2060,2350,2609,2853,3149,3355,3634,3896
57,0,0,0.14588681089145175,0.17379258896278035,0.24,268,531,804,1077,1280,1581,1793,2059,2351,2609,2853,3149,3355,3634,3896
58,0,0,0.14554411800023642,0.17341633036007398,0.24,268,531,805,1077,1280,1581,1793,2058,2351,2608,2853,3150,3354,3633,3896
59,0,0,0.14524257731142992,0.17306777126134282,0.25,268,532,805,1078,1280,1581,1793,2057,2351,2608,2853,3150,3354,3633,3896
60,0,0,0.14496817787363414,0.17274079841840942,0.25,268,532,806,1078,1280,1581,1793,2056,2352,2608,2853,3151,3353,3632,3896
61,0,0,0.14470995989253405,0.17244356031127786,0.25,268,533,807,1078,1280,1581,1792,2055,2352,2608,2854,3151,3353,3632,3896
62,0,0,0.14446323959730314,0.1721649000875635,0.26,269,533,807,1079,1280,1581,1792,2054,2352,2608,2854,3151,3352,3632,3896
63,0,0,0.14422359456349393,0.17190170622463455,0.26,269,534,807,1079,1280,1581,1792,2052,2352,2607,2854,3151,3352,3631,3896
64,0,0,0.14398518065849675,0.1716526717627807,0.26,269,534,808,1080,1279,1581,1792,2051,2353,2607,2854,3152,3351,3631,3896
65,0,0,0.14374539948440937,0.17141683699670165,0.27,269,535,808,1080,1279,1581,1792,2050,2353,2607,2854,3152,3351,3631,3896
66,0,0,0.1435029656792435,0.17119190631625858,0.27,269,535,809,1080,1279,1581,1792,2049,2353,2607,2854,3152,3351,3630,3896
67,0,0,0.14325331498807486,0.170978908666524,0.28,270,536,809,1081,1279,1581,1792,2048,2353,2607,2854,3152,3350,3630,3896
68,0,0,0.14299615560837636,0.17077756149168868,0.28,270,536,810,1081,1279,1581,1792,2046,2353,2606,2854,3152,3350,3630,3896
69,0,0,0.14273352188957844,0.17058517627969882,0.28,270,537,810,1082,1279,1581,1792,2045,2353,2606,2854,3153,3349,3629,3896
70,0,0,0.14246788073879302,0.17040026398286273,0.29,270,537,811,1082,1279,1581,1792,2044,2353,2606,2854,3153,3349,3629,3896
71,0,0,0.14220062996951793,0.1702226465201888,0.29,270,538,811,1082,1279,1581,1792,2042,2354,2606,2854,3153,3348,3629,3896
72,0,0,0.14193302690385703,0.17005095566691622,0.3,271,538,812,1083,1279,1581,1792,2041,2354,2606,2854,3153,3348,3629,3896
73,0,0,0.14166585843706517,0.16988513264285468,0.3,271,539,812,1083,1279,1581,1792,2039,2354,2605,2854,3152,3347,3628,3896
74,0,0,0.14140108979014618,0.1697229887626706,0.3,271,539,813,1083,1279,1581,1792,2038,2354,2605,2854,3152,3347,3628,3896
75,0,0,0.14113967147153694,0.1695656989734746,0.31,271,540,813,1084,1279,1581,1792,2036,2354,2605,2854,3152,3346,3628,3896
76,0,0,0.1408819857183699,0.16940944510534076,0.31,271,540,814,1084,1279,1581,1792,2035,2354,2605,2854,3152,3346,3627,3896
77,0,0,0.1406273179393045,0.1692544776399571,0.31,272,541,814,1085,1279,1581,1792,2033,2354,2605,2854,3152,3345,3627,3896
78,0,0,0.14037701145371692,0.16909881740253266,0.32,272,541,815,1085,1279,1581,1792,2032,2354,2604,2854,3152,3345,3627,3896
79,0,0,0.14012976705607738,0.16894112289614166,0.32,272,542,815,1085,1278,1581,1792,2030,2354,2604,2854,3152,3344,3626,3896
80,0,0,0.1398847687623609,0.16878041174379746,0.33,272,542,816,1086,1278,1581,1792,2029,2354,2604,2854,3152,3344,3626,3896
81,0,0,0.13964182831389926,0.16861535524303264,0.33,272,543,816,1086,1278,1581,1792,2028,2354,2604,2854,3152,3343,3626,3896
82,0,0,0.13939996101330618,0.16844557571160565,0.33,272,543,817,1086,1278,1581,1792,2026,2354,2604,2854,3152,3343,3626,3896
83,0,0,0.13915936653850075,0.16827090388294155,0.34,273,543,817,1087,1278,1581,1792,2025,2354,2604,2854,3152,3342,3625,3896
84,0,0,0.13891947495589754,0.16808912488294267,0.34,273,544,818,1087,1278,1581,1792,2024,2354,2604,2854,3152,3341,3625,3896
85,0,0,0.13867957134111947,0.1679003265652312,0.34,273,544,818,1087,1278,1581,1792,2023,2354,2603,2854,3152,3341,3625,3896
86,0,0,0.13844003908614552,0.1677057791499604,0.35,273,545,819,1088,1278,1582,1792,2022,2354,2603,2854,3152,3340,3625,3896
87,0,0,0.1382004016588491,0.16750489548923728,0.35,273,545,819,1088,1278,1582,1792,2022,2354,2603,2854,3152,3340,3624,3896
88,0,0,0.1379606720124547,0.1672979756357648,0.36,273,546,820,1088,1278,1582,1791,2021,2354,2603,2854,3152,3339,3624,3896
89,0,0,0.13772132979448662,0.1670864240874987,0.36,274,546,820,1089,1278,1582,1791,2020,2354,2603,2854,3152,3339,3624,3896
90,0,0,0.13748266831535372,0.16686970418391991,0.36,274,547,820,1089,1278,1582,1791,2020,2354,2603,2854,3152,3338,3624,3896
91,0,0,0.1372440871839413,0.16664750515540772,0.37,274,547,821,1090,1278,1582,1791,2019,2354,2603,2854,3152,3338,3624,3896
92,0,0,0.1370059131091065,0.16642214985675158,0.37,274,547,821,1090,1278,1582,1791,2019,2354,2603,2854,3152,3337,3623,3896
93,0,0,0.13676876788045747,0.16619533461100458,0.37,274,548,822,1090,1278,1582,1791,2018,2354,2603,2854,3152,3337,3623,3896
94,0,0,0.1365329979208175,0.1659683272360501,0.38,275,548,822,1091,1278,1582,1791,2018,2354,2602,2854,3152,3336,3623,3896
95,0,0,0.13629813889216266,0.16574139666093302,0.38,275,549,823,1091,1278,1582,1791,2018,2354,2602,2854,3152,3336,3623,3896
96,0,0,0.13606370953489683,0.1655151565251274,0.39,275,549,823,1091,1278,1582,1791,2018,2354,2602,2854,3152,3335,3623,3896
97,0,0,0.13583028802232228,0.16529054498636472,0.39,275,549,824,1092,1278,1582,1791,2018,2354,2602,2854,3152,3334,3622,3896
98,0,0,0.13559816802617317,0.16506830216017315,0.39,275,550,824,1092,1278,1583,1791,2017,2354,2602,2853,3152,3334,3622,3896
99,0,0,0.13536653752351727,0.16484869185719198,0.4,276,550,825,1092,1278,1583,1791,2017,2354,2602,2853,3152,3333,3622,3896
100,0,0,0.13513595037218448,0.16463206403235686,0.4,276,550,825,1093,1278,1583,1791,2017,2354,2602,2853,3152,3333,3622,3896
101,0,0,0.13490686064708532,0.1644185267680915,0.41,276,551,825,1093,1278,1583,1791,2017,2353,2602,2853,3152,3332,3622,3896
102,0,0,0.13467917226284226,0.16420791630166462,0.41,276,551,826,1094,1278,1583,1791,2017,2353,2602,2853,3152,3332,3621,3896
103,0,0,0.13445173556525894,0.16400081746548933,0.41,276,552,826,1094,1278,1583,1791,2017,2353,2602,2853,3152,3331,3621,3896
104,0,0,0.13422517630099595,0.16379692517292274,0.42,276,552,827,1094,1277,1583,1791,2017,2353,2601,2853,3152,3331,3621,3896
105,0,0,0.13400015918745364,0.1635968434643404,0.42,277,552,827,1095,1277,1583,1791,2017,2353,2601,2853,3152,3330,3621,3896
106,0,0,0.13377640657360926,0.1634009283150902,0.43,277,553,828,1095,1277,1583,1791,2017,2353,2601,2853,3152,3329,3621,3896
107,0,0,0.13355320655468045,0.16320778526456464,0.43,277,553,828,1095,1277,1583,1791,2017,2353,2601,2853,3152,3329,3620,3896
108,0,0,0.13333103688939674,0.16301696141025263,0.44,277,553,829,1096,1277,1583,1791,2017,2353,2601,2853,3152,3328,3620,3896
109,0,0,0.13310999369329163,0.1628283905504472,0.44,277,554,829,1096,1277,1583,1791,2018,2353,2601,2853,3152,3328,3620,3896
110,0,0,0.13289032787489374,0.16264267032014115,0.44,278,554,830,1097,1277,1583,1791,2018,2353,2601,2853,3152,3327,3620,3896
111,0,0,0.13267178654535797,0.16245877861832028,0.45,278,554,830,1097,1277,1583,1791,2018,2353,2601,2853,3152,3327,3620,3896
