epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,0.4136732178865272,0.3930990643883893,0.01,202,400,598,796,992,1192,1388,1588,1785,1981,2181,2379,2577,2772,2970,3168,3366,3564,3762,3960
1,0,0,0.40944944971448,0.38887084008900713,0.01,202,401,598,797,992,1191,1387,1589,1786,1980,2181,2380,2578,2772,2971,3167,3365,3564,3762,3960
2,0,0,0.40519673184585986,0.384611166532018,0.02,201,401,598,797,991,1191,1387,1590,1787,1979,2181,2381,2579,2771,2971,3167,3366,3563,3761,3960
3,0,0,0.40095822180393265,0.3803599482067637,0.02,201,401,598,798,990,1192,1387,1591,1788,1978,2180,2382,2580,2770,2971,3166,3366,3562,3761,3959
4,0,0,0.3967358209964413,0.37613197186322905,0.03,201,402,597,798,990,1193,1387,1592,1789,1977,2179,2383,2581,2769,2971,3165,3366,3562,3761,3959
5,0,0,0.39252854978393265,0.37192390344735926,0.03,201,402,597,799,989,1193,1387,1592,1790,1976,2179,2384,2582,2768,2970,3164,3366,3561,3760,3959
6,0,0,0.38834271318679897,0.36774201828692427,0.03,201,402,597,799,988,1194,1388,1593,1791,1975,2179,2385,2583,2767,2970,3164,3366,3561,3760,3959
7,0,0,0.3841833947395065,0.36358613377140414,0.04,201,403,596,799,988,1195,1389,1594,1792,1974,2179,2386,2584,2766,2971,3163,3366,3560,3760,3958
8,0,0,0.3800700493608385,0.3594863967735855,0.04,201,403,596,800,987,1195,1389,1595,1793,1973,2179,2387,2585,2765,2971,3162,3366,3560,3760,3958
9,0,0,0.37604442826134965,0.35546415975771883,0.04,201,403,595,800,986,1196,1390,1596,1794,1972,2180,2388,2586,2764,2971,3161,3366,3559,3760,3958
10,0,0,0.37219786772873065,0.3515462765659112,0.05,200,404,595,801,986,1197,1391,1597,1795,1971,2180,2389,2587,2763,2971,3161,3366,3559,3760,3958
11,0,0,0.36857228199212066,0.34785208383442934,0.05,200,404,594,801,985,1198,1392,1598,1796,1970,2180,2390,2588,2762,2971,3160,3366,3558,3760,3958
12,0,0,0.36516305155657103,0.34443093177971623,0.06,200,405,594,802,985,1199,1392,1599,1797,1969,2180,2391,2589,2761,2971,3159,3366,3558,3760,3957
13,0,0,0.36195957579073257,0.3412293436275211,0.06,200,405,593,802,984,1200,1393,1600,1798,1968,2180,2391,2590,2760,2970,3159,3366,3557,3760,3957
14,0,0,0.3589497828705967,0.3382068543416883,0.06,201,405,593,802,984,1201,1394,1601,1799,1967,2180,2392,2591,2760,2970,3158,3366,3557,3760,3957
15,0,0,0.3560715688615526,0.33529887377026185,0.07,201,406,592,802,983,1202,1395,1602,1799,1966,2180,2393,2592,2759,2970,3157,3366,3556,3761,3957
16,0,0,0.35329251071912937,0.3324615719286845,0.07,201,406,591,803,983,1203,1396,1602,1800,1965,2179,2394,2593,2758,2970,3157,3366,3556,3761,3957
17,0,0,0.3505587660267071,0.32969602781719726,0.08,201,406,591,803,983,1203,1397,1603,1801,1965,2179,2395,2594,2757,2970,3156,3366,3555,3761,3956
18,0,0,0.3478436554272984,0.3269584331742402,0.08,201,407,590,804,982,1204,1398,1604,1801,1964,2179,2396,2595,2756,2969,3156,3366,3555,3762,3956
19,0,0,0.34512341919536604,0.324217164368946,0.08,201,407,590,804,982,1205,1399,1605,1802,1963,2179,2396,2596,2755,2969,3155,3366,3554,3762,3956
20,0,0,0.34238182150419344,0.3214616514868243,0.09,201,408,589,804,982,1206,1399,1606,1802,1963,2179,2397,2597,2755,2969,3154,3366,3554,3762,3956
21,0,0,0.3395885846935269,0.31866954835349587,0.09,202,408,589,805,981,1207,1400,1606,1802,1962,2178,2398,2598,2754,2968,3154,3366,3553,3763,3956
22,0,0,0.3367608094997432,0.31585421501132294,0.09,202,409,588,805,981,1208,1401,1607,1802,1962,2179,2398,2599,2753,2968,3153,3366,3553,3763,3955
23,0,0,0.33391843669110605,0.31301847600869104,0.1,202,409,588,806,981,1209,1401,1608,1802,1961,2179,2399,2600,2753,2967,3152,3366,3553,3763,3955
24,0,0,0.3310266893638601,0.3101314789419305,0.1,202,409,587,806,980,1210,1402,1609,1802,1961,2179,2400,2601,2752,2966,3151,3365,3552,3764,3955
