epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.226706467301681,0.2304419566598563,0.02,697,1388,2080,2774,3465
1,0,0,0.22322078712395776,0.22695253769343904,0.03,698,1387,2079,2775,3464
2,0,0,0.21979614003918832,0.22351770895366793,0.04,698,1386,2079,2775,3464
3,0,0,0.21644091380161976,0.22014962899111612,0.04,699,1386,2079,2774,3463
4,0,0,0.21315493493708404,0.21684445039575836,0.05,699,1385,2079,2774,3463
5,0,0,0.20994416990527462,0.2136004713936178,0.06,700,1384,2080,2774,3462
6,0,0,0.20682126318268143,0.21041941597687802,0.06,701,1383,2080,2773,3462
7,0,0,0.203781698633878,0.2073099581557155,0.07,701,1383,2081,2773,3461
8,0,0,0.20083061457478157,0.20428030957079482,0.07,702,1382,2081,2773,3461
9,0,0,0.1979753737632421,0.2013516409910109,0.08,702,1381,2082,2773,3460
10,0,0,0.19521959956426835,0.19852851522571524,0.09,703,1380,2082,2774,3460
11,0,0,0.19255935004832847,0.19580205598259265,0.09,703,1380,2083,2774,3460
12,0,0,0.1899981965431152,0.19317061911661215,0.1,704,1379,2083,2774,3460
13,0,0,0.18752778364009104,0.19062186105676474,0.1,704,1378,2084,2774,3460
14,0,0,0.1851398420508058,0.1881547364308838,0.11,705,1377,2084,2774,3460
15,0,0,0.182830451426299,0.18577002107198032,0.11,706,1377,2084,2774,3460
16,0,0,0.18059766425613624,0.1834664613713885,0.11,706,1376,2084,2774,3461
17,0,0,0.1784400763384124,0.1812413863075524,0.12,707,1375,2085,2774,3461
18,0,0,0.17635289595818915,0.17907724204967837,0.12,707,1374,2085,2773,3461
19,0,0,0.17433304800741278,0.17697628492831108,0.12,708,1374,2085,2774,3462
20,0,0,0.17237671321587378,0.17493857685206063,0.13,708,1373,2086,2774,3462
21,0,0,0.1704824616680824,0.17295896027763905,0.13,709,1372,2086,2774,3462
22,0,0,0.16864652065877672,0.17104367760182004,0.13,709,1372,2086,2774,3461
23,0,0,0.1668669080111727,0.16918588609774715,0.14,710,1371,2086,2774,3461
24,0,0,0.1651417790680363,0.16740753431933061,0.14,710,1370,2086,2774,3461
25,0,0,0.16347046593494896,0.16568893939335183,0.15,711,1369,2086,2774,3461
26,0,0,0.1618509070498281,0.16401733616934483,0.15,711,1369,2086,2774,3460
27,0,0,0.16028102805646055,0.16238253914830938,0.15,712,1368,2086,2774,3460
28,0,0,0.1587598858312112,0.16079433031137944,0.16,712,1368,2086,2773,3460
29,0,0,0.15728847398317675,0.1592580157913284,0.16,712,1367,2085,2773,3460
30,0,0,0.15586389281721105,0.1577658910190893,0.17,713,1367,2085,2773,3461
31,0,0,0.15448698572788838,0.15631717191697825,0.17,713,1366,2085,2773,3461
32,0,0,0.1531554447289892,0.15491264940995075,0.17,714,1366,2085,2774,3461
33,0,0,0.15186720676992072,0.1535522383303147,0.18,714,1365,2085,2774,3461
34,0,0,0.15062167019546893,0.15224173994121382,0.18,715,1365,2085,2774,3461
35,0,0,0.14942045759091027,0.1509736205156114,0.19,715,1364,2085,2774,3461
36,0,0,0.14825983457608052,0.14974637569004404,0.19,715,1364,2085,2774,3461
37,0,0,0.1471409008950779,0.1485661965164262,0.19,716,1363,2085,2774,3461
38,0,0,0.1460676305034682,0.14743148433780365,0.2,716,1363,2086,2773,3461
39,0,0,0.1450433422539038,0.14634761784338055,0.2,717,1363,2086,2773,3461
40,0,0,0.14407140806671165,0.14531279943291772,0.21,717,1363,2085,2773,3461
41,0,0,0.14315395475669768,0.1443285229111551,0.21,717,1362,2085,2773,3461
42,0,0,0.14229125073326984,0.14339517307540534,0.22,718,1362,2085,2773,3461
43,0,0,0.14148279010131457,0.142515037897601,0.22,718,1362,2085,2773,3461
44,0,0,0.14072668849401732,0.14168718971812463,0.22,719,1362,2085,2774,3461
45,0,0,0.14002160584675072,0.14091097707977016,0.23,719,1361,2085,2774,3461
46,0,0,0.13936710028434748,0.14018517829317742,0.23,720,1361,2085,2774,3461
47,0,0,0.13876099476339349,0.1395040445835247,0.24,720,1361,2085,2774,3461
48,0,0,0.13820035448634413,0.13887677702809761,0.24,720,1361,2084,2774,3461
49,0,0,0.13768381381890524,0.13829663374292225,0.25,721,1361,2084,2774,3461
50,0,0,0.13720886392150022,0.13776033638252944,0.25,721,1361,2083,2774,3461
51,0,0,0.13677294202076276,0.13726631594263086,0.26,722,1361,2083,2774,3461
52,0,0,0.1363727482886048,0.13681025848626216,0.26,722,1360,2082,2774,3461
53,0,0,0.13600714642317083,0.1363875737683098,0.26,722,1360,2081,2773,3461
54,0,0,0.13567461760825356,0.13598858131171992,0.27,723,1360,2080,2773,3461
55,0,0,0.13537041091141305,0.1356226236710922,0.27,723,1360,2079,2773,3461
56,0,0,0.1350912569037904,0.13528567330136013,0.28,724,1360,2078,2773,3461
57,0,0,0.13483452763188628,0.13497557388193554,0.28,724,1360,2077,2773,3461
58,0,0,0.13459657349159143,0.1346898833570677,0.28,724,1360,2076,2773,3461
59,0,0,0.13437507540678525,0.13442365131581321,0.29,725,1360,2075,2773,3461
60,0,0,0.1341672758333917,0.13417738922238664,0.29,725,1360,2073,2773,3461
61,0,0,0.13397020064801624,0.13394544330544925,0.29,726,1360,2072,2773,3461
62,0,0,0.133782010693115,0.13372737269761462,0.3,726,1360,2071,2773,3461
63,0,0,0.13360041523641528,0.1335211110201693,0.3,726,1360,2069,2773,3461
64,0,0,0.13342396141491092,0.13332324135729348,0.31,727,1360,2068,2772,3460
65,0,0,0.1332499927839238,0.1331332205083449,0.31,727,1360,2066,2772,3460
66,0,0,0.1330780082134197,0.13294589832475207,0.31,728,1360,2065,2772,3460
67,0,0,0.13290563991925938,0.13276369235847768,0.32,728,1360,2063,2772,3460
68,0,0,0.13273360208934076,0.13258361026159354,0.32,729,1360,2061,2771,3460
69,0,0,0.1325610740163167,0.1324031847589312,0.32,729,1360,2060,2771,3460
70,0,0,0.13238638652705687,0.1322200266407458,0.33,729,1360,2058,2771,3460
71,0,0,0.13220924928990865,0.13203933002645024,0.33,730,1360,2056,2771,3459
72,0,0,0.13202946198962592,0.13188627482980356,0.34,730,1360,2054,2770,3459
73,0,0,0.13184681600263892,0.1317514996864011,0.34,731,1360,2052,2770,3459
74,0,0,0.13166139846258754,0.13161706770255582,0.34,731,1360,2051,2769,3458
75,0,0,0.1314757548502404,0.13148068494826295,0.35,731,1361,2049,2769,3458
76,0,0,0.13128109489809503,0.13135049242552482,0.35,732,1361,2047,2768,3458
77,0,0,0.13107927549382262,0.1312242090907057,0.35,732,1361,2045,2768,3457
78,0,0,0.1308764332712858,0.13109914676483536,0.36,733,1361,2043,2768,3457
79,0,0,0.1306739461265529,0.13097500318628064,0.36,733,1361,2041,2767,3456
80,0,0,0.13047282218288694,0.13086412193456678,0.37,733,1361,2039,2767,3456
81,0,0,0.13027653497447905,0.13075586039472936,0.37,734,1361,2037,2766,3456
82,0,0,0.13008354565205782,0.1306492342325544,0.37,734,1361,2035,2766,3455
83,0,0,0.12989432778616555,0.1305468085909206,0.38,734,1361,2033,2765,3455
84,0,0,0.1297101902932455,0.13044443103716136,0.38,735,1361,2031,2764,3454
85,0,0,0.12953075220175733,0.13034508835099268,0.39,735,1361,2029,2764,3454
86,0,0,0.12935640745126195,0.13024846571111992,0.39,735,1361,2027,2763,3453
87,0,0,0.12918654947018857,0.13015260139471202,0.39,736,1362,2025,2763,3453
88,0,0,0.12902462465881734,0.1300572178050772,0.4,736,1362,2023,2762,3452
89,0,0,0.1288666592113331,0.12996417917256692,0.4,736,1362,2022,2761,3452
90,0,0,0.12871248681347222,0.1298713822462142,0.4,736,1362,2020,2761,3451
91,0,0,0.1285619327632795,0.1297783395600235,0.41,737,1362,2019,2760,3451
92,0,0,0.12841310963303548,0.1296858692641165,0.41,737,1362,2018,2759,3450
93,0,0,0.12826619044757923,0.12959214002217687,0.42,737,1363,2017,2759,3450
94,0,0,0.1281216179005907,0.1294973936228285,0.42,738,1363,2016,2758,3449
95,0,0,0.12797894876196494,0.12940224678500448,0.42,738,1363,2015,2757,3449
96,0,0,0.12783861922852782,0.12930862165952664,0.43,738,1363,2014,2756,3449
97,0,0,0.12769817924373977,0.12921631253767712,0.43,738,1363,2014,2756,3448
98,0,0,0.1275577963700588,0.12912777448481833,0.43,739,1363,2013,2755,3448
99,0,0,0.12741807015104273,0.1290398541134233,0.44,739,1363,2013,2754,3447
100,0,0,0.12727853444932777,0.12895367934693586,0.44,739,1363,2012,2753,3447
101,0,0,0.1271395122014788,0.12886994023893864,0.45,739,1363,2012,2752,3446
102,0,0.00048515580837249495,0.12700092442853778,0.12878595866199466,0.45,740,1364,2012,2751,3446
103,0,0.0017854009182258768,0.12686358008173468,0.12870216108162405,0.45,740,1364,2012,2750,3445
104,0,0.0030739587479925445,0.12672737296853973,0.1286190692059785,0.46,740,1364,2012,2749,3445
105,0,0.004381426632491525,0.12659155635727024,0.1285346990999475,0.46,740,1364,2012,2748,3444
106,0,0.005704251377318892,0.12645649974500256,0.12844928026123914,0.47,741,1364,2012,2747,3444
107,0,0.007034492507910217,0.12632194015565043,0.12836332572805528,0.47,741,1364,2013,2746,3443
108,0.0002811330080113583,0.008371686376683063,0.12618799726625346,0.1282768779850614,0.48,741,1364,2013,2745,3443
109,0.00239130961409173,0.009710397008658611,0.12605475431333507,0.12819025570182568,0.48,741,1364,2013,2744,3442
110,0.004487133683591327,0.011040118106667274,0.1259222726868871,0.12810415645019685,0.49,741,1364,2014,2743,3442
111,0.0065707716874392474,0.012359007512324327,0.12579042152470019,0.1280187049587405,0.49,741,1364,2014,2742,3441
112,0.008641257749048892,0.013674105588938557,0.12565926951480588,0.1279334511822057,0.49,742,1364,2014,2740,3441
113,0.010705199013226419,0.015000465711754285,0.12552839595388704,0.1278473975240065,0.5,742,1364,2015,2739,3440
114,0.012758297077806402,0.01631213020712008,0.12539807651043117,0.12776224083213097,0.5,742,1364,2015,2738,3440
115,0.014786315422957275,0.01759239127910961,0.1252692050653026,0.1276790843371208,0.5,742,1364,2016,2737,3440
116,0.016781924962156136,0.018858784636795134,0.12514227727217672,0.1275967641227315,0.51,742,1364,2016,2735,3439
117,0.018764436265554907,0.020114632691987988,0.12501604007088968,0.12751507000357737,0.51,742,1364,2017,2734,3439
118,0.020731728934485494,0.02135759655451186,0.12489065588339007,0.1274341712739554,0.52,742,1365,2017,2733,3438
119,0.022684049636586656,0.022594618411109324,0.12476610115548022,0.1273536160514511,0.52,742,1365,2018,2731,3438
