epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.15206129225193651,0.15288759019984852,0.03,6,12,18,24,30,36,42,48,53,59
1,0,0,0.14898207179121042,0.14980639266494666,0.03,6,12,18,24,30,36,42,48,53,59
2,0,0,0.14609212491972678,0.14691300940243943,0.04,6,12,18,24,30,36,42,47,53,59
3,0,0,0.14341534449688068,0.14423298344991017,0.04,6,12,18,24,30,36,42,47,53,59
4,0,0,0.14096939776894793,0.14177993195038602,0.05,6,12,18,24,30,36,42,47,53,59
5,0,0,0.1387692230672186,0.13956867954805333,0.05,6,12,18,24,30,36,42,47,53,59
6,0.008436121904109362,0.010836237407096605,0.13682692199418645,0.13761247347993377,0.06,6,12,18,24,30,36,41,47,53,59
7,0.03257641772627606,0.03501580864969189,0.13515109068885225,0.13592013352275353,0.06,6,12,18,24,30,36,41,47,53,59
8,0.05262126653417021,0.05518640328183411,0.13374360558340567,0.13449209207159685,0.07,6,12,18,24,30,36,41,47,53,59
9,0.06873718036619059,0.07147004411765323,0.13260116311792314,0.13332808218490036,0.07,6,12,18,24,30,36,41,47,53,59
10,0.08111469853086661,0.08405564319381975,0.13171701365646654,0.13242140857085508,0.07,6,12,18,24,30,36,41,47,53,59
11,0.08999153004371907,0.09319138615257261,0.13107925417872196,0.13175935993705226,0.08,6,12,18,24,30,36,41,47,53,59
12,0.0956747529215094,0.09918492396872147,0.1306692991932227,0.13132320587730723,0.08,6,12,18,24,30,36,41,47,53,59
13,0.09855729113840106,0.10236585144605914,0.13046087252654498,0.13109115457068396,0.09,6,12,18,24,30,36,41,47,53,59
14,0.09913936433304049,0.10322639513791565,0.13041874732570835,0.1310282940730164,0.09,6,12,18,24,30,36,41,47,53,59
15,0.0980418639034949,0.1023933417996683,0.13049816696525723,0.13108914401313987,0.1,6,12,18,24,30,36,42,47,53,59
16,0.09598684848611672,0.10055608731568355,0.1306467392618378,0.13122323677266845,0.1,6,12,18,24,30,36,42,47,53,59
17,0.09371980569842431,0.09846494523635851,0.13081045090236468,0.13137568206728015,0.11,6,12,18,24,30,36,42,47,53,60
18,0.0918917732447101,0.09674181392160508,0.13094231837927858,0.13150117545817264,0.11,6,12,18,24,30,36,42,47,53,60
19,0.09098814697094448,0.0959126971356391,0.13100744524439123,0.13156150936424263,0.12,6,12,18,24,30,36,42,47,53,60
20,0.09129461546298823,0.0962686532476209,0.13098535594097344,0.1315356118708611,0.12,6,12,18,24,30,36,42,47,53,60
21,0.09289358347516741,0.09787476732169953,0.13087006425613448,0.13141868400940354,0.13,6,12,18,24,30,36,42,47,53,60
22,0.09566226500752129,0.10060277481529101,0.13067019723309808,0.13121982295666695,0.13,6,12,18,24,30,36,42,47,53,60
23,0.0993177333845231,0.10418270762399373,0.13040583572669265,0.1309584057854551,0.14,6,12,18,24,30,36,42,47,53,60
24,0.10348032421724918,0.10824805994164355,0.13010414166930023,0.13066091719007814,0.14,6,12,18,24,30,36,42,47,53,60
25,0.10776117069774271,0.112410360239937,0.1297931505070463,0.13035563402273165,0.15,6,12,18,24,30,36,42,47,53,60
26,0.11181767038068346,0.11634821904923642,0.12949776759718115,0.1300661399406211,0.15,6,12,18,24,30,36,42,47,53,60
27,0.1154007744030896,0.1198238599626118,0.12923629730394426,0.12981009778282757,0.16,6,12,18,24,30,36,42,47,53,60
28,0.11836609466867598,0.12268047373829616,0.12901950686984465,0.12959927608656108,0.16,6,12,18,24,30,36,42,47,53,60
29,0.12068907492249592,0.12490074375991356,0.12884941437571146,0.1294351765835319,0.16,6,12,18,24,30,36,42,47,53,60
30,0.12243668167079647,0.12656126652610822,0.128721314042354,0.1293123163988959,0.17,6,12,18,24,30,36,42,47,53,60
31,0.12374938690537474,0.12780081961315437,0.12862499939665503,0.12922052883828852,0.17,6,12,18,24,30,36,42,47,53,60
32,0.12480609106993457,0.12879220587838391,0.12854741465681424,0.12914706624300953,0.18,6,12,18,24,30,36,42,47,53,60
33,0.1257784689104382,0.12971838641314992,0.12847598835720286,0.12907841052107014,0.18,6,12,18,24,30,36,42,47,53,60
34,0.12680782616424124,0.13072283093260884,0.12840033000297565,0.1290038923888737,0.19,6,12,18,24,30,36,42,47,53,60
35,0.1279891020089301,0.13190398076902576,0.12831345718396533,0.1289162270701931,0.19,6,12,18,24,30,36,42,47,53,60
36,0.1293456877867557,0.133288165267187,0.12821359653236442,0.12881339948479867,0.19,6,12,18,24,30,36,42,47,53,60
37,0.1308603725181663,0.13481578936008476,0.12810202631023362,0.1286998237477313,0.2,6,12,18,24,30,36,42,47,53,60
38,0.13249677301781726,0.13643488940578963,0.12798137203144974,0.12857934653267122,0.2,6,12,18,24,30,36,42,47,53,60
39,0.13419285030809536,0.1381653219104756,0.12785620435335457,0.12845046208865768,0.21,6,12,18,24,30,36,42,47,53,60
40,0.13588029756595055,0.13991896860483022,0.12773154106846132,0.1283197063274959,0.21,6,12,18,24,30,36,42,47,53,60
41,0.13749991066981282,0.1416176517681641,0.12761178448054514,0.1281929292524138,0.22,6,12,18,24,30,36,42,47,53,60
42,0.13900332861187437,0.1432159992467168,0.12750052034748707,0.12807353137337923,0.22,6,12,18,24,30,36,42,47,53,60
43,0.1403688204043988,0.144682660227896,0.12739937918753552,0.12796385505359764,0.23,6,12,18,24,30,36,42,47,53,60
44,0.14160582892791707,0.14601392559053794,0.1273076828390308,0.12786423122437807,0.23,6,12,18,24,30,36,42,47,53,60
45,0.14273916888886373,0.1472452019639532,0.12722360700641897,0.12777202296370557,0.23,6,12,19,24,30,36,42,47,53,60
46,0.14381044347678573,0.1484106310865464,0.1271440903701318,0.1276846789007791,0.24,6,12,19,24,30,36,42,47,53,60
47,0.1448677582913862,0.1495526746033482,0.12706555743134637,0.12759903407641215,0.24,6,12,19,24,30,36,42,47,53,60
48,0.1459564052855591,0.15071566241274947,0.12698465102569295,0.12751176141738704,0.25,6,12,19,24,30,36,42,47,53,60
49,0.14710682236302464,0.15192381702927038,0.12689909151915427,0.12742103033762317,0.25,6,12,19,24,30,36,42,47,53,60
50,0.14833274755565018,0.15319236930654756,0.12680787066427499,0.12732569970295005,0.26,6,12,19,24,30,36,42,47,53,60
51,0.14961952270245937,0.15450948323238223,0.1267120346260801,0.12722664491945337,0.26,6,12,19,24,30,36,42,47,53,60
52,0.15095977926105375,0.15586704063187717,0.12661214667135465,0.1271244580206669,0.26,6,12,19,24,30,36,42,47,53,60
53,0.15232347702025617,0.15723983070577718,0.12651041307157487,0.12702105245445655,0.27,6,12,19,24,30,36,42,47,53,60
54,0.15368002457193264,0.1585988546503977,0.1264091501622354,0.12691858995650793,0.27,6,12,19,24,30,36,42,47,53,60
55,0.15500602757570525,0.1599256058872751,0.12631008444018935,0.12681849016327737,0.28,6,12,19,24,30,36,42,47,53,60
56,0.15628804494233994,0.16120817617731764,0.12621423199296308,0.1267216332503879,0.28,6,12,19,24,30,36,42,47,53,60
57,0.15752024867897552,0.16244191673524977,0.12612202843680587,0.1266284091077258,0.29,6,12,19,24,30,36,42,47,53,60
58,0.15871975456972098,0.1636479652268904,0.12603221817174415,0.12653720655950842,0.29,6,12,19,24,30,36,42,47,53,60
59,0.15990457860237417,0.16484503287830798,0.1259434308981723,0.1264466158422896,0.29,6,12,19,24,30,36,42,47,53,60
60,0.16109312111312868,0.16605023703771327,0.125854314587502,0.12635534841273655,0.3,6,12,19,24,30,36,42,47,53,60
61,0.16229870058180362,0.16727359765140937,0.12576384660911563,0.12626263569400734,0.3,6,12,19,24,30,36,42,47,54,60
62,0.16352789068700324,0.16852679234154466,0.12567154975572992,0.12616758870736322,0.31,6,12,19,24,30,36,42,47,54,60
63,0.16477848988793808,0.16980913347213455,0.12557756090482466,0.12607026127189355,0.31,6,12,19,24,30,36,42,47,54,60
64,0.16604367193802694,0.17111577610519269,0.12548241805691826,0.12597101036670832,0.32,6,12,19,24,30,36,42,47,54,60
65,0.1673113701395541,0.1724211600917117,0.12538700989832874,0.12587177738811073,0.32,6,12,19,24,30,36,42,47,54,60
66,0.16856707878044197,0.1737145135807563,0.1252924285068297,0.12577338431032767,0.32,6,12,19,24,30,36,42,47,54,60
67,0.169804033359078,0.17498955064389565,0.12519919646810027,0.1256763147885784,0.33,6,12,19,24,30,36,42,47,54,60
68,0.17102361584097392,0.17625307095152642,0.12510719769173168,0.12558003051297464,0.33,6,12,19,24,30,36,42,47,54,60
69,0.17222060159460295,0.1774989215401157,0.12501683717818676,0.1254850305514715,0.34,6,12,19,24,30,36,42,47,54,60
70,0.1734090615023105,0.17873422809019957,0.12492706361412266,0.12539076077225128,0.34,6,12,19,24,30,36,42,47,54,60
71,0.17459715094561423,0.17996292925511992,0.1248372478725492,0.12529692550679092,0.35,6,12,19,24,30,36,42,47,54,60
72,0.17578849769946825,0.18119047616811557,0.12474712856371785,0.12520311661556838,0.35,6,12,19,24,30,36,42,47,54,60
73,0.1769829024799836,0.18241473338252567,0.12465670502924596,0.12510947559515104,0.35,6,12,19,24,30,36,42,47,54,60
74,0.17818123208271675,0.1836389073583573,0.12456591679427464,0.1250157793337548,0.36,6,12,19,24,30,36,42,47,54,60
75,0.17937962342616942,0.18486193084753755,0.1244750660822096,0.12492209853175563,0.36,6,12,19,24,30,36,42,47,54,60
76,0.18057165041098477,0.1860799326338115,0.12438462446584671,0.12482873538683717,0.37,6,12,19,24,30,36,42,47,54,60
77,0.18175580097570165,0.18728662488225556,0.12429472021684386,0.12473616845892646,0.37,6,12,19,24,30,36,42,47,54,60
78,0.18292838033964975,0.18848047362264264,0.12420562443873932,0.1246445153353627,0.38,6,12,19,24,30,36,42,47,54,60
79,0.1840893206215678,0.18966347000591577,0.12411735763149159,0.12455363222651504,0.38,6,12,19,24,30,36,42,47,54,60
80,0.1852389205891084,0.19083201326702326,0.12402988777508264,0.12446379767858484,0.39,6,13,19,24,30,36,42,47,54,60
81,0.18637230000464422,0.1919881220406363,0.12394359601861336,0.12437484548309927,0.39,6,13,19,24,30,36,42,47,54,60
82,0.18749611654899012,0.19313641367620504,0.12385796223562948,0.12428643658730834,0.39,6,13,19,24,30,36,42,47,54,60
83,0.18862129631146796,0.19428796278817506,0.12377217514948842,0.12419771730151603,0.4,6,13,19,24,30,36,42,47,54,60
84,0.1897462873321577,0.1954442318303491,0.12368633985722265,0.12410856689459943,0.4,6,13,19,24,30,36,42,47,54,60
85,0.19086551984753586,0.19659717333461002,0.1236008857494895,0.12401960772511054,0.41,6,13,19,25,30,36,42,47,54,60
86,0.19197669429397934,0.19774554321628046,0.12351598326976723,0.12393094165539906,0.41,6,13,19,25,30,36,42,47,54,60
87,0.19307827131742894,0.19888549174113934,0.12343175428031458,0.1238428626029896,0.42,6,13,19,25,30,36,42,47,54,60
88,0.19417091426930633,0.20001730456717448,0.12334816618422342,0.12375534924471733,0.42,6,13,19,25,30,36,42,47,54,60
89,0.19525710241447447,0.2011452123251446,0.12326500495515827,0.12366807895649344,0.42,6,13,19,25,30,36,42,47,54,60
90,0.1963369575471583,0.2022638030876701,0.12318227145766202,0.12358146673959161,0.43,6,13,19,25,30,35,42,47,54,60
