epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,0.35026404817345963,0.3425056520051372,0.01,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
1,0,0,0.3441593160760274,0.33631643835447506,0.01,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
2,0,0,0.3384318895130293,0.3305095922424203,0.02,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
3,0,0,0.33316840497386063,0.32517079670458604,0.02,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
4,0,0,0.3279572126004861,0.3198825812050713,0.03,3,6,9,13,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
5,0,0,0.32277296186049925,0.3146182627685947,0.03,3,6,9,13,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
6,0,0,0.3176103685815482,0.309370740707054,0.04,3,6,9,13,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
7,0,0,0.3124618864659042,0.30413282475046066,0.04,3,6,9,13,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
8,0,0,0.3073146119145056,0.2988938402709608,0.05,3,6,9,13,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
9,0,0,0.30211879533039643,0.29359729734250056,0.05,3,6,9,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
10,0,0,0.2967463515763615,0.28812188392989757,0.06,3,6,9,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
11,0,0,0.29093289319415794,0.28219595086422156,0.06,3,6,9,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
12,0,0,0.2844636422643396,0.2755757379300324,0.07,3,6,9,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
13,0,0,0.27760658436068925,0.2685509143911081,0.07,3,6,10,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
14,0,0,0.2706342325992337,0.26141237004350326,0.08,3,6,10,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
15,0,0,0.2636056039673968,0.25423383854388654,0.08,3,6,10,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
16,0,0,0.2565598690302297,0.24702837742698228,0.09,3,6,10,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
17,0,0,0.2495108079986971,0.23980709783719414,0.09,3,6,10,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
18,0,0,0.24246519073644887,0.23257700767671563,0.1,3,6,10,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
19,0,0,0.23543560537746064,0.22535221989126294,0.1,3,6,10,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
20,0,0,0.22843322735559743,0.21814902380983467,0.11,3,6,10,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
21,0,0,0.22148789498897664,0.2110039641609058,0.11,3,6,10,13,15,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
