epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0,0,0.18106682704815494,0.17379149040194786,0.01,2,4,6,8,11,13,15,17,19,21,23,25,27,30,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
1,0,0,0.1774734426161134,0.16997772154088733,0.01,2,4,6,8,11,13,15,17,19,21,23,25,27,30,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
2,0,0,0.17388837820180558,0.1661603521163887,0.02,2,4,6,8,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
3,0,0,0.1703221987666267,0.16234946568535963,0.03,2,4,6,8,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
4,0,0,0.1667975858990352,0.15856968833408447,0.03,2,4,6,8,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
5,0,0,0.16333998235258512,0.1548490302247045,0.04,2,4,6,8,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
6,0,0,0.15997236441575216,0.15120833275181714,0.04,2,4,6,8,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
7,0,0,0.1567217321958365,0.14767733226618002,0.05,2,4,6,8,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
8,0,0,0.15373865384206153,0.1444201042060954,0.05,2,4,6,8,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
9,0,0,0.15126047987728963,0.14168500743561507,0.06,2,4,6,8,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
10,0,0,0.14919583584070992,0.1393921374147105,0.07,2,4,6,8,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
11,0,0,0.14733615547219475,0.137318304697101,0.07,2,4,6,8,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
12,0,0,0.14557643526723515,0.1353563065681422,0.08,2,4,6,8,11,13,15,17,19,21,23,26,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
13,0,0,0.14389736122198155,0.13347440458299964,0.08,2,4,6,9,11,13,15,17,19,21,23,26,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
14,0,0,0.14233454054761419,0.13171138531288407,0.09,2,4,6,9,11,13,15,17,19,21,23,26,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
15,0,0,0.14090177002750046,0.13008427591071964,0.1,2,4,6,9,11,13,15,17,19,21,23,26,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
16,0,0,0.1395509953427124,0.12854469776315156,0.1,2,4,6,9,11,13,15,17,19,21,23,26,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
17,0,0,0.1382718966709825,0.12708069920415568,0.11,2,4,6,9,11,13,15,17,19,21,23,26,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
18,0,0,0.1370736284743604,0.1257016709138686,0.11,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,48,51,53,55,57,59,61,63
19,0.012670335082348716,0.004205001139360509,0.1359669176695833,0.12441817116652783,0.12,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
