epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.17349322879980533,0.1722100849536327,0.15,381,760,1138,1514,1891,2269,2647,3026,3402,3780
1,0,0,0.171503825811609,0.17019911325136303,0.16,381,761,1139,1513,1890,2268,2646,3027,3401,3780
2,0,0,0.16958005000629625,0.16825329166681197,0.17,381,761,1140,1512,1889,2268,2645,3028,3401,3779
3,0,0,0.16772142765408907,0.16637126192118118,0.18,380,762,1140,1511,1888,2269,2644,3028,3400,3779
4,0,0,0.1659303614505135,0.16455613532255953,0.19,380,763,1141,1510,1887,2269,2643,3029,3400,3778
5,0,0,0.16420956673066558,0.1628127007748616,0.2,380,763,1142,1509,1886,2270,2642,3030,3399,3778
6,0,0,0.16255882876414826,0.16114129708811217,0.22,380,764,1143,1508,1885,2271,2642,3031,3398,3778
7,0,0,0.16098233913099558,0.1595432949656378,0.23,379,764,1144,1507,1884,2271,2641,3031,3398,3777
8,0,0,0.15947670519723414,0.158018198367484,0.24,379,765,1144,1506,1883,2270,2640,3032,3397,3777
9,0,0,0.15804225489660884,0.15656700163972853,0.25,379,766,1145,1505,1882,2270,2639,3033,3396,3777
10,0,0,0.156676657615778,0.15518637681609143,0.26,379,766,1146,1505,1881,2269,2638,3033,3396,3776
11,0,0,0.1553783062616093,0.15387190469453219,0.27,379,767,1147,1504,1880,2269,2638,3034,3395,3776
12,0,0,0.15414591538968897,0.15262340284999001,0.28,379,768,1148,1503,1879,2269,2637,3035,3394,3776
13,0,0,0.1529799954719938,0.15144179566643806,0.29,380,768,1149,1503,1878,2270,2636,3035,3394,3775
14,0,0,0.15188168486455234,0.15032846231227454,0.3,380,769,1149,1502,1877,2270,2635,3036,3393,3775
15,0,0,0.15085583112239467,0.14928594718915428,0.31,380,770,1150,1501,1876,2270,2634,3037,3392,3775
16,0,0,0.14990489721453232,0.14832030865214887,0.32,380,770,1151,1501,1876,2270,2634,3037,3392,3774
17,0,0,0.1490314921430915,0.14743132009608462,0.33,381,771,1152,1500,1875,2270,2633,3038,3391,3774
18,0,0,0.1482381485902722,0.1466241106480345,0.35,381,772,1152,1500,1874,2270,2632,3038,3390,3774
19,0,0,0.147520861544546,0.14589664810492795,0.36,381,772,1153,1500,1873,2269,2631,3039,3390,3773
20,0,0,0.14687512732561153,0.1452445714879152,0.37,382,773,1154,1499,1872,2269,2631,3039,3389,3773
21,0,0,0.14629562933612625,0.14466105251329728,0.38,382,774,1155,1499,1871,2269,2630,3040,3388,3773
22,0,0,0.14577406007918053,0.14413561023993135,0.39,382,774,1155,1499,1870,2269,2629,3041,3388,3773
23,0,0,0.14530413408705758,0.14366210110822328,0.4,383,775,1156,1499,1870,2269,2629,3041,3387,3772
24,0,0,0.14488022146533355,0.14323550701557505,0.41,383,776,1156,1499,1869,2269,2628,3042,3386,3772
25,0,0,0.1444969200912343,0.14284865958706838,0.42,383,776,1157,1499,1868,2269,2628,3043,3386,3772
