epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.37542297417631343,0.3541666666666667,0.0,0.0,0.01,12,24,35,47,59,71,83,94,106,118
1,0.37542297417631343,0.3541666666666667,0.0,0.0,0.01,12,24,36,47,59,71,83,94,106,118
2,0.37542297417631343,0.3541666666666667,0.0,0.0,0.02,12,24,36,47,59,71,83,94,106,118
3,0.37542297417631343,0.3541666666666667,0.0,0.0,0.02,12,24,36,47,59,71,83,94,106,118
4,0.37542297417631343,0.3541666666666667,0.0,0.0,0.03,12,24,36,47,59,71,83,94,106,118
5,0.37542297417631343,0.3541666666666667,0.0,0.0,0.03,12,24,36,47,59,71,83,95,106,118
6,0.37542297417631343,0.3541666666666667,0.0,0.0,0.04,12,24,36,47,59,71,83,95,106,118
7,0.37542297417631343,0.3541666666666667,0.0,0.0,0.05,12,24,36,47,59,71,83,95,106,118
8,0.37542297417631343,0.3541666666666667,0.0,0.0,0.05,12,24,36,47,59,71,83,95,106,118
9,0.37542297417631343,0.3541666666666667,0.0,0.0,0.06,12,24,36,47,59,71,83,95,106,118
10,0.37542297417631343,0.3541666666666667,0.0,0.0,0.06,12,24,36,47,59,70,83,95,106,118
11,0.37542297417631343,0.3541666666666667,0.0,0.0,0.07,12,24,36,47,59,70,83,95,106,118
12,0.37542297417631343,0.3541666666666667,0.0,0.0,0.07,12,24,36,47,59,70,83,95,106,118
13,0.37542297417631343,0.3541666666666667,0.0,0.0,0.08,12,24,36,47,59,70,83,95,106,118
14,0.37542297417631343,0.3541666666666667,0.0,0.0,0.08,12,24,36,47,59,70,83,95,106,118
15,0.37542297417631343,0.3541666666666667,0.0,0.0,0.09,12,24,36,47,59,70,83,95,106,118
16,0.37542297417631343,0.3541666666666667,0.0,0.0,0.09,12,24,36,47,59,70,83,95,106,118
17,0.37542297417631343,0.3541666666666667,0.0,0.0,0.1,12,24,36,47,59,70,83,95,106,118
18,0.37542297417631343,0.3541666666666667,0.0,0.0,0.1,12,24,36,47,59,70,83,95,106,118
19,0.37542297417631343,0.3541666666666667,0.0,0.0,0.11,12,24,36,47,59,70,83,95,106,118
20,0.37542297417631343,0.3541666666666667,0.0,0.0,0.11,12,24,36,47,59,70,83,95,106,118
21,0.37542297417631343,0.3541666666666667,0.0,0.0,0.12,12,24,36,47,59,70,83,95,106,118
22,0.37542297417631343,0.3541666666666667,0.0,0.0,0.12,12,24,36,47,59,70,83,95,106,118
23,0.37542297417631343,0.3541666666666667,0.0,0.0,0.13,12,24,36,47,59,70,83,95,106,118
24,0.37542297417631343,0.3541666666666667,0.0,0.0,0.13,12,24,36,46,59,70,83,95,106,118
25,0.37542297417631343,0.3541666666666667,0.0,0.0,0.14,12,24,36,46,59,70,83,95,106,118
26,0.37542297417631343,0.3541666666666667,0.0,0.0,0.14,12,24,36,46,59,70,83,95,106,118
27,0.37542297417631343,0.3541666666666667,0.0,0.0,0.15,12,24,36,46,59,70,83,95,106,118
28,0.37542297417631343,0.3541666666666667,0.0,0.0,0.15,12,24,36,46,59,70,83,95,106,118
29,0.37542297417631343,0.3541666666666667,0.0,0.0,0.16,12,24,36,46,59,70,83,95,106,118
30,0.37542297417631343,0.3541666666666667,0.0,0.0,0.16,12,24,36,46,59,70,84,95,106,118
31,0.37542297417631343,0.3541666666666667,0.0,0.0,0.17,12,24,36,46,59,70,84,95,106,118
32,0.37542297417631343,0.3541666666666667,0.0,0.0,0.17,12,24,36,46,59,70,84,95,106,118
33,0.37542297417631343,0.3541666666666667,0.0,0.0,0.18,12,24,36,46,59,71,84,95,106,118
34,0.37542297417631343,0.3541666666666667,0.0,0.0,0.18,12,24,36,46,59,71,84,95,106,117
35,0.37542297417631343,0.3541666666666667,0.0,0.0,0.18,12,24,36,46,59,71,84,95,106,117
36,0.37542297417631343,0.3541666666666667,0.0,0.0,0.19,12,24,36,46,59,71,84,95,106,117
37,0.37542297417631343,0.3541666666666667,0.0,0.0,0.19,12,24,36,46,59,71,84,95,106,117
38,0.37542297417631343,0.3541666666666667,0.0,0.0,0.2,12,24,36,46,59,71,84,95,106,117
39,0.37542297417631343,0.3541666666666667,0.0,0.0,0.2,12,24,36,46,59,71,84,95,106,117
40,0.37542297417631343,0.3541666666666667,0.0,0.0,0.21,12,24,36,46,59,71,84,95,106,117
41,0.37542297417631343,0.3541666666666667,0.0,0.0,0.21,12,24,36,46,59,71,84,95,106,117
42,0.37542297417631343,0.3541666666666667,0.0,0.0,0.22,12,24,37,46,59,71,84,95,106,117
43,0.37542297417631343,0.3541666666666667,0.0,0.0,0.22,12,24,37,46,59,71,84,95,106,117
44,0.37542297417631343,0.3541666666666667,0.0,0.0,0.23,12,24,37,46,59,71,84,95,106,117
45,0.37542297417631343,0.3541666666666667,0.0,0.0,0.23,12,24,37,46,59,71,84,95,106,117
46,0.37542297417631343,0.3541666666666667,0.0,0.0,0.24,12,24,37,46,59,71,84,95,106,117
47,0.37542297417631343,0.3541666666666667,0.0,0.0,0.24,12,24,37,46,59,71,84,95,106,117
48,0.37542297417631343,0.3541666666666667,0.0,0.0,0.25,12,24,37,46,59,71,84,95,106,117
49,0.37542297417631343,0.3541666666666667,0.0,0.0,0.25,12,24,37,46,59,71,84,95,106,117
50,0.37542297417631343,0.3541666666666667,0.0,0.0,0.26,12,24,37,46,59,71,84,95,106,117
51,0.37542297417631343,0.3541666666666667,0.0,0.0,0.26,12,24,37,46,59,71,84,95,106,117
52,0.37542297417631343,0.3541666666666667,0.0,0.0,0.27,12,24,37,46,59,71,84,95,106,117
53,0.37542297417631343,0.3541666666666667,0.0,0.0,0.27,12,25,37,46,59,71,84,95,106,117
54,0.37542297417631343,0.3541666666666667,0.0,0.0,0.28,12,25,37,46,59,71,84,95,106,117
55,0.37542297417631343,0.3541666666666667,0.0,0.0,0.28,12,25,37,46,59,71,84,95,106,117
56,0.37542297417631343,0.3541666666666667,0.0,0.0,0.29,12,25,37,46,59,72,84,95,106,117
57,0.37542297417631343,0.3541666666666667,0.0,0.0,0.29,12,25,37,46,59,72,84,95,106,117
58,0.37542297417631343,0.3541666666666667,0.0,0.0,0.3,12,25,37,46,59,72,84,95,106,117
