epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0.05649921696181183,0.047670639219934995,0.0,0.0,0.01,10,19,28,38,47,57,66,76,85,94,104,113,123,132,142,151,160,170,179,189
1,0.05649921696181183,0.047670639219934995,0.0,0.0,0.02,10,19,28,38,47,57,66,75,85,94,104,113,123,132,142,151,160,170,179,189
2,0.05649921696181183,0.047670639219934995,0.0,0.0,0.02,10,19,28,38,47,57,66,75,85,95,104,113,123,132,142,151,160,170,179,189
3,0.05649921696181183,0.047670639219934995,0.0,0.0,0.03,10,19,28,38,47,57,66,75,85,95,104,113,123,132,142,151,160,170,179,189
4,0.05649921696181183,0.047670639219934995,0.0,0.0,0.04,10,19,28,38,47,57,66,75,85,95,104,113,123,132,142,151,160,170,179,189
5,0.05649921696181183,0.047670639219934995,0.0,0.0,0.04,10,19,28,38,47,57,66,75,85,95,104,113,123,132,142,151,160,170,179,189
6,0.05649921696181183,0.047670639219934995,0.0,0.0,0.05,10,19,28,38,47,57,66,75,85,95,103,113,123,132,142,151,160,170,179,189
7,0.05649921696181183,0.047670639219934995,0.0,0.0,0.05,10,19,28,38,47,57,66,75,85,94,103,113,123,132,142,151,160,170,179,189
8,0.05649921696181183,0.047670639219934995,0.0,0.0,0.06,10,19,28,38,47,57,67,75,85,94,103,113,123,132,142,151,160,170,179,189
9,0.05649921696181183,0.047670639219934995,0.0,0.0,0.07,10,19,28,38,47,57,67,75,85,94,103,113,123,133,142,151,160,169,179,189
10,0.05649921696181183,0.047670639219934995,0.0,0.0,0.07,10,19,28,38,47,57,67,75,85,94,103,113,123,133,142,151,160,169,179,189
11,0.05649921696181183,0.047670639219934995,0.0,0.0,0.08,10,19,28,38,47,57,67,75,86,94,103,113,123,133,142,151,160,169,179,189
12,0.05649921696181183,0.047670639219934995,0.0,0.0,0.08,10,19,28,37,47,57,67,75,86,94,103,113,123,133,142,151,160,169,179,189
13,0.05649921696181183,0.047670639219934995,0.0,0.0,0.09,10,19,28,37,47,57,67,75,86,94,103,113,123,133,142,151,160,169,179,189
14,0.05649921696181183,0.047670639219934995,0.0,0.0,0.1,10,19,28,37,47,57,67,75,86,94,103,113,123,133,142,151,160,169,179,189
15,0.05649921696181183,0.047670639219934995,0.0,0.0,0.1,10,19,28,37,47,57,67,75,86,95,103,113,123,133,142,152,160,169,179,189
16,0.05649921696181183,0.047670639219934995,0.0,0.0,0.11,10,19,28,37,47,57,67,75,86,95,103,112,123,133,142,152,160,169,179,189
17,0.05649921696181183,0.047670639219934995,0.0,0.0,0.12,10,19,28,37,47,57,67,75,86,95,103,112,123,133,142,152,160,169,179,189
18,0.05649921696181183,0.047670639219934995,0.0,0.0,0.12,10,19,28,37,47,57,67,75,85,95,103,112,123,133,142,152,160,169,180,189
19,0.05649921696181183,0.047670639219934995,-0.0002065846026717555,0.0,0.13,10,19,28,37,47,58,67,75,85,95,103,112,123,133,142,152,160,169,180,189
20,0.05649921696181183,0.047670639219934995,-0.006351085269364454,-0.009089450491225781,0.13,10,19,28,37,47,58,67,75,85,95,103,112,123,133,142,152,160,169,180,189
21,0.057222021443199614,0.04875406283856988,-0.02253593141181609,-0.027132259466886133,0.14,10,19,28,37,47,58,67,75,85,94,103,112,123,133,142,152,160,169,180,189
22,0.09071196241416697,0.08017334777898158,-0.03426135543351316,-0.05222542844213973,0.15,10,19,28,37,46,58,67,75,85,94,103,112,123,133,142,152,160,169,180,189
23,0.20696301650403565,0.21776814734561215,0.0017490838258474861,-0.016577198305516516,0.15,10,19,28,37,46,58,67,75,85,94,103,112,123,133,142,152,160,169,180,189
24,0.23659800024093483,0.26435536294691225,0.0036778741162952766,0.001483315488936543,0.16,10,19,28,37,46,58,67,74,85,94,103,112,123,133,142,152,160,169,180,189
25,0.23623659800024094,0.2676056338028169,0.0001923688277694069,0.0005862434608225886,0.17,10,19,28,37,46,58,67,74,85,94,103,112,123,133,142,152,160,169,180,189
26,0.23623659800024094,0.2676056338028169,0.00011338612070288523,0.0,0.17,10,19,28,37,46,58,67,74,85,94,103,112,123,133,142,152,160,169,180,189
27,0.23623659800024094,0.2676056338028169,0.00011338612070288523,0.0,0.18,10,19,28,37,46,58,67,74,85,94,103,112,123,133,142,152,160,169,180,189
28,0.23623659800024094,0.2676056338028169,0.00011338612070288523,0.0,0.19,10,19,28,37,46,58,66,74,85,94,103,112,123,133,142,152,160,169,180,189
29,0.23623659800024094,0.2676056338028169,8.504200117276373e-05,0.0,0.19,10,19,28,37,46,58,66,74,85,94,104,112,123,133,142,152,160,169,180,189
30,0.23623659800024094,0.2676056338028169,8.504200117276373e-05,0.0,0.2,10,19,28,37,46,58,66,74,85,94,104,112,123,133,142,152,160,169,180,189
31,0.23623659800024094,0.2676056338028169,5.669627463678051e-05,0.0,0.21,10,19,28,37,46,58,66,74,85,94,104,112,123,133,142,152,160,169,180,189
32,0.23623659800024094,0.2676056338028169,5.669627463678051e-05,0.0,0.21,10,19,28,37,46,58,66,74,85,94,104,112,123,133,142,152,160,169,180,189
33,0.23623659800024094,0.2676056338028169,5.669627463678051e-05,0.0,0.22,10,19,28,37,46,58,66,74,85,94,104,112,123,133,142,152,160,169,180,189
34,0.23623659800024094,0.2676056338028169,5.669627463678051e-05,0.0,0.23,10,19,28,37,46,58,66,74,85,94,104,112,123,133,142,152,160,169,180,189
35,0.23623659800024094,0.2676056338028169,2.8348940958045077e-05,0.0,0.23,10,19,28,37,46,58,66,74,85,94,104,113,123,133,142,152,160,169,180,189
36,0.23623659800024094,0.2676056338028169,0.0,0.0,0.24,10,19,28,37,46,58,66,74,85,94,104,113,123,133,142,152,160,169,180,189
37,0.23623659800024094,0.2676056338028169,0.0,0.0,0.24,10,19,28,37,46,58,66,74,85,94,104,113,123,133,142,152,160,169,180,189
38,0.23623659800024094,0.2676056338028169,0.0,0.0,0.25,10,19,28,37,46,58,66,74,85,94,104,113,123,133,142,152,160,169,180,189
