epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0,0,0.3121534571830608,0.3123525152269414,0.18,138,272,407,541,674,808,943,1077,1209,1343,1477,1613,1745,1879,2013,2147,2281,2415,2549,2683,2817,2951,3085,3219,3355,3487,3622,3756,3890,4024
1,0,0,0.3020193084195356,0.30224910112157394,0.19,138,272,407,541,674,807,944,1078,1208,1342,1476,1614,1745,1878,2012,2146,2281,2414,2548,2682,2816,2950,3084,3219,3355,3487,3621,3757,3890,4024
2,0,0,0.292936564902833,0.2932074782152289,0.21,139,271,407,542,674,806,944,1078,1208,1342,1475,1614,1745,1877,2012,2145,2282,2413,2547,2682,2816,2949,3084,3218,3355,3486,3621,3757,3890,4024
3,0,0,0.2846819447248604,0.284999347004226,0.22,139,271,408,542,675,806,945,1079,1207,1341,1475,1615,1745,1876,2011,2145,2282,2412,2546,2681,2817,2949,3083,3217,3354,3486,3620,3758,3890,4023
4,0,0,0.27677841056029684,0.27712734268481887,0.24,139,271,408,542,675,805,946,1080,1206,1340,1474,1616,1745,1875,2011,2144,2282,2411,2545,2681,2817,2948,3082,3216,3354,3485,3620,3758,3890,4023
5,0,0,0.2691454406661794,0.2695207455564577,0.25,139,271,408,543,676,805,946,1081,1205,1340,1473,1616,1745,1874,2010,2143,2282,2411,2544,2680,2817,2947,3081,3216,3354,3485,3619,3758,3890,4023
6,0,0,0.26175326504078233,0.2621485326997291,0.26,139,270,409,543,676,804,947,1081,1205,1339,1472,1617,1746,1873,2010,2143,2281,2410,2543,2680,2818,2946,3080,3215,3353,3484,3619,3759,3890,4023
7,0,0,0.2545873164090637,0.25500749775672027,0.28,139,270,409,544,677,804,948,1082,1204,1338,1471,1618,1746,1872,2009,2142,2281,2409,2542,2679,2818,2946,3080,3214,3353,3484,3618,3759,3890,4023
8,0,0,0.24763177696632752,0.24808345735175438,0.29,139,270,409,544,677,803,948,1083,1203,1337,1470,1618,1746,1871,2008,2141,2281,2408,2541,2679,2818,2945,3079,3214,3353,3483,3618,3760,3890,4023
9,0,0,0.2408662874341644,0.24135640811880907,0.31,140,270,410,545,678,803,949,1084,1203,1337,1469,1619,1746,1870,2007,2141,2282,2407,2541,2678,2819,2944,3078,3213,3353,3483,3617,3760,3890,4022
10,0,0,0.23428080573312707,0.2348058792995325,0.32,140,270,410,545,678,802,950,1085,1202,1336,1469,1619,1745,1869,2007,2140,2282,2406,2540,2678,2819,2944,3078,3212,3352,3482,3617,3760,3890,4022
11,0,0,0.2278679039122822,0.22841942221190117,0.33,140,270,410,546,679,802,950,1085,1202,1335,1468,1619,1745,1868,2006,2140,2282,2406,2539,2677,2820,2943,3077,3211,3352,3482,3616,3761,3890,4022
12,0,0,0.2216286621522708,0.22221059704628998,0.35,140,270,411,546,680,801,951,1086,1201,1335,1467,1619,1745,1868,2005,2139,2282,2405,2538,2677,2820,2943,3076,3211,3351,3481,3616,3761,3890,4022
13,0,0,0.21556080885478435,0.2161780107438725,0.36,140,270,411,546,680,801,952,1087,1201,1334,1467,1620,1745,1867,2004,2139,2282,2405,2538,2676,2821,2942,3076,3210,3351,3481,3616,3761,3890,4022
14,0,0,0.20968186217402343,0.21034009542706428,0.38,140,270,411,547,681,800,952,1088,1200,1333,1466,1620,1745,1866,2003,2138,2282,2404,2537,2676,2822,2942,3075,3209,3350,3480,3615,3762,3890,4022
15,0,0,0.20401779536567985,0.2047167091058267,0.39,140,270,412,547,681,800,953,1088,1199,1333,1465,1620,1745,1865,2002,2138,2281,2403,2537,2676,2823,2942,3074,3209,3350,3480,3615,3762,3890,4021
16,0,0,0.19860453446562037,0.19933975509106655,0.4,141,270,412,548,682,799,954,1089,1199,1332,1465,1620,1744,1864,2000,2138,2281,2403,2537,2675,2823,2942,3073,3208,3350,3480,3615,3762,3889,4021
17,0,0,0.19345223480086343,0.1942180103217331,0.42,141,270,412,548,682,799,954,1090,1198,1332,1464,1620,1744,1864,1999,2137,2281,2402,2537,2675,2824,2942,3073,3207,3349,3479,3614,3763,3889,4021
18,0,0,0.18857546173270798,0.18937150435793762,0.43,141,270,412,548,683,799,955,1091,1197,1331,1464,1620,1744,1863,1998,2137,2281,2401,2537,2674,2825,2942,3072,3206,3349,3479,3614,3763,3889,4021
19,0,0,0.18399143772378226,0.184810683742367,0.44,141,271,413,549,684,799,955,1091,1197,1331,1463,1620,1744,1862,1997,2137,2282,2400,2537,2674,2825,2941,3071,3206,3348,3479,3614,3764,3889,4021
20,0,0,0.17972304158533325,0.1805692784940748,0.46,141,271,413,549,684,798,956,1092,1196,1331,1463,1621,1745,1862,1996,2137,2282,2399,2537,2673,2826,2941,3071,3205,3348,3478,3614,3764,3888,4020
21,0,0,0.17579664586779284,0.1766810224028481,0.47,141,271,413,549,685,798,956,1093,1195,1331,1463,1621,1745,1861,1995,2137,2282,2398,2538,2673,2827,2941,3070,3204,3347,3478,3613,3764,3888,4020
22,0,0,0.1722330838995722,0.1731599599695198,0.48,141,271,413,550,685,798,957,1093,1195,1330,1463,1621,1745,1860,1994,2136,2282,2398,2538,2673,2827,2941,3070,3203,3347,3478,3613,3764,3888,4020
23,0,0,0.16903498370143913,0.1699998008239505,0.5,141,271,414,550,686,798,957,1094,1194,1330,1462,1621,1745,1860,1993,2136,2282,2397,2538,2672,2828,2941,3069,3203,3346,3478,3613,3765,3887,4020
24,0,0,0.16619582213940204,0.16719946907551786,0.51,142,272,414,550,686,797,958,1095,1193,1330,1462,1621,1745,1859,1992,2136,2282,2396,2538,2672,2829,2941,3069,3202,3346,3477,3613,3765,3887,4020
25,0,0,0.1636966076647953,0.16473911046738066,0.53,142,272,414,551,687,797,958,1095,1193,1330,1462,1621,1745,1859,1991,2136,2282,2395,2539,2671,2830,2941,3068,3201,3345,3477,3613,3765,3887,4020
26,0,0,0.16151422384384462,0.16260162554870594,0.54,142,272,414,551,687,797,958,1096,1192,1330,1462,1621,1746,1859,1990,2136,2282,2394,2539,2671,2830,2941,3068,3201,3345,3477,3612,3765,3886,4019
27,0,0,0.15962649748830893,0.16075073372427226,0.55,142,272,415,551,688,797,959,1097,1191,1330,1462,1621,1746,1858,1989,2136,2282,2393,2538,2671,2831,2942,3067,3200,3344,3476,3612,3766,3886,4019
28,0,0,0.15802294277936557,0.15917467331741178,0.57,142,273,415,552,688,797,959,1097,1191,1330,1462,1621,1746,1858,1988,2136,2282,2392,2538,2670,2832,2942,3067,3199,3344,3476,3612,3766,3886,4019
29,0,0,0.15668408773097625,0.15786580634852118,0.58,142,273,415,552,689,797,959,1098,1190,1330,1462,1621,1747,1857,1988,2136,2282,2392,2538,2670,2832,2942,3066,3199,3343,3476,3612,3766,3885,4019
30,0,0,0.15558497646723599,0.15678415191721806,0.59,142,273,415,552,690,797,959,1098,1189,1330,1462,1621,1747,1857,1987,2136,2281,2391,2537,2670,2833,2942,3066,3198,3343,3476,3612,3766,3885,4019
31,0,0,0.1546983204534678,0.15590574368318,0.61,143,274,415,552,690,797,960,1099,1189,1331,1462,1621,1748,1857,1986,2136,2281,2390,2537,2669,2834,2942,3065,3198,3342,3475,3612,3766,3885,4018
32,0,0,0.15400118199504823,0.15521325438547226,0.62,143,274,416,553,690,797,960,1099,1188,1331,1462,1621,1748,1856,1986,2136,2281,2389,2536,2669,2834,2942,3065,3197,3342,3475,3612,3766,3884,4018
33,0,0,0.15346262334767538,0.15467459282826862,0.63,143,274,416,553,691,797,960,1100,1188,1331,1462,1621,1749,1856,1986,2136,2281,2388,2535,2669,2835,2942,3065,3197,3341,3475,3611,3766,3884,4018
34,0,0,0.1530530994312061,0.154266656258404,0.65,143,274,416,553,691,797,961,1100,1187,1331,1462,1621,1749,1856,1985,2136,2281,2387,2534,2668,2836,2942,3064,3197,3341,3475,3611,3766,3884,4018
35,0,0,0.1527383535505984,0.15394517798370702,0.66,143,275,416,553,692,797,961,1101,1187,1331,1462,1621,1750,1856,1985,2136,2281,2386,2533,2668,2836,2942,3064,3196,3340,3474,3611,3767,3883,4018
36,0,0,0.15249274377288038,0.1536943950258242,0.67,143,275,416,554,692,797,961,1101,1186,1332,1462,1621,1750,1855,1985,2136,2281,2386,2532,2668,2837,2942,3063,3196,3340,3474,3611,3767,3883,4017
37,0,0,0.15228662275601634,0.153487090499469,0.69,143,275,416,554,693,797,961,1102,1186,1332,1462,1621,1751,1855,1985,2136,2281,2385,2531,2668,2837,2942,3063,3196,3339,3474,3611,3767,3883,4017
