epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.20581519867152664,0.21177902841605947,0.14,697,1388,2080,2774,3466
1,0,0,0.2021990726466661,0.20820279899700472,0.15,698,1387,2079,2775,3467
2,0,0,0.1986081264613563,0.20465168894474622,0.16,698,1386,2078,2776,3468
3,0,0,0.1950536729538183,0.2011368082093761,0.17,699,1386,2077,2777,3468
4,0,0,0.19154801276594333,0.1976695033669834,0.18,699,1385,2077,2777,3469
5,0,0,0.18810773744938977,0.19426522813607805,0.19,700,1384,2076,2778,3469
6,0,0,0.1847486895487642,0.19093930449624225,0.2,700,1383,2075,2778,3470
7,0,0,0.18148199969086687,0.18770374711820417,0.21,701,1383,2074,2779,3470
8,0,0,0.17832457880972874,0.18457707387659938,0.22,702,1382,2073,2779,3471
9,0,0,0.17529229400419896,0.18157348622554145,0.23,702,1381,2072,2780,3472
10,0,0,0.17239711310573355,0.17870291186379447,0.24,703,1380,2072,2780,3472
11,0,0,0.1696430966816552,0.17597224667387215,0.25,703,1380,2071,2780,3473
12,0,0,0.16703631838539237,0.173385399218446,0.26,704,1379,2070,2780,3473
13,0,0,0.16457825156909317,0.17094040491610163,0.27,704,1378,2070,2780,3474
14,0,0,0.1622689048167472,0.16863735885624107,0.28,705,1377,2069,2780,3474
15,0,0,0.16011143848328788,0.1664801885543023,0.29,706,1376,2068,2780,3475
16,0,0,0.15810491904622037,0.16447427142502713,0.3,706,1376,2068,2780,3475
17,0,0,0.1562461137288307,0.16262152785832248,0.31,707,1375,2067,2780,3476
18,0,0,0.15453310881481258,0.1609111011945872,0.31,707,1374,2066,2780,3477
19,0,0,0.15296296065872841,0.15933441178212573,0.32,708,1373,2066,2780,3477
20,0,0,0.15153138268949365,0.15789037567602193,0.33,709,1373,2065,2780,3478
21,0,0,0.15023526923934608,0.15657877902145692,0.34,709,1372,2065,2779,3478
22,0,0,0.14907125653232434,0.1553952261299643,0.35,710,1371,2065,2779,3479
23,0,0,0.14803342028350241,0.15433404571331544,0.36,710,1371,2065,2779,3479
24,0,0,0.14711761929611375,0.15339119602923593,0.37,711,1370,2065,2779,3480
25,0,0,0.14631952546650584,0.15256369437063136,0.38,711,1369,2065,2778,3480
26,0,0,0.14563173099441828,0.15184405489402444,0.39,712,1369,2065,2778,3481
27,0,0,0.14504624451460482,0.15122443204722028,0.39,713,1368,2066,2778,3481
28,0,0,0.1445543683094978,0.15069754975340316,0.4,713,1368,2066,2778,3481
29,0,0,0.1441471240534938,0.15025478272037995,0.41,714,1367,2067,2777,3482
30,0,0,0.14381412495984452,0.14988691641980503,0.42,714,1367,2068,2777,3482
31,0,0,0.14354474818276716,0.14958365794530018,0.43,715,1367,2068,2777,3483
32,0,0,0.14332806611733062,0.14933402591831918,0.44,715,1366,2069,2777,3483
33,0,0,0.14315307647894787,0.14912629308923336,0.45,716,1366,2070,2776,3483
34,0,0,0.14300951949650487,0.14895086233592747,0.46,716,1366,2071,2776,3484
35,0,0,0.14288716594123718,0.14879835336630348,0.46,717,1365,2072,2776,3484
36,0,0,0.14277798871093517,0.1486605173524512,0.47,717,1365,2073,2776,3484
37,0,0,0.1426724422411389,0.1485292439785775,0.48,718,1365,2074,2775,3484
38,0,0,0.14256426992116258,0.1483964110273993,0.49,718,1365,2075,2775,3485
39,0,0,0.14244746400481093,0.1482555629641778,0.5,719,1365,2076,2775,3485
40,0,0,0.14231743560955679,0.14810409874265457,0.51,719,1365,2077,2775,3485
