epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5
0,0.015672306322350844,0.01282051282051282,-0.0008559524379276873,0.0,0.01,22,43,65,86,108
1,0.015672306322350844,0.01282051282051282,-0.00336884297776896,-0.00029666640643299935,0.01,22,43,65,86,108
2,0.014425645592163847,0.01282051282051282,-0.008164130186264051,-0.0038704420452231325,0.02,22,43,65,86,108
3,0.013000890471950133,0.009615384615384616,-0.015190472121853427,-0.013466208332019391,0.02,22,43,65,86,108
4,0.011041852181656278,0.00641025641025641,-0.02845211699197603,-0.025967413441954967,0.03,22,43,65,86,108
5,0.006945681211041852,0.009615384615384616,-0.045320047641843164,-0.035492758059578966,0.03,22,43,65,86,108
6,0.005520926090828139,0.00641025641025641,-0.0613450158996145,-0.053026962585533965,0.04,22,44,65,86,108
7,0.00819234194122885,0.011217948717948718,-0.07523822318560236,-0.06143514076818746,0.04,22,44,65,86,108
8,0.013357079252003561,0.014423076923076924,-0.0815938539992418,-0.07351460221550865,0.05,22,44,65,86,108
9,0.020837043633125555,0.019230769230769232,-0.08560148305277693,-0.07963971299170525,0.05,22,44,65,86,108
10,0.028495102404274265,0.02403846153846154,-0.08687938185129584,-0.08731330472103016,0.06,22,44,65,86,108
11,0.04113980409617097,0.04006410256410257,-0.08533968069332709,-0.0850315254119205,0.06,22,44,65,86,108
12,0.06340160284951024,0.05448717948717949,-0.0775969611686762,-0.08452048499416742,0.07,22,44,65,86,108
13,0.1018699910952805,0.09455128205128205,-0.05715261932549587,-0.06137784039593952,0.07,21,44,65,86,108
14,0.1474621549421193,0.16025641025641027,-0.026274085497904887,-0.013935661525294574,0.08,21,44,65,86,108
15,0.18664292074799643,0.19230769230769232,-0.00020621397154840793,0.0007434944237918462,0.08,21,44,65,86,108
16,0.19073909171861086,0.1955128205128205,0.0,0.0,0.09,21,44,65,86,108
17,0.19073909171861086,0.1955128205128205,0.0,0.0,0.1,21,44,65,86,108
18,0.19073909171861086,0.1955128205128205,0.0,0.0,0.1,21,44,65,86,108
19,0.19073909171861086,0.1955128205128205,0.0,0.0,0.11,21,44,66,86,108
20,0.19056099732858414,0.1955128205128205,-0.00024359213544289382,0.0,0.11,21,44,66,86,108
21,0.19073909171861086,0.1955128205128205,-0.0003528642382286673,-0.0002267088579299692,0.12,21,44,66,86,108
22,0.18949243098842386,0.1971153846153846,-0.00428002244845338,-0.0002751665397489056,0.12,21,44,66,86,108
23,0.17916295636687443,0.1842948717948718,-0.023765999598081677,-0.024627236420179166,0.13,21,44,66,86,108
24,0.16046304541406944,0.16666666666666666,-0.062317938489683034,-0.061283496269743054,0.13,21,44,66,86,108
25,0.16170970614425645,0.17307692307692307,-0.10923409150161789,-0.09771888136205731,0.14,21,44,66,86,108
26,0.20712377560106857,0.21634615384615385,-0.1286748615986062,-0.11103181596405487,0.14,21,44,66,86,108
27,0.3248441674087266,0.3157051282051282,-0.03161931859073008,-0.02919386612074626,0.15,21,44,66,86,108
28,0.3421193232413179,0.3317307692307692,-0.027822368745430204,-0.02080783353733162,0.15,21,44,66,86,108
29,0.34781834372217274,0.3333333333333333,-0.02943570738537593,-0.025006811424239217,0.16,21,44,66,86,108
30,0.3522707034728406,0.3349358974358974,-0.02621146993767831,-0.023108438590183855,0.16,21,44,66,86,108
31,0.35476402493321463,0.33814102564102566,-0.023424188015311875,-0.019591707548662907,0.17,21,44,66,86,108
32,0.35654496883348175,0.33653846153846156,-0.02190242645343221,-0.02285361334156888,0.17,21,44,66,85,108
33,0.36028495102404273,0.3349358974358974,-0.01703738874606131,-0.025665399239543696,0.18,21,44,66,85,108
34,0.36188780053428315,0.33653846153846156,-0.015182619179932466,-0.023534445870774467,0.18,21,44,66,85,108
35,0.3634906500445236,0.3349358974358974,-0.013191168903346817,-0.026348330638257478,0.19,21,44,66,85,108
36,0.36420302760463047,0.33653846153846156,-0.012615749867484594,-0.023988837976248956,0.19,21,44,66,85,108
37,0.36634016028495103,0.33814102564102566,-0.009791579234782022,-0.022082619455549235,0.2,21,44,66,85,108
38,0.3672306322350846,0.34134615384615385,-0.008751318449392365,-0.017472030468935973,0.2,21,44,66,85,108
39,0.36812110418521815,0.34455128205128205,-0.0075766430394008655,-0.012745829431278999,0.21,21,44,66,85,108
40,0.3684772929652716,0.34615384615384615,-0.007409452991287813,-0.010381941137251216,0.22,21,44,66,85,108
41,0.36812110418521815,0.34455128205128205,-0.008401277097783488,-0.012970930509470069,0.22,21,44,66,85,108
42,0.3684772929652716,0.34615384615384615,-0.008167350557779063,-0.010718879519794333,0.23,21,44,66,85,108
43,0.36812110418521815,0.34615384615384615,-0.008936896990897614,-0.010831242257726581,0.23,21,44,66,85,108
44,0.3684772929652716,0.34935897435897434,-0.008792358288156832,-0.006323683625154786,0.24,21,44,66,85,108
45,0.36883348174532504,0.34935897435897434,-0.008357338933775882,-0.006435619964723083,0.24,21,44,66,85,108
46,0.3693677649154052,0.34775641025641024,-0.0076822747398970215,-0.009026762443582692,0.25,21,44,66,85,108
47,0.370080142475512,0.34775641025641024,-0.006789251400463492,-0.009251311397234119,0.25,21,44,66,85,108
48,0.37150489759572575,0.34775641025641024,-0.004311853756014727,-0.009139024429009712,0.26,21,44,66,85,108
49,0.3761353517364203,0.34935897435897434,0.004013952370837126,-0.006211772182063813,0.26,21,44,67,85,108
50,0.38147818343722173,0.35096153846153844,0.013983698713135984,-0.0036218070911169242,0.27,21,44,67,85,108
51,0.39180765805877116,0.3557692307692308,0.03295045849461986,0.0049189172035161155,0.27,21,44,67,85,108
52,0.4028495102404274,0.36698717948717946,0.05436298003694828,0.02462960617956189,0.28,21,44,67,85,108
53,0.39287622439893144,0.38301282051282054,0.047993541198928624,0.05341297735188899,0.29,21,44,67,85,108
