epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.1829645861014238,0.19605997106193712,0.01,264,524,784,1042,1303,1563,1820,2080,2342,2601,2859,3119,3379,3639,3899
1,0,0,0.17977870823923162,0.1932003542573763,0.01,264,524,784,1042,1304,1564,1820,2079,2343,2602,2858,3118,3379,3640,3899
2,0,0,0.17682038564279776,0.1905444557408604,0.02,265,525,785,1042,1305,1565,1819,2079,2344,2603,2857,3117,3379,3640,3899
3,0,0,0.1740645825588487,0.18803751907561547,0.02,265,525,786,1042,1306,1566,1818,2078,2345,2604,2857,3116,3379,3641,3899
4,0,0,0.17148221173149356,0.1856624243479604,0.03,265,526,786,1042,1307,1567,1818,2077,2345,2605,2856,3116,3379,3641,3900
5,0,0,0.16912439259612466,0.18344788133661563,0.03,265,526,787,1043,1307,1568,1817,2077,2346,2606,2855,3115,3379,3642,3900
6,0,0,0.16700845494146535,0.18142128077951716,0.03,266,527,787,1043,1308,1569,1817,2076,2346,2607,2855,3114,3379,3642,3900
7,0,0,0.16507885808642012,0.1795794016720418,0.04,266,527,788,1044,1309,1569,1816,2076,2346,2607,2854,3114,3379,3643,3900
8,0,0,0.16328233896467306,0.177864016945767,0.04,266,527,789,1045,1310,1570,1816,2075,2346,2608,2853,3113,3379,3643,3900
9,0,0,0.1615970282486751,0.1762412886039253,0.04,266,528,789,1045,1311,1571,1815,2075,2346,2609,2853,3112,3379,3643,3900
10,0,0,0.16003737457368503,0.1747195713240195,0.05,267,528,790,1046,1312,1572,1815,2074,2345,2609,2852,3111,3379,3644,3900
11,0,0,0.15857685943445812,0.17329281988464929,0.05,267,529,791,1047,1313,1572,1814,2074,2345,2610,2851,3111,3379,3644,3899
12,0,0,0.15719249308829344,0.171933608466246,0.06,267,529,791,1048,1313,1573,1813,2074,2344,2610,2850,3110,3379,3644,3899
13,0,0,0.15587409220074,0.17063932666960538,0.06,267,530,792,1048,1314,1574,1813,2073,2344,2611,2850,3109,3379,3644,3899
14,0,0,0.15461461633218737,0.16939997270751653,0.06,268,530,793,1049,1315,1574,1812,2073,2343,2611,2849,3109,3379,3645,3899
15,0,0,0.15340645915079537,0.16822782209368844,0.07,268,531,793,1050,1316,1575,1811,2073,2342,2612,2848,3108,3379,3645,3899
16,0,0,0.15224638297180149,0.16710901913954987,0.07,268,531,794,1051,1317,1575,1810,2073,2342,2612,2848,3108,3379,3645,3898
