epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0,0,0.15557299813710207,0.16264487488773993,0.02,164,324,484,644,804,964,1123,1283,1441,1603,1761,1920,2082,2240,2402,2559,2719,2879,3039,3199,3359,3518,3678,3838,3998
1,0,0,0.15378627917983329,0.1610710141133869,0.03,164,324,484,644,804,964,1124,1284,1440,1604,1760,1919,2082,2239,2403,2558,2718,2878,3038,3198,3358,3518,3678,3838,3998
2,0,0,0.1519882259671254,0.15950991305724296,0.04,164,325,485,645,805,965,1125,1285,1439,1605,1760,1918,2081,2239,2404,2557,2717,2877,3037,3197,3357,3517,3677,3838,3998
3,0,0,0.15020177179939495,0.1579694140143923,0.05,165,325,485,645,806,966,1126,1286,1438,1606,1759,1917,2081,2239,2405,2556,2716,2876,3036,3196,3357,3517,3677,3837,3997
4,0,0,0.1484381462384261,0.15646004863396432,0.06,165,325,486,646,806,966,1127,1287,1438,1607,1758,1916,2081,2240,2406,2555,2715,2875,3036,3196,3356,3516,3676,3837,3997
5,0,0,0.1467141447471852,0.15500035654111585,0.07,165,326,486,647,807,967,1127,1288,1437,1608,1758,1915,2082,2240,2407,2554,2714,2875,3035,3195,3355,3516,3676,3837,3997
6,0,0,0.1450473488994411,0.1535978781222022,0.07,165,326,486,647,807,968,1128,1288,1436,1609,1757,1914,2082,2240,2408,2554,2713,2874,3034,3194,3354,3515,3676,3837,3997
7,0,0,0.143446407872602,0.15225547898625308,0.07,165,326,487,648,808,969,1129,1289,1435,1610,1757,1914,2082,2240,2409,2553,2712,2873,3033,3193,3354,3514,3675,3837,3997
8,0,0,0.1419172713769811,0.15098973250099368,0.08,165,326,487,648,809,969,1130,1290,1434,1610,1756,1913,2082,2240,2410,2552,2712,2872,3032,3193,3353,3514,3675,3836,3997
9,0,0,0.14046807938183345,0.14980547878648248,0.08,166,327,488,649,809,970,1131,1291,1433,1611,1756,1912,2081,2240,2411,2551,2711,2871,3031,3192,3352,3513,3674,3836,3996
