epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.13472601405181697,0.1631954134045461,0.01,696,1390,2080,2772,3465
1,0,0,0.13351876736732646,0.1615605658741918,0.01,695,1391,2079,2772,3464
2,0,0,0.13264936357378568,0.16027795424060026,0.02,695,1391,2078,2771,3464
3,0,0,0.13202590677634016,0.15931646637227387,0.02,694,1392,2077,2770,3463
4,0,0,0.13154681256065423,0.15856383844937674,0.03,694,1393,2076,2769,3463
5,0,0,0.13111153547879797,0.15797940082470652,0.03,693,1394,2075,2768,3462
6,0,0,0.13065452341290595,0.1575134988044735,0.03,693,1395,2074,2767,3462
7,0,0,0.13014704851503545,0.15715574956310951,0.04,692,1395,2073,2766,3461
8,0,0,0.12959127763128808,0.15684436761187623,0.04,692,1396,2072,2765,3460
9,0,0,0.12901773833421637,0.15656241535900212,0.04,691,1397,2071,2764,3460
10,0,0,0.128432907569997,0.15630947411654011,0.05,691,1397,2070,2763,3459
11,0,0,0.12787206094427603,0.1560893066927034,0.05,691,1398,2070,2762,3459
12,0,0,0.1273463907143543,0.15589252348874905,0.05,690,1398,2070,2761,3458
13,0,0,0.1268640058668075,0.15571036733004534,0.06,690,1399,2070,2760,3457
14,0,0,0.12641738678684755,0.1555405963529108,0.06,689,1399,2070,2760,3457
15,0.0028797392586213943,0,0.12598499742997846,0.15534423917333845,0.07,689,1400,2071,2759,3456
16,0.009658339937470672,0,0.12555603691811032,0.15508182266592985,0.07,688,1400,2071,2758,3455
17,0.016476859128241927,0,0.1251230602690449,0.15476786279191823,0.07,688,1400,2072,2757,3455
18,0.023438036166546383,0.002366291036424606,0.12467946738945487,0.1544013575010586,0.08,687,1401,2073,2756,3454
19,0.03051404709474559,0.007908335082439155,0.12422694383143698,0.1539718730076334,0.08,686,1401,2074,2755,3454
20,0.03758494605495011,0.013938094526353972,0.12377309313394347,0.1535032602237323,0.08,686,1402,2075,2754,3453
21,0.044441445058479356,0.02021287070567579,0.12333141080610671,0.15301407766869618,0.09,685,1402,2076,2753,3452
22,0.05095664181044113,0.026542376455344296,0.12291024206095764,0.15251902132343523,0.09,684,1402,2077,2752,3452
23,0.05705578375290976,0.032638209528994544,0.12251465606354954,0.15204074265424114,0.09,684,1403,2078,2751,3451
24,0.0628070714663771,0.038365960802834276,0.12214045607399114,0.1515899618576289,0.1,683,1403,2079,2750,3450
25,0.0682573602476908,0.04367088240066508,0.12178478417078323,0.15117124981221092,0.1,683,1404,2080,2749,3450
26,0.07353098436937877,0.048548457605516626,0.12143965124810466,0.15078524426125922,0.1,682,1404,2081,2747,3449
27,0.07872772163115316,0.05301644292275298,0.12109857980263937,0.150430791618517,0.11,681,1405,2082,2746,3448
28,0.08390568925005581,0.057075761241966116,0.12075778670976117,0.15010802233807122,0.11,681,1405,2083,2745,3448
29,0.0889830546485686,0.06079184641432889,0.12042267263288636,0.14981194420139687,0.12,680,1405,2084,2744,3447
30,0.09387892850710089,0.06420412132439668,0.12009866695751131,0.14953955198777535,0.12,679,1406,2086,2743,3446
31,0.09857519814045057,0.06742500397282158,0.11978702994025202,0.1492819794410834,0.12,678,1406,2087,2742,3446
