epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5
0,0.3839031339031339,0.3685897435897436,0.16549086274303337,0.1587649184276798,0.01,22,43,65,86,108
1,0.3837250712250712,0.3701923076923077,0.1637264108019989,0.15950810907146684,0.02,22,43,65,86,108
2,0.37962962962962965,0.36538461538461536,0.15639758810645776,0.15155677026822867,0.02,22,43,65,86,108
3,0.3767806267806268,0.3605769230769231,0.15067242322024266,0.14357654893435512,0.03,22,43,65,86,108
4,0.37535612535612534,0.36217948717948717,0.14652419288493768,0.14481694719153748,0.04,22,43,65,86,108
5,0.37446581196581197,0.3557692307692308,0.14321590472741919,0.13386000773437923,0.05,22,43,65,86,108
6,0.3733974358974359,0.34294871794871795,0.13958160652790574,0.11460568391035308,0.06,22,43,65,86,108
7,0.37286324786324787,0.34134615384615385,0.1366642552661399,0.11122816745217623,0.06,22,43,65,86,108
8,0.36912393162393164,0.33974358974358976,0.1292421599253697,0.10756883600161071,0.07,22,43,65,86,108
9,0.36413817663817666,0.33814102564102566,0.12025803296581972,0.10458215779745106,0.08,22,43,65,86,108
10,0.3605769230769231,0.3349358974358974,0.11322900182938056,0.0991442287622627,0.08,22,43,65,86,108
11,0.35505698005698005,0.3349358974358974,0.10358138616809232,0.0979015132514004,0.09,22,43,65,86,108
12,0.35274216524216523,0.3333333333333333,0.09897978599459045,0.09392234338131611,0.1,22,43,64,86,108
13,0.34971509971509973,0.3301282051282051,0.09362704527544496,0.08872646980728649,0.1,22,43,64,86,108
14,0.3475783475783476,0.3349358974358974,0.08992444440100289,0.09415270956638544,0.11,22,43,64,86,108
15,0.34455128205128205,0.3333333333333333,0.0848788985450224,0.0911306247636654,0.12,22,43,64,86,108
16,0.343482905982906,0.3333333333333333,0.08291552032169669,0.09043000504569154,0.13,22,43,64,86,108
17,0.3438390313390313,0.3317307692307692,0.08310626564166357,0.08810294797930951,0.13,22,43,64,86,108
18,0.343482905982906,0.3317307692307692,0.082277902874204,0.08810294797930951,0.14,22,43,64,86,108
19,0.34277065527065526,0.3317307692307692,0.08109297357600842,0.08782163640187901,0.15,22,43,64,86,108
20,0.3422364672364672,0.3317307692307692,0.08010917102889181,0.08782163640187901,0.16,22,43,64,86,108
21,0.34134615384615385,0.3317307692307692,0.0787216494680768,0.08782163640187901,0.17,22,43,64,86,109
22,0.34045584045584043,0.3317307692307692,0.07733369882189833,0.08782163640187901,0.17,22,43,64,86,109
23,0.33974358974358976,0.3317307692307692,0.0760753890162793,0.08782163640187901,0.18,22,43,64,86,109
24,0.3402777777777778,0.3317307692307692,0.07682290083746357,0.08796231388273568,0.19,22,43,64,86,109
25,0.3399216524216524,0.3333333333333333,0.07630074868912518,0.09028975146137352,0.2,22,43,64,86,109
26,0.3400997150997151,0.3349358974358974,0.07652611998112302,0.09261647137971629,0.2,22,42,64,86,109
27,0.34152421652421655,0.3349358974358974,0.07878081811823745,0.09261647137971629,0.21,22,42,64,86,109
28,0.3420584045584046,0.3349358974358974,0.0795518781805864,0.09261647137971629,0.22,22,42,64,86,109
29,0.34277065527065526,0.3349358974358974,0.08071414116968678,0.09247655494343754,0.23,22,42,64,86,109
30,0.34294871794871795,0.3333333333333333,0.08103423824878608,0.09043000504569154,0.24,22,42,64,86,109
31,0.3433048433048433,0.3317307692307692,0.08153232267249955,0.08824353871166679,0.25,22,42,64,86,109
32,0.3438390313390313,0.3317307692307692,0.08239765721192271,0.08824353871166679,0.26,22,42,64,86,109
33,0.344017094017094,0.3317307692307692,0.08264666734565085,0.08824353871166679,0.26,22,42,64,86,109
34,0.3450854700854701,0.3333333333333333,0.08432943831280393,0.09057021538978971,0.27,22,42,64,86,109
35,0.3450854700854701,0.3333333333333333,0.08430585379516387,0.09057021538978971,0.28,22,42,64,86,109
36,0.3457977207977208,0.3333333333333333,0.08541949695551088,0.09057021538978971,0.28,22,42,64,86,109
37,0.34597578347578345,0.3333333333333333,0.08576260842336625,0.09071038251366115,0.29,22,42,64,86,109
38,0.34597578347578345,0.3333333333333333,0.08585676731212732,0.0908505064372872,0.3,23,42,64,86,109
39,0.34597578347578345,0.3333333333333333,0.08597443865212706,0.0908505064372872,0.3,23,42,64,86,109
40,0.34597578347578345,0.3333333333333333,0.08597443865212706,0.09099058718063646,0.31,23,42,64,86,109
41,0.3466880341880342,0.3333333333333333,0.0870403495113573,0.09099058718063646,0.32,23,42,63,86,109
42,0.3474002849002849,0.3349358974358974,0.08815303879876324,0.09345506483322596,0.32,23,42,63,86,109
43,0.34793447293447294,0.33653846153846156,0.08908700489699306,0.09577878893944691,0.33,23,42,63,86,109
44,0.34775641025641024,0.33653846153846156,0.0890023628961577,0.09577878893944691,0.34,23,42,63,86,109
45,0.34811253561253563,0.33653846153846156,0.08964030606066331,0.09577878893944691,0.34,23,42,63,86,109
46,0.34971509971509973,0.33653846153846156,0.09213519115345792,0.09577878893944691,0.35,23,42,63,86,109
47,0.3507834757834758,0.3349358974358974,0.09383649787157566,0.09373425163782978,0.36,23,42,63,86,109
48,0.35096153846153844,0.3333333333333333,0.09424805622565291,0.09224937404708289,0.36,23,42,63,86,109
49,0.35113960113960113,0.3349358974358974,0.09468273579022846,0.09471005271768762,0.37,23,42,63,86,109
50,0.3523860398860399,0.3349358974358974,0.09670042163490333,0.09471005271768762,0.38,23,42,63,86,109
51,0.3525641025641026,0.33653846153846156,0.09718075903967638,0.09703036742911464,0.38,23,42,63,86,109
52,0.35345441595441596,0.33974358974358976,0.0985380422661637,0.10166885640007817,0.39,23,42,63,86,109
53,0.3538105413105413,0.34134615384615385,0.099173402122269,0.10412474849094555,0.4,23,42,63,86,109
54,0.35505698005698005,0.33974358974358976,0.1013264227452445,0.10208301317425506,0.4,23,42,63,86,109
55,0.35523504273504275,0.33974358974358976,0.10173593844100459,0.1022209805838804,0.41,23,42,63,86,109
56,0.3561253561253561,0.33974358974358976,0.10341348213854062,0.10235890560187721,0.42,23,42,63,86,109
57,0.3573717948717949,0.33974358974358976,0.10553918331029533,0.10249678824777964,0.42,23,42,63,86,109
58,0.3573717948717949,0.33974358974358976,0.10588306499943079,0.10249678824777964,0.43,23,42,63,86,109
59,0.35915242165242167,0.33974358974358976,0.10884018712430898,0.10263462854111116,0.44,23,42,63,86,109
60,0.35986467236467234,0.34134615384615385,0.11012698247728292,0.10495016333026219,0.44,23,42,63,86,109
61,0.36182336182336183,0.34134615384615385,0.11323586322793311,0.10508758461860568,0.45,23,42,63,86,109
62,0.36235754985754987,0.34134615384615385,0.11418220085920061,0.10549959541281839,0.46,23,42,62,86,109
63,0.36235754985754987,0.34294871794871795,0.11483911608277564,0.10836016895989287,0.46,23,42,62,86,109
64,0.3630698005698006,0.34455128205128205,0.11684413447508646,0.1109439010116211,0.47,23,42,62,86,109
65,0.3630698005698006,0.34615384615384615,0.11754288597509377,0.11366104999303717,0.47,23,42,62,86,109
66,0.3652065527065527,0.34615384615384615,0.12131067304545007,0.11447492904446555,0.48,23,42,62,86,109
67,0.36698717948717946,0.34935897435897434,0.12482430079222184,0.11922012543631544,0.49,23,42,62,86,109
