epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.009878327912299723,0.007583965330444204,0.0019522122285179355,0.0014008083585501652,0.01,13,25,37,50,62,74,87,99,112,124,136,149,161,173,186
1,0.011926273942898446,0.009750812567713976,0.002047753835795252,0.0017571739436544886,0.02,13,25,37,50,62,74,87,99,112,124,136,148,161,173,186
2,0.014697024454884954,0.010834236186348862,0.0033440162271984875,0.0016041646673845555,0.03,13,25,37,50,62,74,87,99,112,124,136,148,161,173,186
3,0.016624503071919046,0.010834236186348862,0.003966095984647144,0.0007186012178274082,0.04,13,25,37,50,62,74,87,99,112,124,136,148,161,173,186
4,0.01903385134321166,0.011917659804983749,0.00459221469822646,0.00015678672729091403,0.05,13,25,37,50,62,74,87,99,112,124,136,148,161,173,186
5,0.045295747500301166,0.03791982665222102,0.009271672322649471,0.0007838910988738901,0.07,13,25,37,50,62,74,87,99,112,124,136,148,161,173,186
6,0.16299241055294542,0.15926327193932827,0.07755762339205707,0.07491020307472929,0.08,13,25,38,50,62,74,87,99,112,124,136,148,161,173,186
7,0.21009516925671606,0.2112676056338028,0.08854022593058275,0.09257088530328494,0.09,13,25,38,50,62,74,87,99,112,124,137,148,161,173,186
8,0.22780387905071678,0.2372697724810401,0.08465363604516718,0.0946252290286399,0.1,13,25,38,50,62,74,87,100,112,124,137,148,161,173,186
9,0.23189977111191423,0.2372697724810401,0.08103481244270605,0.08456018055434256,0.11,13,25,38,50,62,74,87,100,112,124,137,148,161,173,186
10,0.23635706541380558,0.24052004333694474,0.08034033883823166,0.08185659876147278,0.12,13,25,38,50,62,74,87,100,112,124,137,148,161,173,185
11,0.24093482712926154,0.23943661971830985,0.0798259577931657,0.07501034989792854,0.12,13,25,38,50,62,74,87,100,112,124,137,148,161,173,185
12,0.2411757619563908,0.24160346695557963,0.0721879258124376,0.06849401967682023,0.13,13,25,38,50,62,74,87,100,112,124,137,148,161,173,185
13,0.24105529454282618,0.24160346695557963,0.06357249127825271,0.0624927448749798,0.14,13,25,38,50,62,74,87,100,111,124,137,148,161,173,185
14,0.2408143597156969,0.24160346695557963,0.055798764282236846,0.05702509734781913,0.15,13,25,38,50,62,74,86,100,111,125,137,148,161,173,185
15,0.2408143597156969,0.24160346695557963,0.04309236805422101,0.04338736519179631,0.16,13,25,38,50,62,74,86,100,111,125,137,148,161,173,185
16,0.2408143597156969,0.24160346695557963,0.030288898560128508,0.02934937413240868,0.16,13,25,38,50,62,74,86,100,111,125,137,148,161,173,185
17,0.2408143597156969,0.24160346695557963,0.020058923579738375,0.020199569318491983,0.17,13,25,38,50,62,74,86,100,111,125,137,148,161,173,185
18,0.2408143597156969,0.24160346695557963,0.012576409718608406,0.01522656952552226,0.18,13,25,38,50,62,74,86,100,111,125,137,148,161,173,185
19,0.2408143597156969,0.24160346695557963,0.008009419727942668,0.009866092089656164,0.19,13,25,38,50,62,74,86,100,111,125,137,148,161,173,185
20,0.2408143597156969,0.24160346695557963,0.004302749479414891,0.004106269768359483,0.19,13,25,38,50,62,74,86,100,111,125,137,148,161,173,185
21,0.2408143597156969,0.24160346695557963,0.0018539758075878376,0.0006867282041129741,0.2,13,25,38,50,62,74,86,100,111,125,137,148,161,173,185
22,0.2408143597156969,0.24160346695557963,0.0007197055069819713,0.0,0.21,13,25,38,50,62,74,86,100,111,125,137,148,161,173,185
23,0.2408143597156969,0.24160346695557963,0.0002652752415527315,0.0,0.22,13,25,38,50,62,74,86,100,111,125,137,148,161,173,185
24,0.2408143597156969,0.24160346695557963,0.00018949667790235658,0.0,0.22,13,26,38,50,62,74,86,100,111,125,137,148,161,173,185
25,0.2408143597156969,0.24160346695557963,0.00015160308797834698,0.0,0.23,13,26,38,50,62,74,86,100,111,125,137,148,160,174,185
26,0.2408143597156969,0.24160346695557963,0.00011370662555265643,0.0,0.24,13,26,38,50,62,74,86,101,111,125,137,147,160,174,185
27,0.2408143597156969,0.24160346695557963,0.00011370662555265643,0.0,0.25,13,26,38,50,62,74,86,101,111,125,137,147,160,174,185
28,0.2408143597156969,0.24160346695557963,7.580729029876832e-05,0.0,0.25,13,26,38,50,62,74,86,101,111,125,138,147,160,174,185
29,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.26,13,26,38,50,62,74,86,101,111,125,138,147,160,174,185
30,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.27,13,26,38,50,62,74,86,101,111,125,138,147,160,174,185
31,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.28,13,26,38,50,62,74,86,101,111,125,138,147,160,174,185
32,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.28,13,26,38,50,62,74,86,101,111,125,138,147,160,174,185
