epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5
0,0.023370678231538367,0.01733477789815818,0.0,0.0,0.01,33,66,99,132,165
1,0.023370678231538367,0.01733477789815818,0.0,0.0,0.02,33,66,99,132,165
2,0.023370678231538367,0.01733477789815818,0.0,0.0,0.03,33,66,99,132,165
3,0.023370678231538367,0.01733477789815818,0.0,0.0,0.04,33,66,99,132,165
4,0.023370678231538367,0.01733477789815818,0.0,0.0,0.05,33,66,99,132,165
5,0.022406938923021324,0.015167930660888408,-0.000982978838234283,-0.0022230291968188265,0.06,33,66,99,132,165
6,0.016985905312612938,0.010834236186348862,-0.00633770186504834,-0.006964036273212848,0.06,33,66,99,132,165
7,0.012769545837850862,0.009750812567713976,-0.009947013880446276,-0.00907980684926768,0.08,33,66,99,132,165
8,0.009155523430911939,0.007583965330444204,-0.012735456268337275,-0.012741500974448705,0.08,33,67,100,132,165
9,0.007228044813877846,0.0065005417118093175,-0.014319814518895857,-0.014491172850086498,0.09,33,67,100,132,165
10,0.006143838091796169,0.0065005417118093175,-0.015256484565209227,-0.014758758441925757,0.1,33,67,100,132,165
11,0.004095892061197446,0.0032502708559046588,-0.017223000506904063,-0.018310546582227305,0.11,33,67,100,132,165
12,0.003614022406938923,0.0032502708559046588,-0.017626866513164474,-0.01848398019068087,0.12,33,67,100,132,165
13,0.0019274786170340923,0.0010834236186348862,-0.01925671152942643,-0.020851127126858104,0.13,33,67,100,132,165
14,0.0014456089627755693,0.0,-0.019678416906139473,-0.0220834003181678,0.13,33,67,100,133,165
15,0.0014456089627755693,0.0,-0.01958399686000023,-0.02214839424141757,0.14,33,67,100,133,165
16,0.0019274786170340923,0.0,-0.019032620688376856,-0.022209716841108618,0.15,33,67,100,133,165
17,0.0038549572340681845,0.005417118093174431,-0.016952751210969952,-0.01682479413028304,0.16,33,67,100,133,165
18,0.011323936875075291,0.015167930660888408,-0.009145355234124963,-0.007119398470247562,0.16,33,67,100,133,165
19,0.01855198168895314,0.020585048754062838,-0.001552424283236098,-0.00189838991079605,0.17,33,67,100,133,165
20,0.019636188411034816,0.02275189599133261,-0.00033001017069844707,0.0001321073768759673,0.18,33,67,100,133,165
21,0.019877123238164075,0.02275189599133261,-2.8770270250833008e-05,3.002746912861287e-05,0.19,33,67,100,133,165
22,0.019877123238164075,0.02275189599133261,-9.017369274388898e-06,0.0,0.19,33,67,100,133,165
23,0.019877123238164075,0.02275189599133261,-3.864566918698742e-06,0.0,0.2,33,67,100,133,165
