epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.05130180086723979,0.05966965694460413,0.13317844520213665,0.13803634616356097,0.27,382,759,1136,1516,1893,2269,2649,3026,3403,3780
1,0.06366600653871246,0.07006065239752302,0.13230774836776812,0.13727154012841505,0.28,383,758,1135,1517,1894,2269,2649,3027,3403,3780
2,0.07290976790801396,0.07766258863108566,0.1316530442534581,0.13670932192310795,0.3,383,758,1135,1518,1895,2269,2650,3028,3403,3779
3,0.07961833162724574,0.08305516830773052,0.13117584705302854,0.1363090917204039,0.31,383,757,1134,1519,1896,2270,2651,3029,3402,3779
4,0.084333610784735,0.08675017770873894,0.13083938901497355,0.1360341780628052,0.32,384,756,1133,1519,1897,2270,2652,3029,3402,3779
5,0.08760067365170443,0.08925936003656398,0.1306057650261963,0.13584716771646155,0.34,384,756,1133,1520,1898,2270,2653,3030,3402,3779
6,0.08994739385371564,0.091082842165366,0.13043771248961442,0.1357111037636904,0.35,384,755,1133,1521,1899,2270,2653,3031,3401,3778
7,0.0919259647146845,0.09270614466271498,0.13029583533965922,0.1355898571849079,0.36,385,755,1133,1522,1900,2269,2654,3032,3401,3778
8,0.09400306684384341,0.0945714250144506,0.1301467193420492,0.13545040633403624,0.38,385,754,1134,1522,1901,2269,2655,3033,3400,3777
9,0.09648712625323319,0.09694604505061677,0.12996819206745414,0.13527267546167848,0.39,385,753,1134,1522,1902,2269,2655,3033,3400,3777
10,0.09948826005768296,0.09998801389603895,0.12975215793755557,0.1350446452497732,0.4,386,753,1134,1523,1902,2269,2656,3034,3399,3777
11,0.10294810632859086,0.10358236286787303,0.12950265793162324,0.13477471224236343,0.42,386,752,1135,1523,1903,2270,2656,3035,3399,3776
12,0.10669012819397461,0.10757210281037766,0.12923226168240617,0.13447445360587934,0.43,386,751,1135,1522,1904,2270,2657,3036,3398,3776
13,0.11050428356016406,0.11168261014026748,0.12895606985581076,0.13416440896194035,0.45,387,751,1136,1522,1905,2270,2657,3037,3398,3776
14,0.11418227465215391,0.11570150569491022,0.1286891930465526,0.1338605689646404,0.46,387,750,1136,1522,1906,2270,2657,3038,3397,3775
15,0.11757991417472824,0.11946663725320728,0.12844214556290903,0.13357528954947,0.47,387,749,1137,1521,1907,2270,2657,3039,3397,3775
16,0.12066040843468973,0.12292734949077255,0.12821776590659967,0.13331253922135947,0.49,388,749,1138,1521,1907,2270,2657,3040,3396,3774
17,0.12347117813096464,0.12613236085772772,0.1280126812043615,0.13306874911307526,0.5,388,748,1138,1520,1908,2269,2657,3040,3396,3774
18,0.12610570291560785,0.1291740049751552,0.1278201573440135,0.1328369566895091,0.52,388,747,1139,1520,1909,2269,2658,3041,3395,3774
19,0.12873613313203225,0.132134939629588,0.1276276422497038,0.13261092540580316,0.53,389,747,1140,1519,1910,2269,2658,3042,3395,3773
