algorithm,rows,columns,time,target_size,final_size,r2_train,r2_test,rmse_train,rmse_test,selected_features
fsdr,62,2151,22.92,2,2,0.95,0.26,0.04,0.02,796;1350
mi,62,2151,1.74,2,2,0.93,0.34,0.04,0.02,530;528
lasso,62,2151,0.11,2,2,0.93,-14.18,0.04,0.08,12;2144
fsdr,62,2151,5.98,5,5,0.95,0.41,0.04,0.02,463;745;1151;1350;1699
mi,62,2151,1.76,5,5,0.93,0.36,0.04,0.02,530;528;531;529;520
lasso,62,2151,0.06,5,5,0.95,-1.13,0.04,0.03,12;2144;962;934;947
fsdr,62,2151,9.44,10,10,0.95,-0.25,0.04,0.02,214;444;660;835;986;1226;1293;1562;1720;1916
mi,62,2151,1.73,10,10,0.93,0.35,0.04,0.02,530;528;531;529;520;521;523;534;533;522
lasso,62,2151,0.06,10,10,0.95,0.0,0.04,0.02,12;2144;962;934;947;995;935;933;198;948
fsdr,62,2151,17.1,20,20,0.95,0.42,0.04,0.01,118;272;362;520;643;678;886;984;1017;1064;1229;1300;1310;1414;1493;1581;1714;1800;1880;1983
mi,62,2151,1.73,20,20,0.93,0.38,0.04,0.02,530;528;531;529;520;521;523;534;533;522;527;532;524;526;525;535;519;536;454;512
lasso,62,2151,0.06,20,20,0.95,0.57,0.04,0.01,12;2144;962;934;947;995;935;933;198;948;961;998;963;994;991;992;993;997;959;964
fsdr,62,2151,24.87,30,30,0.95,-1.24,0.04,0.03,97;192;277;360;444;512;610;705;737;789;906;950;997;1006;1017;1146;1151;1165;1209;1240;1285;1409;1583;1589;1605;1676;1750;1858;1935;2031
mi,62,2151,1.72,30,30,0.93,0.45,0.04,0.01,530;528;531;529;520;521;523;534;533;522;527;532;524;526;525;535;519;536;454;512;432;433;537;518;430;431;429;428;286;434
lasso,62,2151,0.06,30,30,0.95,0.42,0.04,0.01,12;2144;962;934;947;995;935;933;198;948;961;998;963;994;991;992;993;997;959;964;996;965;941;969;936;970;966;958;990;967
