epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.42124,0.38902,1.12,196,389,583,775,969,1163,1355,1549,1742,1936
1,0,0,0.41877,0.38612,1.14,196,388,583,775,968,1164,1356,1548,1742,1936
2,0,0,0.41623,0.38307,1.17,196,388,584,774,968,1164,1356,1548,1742,1936
3,0,0,0.41362,0.38013,1.19,196,388,584,774,967,1165,1356,1548,1741,1935
4,0,0,0.411,0.37719,1.21,196,387,584,773,967,1165,1356,1547,1741,1935
5,0,0,0.40832,0.37426,1.24,197,387,585,773,966,1166,1356,1547,1741,1935
6,0,0,0.40559,0.37134,1.26,197,387,585,772,966,1166,1356,1546,1740,1935
7,0,0,0.4028,0.36865,1.29,197,387,586,772,965,1167,1356,1546,1740,1935
8,0,0,0.40005,0.36608,1.32,197,386,586,771,965,1167,1356,1545,1740,1934
9,0,0,0.39731,0.36326,1.34,197,386,587,771,964,1168,1356,1545,1739,1934
10,0,0,0.39458,0.36044,1.37,197,386,587,770,964,1168,1356,1545,1739,1934
11,0,0,0.39195,0.35773,1.4,198,385,587,770,963,1169,1356,1544,1739,1934
12,0,0,0.38945,0.35516,1.43,198,385,588,769,963,1170,1356,1544,1738,1934
13,0,0,0.38704,0.3526,1.45,198,385,588,769,962,1170,1356,1543,1738,1933
14,0,0,0.38469,0.35006,1.48,198,384,589,768,962,1171,1356,1543,1738,1933
15,0,0,0.38236,0.3477,1.5,198,384,589,768,961,1171,1356,1542,1738,1933
16,0,0,0.38007,0.34538,1.53,198,384,590,767,961,1172,1356,1542,1738,1933
17,0,0,0.37785,0.34306,1.56,198,384,590,767,960,1172,1356,1542,1737,1933
18,0,0,0.37569,0.34078,1.6,198,383,591,767,960,1173,1356,1541,1737,1932
19,0,0,0.37362,0.33861,1.63,198,383,591,766,959,1173,1356,1541,1737,1932
20,0,0,0.37185,0.33662,1.66,198,383,591,766,959,1173,1356,1540,1737,1932
21,0,0,0.37025,0.33485,1.69,198,383,592,765,958,1174,1356,1540,1737,1932
22,0,0,0.36869,0.33316,1.71,198,382,592,765,958,1174,1356,1540,1737,1932
23,0,0,0.36715,0.33147,1.73,199,382,593,765,958,1174,1356,1539,1736,1932
24,0,0,0.36563,0.32979,1.76,199,382,593,764,957,1175,1356,1539,1736,1931
25,0,0,0.36411,0.32813,1.78,199,382,594,764,957,1175,1356,1539,1736,1931
26,0,0,0.36261,0.32647,1.81,199,382,594,764,957,1175,1356,1538,1736,1931
27,0,0,0.36111,0.32482,1.83,199,382,594,764,956,1176,1356,1538,1736,1931
28,0,0,0.35963,0.32318,1.85,199,382,595,763,956,1176,1356,1538,1736,1931
29,0,0,0.35815,0.32154,1.88,200,382,595,763,956,1176,1356,1538,1736,1931
30,0,0,0.35668,0.31992,1.9,200,382,596,763,955,1176,1356,1537,1736,1931
31,0,0,0.35522,0.3183,1.92,200,382,596,763,955,1176,1356,1537,1735,1931
32,0,0,0.35377,0.31669,1.96,200,382,596,763,955,1177,1356,1537,1735,1931
33,0,0,0.35233,0.31509,1.98,200,382,597,762,955,1177,1356,1537,1735,1931
34,0,0,0.35089,0.31349,2.01,200,382,597,762,954,1177,1356,1537,1735,1931
35,0,0,0.34947,0.31191,2.03,201,383,598,762,954,1177,1356,1537,1735,1931
36,0,0,0.34805,0.31033,2.05,201,383,598,762,954,1177,1356,1536,1735,1931
37,0,0,0.34663,0.30875,2.08,201,383,598,762,954,1177,1356,1536,1735,1930
38,0,0,0.34523,0.30718,2.1,201,383,599,762,954,1178,1356,1536,1734,1930
39,0,0,0.34383,0.30562,2.12,201,383,599,762,954,1178,1356,1536,1734,1930
40,0,0,0.34244,0.30407,2.14,202,383,600,761,953,1178,1356,1536,1734,1930
41,0,0,0.34106,0.30252,2.17,202,383,600,761,953,1178,1356,1536,1734,1930
42,0,0,0.33969,0.30098,2.19,202,384,600,761,953,1178,1356,1535,1734,1930
43,0,0,0.33832,0.29945,2.21,202,384,601,761,953,1178,1356,1535,1734,1930
