epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
0,0,0,0.18453,0.08933,1.81,712,1421
1,0,0,0.18382,0.08826,1.82,712,1421
2,0,0,0.18312,0.08723,1.82,713,1422
3,0,0,0.18244,0.08616,1.83,713,1422
4,0,0,0.18178,0.08498,1.84,713,1423
5,0,0,0.18114,0.08383,1.85,714,1423
6,0,0,0.18051,0.0827,1.86,714,1423
7,0,0,0.17991,0.08161,1.86,714,1423
8,0,0,0.17933,0.08055,1.87,714,1423
9,0,0,0.17876,0.07951,1.88,714,1423
10,0,0,0.17822,0.07851,1.88,715,1423
11,0,0,0.17769,0.07755,1.89,715,1423
12,0,0,0.17719,0.07661,1.9,715,1423
13,0,0,0.1767,0.07571,1.91,715,1422
14,0,0,0.17624,0.07484,1.92,716,1422
15,0,0,0.17579,0.07399,1.92,716,1422
16,0,0,0.17536,0.07318,1.93,716,1422
17,0,0,0.17496,0.0724,1.94,716,1422
18,0,0,0.17457,0.07166,1.95,716,1422
19,0,0,0.17421,0.07096,1.95,717,1422
20,0,0,0.17387,0.0703,1.96,717,1422
21,0,0,0.17358,0.06986,1.97,717,1422
22,0,0,0.17333,0.06954,1.98,717,1422
23,0,0,0.1731,0.06925,1.98,718,1422
24,0,0,0.1729,0.06898,1.99,718,1422
25,0,0,0.17274,0.06873,2.0,718,1422
26,0,0,0.17259,0.06856,2.01,719,1422
27,0,0,0.17246,0.06839,2.01,719,1422
28,0,0,0.17235,0.06825,2.02,719,1422
29,0,0,0.17225,0.06811,2.03,719,1422
30,0,0,0.17216,0.06799,2.04,719,1422
31,0,0,0.17208,0.06786,2.05,719,1422
32,0,0,0.17201,0.06777,2.05,719,1422
33,0,0,0.17195,0.0677,2.06,719,1421
34,0,0.00062,0.17189,0.06763,2.07,719,1421
35,0,0.00241,0.17183,0.06757,2.08,718,1421
36,0,0.00406,0.17178,0.06751,2.08,718,1421
37,0,0.00561,0.17173,0.06746,2.09,718,1420
38,0,0.00705,0.17168,0.06741,2.1,718,1420
