epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0,0,0.13886,0.12845,0.2,2,4,6,8,11,13,15,17,19,21,23,25,27,30,32,34,36,38,40,42,44,46,49,51,53,55,57,59,61,63
1,0.00027,0.00351,0.13829,0.12791,0.28,2,4,6,9,11,13,15,17,19,21,23,25,27,30,32,34,36,38,40,42,44,46,49,51,53,55,57,59,61,63
2,0.00711,0.01046,0.13782,0.12746,0.35,2,4,6,9,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,46,49,51,53,55,57,59,61,63
3,0.01265,0.0159,0.13743,0.12711,0.42,2,4,6,9,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,49,51,53,55,57,59,61,63
4,0.0167,0.01969,0.13715,0.12686,0.5,2,4,6,9,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,49,51,53,55,57,59,61,63
5,0.01935,0.02194,0.13697,0.12672,0.58,2,4,6,9,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,49,51,53,55,57,59,61,63
6,0.0211,0.02323,0.13684,0.12664,0.67,2,4,6,9,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,49,51,53,55,57,59,61,63
7,0.02255,0.02425,0.13674,0.12657,0.75,2,4,6,9,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,49,51,53,55,57,59,61,63
8,0.02409,0.02546,0.13663,0.12649,0.81,2,4,6,9,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,49,50,53,55,57,59,61,63
9,0.02595,0.02707,0.1365,0.12639,0.88,2,4,6,9,11,13,15,17,19,21,23,25,28,29,32,34,36,38,40,42,44,46,49,50,53,55,57,59,61,63
10,0.02817,0.02918,0.13635,0.12625,0.95,2,4,6,9,11,13,15,17,19,21,23,26,28,29,32,34,36,38,40,42,44,46,49,50,53,55,57,59,61,63
11,0.03075,0.03179,0.13617,0.12608,1.02,2,4,6,9,11,13,15,17,19,21,23,26,28,29,32,34,36,38,40,42,44,46,49,50,53,55,57,59,61,63
12,0.03359,0.03482,0.13597,0.12588,1.09,2,4,6,9,11,13,15,17,19,21,23,26,28,30,32,34,36,38,40,42,44,46,49,50,53,55,57,59,61,63
13,0.03662,0.03813,0.13575,0.12567,1.16,2,4,6,9,11,13,15,17,19,21,23,26,28,30,32,34,36,38,40,42,44,46,49,50,53,55,57,59,61,63
14,0.03971,0.04156,0.13554,0.12544,1.22,2,4,6,9,11,13,15,17,19,21,23,26,28,30,32,34,36,38,40,42,44,46,49,50,53,55,57,59,61,63
15,0.04278,0.04501,0.13532,0.12522,1.28,2,4,6,9,11,13,15,17,19,21,23,26,28,30,32,34,36,38,40,42,44,46,49,50,53,55,57,59,61,63
16,0.04577,0.0484,0.13511,0.12499,1.35,2,4,6,9,11,13,15,17,19,21,23,26,28,30,32,34,36,38,40,42,44,46,49,50,53,55,57,59,61,63
17,0.04867,0.05165,0.1349,0.12478,1.43,2,4,6,9,11,13,15,17,19,21,23,26,28,30,32,34,36,38,40,42,44,46,49,50,53,55,57,59,61,63
18,0.05151,0.05481,0.1347,0.12457,1.51,2,4,6,9,11,13,15,17,19,21,23,26,28,30,32,34,36,38,40,42,44,46,49,50,53,55,57,59,61,63
19,0.05429,0.05791,0.1345,0.12437,1.59,2,4,7,9,11,13,15,17,19,21,23,26,28,30,32,34,36,38,40,42,44,46,49,50,52,55,57,59,61,63
20,0.05714,0.06115,0.1343,0.12415,1.65,2,4,7,9,11,13,15,17,19,21,23,26,28,30,32,34,36,38,40,42,44,46,49,50,52,55,57,59,61,63
21,0.06014,0.06464,0.13409,0.12392,1.73,2,4,7,9,11,13,15,17,19,21,24,26,28,30,32,34,36,38,40,42,44,46,49,50,52,55,57,59,61,63
22,0.06335,0.06831,0.13386,0.12368,1.82,2,4,7,9,11,13,15,17,19,21,24,26,28,30,32,34,36,38,40,42,44,46,49,50,52,55,57,59,61,63
23,0.06667,0.07188,0.13362,0.12344,1.89,2,4,7,9,11,13,15,17,19,21,24,26,28,30,32,34,36,38,40,42,44,46,49,50,52,55,57,59,61,63
24,0.07004,0.07512,0.13338,0.12323,1.96,2,4,7,9,11,13,15,17,19,21,24,26,28,30,32,34,36,38,40,42,44,46,49,50,52,55,57,59,61,63
25,0.07357,0.07841,0.13313,0.12301,2.03,2,4,7,9,11,13,15,17,19,22,24,26,28,30,32,34,36,38,40,42,44,46,49,50,52,55,57,59,61,63
26,0.07746,0.08221,0.13285,0.12275,2.11,2,4,7,9,11,13,15,17,19,22,24,26,28,30,32,34,36,38,40,42,44,46,49,50,52,55,57,59,61,63
27,0.0819,0.08649,0.13253,0.12247,2.19,2,4,7,9,11,13,15,17,19,22,24,26,28,30,32,34,36,38,40,42,44,46,49,50,52,55,57,59,61,63
28,0.08681,0.0912,0.13217,0.12215,2.25,2,4,7,9,11,13,15,17,19,22,24,26,28,30,32,34,36,38,40,42,44,46,49,50,52,55,57,59,61,63
29,0.09191,0.09618,0.1318,0.12182,2.32,2,4,7,9,11,13,15,17,19,22,24,26,28,30,32,34,36,37,40,42,44,46,49,50,52,55,57,59,61,63
30,0.09688,0.10097,0.13144,0.12149,2.41,2,4,7,9,11,13,15,17,19,22,24,26,28,30,32,34,36,37,40,42,44,46,49,50,52,55,57,59,61,63
31,0.10153,0.10531,0.1311,0.1212,2.48,2,4,7,9,11,13,15,17,19,22,24,26,28,30,32,34,36,37,40,42,44,46,49,50,52,55,57,59,61,63
32,0.1059,0.10929,0.13078,0.12093,2.58,2,4,7,9,11,13,15,17,19,22,24,26,28,30,32,34,36,37,40,42,44,46,49,50,52,55,57,59,61,63
33,0.11006,0.11307,0.13048,0.12067,2.65,2,4,7,9,11,13,15,17,19,22,24,26,28,30,32,34,36,37,40,42,44,46,49,50,52,54,57,59,61,63
34,0.11411,0.1168,0.13018,0.12042,2.72,2,4,7,9,11,13,15,17,19,22,24,26,28,30,32,34,36,37,40,42,44,46,49,50,52,54,57,59,61,63
35,0.118,0.12061,0.12989,0.12016,2.8,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,36,37,40,42,44,46,49,50,52,54,57,59,61,63
36,0.12171,0.12434,0.12962,0.1199,2.87,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,36,37,39,42,44,46,49,50,52,54,57,59,61,63
37,0.12527,0.12772,0.12936,0.11967,2.94,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,36,37,39,42,44,46,49,50,52,54,57,59,61,63
38,0.12855,0.13101,0.12911,0.11944,3.01,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,36,37,39,42,44,46,49,50,52,54,57,59,61,63
39,0.13162,0.13415,0.12889,0.11923,3.1,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,36,37,39,42,44,46,49,50,52,54,57,59,61,63
40,0.13452,0.13714,0.12867,0.11902,3.17,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,36,37,39,42,44,46,49,50,52,54,57,59,61,63
41,0.13735,0.13991,0.12846,0.11883,3.24,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,36,37,39,42,44,46,49,50,52,54,57,59,61,63
42,0.14009,0.14251,0.12826,0.11865,3.33,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,36,37,39,42,44,46,49,50,52,54,57,59,61,63
43,0.1427,0.14497,0.12806,0.11848,3.4,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,36,37,39,41,44,46,49,50,52,54,57,59,61,63
44,0.1452,0.14731,0.12788,0.11832,3.48,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
45,0.14761,0.14959,0.12769,0.11816,3.57,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
46,0.15,0.15193,0.12752,0.118,3.65,2,4,7,9,11,13,15,17,20,22,24,26,28,30,32,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
47,0.15238,0.15435,0.12734,0.11783,3.73,2,4,7,9,11,13,15,18,20,22,24,26,28,30,32,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
48,0.15472,0.15679,0.12716,0.11766,3.81,2,4,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
49,0.15701,0.15918,0.12699,0.11749,3.89,2,4,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
50,0.15924,0.16144,0.12682,0.11733,3.99,2,4,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
51,0.16145,0.16358,0.12665,0.11719,4.06,2,4,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
52,0.16361,0.1656,0.12649,0.11704,4.14,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
53,0.16571,0.16758,0.12633,0.1169,4.22,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
54,0.16783,0.16948,0.12617,0.11677,4.29,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
55,0.16988,0.17134,0.12602,0.11664,4.37,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,44,46,49,50,52,54,57,59,61,63
56,0.17189,0.17323,0.12586,0.11651,4.46,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
57,0.1739,0.17518,0.12571,0.11637,4.54,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
58,0.17589,0.17715,0.12556,0.11623,4.64,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
59,0.17784,0.17912,0.12541,0.11609,4.72,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
60,0.17975,0.18111,0.12526,0.11595,4.79,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
61,0.18167,0.18308,0.12512,0.11581,4.86,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
62,0.18357,0.18488,0.12497,0.11568,4.95,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
63,0.18546,0.18654,0.12483,0.11557,5.02,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
64,0.18728,0.18811,0.12469,0.11545,5.1,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
65,0.18908,0.18978,0.12455,0.11534,5.18,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
66,0.1909,0.1916,0.12441,0.11521,5.26,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
67,0.1927,0.19345,0.12427,0.11507,5.34,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,46,49,50,52,54,57,59,61,63
68,0.19447,0.19521,0.12414,0.11495,5.42,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,45,49,50,52,54,57,59,61,63
69,0.19628,0.19691,0.124,0.11483,5.49,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,45,49,50,52,54,57,59,61,63
70,0.19812,0.19853,0.12385,0.11471,5.57,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,45,49,50,52,54,57,59,61,63
71,0.19992,0.20008,0.12372,0.1146,5.66,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,45,49,50,52,54,57,59,61,63
72,0.20169,0.20174,0.12358,0.11448,5.76,2,5,7,9,11,13,15,18,20,22,24,26,28,30,33,34,35,37,39,41,43,45,49,50,52,54,57,59,61,63
73,0.2035,0.20362,0.12344,0.11435,5.86,2,5,7,9,11,13,15,18,20,22,24,27,28,30,33,34,35,37,39,41,43,45,49,50,52,54,57,59,61,63
74,0.20529,0.20549,0.1233,0.11421,5.94,2,5,7,9,11,13,15,18,20,22,24,27,28,30,33,34,35,37,39,41,43,45,49,50,52,54,57,59,61,63
75,0.20708,0.20729,0.12316,0.11408,6.02,2,5,7,9,11,13,15,18,20,22,24,27,28,30,33,34,35,37,39,41,43,45,49,50,52,54,57,59,61,63
76,0.20891,0.20902,0.12302,0.11396,6.11,2,5,7,9,11,13,15,18,20,22,24,27,28,30,33,34,35,37,39,41,43,45,49,50,52,54,57,59,61,63
77,0.21073,0.2107,0.12288,0.11384,6.2,2,5,7,9,11,13,16,18,20,22,24,27,28,30,33,34,35,37,39,41,43,45,49,50,52,54,57,59,61,63
78,0.21255,0.21243,0.12273,0.11371,6.28,2,5,7,9,11,13,16,18,20,22,24,27,28,30,33,34,35,37,39,41,43,45,49,49,52,54,57,59,61,63
79,0.2144,0.2143,0.12259,0.11358,6.36,2,5,7,9,11,13,16,18,20,22,24,27,28,30,33,34,35,37,39,41,43,45,49,49,52,54,57,59,61,63
80,0.21626,0.21622,0.12245,0.11344,6.43,2,5,7,9,11,13,16,18,20,22,24,27,28,30,33,34,35,37,39,41,43,45,49,49,52,54,57,59,61,63
81,0.21813,0.21809,0.1223,0.1133,6.52,2,5,7,9,11,13,16,18,20,22,24,27,28,30,33,34,35,37,39,41,43,45,49,49,52,54,57,59,61,63
