epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.01503,0.02162,0.0,0.0,0.06,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
1,0.01503,0.02162,0.0,0.0,0.09,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
2,0.01503,0.02162,0.0,0.0,0.13,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
3,0.01503,0.02162,0.0,0.0,0.16,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
4,0.01503,0.02162,0.0,0.0,0.2,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
5,0.01503,0.02162,0.0,0.0,0.23,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
6,0.01503,0.02162,0.0,0.0,0.27,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
7,0.01503,0.02162,0.0,0.0,0.3,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
8,0.01503,0.02162,0.0,0.0,0.33,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
9,0.01503,0.02162,0.0,0.0,0.37,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
10,0.01523,0.02162,-5e-05,0.0,0.41,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
11,0.01643,0.02342,-0.00027,0.00066,0.44,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,89,95,100,105,110,115,120,125
12,0.02124,0.02523,0.00233,0.00132,0.48,5,10,15,20,25,30,35,40,45,50,55,60,65,70,74,79,85,89,95,100,104,110,115,120,125
13,0.02985,0.03243,0.00673,0.00429,0.52,5,10,15,20,25,30,35,40,45,50,55,60,65,70,74,79,85,89,95,100,104,110,115,120,125
14,0.03967,0.03784,0.01152,0.00571,0.55,5,10,15,20,25,30,35,40,45,49,55,60,65,70,74,79,85,89,95,100,104,110,115,120,125
15,0.0531,0.05045,0.01872,0.01196,0.59,5,10,15,20,25,30,35,40,45,49,55,60,65,70,74,79,85,89,95,100,104,110,115,120,125
16,0.06953,0.07027,0.02844,0.02673,0.63,5,10,15,20,25,30,35,40,45,49,55,60,65,70,74,79,85,89,95,100,104,109,114,120,125
17,0.08095,0.07928,0.03616,0.03265,0.66,5,10,15,20,25,30,35,40,46,49,56,60,65,70,74,79,85,89,95,100,104,109,114,120,125
18,0.08916,0.09009,0.04185,0.0411,0.7,5,10,15,20,25,30,35,40,46,49,56,60,65,70,74,79,85,89,95,100,104,109,114,120,125
19,0.09838,0.0973,0.04815,0.04462,0.73,5,10,15,20,25,30,36,40,46,49,56,60,65,70,74,79,85,89,95,100,104,109,114,120,125
20,0.10579,0.1045,0.05264,0.04892,0.77,5,10,15,20,25,30,36,40,46,49,56,60,65,70,74,80,85,89,95,100,104,109,114,120,125
21,0.11521,0.11532,0.05648,0.05261,0.81,5,10,15,20,25,29,36,40,46,49,56,60,65,70,74,80,85,89,95,100,104,109,114,120,125
22,0.14226,0.13874,0.06466,0.05629,0.84,5,10,15,20,25,29,36,40,46,49,56,60,65,70,74,80,85,89,95,100,104,109,114,120,125
23,0.17772,0.18198,0.07193,0.07333,0.88,5,10,15,20,25,29,36,40,46,49,56,60,65,70,74,80,86,89,95,100,104,109,114,120,125
24,0.2232,0.21622,0.08814,0.07412,0.91,5,10,15,20,25,29,36,40,46,49,56,60,64,70,74,80,86,89,95,100,104,109,114,120,125
25,0.28171,0.26306,0.10864,0.08261,0.95,5,10,15,21,25,29,36,40,46,49,56,60,64,70,74,80,86,89,95,100,104,109,114,120,125
26,0.3356,0.31532,0.12844,0.10449,0.98,5,10,15,21,25,29,36,40,46,49,56,60,64,70,74,80,86,89,95,100,104,109,114,120,125
27,0.38229,0.37838,0.14906,0.14165,1.01,5,10,15,21,25,29,36,40,46,49,56,60,64,70,74,80,86,89,95,100,104,109,114,120,125
28,0.41655,0.40721,0.16442,0.15649,1.05,5,10,16,21,25,29,36,40,46,49,56,60,64,70,74,80,86,89,95,99,104,109,114,120,125
29,0.43298,0.43784,0.16896,0.17692,1.08,5,10,16,21,25,29,36,40,46,49,56,60,64,70,74,80,86,89,95,99,104,109,114,120,125
30,0.43398,0.43784,0.1649,0.16941,1.12,5,10,16,21,25,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,125
31,0.43578,0.43604,0.16337,0.16325,1.15,5,10,16,21,24,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,125
32,0.43418,0.43784,0.15779,0.16285,1.18,5,10,16,21,24,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,124
33,0.43158,0.43784,0.15105,0.15841,1.22,5,10,16,21,24,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,124
34,0.42857,0.43063,0.14371,0.14308,1.25,5,10,16,21,24,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,124
35,0.42356,0.42162,0.13326,0.12673,1.28,5,10,16,21,24,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,124
36,0.42216,0.41802,0.12902,0.11988,1.32,5,10,16,21,24,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,124
37,0.42156,0.41622,0.12606,0.11526,1.35,5,10,16,21,24,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,124
38,0.41935,0.41081,0.12095,0.10371,1.38,5,10,16,21,24,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,124
39,0.41735,0.4036,0.11613,0.0898,1.42,5,10,16,21,24,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,124
40,0.41615,0.4036,0.1124,0.08833,1.45,5,10,16,21,24,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,124
41,0.41475,0.4,0.10811,0.08083,1.49,5,10,16,21,24,29,36,40,46,49,56,60,64,69,74,80,86,89,95,99,104,109,114,120,124
42,0.41334,0.4,0.10409,0.07983,1.52,5,11,16,21,24,29,36,40,46,49,57,60,64,69,74,80,86,89,95,99,104,109,114,120,124
43,0.41114,0.3964,0.09884,0.07179,1.55,5,11,16,21,24,29,36,40,47,49,57,60,64,69,74,80,86,88,95,99,104,109,114,120,124
44,0.40934,0.3982,0.09423,0.07254,1.59,5,11,16,21,24,29,36,40,47,49,57,60,64,69,74,80,86,88,95,99,104,109,114,120,124
45,0.40894,0.39279,0.09165,0.06165,1.62,5,11,16,21,24,29,36,40,47,49,57,60,64,69,74,80,86,88,95,99,104,109,114,120,124
46,0.40673,0.38739,0.0868,0.0507,1.66,5,11,16,21,24,29,36,40,47,49,57,60,64,69,74,80,86,88,95,99,104,109,114,120,124
47,0.40453,0.38739,0.08099,0.04861,1.69,5,11,16,21,24,29,36,40,47,49,57,60,64,69,74,80,86,88,95,99,104,109,114,120,124
