epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5
0,0.03944,0.03293,0.0,0.0,0.05,33,66,99,132,165
1,0.03944,0.03293,0.0,0.0,0.06,33,66,99,132,165
2,0.03944,0.03293,0.0,0.0,0.07,33,66,99,132,165
3,0.03944,0.03293,0.0,0.0,0.08,33,66,99,132,165
4,0.03944,0.03293,0.0,0.0,0.09,33,66,99,132,165
5,0.03944,0.03293,0.0,0.0,0.1,33,66,99,132,165
6,0.03944,0.03293,0.0,0.0,0.11,33,66,99,132,165
7,0.03944,0.03293,0.0,0.0,0.12,33,66,99,132,165
8,0.03944,0.03293,0.0,0.0,0.13,33,67,99,132,165
9,0.03944,0.03293,0.0,0.0,0.14,33,67,99,132,165
10,0.03944,0.03293,0.0,0.0,0.15,33,67,99,132,165
11,0.03944,0.03293,0.0,0.0,0.16,33,67,99,132,165
12,0.03944,0.03293,0.0,0.0,0.17,33,67,99,131,165
13,0.03944,0.03293,0.0,0.0,0.18,33,67,98,131,165
14,0.03944,0.03293,0.0,0.0,0.19,33,67,98,131,165
15,0.03944,0.03293,0.0,0.0,0.21,33,67,98,131,165
16,0.03944,0.03293,0.0,0.0,0.22,33,67,98,131,165
17,0.03944,0.03293,0.0,0.0,0.23,33,67,98,131,165
18,0.03944,0.03293,0.0,0.0,0.24,33,67,98,131,165
19,0.03944,0.03293,0.0,0.0,0.25,33,67,98,131,165
20,0.03944,0.03293,0.0,0.0,0.26,33,67,98,131,165
21,0.03944,0.03293,0.0,0.0,0.27,33,67,98,131,165
22,0.03944,0.03293,0.0,0.0,0.28,33,67,98,131,165
23,0.03944,0.03293,0.0,0.0,0.29,33,67,98,131,165
24,0.03944,0.03293,0.0,0.0,0.3,33,67,98,131,165
25,0.03944,0.03293,0.0,0.0,0.31,33,67,98,131,165
26,0.03944,0.03293,0.0,0.0,0.32,33,67,98,131,165
27,0.03944,0.03293,0.0,0.0,0.33,32,67,98,131,165
28,0.03944,0.03293,0.0,0.0,0.34,32,67,98,131,165
29,0.03944,0.03293,0.0,0.0,0.35,32,67,98,131,165
30,0.03944,0.03293,0.0,0.0,0.36,32,67,98,131,165
31,0.03944,0.03293,0.0,0.0,0.37,32,67,98,131,165
32,0.03944,0.03293,0.0,0.0,0.38,32,67,98,131,165
33,0.03944,0.03293,0.0,0.0,0.39,32,68,99,131,165
34,0.03944,0.03293,0.0,0.0,0.4,32,68,99,131,165
35,0.03944,0.03293,0.0,0.0,0.41,32,68,99,131,165
36,0.03944,0.03293,0.0,0.0,0.43,32,68,99,131,165
37,0.03944,0.03293,0.0,0.0,0.44,32,68,99,131,165
38,0.03944,0.03293,-0.00011,0.0,0.45,32,68,99,132,165
39,0.04052,0.03415,-0.00056,0.00012,0.46,32,68,99,132,165
40,0.0431,0.04024,-0.00339,0.00051,0.47,32,68,99,132,165
41,0.0538,0.04756,-0.00168,0.00127,0.48,32,68,99,132,165
42,0.10625,0.07439,0.03059,0.013,0.49,32,68,99,132,165
43,0.1774,0.14878,0.08041,0.06647,0.5,32,68,99,132,165
44,0.22347,0.18902,0.10911,0.08838,0.51,32,68,99,132,165
45,0.24597,0.20854,0.12015,0.09349,0.52,32,68,99,132,164
46,0.25708,0.21951,0.1234,0.09948,0.53,32,68,99,132,164
47,0.26304,0.22683,0.12198,0.10061,0.54,32,68,99,132,164
48,0.26724,0.22927,0.11985,0.09557,0.55,32,68,100,132,164
49,0.26955,0.22805,0.11922,0.08991,0.56,32,68,100,132,164
50,0.27158,0.22927,0.11975,0.09088,0.58,32,68,100,132,164
51,0.27511,0.23537,0.11968,0.0917,0.59,32,68,100,132,164
52,0.27687,0.23659,0.11732,0.09006,0.6,32,68,100,132,164
53,0.27768,0.24024,0.11368,0.08916,0.61,32,68,100,132,164
54,0.27592,0.23902,0.10739,0.0848,0.62,32,68,100,132,164
55,0.2728,0.23659,0.09879,0.07845,0.63,32,68,100,132,164
56,0.26874,0.23293,0.0887,0.06884,0.64,32,68,100,132,164
57,0.26562,0.23049,0.08079,0.06212,0.65,32,68,100,133,164
58,0.26237,0.22561,0.0727,0.05389,0.66,32,68,100,133,164
59,0.25911,0.22195,0.06522,0.04634,0.67,32,68,100,133,164
60,0.25627,0.21951,0.05626,0.03712,0.68,32,68,100,133,164
61,0.25315,0.21829,0.04237,0.02359,0.69,32,68,100,133,164
62,0.25112,0.21707,0.03018,0.01567,0.7,32,68,100,133,164
63,0.24746,0.21585,0.01626,0.00925,0.71,32,68,100,133,164
64,0.24272,0.21341,0.00441,0.00152,0.72,32,68,101,133,164
65,0.24217,0.21341,0.00102,0.00018,0.73,32,68,101,133,164
66,0.24217,0.21341,0.00036,0.0,0.74,32,68,101,133,164
67,0.24204,0.21341,6e-05,0.0,0.75,32,68,101,133,164
68,0.24204,0.21341,3e-05,0.0,0.76,32,68,101,133,164
69,0.24204,0.21341,3e-05,0.0,0.77,32,68,101,133,164
70,0.24204,0.21341,3e-05,0.0,0.78,32,68,101,134,164
71,0.24204,0.21341,3e-05,0.0,0.79,32,68,101,134,164
72,0.24204,0.21341,3e-05,0.0,0.8,32,68,101,134,164
73,0.24204,0.21341,3e-05,0.0,0.81,32,68,101,134,164
74,0.24204,0.21341,3e-05,0.0,0.82,32,68,101,134,164
75,0.24204,0.21341,3e-05,0.0,0.84,32,68,101,134,164
76,0.24204,0.21341,3e-05,0.0,0.85,32,68,101,134,164
77,0.24204,0.21341,0.0,0.0,0.86,32,68,102,134,164
78,0.24204,0.21341,0.0,0.0,0.87,32,68,102,134,164
79,0.24204,0.21341,0.0,0.0,0.88,32,68,102,134,164
80,0.24204,0.21341,0.0,0.0,0.89,32,68,101,134,164
81,0.24204,0.21341,0.0,0.0,0.9,32,68,101,134,164
82,0.24204,0.21341,0.0,0.0,0.91,32,68,101,134,164
83,0.24204,0.21341,0.0,0.0,0.92,32,68,101,135,164
84,0.24204,0.21341,0.0,0.0,0.93,32,68,101,135,164
85,0.24204,0.21341,0.0,0.0,0.94,32,68,101,135,164
86,0.24204,0.21341,0.0,0.0,0.95,32,68,101,135,164
87,0.24204,0.21341,0.0,0.0,0.96,32,68,101,135,164
88,0.24204,0.21341,0.0,0.0,0.97,32,68,101,135,164
89,0.24204,0.21341,0.0,0.0,0.98,32,68,101,135,164
90,0.24204,0.21341,0.0,0.0,0.99,32,68,101,135,164
91,0.24204,0.21341,0.0,0.0,1.0,32,68,101,135,164
92,0.24204,0.21341,0.0,0.0,1.01,32,68,101,135,164
93,0.24204,0.21341,0.0,0.0,1.02,32,68,101,135,164
94,0.24204,0.21341,0.0,0.0,1.03,32,68,101,135,164
95,0.24204,0.21341,0.0,0.0,1.04,32,68,101,135,164
96,0.24204,0.21341,0.0,0.0,1.05,32,68,101,135,164
97,0.24204,0.21341,0.0,0.0,1.06,32,68,101,135,164
98,0.24204,0.21341,0.0,0.0,1.07,32,68,101,135,164
99,0.24204,0.21341,0.0,0.0,1.08,32,68,101,135,164
100,0.24204,0.21341,0.0,0.0,1.09,32,68,101,135,164
101,0.24204,0.21341,0.0,0.0,1.1,32,68,101,135,164
102,0.24204,0.21341,0.0,0.0,1.12,32,68,101,135,164
103,0.24204,0.21341,0.0,0.0,1.12,31,68,101,135,164
104,0.24204,0.21341,0.0,0.0,1.14,31,68,101,135,164
105,0.24204,0.21341,0.0,0.0,1.15,31,68,101,135,164
106,0.24204,0.21341,0.0,0.0,1.16,31,68,101,135,164
107,0.24204,0.21341,0.0,0.0,1.17,31,68,101,135,164
